SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
31000001,3.8,2.5,4.2,3.5,3.5
31000002,3.0,5.0,4.0,4.0,4.0
31000003,4.0,3.5,2.6,3.3666666666666667,3.3666666666666667
31000004,3.4,3.5,2.8,3.233333333333333,3.233333333333333
31000005,4.8,3.0,3.0,3.6,3.6
31000006,5.6,4.75,3.0,4.45,4.45
31000007,5.0,4.0,5.2,4.733333333333333,4.733333333333333
31000008,4.0,4.5,2.4,3.633333333333333,3.6333333333333333
31000009,4.6,4.5,3.8,4.3,4.3
31000010,4.0,3.25,2.8,3.35,3.35
31000011,2.6,3.0,2.8,2.7999999999999994,2.7999999999999994
31000012,4.0,3.25,2.6,3.283333333333333,3.283333333333333
31000013,3.4,5.0,3.0,3.8,3.8000000000000003
31000014,3.0,6.0,3.2,4.066666666666666,4.066666666666666
31000015,3.2,2.5,3.8,3.1666666666666665,3.1666666666666665
31000016,4.0,2.25,2.2,2.8166666666666664,2.8166666666666664
31000017,4.2,5.75,2.8,4.25,4.25
31000018,4.2,3.25,2.6,3.35,3.35
31000019,3.0,3.5,2.8,3.1,3.1
31000020,4.0,3.0,3.0,3.333333333333333,3.3333333333333335
31000021,4.0,3.75,1.8,3.1833333333333336,3.1833333333333336
31000022,3.8,7.5,4.2,5.166666666666667,5.166666666666667
31000023,5.2,5.25,4.8,5.083333333333333,5.083333333333333
31000024,4.0,2.75,3.2,3.3166666666666664,3.3166666666666664
31000025,4.6,4.75,5.2,4.8500000000000005,4.8500000000000005
31000026,3.2,3.5,3.4,3.3666666666666667,3.3666666666666667
31000027,3.0,3.75,2.6,3.1166666666666667,3.1166666666666667
31000028,2.8,3.0,2.8,2.8666666666666667,2.8666666666666667
31000029,4.8,6.25,3.0,4.683333333333334,4.683333333333334
31000030,3.2,6.0,3.2,4.133333333333333,4.133333333333333
31000031,2.8,2.75,4.0,3.1833333333333336,3.1833333333333336
31000032,3.0,2.25,2.4,2.5500000000000003,2.5500000000000003
31000033,3.4,2.5,2.6,2.833333333333333,2.8333333333333335
31000034,4.2,4.75,2.8,3.9166666666666665,3.9166666666666665
31000035,3.2,7.0,3.0,4.4,4.3999999999999995
31000036,3.0,5.5,2.4,3.633333333333333,3.6333333333333333
31000037,2.8,6.0,3.0,3.9333333333333336,3.9333333333333336
31000038,2.0,3.75,2.2,2.65,2.65
31000039,2.4,4.0,3.6,3.333333333333333,3.3333333333333335
31000040,3.0,4.0,1.8,2.9333333333333336,2.9333333333333336
31000041,2.6,4.0,2.6,3.0666666666666664,3.0666666666666664
31000042,3.0,7.25,3.2,4.483333333333333,4.483333333333333
31000043,3.2,3.5,2.0,2.9,2.9
31000044,4.8,4.5,3.6,4.3,4.3
31000045,3.8,6.0,4.2,4.666666666666667,4.666666666666667
31000046,3.4,5.25,3.4,4.016666666666667,4.016666666666667
31000047,6.8,6.25,5.0,6.016666666666667,6.016666666666667
31000048,2.8,2.75,3.4,2.983333333333333,2.983333333333333
31000049,4.0,5.5,2.6,4.033333333333333,4.033333333333333
31000050,5.0,6.5,2.8,4.766666666666667,4.766666666666667
31000051,5.6,4.25,4.0,4.616666666666666,4.616666666666666
31000052,4.6,5.0,6.0,5.2,5.2
31000053,1.8,2.75,1.6,2.0500000000000003,2.0500000000000003
31000054,3.0,4.0,2.8,3.266666666666667,3.266666666666667
31000055,6.0,6.0,6.0,6.0,6.0
31000056,3.0,2.0,2.0,2.333333333333333,2.3333333333333335
31000057,5.2,2.0,2.6,3.266666666666667,3.266666666666667
31000058,2.6,3.0,3.0,2.8666666666666667,2.8666666666666667
31000059,5.4,3.75,4.2,4.45,4.45
31000060,3.4,3.0,3.6,3.333333333333333,3.3333333333333335
31000061,4.0,5.75,3.0,4.25,4.25
31000062,3.6,6.5,2.6,4.233333333333333,4.233333333333333
31000063,3.0,3.25,3.8,3.35,3.35
31000064,4.0,3.25,2.0,3.083333333333333,3.0833333333333335
31000065,3.4,1.5,2.2,2.3666666666666667,2.3666666666666667
31000066,2.8,3.25,4.2,3.4166666666666665,3.4166666666666665
31000067,3.2,6.5,3.4,4.366666666666666,4.366666666666666
31000068,2.4,3.25,3.0,2.8833333333333333,2.8833333333333333
31000069,5.8,6.75,3.6,5.383333333333334,5.383333333333334
31000070,3.0,3.0,2.4,2.8000000000000003,2.8000000000000003
31000071,4.2,3.0,4.0,3.733333333333333,3.733333333333333
31000072,3.8,5.75,4.4,4.65,4.65
31000073,4.4,5.25,3.6,4.416666666666667,4.416666666666667
31000074,4.0,3.75,2.8,3.516666666666667,3.516666666666667
31000075,4.4,3.0,4.4,3.9333333333333336,3.9333333333333336
31000076,3.6,3.75,2.6,3.3166666666666664,3.3166666666666664
31000077,3.8,3.5,1.6,2.966666666666667,2.966666666666667
31000078,2.4,4.0,2.0,2.8000000000000003,2.8000000000000003
31000079,4.0,2.5,3.8,3.4333333333333336,3.4333333333333336
