SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
35000001,8.4,4.0,4.8,5.733333333333333,5.733333333333333
35000002,6.2,6.75,4.8,5.916666666666667,5.916666666666667
35000003,6.4,7.25,2.0,5.216666666666667,5.216666666666667
35000004,7.2,6.5,2.0,5.233333333333333,5.233333333333333
35000005,5.6,3.25,2.8,3.883333333333333,3.883333333333333
35000006,6.4,6.25,3.8,5.483333333333333,5.483333333333333
35000007,3.2,6.0,4.6,4.6,4.6
35000008,3.6,4.75,3.0,3.783333333333333,3.783333333333333
35000009,4.0,5.75,3.4,4.383333333333334,4.383333333333334
35000010,2.0,4.0,1.8,2.6,2.6
35000011,3.6,6.5,3.2,4.433333333333334,4.433333333333334
35000012,5.4,5.0,3.0,4.466666666666667,4.466666666666667
35000013,4.8,3.5,4.8,4.366666666666667,4.366666666666667
35000014,6.0,5.2,4.0,5.066666666666666,5.066666666666666
35000015,5.2,4.0,4.6,4.6,4.6
35000016,5.6,5.0,5.4,5.333333333333333,5.333333333333333
35000017,6.8,7.0,3.4,5.733333333333333,5.733333333333333
35000018,8.2,3.5,5.0,5.566666666666666,5.566666666666666
35000019,5.8,5.0,4.6,5.133333333333334,5.133333333333334
35000020,4.6,5.0,2.4,4.0,4.0
35000021,2.6,3.0,2.4,2.6666666666666665,2.6666666666666665
35000022,5.2,4.75,3.2,4.383333333333333,4.383333333333333
35000023,6.6,6.0,7.4,6.666666666666667,6.666666666666667
35000024,6.0,6.0,4.8,5.6000000000000005,5.6000000000000005
35000025,6.0,6.5,4.8,5.766666666666667,5.766666666666667
35000026,5.0,5.5,3.0,4.5,4.5
35000027,4.4,5.25,3.6,4.416666666666667,4.416666666666667
35000028,5.2,4.5,4.4,4.7,4.7
35000029,6.2,4.0,3.4,4.533333333333333,4.533333333333333
35000030,6.8,7.5,6.4,6.900000000000001,6.900000000000001
35000031,6.8,5.0,5.6,5.8,5.8
35000032,5.4,9.0,4.8,6.4,6.3999999999999995
35000033,4.0,4.6,2.6,3.733333333333333,3.733333333333333
35000034,3.2,4.0,3.0,3.4,3.4
35000035,6.2,7.25,4.2,5.883333333333333,5.883333333333333
35000036,6.4,7.25,7.2,6.95,6.95
35000037,6.6,7.0,5.2,6.266666666666667,6.266666666666667
35000038,1.8,2.0,1.4,1.7333333333333332,1.7333333333333332
35000039,4.8,3.75,4.2,4.25,4.25
35000040,4.2,4.0,2.4,3.533333333333333,3.533333333333333
35000041,7.2,7.5,7.0,7.233333333333333,7.233333333333333
35000042,5.6,4.5,3.4,4.5,4.5
35000043,3.4,3.5,2.4,3.1,3.1
35000044,7.2,5.75,6.6,6.516666666666666,6.516666666666666
35000045,7.2,6.0,5.4,6.2,6.2
35000046,4.0,5.0,2.8,3.9333333333333336,3.9333333333333336
35000047,7.0,5.0,5.4,5.8,5.8
35000048,8.4,4.75,5.0,6.05,6.05
35000049,6.2,3.5,3.6,4.433333333333333,4.433333333333333
35000050,4.8,5.0,3.2,4.333333333333333,4.333333333333333
35000051,4.0,4.7,2.6,3.766666666666666,3.766666666666666
35000052,4.6,6.75,7.2,6.183333333333334,6.183333333333334
35000053,5.4,7.0,6.6,6.333333333333333,6.333333333333333
35000054,4.6,4.5,2.2,3.766666666666667,3.766666666666667
35000055,5.2,3.25,2.8,3.75,3.75
35000056,4.2,5.0,2.6,3.933333333333333,3.933333333333333
35000057,5.6,4.0,2.4,4.0,4.0
35000058,6.4,5.5,4.0,5.3,5.3
35000059,6.8,6.0,4.6,5.8,5.8
35000060,3.4,4.0,3.0,3.466666666666667,3.466666666666667
35000061,3.2,2.75,2.6,2.85,2.85
35000062,3.8,2.75,2.6,3.0500000000000003,3.0500000000000003
35000063,5.0,5.25,3.8,4.683333333333334,4.683333333333334
35000064,6.2,5.5,4.4,5.366666666666667,5.366666666666667
35000065,6.4,4.75,2.0,4.383333333333334,4.383333333333334
35000066,3.4,3.0,3.2,3.2000000000000006,3.2000000000000006
35000067,5.2,5.75,4.4,5.116666666666666,5.116666666666666
35000068,4.2,5.5,2.8,4.166666666666667,4.166666666666667
35000069,6.4,8.5,4.2,6.366666666666667,6.366666666666667
35000070,6.2,4.25,3.8,4.75,4.75
35000071,6.2,6.0,3.0,5.066666666666666,5.066666666666666
35000072,3.4,6.0,3.4,4.266666666666667,4.266666666666667
35000073,7.4,4.25,4.2,5.283333333333334,5.283333333333334
35000074,5.2,4.75,2.6,4.183333333333333,4.183333333333333
35000075,6.0,7.75,3.6,5.783333333333334,5.783333333333334
35000076,6.2,8.0,5.6,6.599999999999999,6.599999999999999
35000077,7.0,8.5,8.0,7.833333333333333,7.833333333333333
35000078,5.0,5.25,3.4,4.55,4.55
35000079,5.8,7.25,5.4,6.150000000000001,6.150000000000001
35000080,5.0,7.5,4.2,5.566666666666666,5.566666666666666
35000081,6.0,8.5,6.4,6.966666666666666,6.966666666666666
35000082,6.2,5.75,2.0,4.65,4.6499999999999995
35000083,6.4,6.25,4.4,5.683333333333334,5.683333333333334
35000084,4.8,5.5,3.2,4.5,4.5
35000085,4.2,3.5,2.4,3.3666666666666667,3.3666666666666667
35000086,6.2,6.0,3.6,5.266666666666667,5.266666666666667
35000087,3.4,2.5,2.6,2.833333333333333,2.8333333333333335
35000088,7.2,6.5,5.6,6.433333333333333,6.433333333333333
35000089,6.4,5.25,2.4,4.683333333333334,4.683333333333334
35000090,6.6,4.0,3.4,4.666666666666667,4.666666666666667
35000091,4.6,4.75,3.2,4.183333333333334,4.183333333333334
35000092,5.0,4.5,4.4,4.633333333333334,4.633333333333334
35000093,2.0,4.0,2.6,2.8666666666666667,2.8666666666666667
35000094,4.6,4.0,2.6,3.733333333333333,3.733333333333333
35000095,3.4,4.0,2.0,3.1333333333333333,3.1333333333333333
35000096,2.4,3.5,1.8,2.566666666666667,2.566666666666667
35000097,5.6,4.5,2.6,4.233333333333333,4.233333333333333
35000098,7.8,4.25,4.8,5.616666666666667,5.616666666666667
35000099,6.4,8.0,4.6,6.333333333333333,6.333333333333333
35000100,5.6,6.0,3.4,5.0,5.0
35000101,6.2,6.0,4.2,5.466666666666666,5.466666666666666
35000102,6.2,6.25,3.0,5.15,5.1499999999999995
35000103,1.6,3.0,4.0,2.8666666666666667,2.8666666666666667
35000104,6.0,7.5,4.2,5.9,5.8999999999999995
35000105,5.0,4.0,2.2,3.733333333333333,3.733333333333333
