SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
9000001,2.4,5.75,3.0,3.716666666666667,3.716666666666667
9000002,6.0,8.75,3.8,6.183333333333334,6.183333333333334
9000003,4.8,7.75,4.0,5.516666666666667,5.516666666666667
9000004,5.6,5.75,3.8,5.05,5.05
9000005,7.6,5.75,4.0,5.783333333333334,5.783333333333334
9000006,5.6,8.0,4.4,6.0,6.0
9000007,5.2,7.0,2.6,4.933333333333333,4.933333333333333
9000008,5.2,8.0,4.0,5.733333333333333,5.733333333333333
9000009,6.0,8.0,5.6,6.533333333333334,6.533333333333334
9000010,6.6,7.5,2.6,5.566666666666666,5.566666666666666
9000011,5.8,8.5,4.4,6.233333333333334,6.233333333333334
9000012,4.6,6.5,4.6,5.233333333333333,5.233333333333333
9000013,5.4,7.5,2.8,5.233333333333333,5.233333333333333
9000014,4.2,8.25,3.8,5.416666666666667,5.416666666666667
9000015,3.8,7.75,3.2,4.916666666666667,4.916666666666667
9000016,6.2,7.25,5.4,6.283333333333334,6.283333333333334
9000017,7.0,7.5,4.8,6.433333333333334,6.433333333333334
9000018,6.0,7.75,5.0,6.25,6.25
9000019,4.4,8.0,3.8,5.4,5.3999999999999995
9000020,6.4,8.25,7.6,7.416666666666667,7.416666666666667
9000021,3.6,7.75,4.0,5.116666666666666,5.116666666666666
9000022,6.4,7.5,3.4,5.766666666666667,5.766666666666667
9000023,3.4,6.5,2.0,3.966666666666667,3.966666666666667
9000024,6.8,8.75,6.8,7.45,7.45
9000025,5.8,8.5,5.8,6.7,6.7
9000026,6.0,8.5,5.6,6.7,6.7
9000027,6.8,9.0,4.4,6.733333333333334,6.733333333333334
9000028,2.4,6.25,2.6,3.75,3.75
9000029,5.6,6.25,2.6,4.816666666666666,4.816666666666666
9000030,3.8,7.75,3.8,5.116666666666667,5.116666666666667
9000031,3.2,5.5,3.0,3.9,3.9
9000032,7.2,7.75,4.2,6.383333333333333,6.383333333333333
9000033,6.4,7.75,3.0,5.716666666666666,5.716666666666666
9000034,4.4,5.0,3.2,4.2,4.2
9000035,7.0,8.75,2.4,6.05,6.05
9000036,2.2,7.5,2.0,3.9,3.9
9000037,5.4,8.25,4.2,5.95,5.95
9000038,2.4,7.5,3.0,4.3,4.3
9000039,3.4,6.25,2.4,4.016666666666667,4.016666666666667
9000040,4.6,7.25,3.4,5.083333333333333,5.083333333333333
9000041,3.6,7.0,2.8,4.466666666666666,4.466666666666666
9000042,7.0,6.5,3.8,5.766666666666667,5.766666666666667
9000043,3.8,5.75,3.2,4.25,4.25
9000044,5.0,8.0,4.0,5.666666666666667,5.666666666666667
9000045,3.8,8.0,2.8,4.866666666666667,4.866666666666667
9000046,6.0,8.5,3.6,6.033333333333334,6.033333333333334
9000047,5.4,8.0,3.2,5.533333333333334,5.533333333333334
9000048,6.0,6.5,2.8,5.1000000000000005,5.1000000000000005
9000049,6.4,8.0,3.4,5.933333333333334,5.933333333333334
9000050,7.6,6.0,3.6,5.733333333333333,5.733333333333333
9000051,3.4,7.5,2.8,4.566666666666666,4.566666666666666
9000052,5.8,7.5,4.6,5.966666666666666,5.966666666666666
9000053,4.4,8.5,3.8,5.566666666666666,5.566666666666666
9000054,3.6,8.25,4.0,5.283333333333333,5.283333333333333
9000055,6.6,7.0,3.8,5.8,5.8
9000056,4.8,8.5,2.8,5.366666666666667,5.366666666666667
9000057,5.2,6.5,3.0,4.9,4.8999999999999995
9000058,6.0,6.25,6.4,6.216666666666666,6.216666666666666
9000059,6.4,6.0,6.2,6.2,6.2
9000060,2.8,7.0,3.8,4.533333333333334,4.533333333333334
9000061,5.8,7.0,3.4,5.4,5.3999999999999995
9000062,3.8,8.0,3.6,5.133333333333334,5.133333333333334
9000063,5.2,7.0,2.8,5.0,5.0
9000064,3.6,7.0,3.4,4.666666666666667,4.666666666666667
9000065,3.6,7.0,4.2,4.933333333333334,4.933333333333334
9000066,6.4,6.75,1.0,4.716666666666667,4.716666666666667
9000067,6.4,8.0,1.6,5.333333333333333,5.333333333333333
9000068,3.2,6.25,3.2,4.216666666666666,4.216666666666666
9000069,6.0,6.75,3.2,5.316666666666666,5.316666666666666
9000070,3.6,8.25,3.4,5.083333333333333,5.083333333333333
9000071,6.0,8.25,2.6,5.616666666666667,5.616666666666667
9000072,4.8,7.0,3.0,4.933333333333334,4.933333333333334
9000073,5.4,6.5,4.0,5.3,5.3
9000074,6.2,6.0,3.0,5.066666666666666,5.066666666666666
9000075,8.4,5.5,3.8,5.9,5.8999999999999995
9000076,5.0,8.0,3.6,5.533333333333334,5.533333333333334
9000077,4.2,8.25,3.4,5.283333333333333,5.283333333333333
9000078,4.4,7.0,3.2,4.866666666666667,4.866666666666667
9000079,4.4,8.25,2.6,5.083333333333333,5.083333333333333
9000080,6.0,7.75,3.8,5.8500000000000005,5.8500000000000005
9000081,4.6,7.5,3.2,5.1000000000000005,5.1000000000000005
9000082,4.4,5.5,3.2,4.366666666666667,4.366666666666667
9000083,4.0,7.75,3.0,4.916666666666667,4.916666666666667
9000084,6.2,6.5,2.8,5.166666666666667,5.166666666666667
9000085,4.8,7.75,3.0,5.183333333333334,5.183333333333334
9000086,6.8,6.5,3.0,5.433333333333334,5.433333333333334
9000087,4.2,8.5,3.8,5.5,5.5
9000088,6.8,8.5,3.4,6.233333333333333,6.233333333333333
9000089,6.2,7.5,4.6,6.099999999999999,6.099999999999999
9000090,6.0,7.0,3.4,5.466666666666666,5.466666666666666
9000091,6.0,7.5,2.6,5.366666666666667,5.366666666666667
9000092,5.0,7.25,5.2,5.816666666666666,5.816666666666666
9000093,6.0,8.25,3.4,5.883333333333333,5.883333333333333
9000094,4.8,7.0,3.0,4.933333333333334,4.933333333333334
9000095,5.2,8.0,2.6,5.266666666666667,5.266666666666667
9000096,6.4,7.75,5.4,6.516666666666667,6.516666666666667
9000097,5.6,7.75,3.6,5.65,5.6499999999999995
9000098,6.6,7.75,4.2,6.183333333333334,6.183333333333334
9000099,4.2,7.0,3.0,4.733333333333333,4.733333333333333
9000100,6.0,6.5,5.0,5.833333333333333,5.833333333333333
9000101,5.0,8.0,3.4,5.466666666666666,5.466666666666666
9000102,7.0,8.75,4.0,6.583333333333333,6.583333333333333
9000103,6.2,8.25,3.0,5.816666666666666,5.816666666666666
9000104,6.4,7.0,4.2,5.866666666666667,5.866666666666667
9000105,7.4,3.0,2.4,4.266666666666667,4.266666666666667
9000106,5.2,7.75,5.8,6.25,6.25
9000107,7.0,7.0,3.4,5.8,5.8
9000108,6.8,5.75,3.2,5.25,5.25
9000109,6.8,6.25,3.6,5.550000000000001,5.550000000000001
9000110,7.2,8.5,3.4,6.366666666666666,6.366666666666666
9000111,4.8,8.0,4.6,5.8,5.8
9000112,5.6,7.75,3.6,5.65,5.6499999999999995
9000113,6.0,8.5,4.4,6.3,6.3
9000114,5.8,6.25,3.2,5.083333333333333,5.083333333333333
9000115,6.2,7.0,3.8,5.666666666666667,5.666666666666667
9000116,5.8,7.0,5.4,6.066666666666667,6.066666666666667
9000117,3.4,7.25,2.8,4.483333333333333,4.483333333333333
9000118,6.8,8.5,5.4,6.900000000000001,6.900000000000001
9000119,6.2,5.75,1.8,4.583333333333333,4.583333333333333
9000120,5.8,7.5,4.6,5.966666666666666,5.966666666666666
9000121,3.8,6.0,2.4,4.066666666666667,4.066666666666667
9000122,3.8,7.0,3.8,4.866666666666667,4.866666666666667
9000123,4.0,6.5,3.4,4.633333333333334,4.633333333333334
9000124,3.6,6.5,3.2,4.433333333333334,4.433333333333334
9000125,3.8,4.75,3.2,3.9166666666666665,3.9166666666666665
9000126,4.4,5.25,1.2,3.6166666666666663,3.6166666666666667
9000127,4.2,7.5,3.0,4.9,4.8999999999999995
9000128,4.4,5.5,2.6,4.166666666666667,4.166666666666667
9000129,5.0,5.5,3.8,4.766666666666667,4.766666666666667
9000130,3.8,7.0,2.2,4.333333333333333,4.333333333333333
9000131,4.6,6.0,3.8,4.8,4.8
9000132,2.4,6.0,3.8,4.066666666666666,4.066666666666666
9000133,3.6,5.5,3.0,4.033333333333333,4.033333333333333
9000134,4.8,6.5,3.0,4.766666666666667,4.766666666666667
9000135,3.2,6.0,3.4,4.2,4.2
9000136,5.0,7.25,3.6,5.283333333333333,5.283333333333333
9000137,4.6,8.25,3.4,5.416666666666667,5.416666666666667
9000138,6.8,6.75,4.8,6.116666666666667,6.116666666666667
9000139,6.4,7.75,3.4,5.8500000000000005,5.8500000000000005
9000140,6.0,7.5,3.8,5.766666666666667,5.766666666666667
9000141,8.0,7.25,3.4,6.216666666666666,6.216666666666666
9000142,5.2,8.5,4.2,5.966666666666666,5.966666666666666
9000143,7.2,8.0,2.6,5.933333333333334,5.933333333333334
9000144,5.0,7.75,3.0,5.25,5.25
9000145,3.6,8.0,1.8,4.466666666666667,4.466666666666667
9000146,4.6,8.25,3.6,5.483333333333333,5.483333333333333
9000147,5.6,7.5,4.8,5.966666666666666,5.966666666666666
9000148,4.2,7.25,3.2,4.883333333333333,4.883333333333333
9000149,4.8,6.75,3.8,5.116666666666667,5.116666666666667
