SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
46000001,4.6,5.25,4.0,4.616666666666666,4.616666666666666
46000002,4.4,5.0,3.6,4.333333333333333,4.333333333333333
46000003,7.0,6.75,8.4,7.383333333333333,7.383333333333333
46000004,6.2,7.0,7.0,6.733333333333333,6.733333333333333
46000005,4.2,4.0,4.0,4.066666666666666,4.066666666666666
46000006,5.8,6.0,7.4,6.400000000000001,6.400000000000001
46000007,6.6,6.25,7.8,6.883333333333333,6.883333333333333
46000008,4.4,5.25,2.4,4.016666666666667,4.016666666666667
46000009,7.2,6.0,6.2,6.466666666666666,6.466666666666666
46000010,5.2,5.75,2.0,4.316666666666666,4.316666666666666
46000011,4.8,5.75,3.4,4.65,4.65
46000012,6.2,8.25,5.8,6.75,6.75
46000013,5.4,5.25,3.4,4.683333333333334,4.683333333333334
46000014,5.4,6.0,3.8,5.066666666666666,5.066666666666666
46000015,4.0,5.0,2.6,3.8666666666666663,3.8666666666666667
46000016,4.6,4.25,5.0,4.616666666666666,4.616666666666666
46000017,6.0,5.0,3.4,4.8,4.8
46000018,6.4,6.0,4.2,5.533333333333334,5.533333333333334
46000019,5.6,6.25,9.6,7.15,7.1499999999999995
46000020,7.4,7.25,8.4,7.683333333333334,7.683333333333334
46000021,6.2,6.5,7.4,6.7,6.7
46000022,6.4,5.75,7.0,6.383333333333333,6.383333333333333
46000023,3.6,5.25,2.4,3.75,3.75
46000024,6.0,6.25,3.4,5.216666666666667,5.216666666666667
46000025,6.0,6.25,5.2,5.816666666666666,5.816666666666666
46000026,5.6,2.75,7.6,5.316666666666666,5.316666666666666
46000027,6.2,7.5,5.8,6.5,6.5
46000028,7.0,4.75,3.8,5.183333333333334,5.183333333333334
46000029,5.0,6.25,5.4,5.55,5.55
46000030,7.0,6.75,8.8,7.516666666666667,7.516666666666667
46000031,4.2,6.0,2.8,4.333333333333333,4.333333333333333
46000032,6.4,4.75,4.4,5.183333333333334,5.183333333333334
46000033,4.0,2.5,1.8,2.766666666666667,2.766666666666667
46000034,6.8,6.5,7.6,6.966666666666666,6.966666666666666
46000035,8.2,4.0,4.4,5.533333333333334,5.533333333333334
46000036,3.8,4.75,3.4,3.983333333333334,3.983333333333334
46000037,7.2,8.0,6.8,7.333333333333333,7.333333333333333
46000038,6.4,5.25,5.2,5.616666666666667,5.616666666666667
46000039,7.0,4.75,4.0,5.25,5.25
46000040,5.4,5.75,5.2,5.45,5.45
46000041,5.2,5.0,1.8,4.0,4.0
46000042,8.2,6.5,7.2,7.3,7.3
46000043,5.0,4.0,2.2,3.733333333333333,3.733333333333333
