SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
40000001,6.0,5.25,4.0,5.083333333333333,5.083333333333333
40000002,5.8,5.0,3.2,4.666666666666667,4.666666666666667
40000003,2.2,3.75,3.0,2.983333333333333,2.983333333333333
40000004,3.4,4.5,2.6,3.5,3.5
40000005,6.0,6.0,6.2,6.066666666666666,6.066666666666666
40000006,6.6,6.0,4.4,5.666666666666667,5.666666666666667
40000007,4.8,4.5,3.0,4.1000000000000005,4.1000000000000005
40000008,3.8,5.25,3.0,4.016666666666667,4.016666666666667
40000009,3.6,5.5,2.2,3.766666666666667,3.766666666666667
40000010,3.8,6.5,3.0,4.433333333333334,4.433333333333334
40000011,3.6,2.5,2.6,2.9,2.9
40000012,5.4,5.25,1.8,4.15,4.15
40000013,4.2,6.5,4.6,5.1,5.1
40000014,5.8,6.0,4.2,5.333333333333333,5.333333333333333
40000015,5.0,6.25,3.6,4.95,4.95
40000016,4.2,7.5,3.4,5.033333333333333,5.033333333333333
40000017,5.2,8.5,4.6,6.099999999999999,6.099999999999999
40000018,5.6,6.5,2.2,4.766666666666667,4.766666666666667
40000019,4.4,3.5,2.6,3.5,3.5
40000020,3.0,5.0,2.4,3.466666666666667,3.466666666666667
40000021,7.6,7.0,4.2,6.266666666666667,6.266666666666667
40000022,4.8,5.5,3.4,4.566666666666667,4.566666666666667
40000023,3.2,5.25,3.6,4.016666666666667,4.016666666666667
40000024,6.6,7.25,7.4,7.083333333333333,7.083333333333333
40000025,4.0,6.5,3.4,4.633333333333334,4.633333333333334
40000026,4.6,7.5,4.8,5.633333333333333,5.633333333333333
40000027,4.4,5.5,3.6,4.5,4.5
40000028,4.0,4.75,2.2,3.65,3.65
40000029,5.8,5.0,3.0,4.6000000000000005,4.6000000000000005
40000030,2.6,4.75,2.4,3.25,3.25
40000031,4.6,5.0,2.6,4.066666666666666,4.066666666666666
40000032,4.6,5.25,2.4,4.083333333333333,4.083333333333333
40000034,4.0,5.25,2.6,3.95,3.9499999999999997
40000035,2.8,4.0,3.0,3.266666666666667,3.266666666666667
40000036,3.0,3.5,3.2,3.233333333333333,3.233333333333333
40000037,6.4,6.75,3.8,5.65,5.6499999999999995
40000038,2.4,3.5,2.2,2.7000000000000006,2.7000000000000006
40000039,3.2,4.0,3.6,3.6,3.6
40000040,3.2,6.25,2.2,3.883333333333333,3.883333333333333
40000041,4.0,5.25,3.0,4.083333333333333,4.083333333333333
40000043,4.2,3.25,0.8,2.75,2.75
40000045,3.8,3.0,3.2,3.333333333333333,3.3333333333333335
40000046,6.2,8.5,3.4,6.033333333333332,6.033333333333332
40000047,1.8,2.0,2.8,2.2,2.1999999999999997
40000048,4.6,4.0,3.8,4.133333333333333,4.133333333333333
40000049,3.4,4.0,2.2,3.2000000000000006,3.2000000000000006
40000050,2.6,5.75,2.4,3.583333333333333,3.5833333333333335
40000051,4.8,7.5,2.2,4.833333333333333,4.833333333333333
40000052,4.0,3.5,2.0,3.1666666666666665,3.1666666666666665
40000053,4.4,7.0,5.8,5.733333333333333,5.733333333333333
40000054,5.8,7.25,5.2,6.083333333333333,6.083333333333333
40000055,3.8,7.0,4.0,4.933333333333334,4.933333333333334
40000056,5.2,6.0,3.8,5.0,5.0
40000057,2.8,5.5,1.8,3.366666666666667,3.366666666666667
40000058,3.0,3.5,2.4,2.966666666666667,2.966666666666667
40000059,4.0,4.25,2.8,3.6833333333333336,3.6833333333333336
40000060,7.4,5.25,3.2,5.283333333333334,5.283333333333334
40000061,4.6,6.5,2.6,4.566666666666666,4.566666666666666
40000062,5.4,4.75,2.8,4.316666666666666,4.316666666666666
40000063,3.2,3.0,3.0,3.0666666666666664,3.0666666666666664
40000064,5.6,5.5,3.4,4.833333333333333,4.833333333333333
40000065,5.4,6.5,5.6,5.833333333333333,5.833333333333333
40000066,3.0,3.0,3.4,3.1333333333333333,3.1333333333333333
40000067,2.6,2.5,3.4,2.833333333333333,2.8333333333333335
40000068,3.8,5.25,1.4,3.483333333333334,3.483333333333334
40000069,5.6,5.5,1.6,4.233333333333333,4.233333333333333
40000070,4.0,7.25,3.0,4.75,4.75
40000071,7.6,7.5,3.6,6.233333333333333,6.233333333333333
40000072,5.4,6.5,2.2,4.7,4.7
40000073,6.0,6.0,3.4,5.133333333333334,5.133333333333334
40000074,2.4,7.0,3.0,4.133333333333334,4.133333333333334
40000076,4.6,5.0,2.8,4.133333333333333,4.133333333333333
40000077,3.4,7.25,2.8,4.483333333333333,4.483333333333333
40000078,3.0,5.75,3.2,3.983333333333333,3.983333333333333
40000080,2.4,2.25,1.4,2.016666666666667,2.016666666666667
40000081,3.0,4.75,2.4,3.3833333333333333,3.3833333333333333
40000082,6.0,6.75,4.6,5.783333333333334,5.783333333333334
40000083,3.0,3.25,3.4,3.216666666666667,3.216666666666667
40000084,3.4,5.25,3.4,4.016666666666667,4.016666666666667
40000085,7.6,6.0,4.2,5.933333333333334,5.933333333333334
40000086,3.2,4.0,3.2,3.466666666666667,3.466666666666667
40000087,6.0,7.5,4.4,5.966666666666666,5.966666666666666
40000088,5.0,2.5,2.8,3.4333333333333336,3.4333333333333336
40000089,6.2,5.25,6.4,5.95,5.95
40000090,3.4,2.5,3.2,3.0333333333333337,3.0333333333333337
40000091,3.4,4.0,2.4,3.266666666666667,3.266666666666667
40000092,4.2,7.0,3.2,4.8,4.8
40000093,2.6,5.0,3.0,3.533333333333333,3.533333333333333
40000094,5.4,8.25,4.2,5.95,5.95
40000095,6.6,8.25,6.0,6.95,6.95
40000096,3.4,6.5,3.0,4.3,4.3
40000097,3.2,6.5,2.0,3.9,3.9
40000098,2.8,4.5,2.8,3.3666666666666667,3.3666666666666667
40000099,5.2,4.25,2.0,3.8166666666666655,3.8166666666666664
40000100,5.0,6.0,4.4,5.133333333333334,5.133333333333334
40000101,2.8,4.25,3.0,3.35,3.35
40000103,4.4,7.0,4.4,5.266666666666667,5.266666666666667
40000104,2.8,4.0,3.2,3.333333333333333,3.3333333333333335
40000105,3.2,6.0,2.0,3.733333333333333,3.733333333333333
40000106,5.0,6.75,1.6,4.45,4.45
40000107,3.2,6.0,2.4,3.8666666666666663,3.8666666666666667
40000108,2.6,5.75,3.8,4.05,4.05
40000109,2.0,4.0,3.2,3.0666666666666664,3.0666666666666664
40000110,2.8,5.5,2.2,3.5,3.5
40000111,3.2,5.5,2.6,3.766666666666666,3.766666666666666
40000112,2.8,6.25,3.6,4.216666666666667,4.216666666666667
40000113,6.2,7.75,6.4,6.783333333333334,6.783333333333334
40000114,4.4,6.5,2.8,4.566666666666666,4.566666666666666
40000115,4.6,5.5,3.2,4.433333333333334,4.433333333333334
40000116,5.2,5.25,2.4,4.283333333333333,4.283333333333333
40000117,4.6,5.5,3.8,4.633333333333333,4.633333333333333
40000118,3.8,5.75,3.0,4.183333333333334,4.183333333333334
40000119,4.6,4.0,1.4,3.333333333333333,3.3333333333333335
40000120,3.8,5.5,3.2,4.166666666666667,4.166666666666667
40000121,4.2,6.0,2.6,4.266666666666667,4.266666666666667
40000122,5.8,6.25,3.2,5.083333333333333,5.083333333333333
40000123,2.8,6.0,3.2,4.0,4.0
40000124,6.6,6.5,3.0,5.366666666666667,5.366666666666667
40000125,6.2,6.75,4.0,5.65,5.6499999999999995
40000126,5.2,7.0,3.4,5.2,5.2
40000127,6.4,4.5,3.4,4.766666666666667,4.766666666666667
40000128,5.6,7.25,4.2,5.683333333333334,5.683333333333334
40000129,7.0,7.0,4.6,6.2,6.2
40000130,5.6,6.75,2.8,5.05,5.05
40000131,2.6,5.5,1.6,3.233333333333333,3.233333333333333
40000132,3.0,2.75,2.6,2.783333333333333,2.783333333333333
40000133,6.0,6.25,3.4,5.216666666666667,5.216666666666667
40000134,4.2,6.75,2.8,4.583333333333333,4.583333333333333
40000135,5.0,6.5,3.8,5.1000000000000005,5.1000000000000005
40000136,5.0,5.25,2.4,4.216666666666667,4.216666666666667
40000137,5.6,6.5,2.2,4.766666666666667,4.766666666666667
