SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
10000001,5.4,5.0,4.4,4.933333333333334,4.933333333333334
10000002,7.2,6.25,5.4,6.283333333333334,6.283333333333334
10000003,7.2,5.25,4.2,5.55,5.55
10000004,7.6,7.5,9.6,8.233333333333333,8.233333333333333
10000005,7.2,5.25,9.4,7.283333333333334,7.283333333333334
10000008,3.2,7.5,9.0,6.566666666666666,6.566666666666666
10000009,7.0,7.5,8.4,7.633333333333333,7.633333333333333
10000010,8.2,6.5,8.8,7.833333333333333,7.833333333333333
10000012,8.0,7.0,7.2,7.399999999999999,7.3999999999999995
10000013,8.2,5.0,5.4,6.2,6.2
10000014,8.2,7.5,8.0,7.899999999999999,7.8999999999999995
10000015,7.4,7.0,7.0,7.133333333333333,7.133333333333333
10000016,5.8,2.5,5.2,4.5,4.5
10000017,5.4,6.0,3.0,4.8,4.8
10000018,5.8,7.5,4.6,5.966666666666666,5.966666666666666
10000019,9.4,6.5,6.0,7.3,7.3
10000020,6.4,5.5,3.6,5.166666666666667,5.166666666666667
10000024,3.4,7.5,3.6,4.833333333333333,4.833333333333333
10000025,7.8,6.25,9.0,7.683333333333334,7.683333333333334
10000027,5.2,7.25,7.8,6.75,6.75
10000028,6.8,4.5,6.4,5.900000000000001,5.900000000000001
10000029,7.0,5.5,5.4,5.966666666666666,5.966666666666666
10000031,5.2,7.5,5.2,5.966666666666666,5.966666666666666
10000032,7.4,6.0,4.8,6.066666666666666,6.066666666666666
10000033,5.0,7.0,9.4,7.133333333333333,7.133333333333333
10000035,6.6,7.25,8.6,7.483333333333333,7.483333333333333
10000036,7.8,4.25,8.4,6.816666666666667,6.816666666666667
10000037,8.8,5.5,2.8,5.7,5.7
10000043,7.8,3.75,8.8,6.783333333333334,6.783333333333334
10000044,6.0,7.5,4.4,5.966666666666666,5.966666666666666
10000045,7.0,6.0,5.4,6.133333333333333,6.133333333333333
10000046,8.8,6.25,6.4,7.150000000000001,7.150000000000001
