SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
47000001,6.2,6.25,4.4,5.616666666666667,5.616666666666667
47000002,8.0,5.0,6.8,6.6000000000000005,6.6000000000000005
47000003,7.4,6.5,6.0,6.633333333333333,6.633333333333333
47000004,7.4,7.0,6.4,6.933333333333334,6.933333333333334
47000005,5.8,3.5,3.4,4.233333333333333,4.233333333333333
47000006,7.6,5.25,5.4,6.083333333333333,6.083333333333333
47000007,7.6,4.25,6.4,6.083333333333333,6.083333333333333
47000008,7.0,4.75,5.4,5.716666666666666,5.716666666666666
47000009,7.0,6.25,5.6,6.283333333333334,6.283333333333334
47000010,5.0,5.25,8.2,6.15,6.1499999999999995
47000011,7.2,4.5,7.4,6.366666666666667,6.366666666666667
47000012,7.2,7.25,8.0,7.483333333333333,7.483333333333333
47000013,5.0,6.0,7.8,6.266666666666667,6.266666666666667
47000014,6.8,4.75,7.0,6.183333333333334,6.183333333333334
47000015,7.8,5.25,7.4,6.816666666666667,6.816666666666667
47000016,8.0,4.75,6.2,6.316666666666666,6.316666666666666
47000017,4.0,6.0,4.0,4.666666666666667,4.666666666666667
47000018,7.6,6.75,8.0,7.45,7.45
47000019,7.4,4.5,4.4,5.433333333333334,5.433333333333334
47000020,7.4,5.25,5.6,6.083333333333333,6.083333333333333
47000023,7.6,6.25,3.8,5.883333333333333,5.883333333333333
47000024,5.8,5.0,5.8,5.533333333333334,5.533333333333334
47000025,8.0,5.25,5.2,6.15,6.1499999999999995
47000026,7.2,5.5,7.6,6.766666666666666,6.766666666666666
47000027,6.8,5.75,6.6,6.383333333333333,6.383333333333333
47000028,5.8,6.0,5.2,5.666666666666667,5.666666666666667
47000030,6.4,6.5,6.4,6.433333333333334,6.433333333333334
47000031,5.6,5.0,6.4,5.666666666666667,5.666666666666667
47000032,4.8,6.25,2.2,4.416666666666667,4.416666666666667
47000033,5.8,5.0,5.2,5.333333333333333,5.333333333333333
47000034,6.2,5.0,5.0,5.4,5.3999999999999995
47000035,7.8,4.75,7.2,6.583333333333333,6.583333333333333
47000036,7.0,5.75,5.4,6.05,6.05
47000037,7.6,7.25,5.2,6.683333333333334,6.683333333333334
47000038,7.2,5.25,6.6,6.349999999999999,6.349999999999999
47000039,7.2,6.75,7.6,7.183333333333333,7.183333333333333
