SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
43000001,6.0,6.25,5.0,5.75,5.75
43000002,7.6,6.5,3.2,5.766666666666667,5.766666666666667
43000003,8.2,7.5,5.6,7.099999999999999,7.099999999999999
43000004,6.8,7.5,6.6,6.966666666666666,6.966666666666666
43000005,6.6,5.75,2.4,4.916666666666667,4.916666666666667
43000006,4.4,5.5,4.2,4.7,4.7
43000007,6.8,6.75,6.4,6.650000000000001,6.650000000000001
43000008,6.6,5.75,5.4,5.916666666666667,5.916666666666667
43000009,6.6,5.75,4.2,5.516666666666667,5.516666666666667
43000010,7.0,6.5,4.6,6.033333333333334,6.033333333333334
43000011,7.6,4.5,5.2,5.766666666666667,5.766666666666667
43000012,8.6,7.0,6.6,7.399999999999999,7.3999999999999995
43000013,9.0,6.75,7.2,7.649999999999999,7.6499999999999995
43000014,4.6,5.0,3.4,4.333333333333333,4.333333333333333
43000015,9.0,6.0,6.0,7.0,7.0
43000016,7.6,6.25,3.2,5.683333333333334,5.683333333333334
43000017,6.8,6.25,5.4,6.150000000000001,6.150000000000001
43000018,7.2,7.0,4.8,6.333333333333333,6.333333333333333
43000019,6.6,7.0,3.6,5.733333333333333,5.733333333333333
43000020,7.4,6.0,6.4,6.6000000000000005,6.6000000000000005
43000021,7.2,7.0,4.2,6.133333333333333,6.133333333333333
43000022,9.0,8.0,5.0,7.333333333333333,7.333333333333333
43000023,8.0,6.5,6.0,6.833333333333333,6.833333333333333
43000024,6.0,6.5,3.0,5.166666666666667,5.166666666666667
43000025,7.4,6.0,4.8,6.066666666666666,6.066666666666666
43000026,5.8,6.5,2.2,4.833333333333333,4.833333333333333
43000027,7.4,6.5,2.2,5.366666666666667,5.366666666666667
43000028,9.0,4.75,9.4,7.716666666666666,7.716666666666666
43000029,7.8,6.75,5.0,6.516666666666667,6.516666666666667
43000030,8.2,7.0,8.4,7.866666666666667,7.866666666666667
43000031,6.0,6.75,3.8,5.516666666666667,5.516666666666667
43000032,7.6,7.5,7.0,7.366666666666667,7.366666666666667
43000033,7.0,7.25,3.4,5.883333333333333,5.883333333333333
43000034,7.2,6.5,4.4,6.033333333333334,6.033333333333334
43000035,8.2,7.0,4.0,6.4,6.3999999999999995
