SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
18000001,5.8,6.0,3.0,4.933333333333334,4.933333333333334
18000002,5.8,4.75,3.0,4.516666666666667,4.516666666666667
18000003,5.8,4.5,3.2,4.5,4.5
18000004,3.4,5.75,2.0,3.716666666666667,3.716666666666667
18000005,7.8,6.25,6.4,6.816666666666667,6.816666666666667
18000006,7.4,5.25,3.8,5.483333333333333,5.483333333333333
18000007,6.6,5.5,4.8,5.633333333333333,5.633333333333333
18000009,6.0,6.25,3.6,5.283333333333333,5.283333333333333
18000010,6.2,4.5,3.6,4.766666666666667,4.766666666666667
18000012,7.2,6.5,4.4,6.033333333333334,6.033333333333334
18000014,5.4,5.0,2.2,4.2,4.2
18000015,6.8,6.5,5.6,6.3,6.3
18000016,6.6,6.5,5.6,6.233333333333333,6.233333333333333
18000017,3.8,7.0,2.6,4.466666666666667,4.466666666666667
18000018,7.6,7.25,3.8,6.216666666666666,6.216666666666666
18000019,6.2,7.25,1.8,5.083333333333333,5.083333333333333
18000020,6.6,7.5,4.8,6.3,6.3
18000021,5.0,7.0,2.2,4.733333333333333,4.733333333333333
18000023,6.2,5.75,4.2,5.383333333333333,5.383333333333333
18000025,5.6,5.5,3.0,4.7,4.7
18000027,6.6,5.0,2.6,4.733333333333333,4.733333333333333
18000028,9.0,6.0,4.4,6.466666666666666,6.466666666666666
18000029,6.0,5.5,3.6,5.033333333333333,5.033333333333333
18000030,6.4,5.5,4.4,5.433333333333334,5.433333333333334
18000031,8.6,6.0,3.6,6.066666666666666,6.066666666666666
18000033,7.4,6.5,5.6,6.5,6.5
18000034,6.2,6.5,3.6,5.433333333333334,5.433333333333334
18000035,6.0,6.25,2.8,5.016666666666667,5.016666666666667
18000037,8.0,4.5,2.6,5.033333333333333,5.033333333333333
18000038,8.0,6.0,3.2,5.733333333333333,5.733333333333333
18000039,5.2,6.25,3.6,5.016666666666667,5.016666666666667
18000040,8.6,7.0,3.2,6.266666666666667,6.266666666666667
18000041,4.0,7.5,4.2,5.233333333333333,5.233333333333333
18000042,5.2,4.5,2.4,4.033333333333333,4.033333333333333
18000044,5.2,6.0,4.4,5.2,5.2
18000045,5.4,5.0,3.0,4.466666666666667,4.466666666666667
18000050,4.2,6.25,3.4,4.616666666666666,4.616666666666666
18000051,6.8,6.0,4.0,5.6000000000000005,5.6000000000000005
18000052,8.4,4.0,3.8,5.4,5.3999999999999995
18000054,4.4,6.0,2.8,4.4,4.3999999999999995
18000055,9.6,5.75,6.8,7.383333333333333,7.383333333333333
18000056,8.4,5.75,7.6,7.25,7.25
18000057,7.8,4.75,3.6,5.383333333333334,5.383333333333334
18000060,6.0,4.5,4.0,4.833333333333333,4.833333333333333
18000062,4.4,6.5,3.0,4.633333333333334,4.633333333333334
18000063,7.0,5.75,3.4,5.383333333333333,5.383333333333333
18000064,3.8,4.0,3.8,3.8666666666666663,3.8666666666666667
18000065,5.8,7.0,6.0,6.266666666666667,6.266666666666667
18000066,6.0,5.25,3.8,5.016666666666667,5.016666666666667
18000067,6.8,6.0,4.0,5.6000000000000005,5.6000000000000005
18000070,7.8,5.75,4.0,5.8500000000000005,5.8500000000000005
18000071,7.6,5.5,3.0,5.366666666666667,5.366666666666667
18000076,4.8,4.5,3.0,4.1000000000000005,4.1000000000000005
18000077,7.2,5.25,2.6,5.016666666666667,5.016666666666667
18000078,5.2,5.75,1.8,4.25,4.25
18000079,5.8,6.0,4.2,5.333333333333333,5.333333333333333
18000080,8.0,5.25,5.2,6.15,6.1499999999999995
18000081,9.0,5.5,3.2,5.9,5.8999999999999995
18000082,6.8,7.25,3.2,5.75,5.75
18000083,5.6,5.5,3.8,4.966666666666666,4.966666666666666
18000084,5.4,5.5,2.0,4.3,4.3
18000086,4.2,6.0,2.6,4.266666666666667,4.266666666666667
18000087,7.2,5.5,3.6,5.433333333333334,5.433333333333334
18000088,4.4,7.5,2.2,4.7,4.7
18000089,8.2,7.0,5.2,6.8,6.8
18000092,7.2,7.25,3.6,6.016666666666667,6.016666666666667
18000093,7.0,6.75,4.0,5.916666666666667,5.916666666666667
18000096,6.4,6.0,4.4,5.6000000000000005,5.6000000000000005
18000097,8.6,6.75,6.8,7.383333333333333,7.383333333333333
18000099,4.2,4.0,2.6,3.6,3.5999999999999996
18000100,8.8,5.25,2.0,5.3500000000000005,5.3500000000000005
18000102,6.2,6.0,3.0,5.066666666666666,5.066666666666666
18000103,6.4,5.5,5.0,5.633333333333333,5.633333333333333
18000106,7.6,5.75,3.2,5.516666666666667,5.516666666666667
18000107,5.4,5.0,3.6,4.666666666666667,4.666666666666667
18000108,9.2,5.5,4.0,6.233333333333333,6.233333333333333
18000109,7.0,4.75,4.6,5.45,5.45
18000111,6.8,5.25,4.0,5.3500000000000005,5.3500000000000005
18000112,9.6,5.0,4.4,6.333333333333333,6.333333333333333
18000113,6.0,5.75,4.0,5.25,5.25
18000115,5.2,5.0,3.8,4.666666666666667,4.666666666666667
18000116,8.0,6.0,4.6,6.2,6.2
18000117,7.2,6.5,3.8,5.833333333333333,5.833333333333333
18000119,4.2,3.75,2.8,3.583333333333333,3.5833333333333335
18000120,6.2,5.5,4.0,5.233333333333333,5.233333333333333
18000121,6.8,6.0,3.0,5.266666666666667,5.266666666666667
18000123,6.8,6.25,2.8,5.283333333333334,5.283333333333334
18000124,7.0,6.0,4.4,5.8,5.8
18000125,7.6,6.0,3.8,5.8,5.8
18000126,6.2,6.0,3.8,5.333333333333333,5.333333333333333
18000127,9.0,7.5,8.2,8.233333333333333,8.233333333333333
18000128,5.8,6.25,4.6,5.55,5.55
18000129,5.2,6.75,3.6,5.183333333333333,5.183333333333333
18000130,5.2,6.0,5.0,5.4,5.3999999999999995
18000131,5.2,4.0,3.4,4.2,4.2
18000132,6.4,5.5,3.8,5.233333333333333,5.233333333333333
18000133,4.8,5.75,2.8,4.45,4.45
18000137,7.2,8.0,4.4,6.533333333333334,6.533333333333334
18000138,5.2,6.5,3.0,4.9,4.8999999999999995
18000139,7.4,7.0,4.8,6.4,6.3999999999999995
18000141,8.8,7.25,7.8,7.95,7.95
18000142,6.8,6.25,4.4,5.816666666666667,5.816666666666667
18000143,6.6,6.5,3.2,5.433333333333334,5.433333333333334
18000144,7.6,7.0,7.4,7.333333333333333,7.333333333333333
18000145,7.4,6.25,5.4,6.3500000000000005,6.3500000000000005
18000146,7.2,6.25,4.0,5.816666666666666,5.816666666666666
18000149,4.4,5.0,3.2,4.2,4.2
18000150,9.4,7.25,5.8,7.483333333333333,7.483333333333333
18000151,5.4,5.75,3.4,4.8500000000000005,4.8500000000000005
18000152,7.4,6.75,2.8,5.65,5.6499999999999995
18000153,8.4,8.5,5.8,7.566666666666666,7.566666666666666
18000154,3.4,5.5,2.4,3.766666666666667,3.766666666666667
18000157,5.6,3.5,2.0,3.7,3.6999999999999997
18000158,7.8,5.5,4.2,5.833333333333333,5.833333333333333
18000161,7.2,8.5,5.8,7.166666666666667,7.166666666666667
18000162,8.2,6.25,6.4,6.95,6.95
18000163,7.2,6.0,3.2,5.466666666666666,5.466666666666666
18000164,6.6,6.75,4.0,5.783333333333334,5.783333333333334
18000166,8.6,5.0,5.2,6.266666666666667,6.266666666666667
18000167,6.8,6.0,3.8,5.533333333333334,5.533333333333334
18000168,5.4,5.75,2.8,4.65,4.6499999999999995
18000169,6.2,5.75,2.0,4.65,4.6499999999999995
18000170,5.8,5.0,3.2,4.666666666666667,4.666666666666667
18000171,6.0,5.75,2.0,4.583333333333333,4.583333333333333
18000172,5.4,5.25,4.4,5.016666666666667,5.016666666666667
18000173,8.4,5.0,6.6,6.666666666666667,6.666666666666667
18000174,6.4,6.5,4.0,5.633333333333333,5.633333333333333
18000175,8.2,5.5,4.2,5.966666666666666,5.966666666666666
18000176,6.8,7.25,4.4,6.150000000000001,6.150000000000001
18000177,7.8,6.0,4.4,6.066666666666667,6.066666666666667
18000178,4.8,6.25,3.2,4.75,4.75
18000179,7.2,7.25,6.8,7.083333333333333,7.083333333333333
18000180,7.0,7.0,4.0,6.0,6.0
18000181,4.8,4.5,4.0,4.433333333333334,4.433333333333334
18000183,4.8,6.0,2.8,4.533333333333334,4.533333333333334
18000184,6.0,6.0,3.4,5.133333333333334,5.133333333333334
18000185,7.8,7.25,4.4,6.483333333333334,6.483333333333334
18000186,6.6,6.25,4.4,5.75,5.75
18000187,7.0,7.25,5.2,6.483333333333333,6.483333333333333
18000188,7.0,6.0,3.2,5.4,5.3999999999999995
18000189,4.6,4.0,3.2,3.9333333333333336,3.9333333333333336
18000191,6.6,6.0,3.6,5.4,5.3999999999999995
18000193,4.0,6.0,3.8,4.6000000000000005,4.6000000000000005
18000194,9.4,5.0,4.2,6.2,6.2
18000196,9.6,6.0,3.8,6.466666666666666,6.466666666666666
18000197,7.6,7.5,3.8,6.3,6.3
18000198,9.0,6.5,5.4,6.966666666666666,6.966666666666666
18000199,7.0,8.5,4.6,6.7,6.7
18000200,6.2,7.0,4.2,5.8,5.8
18000201,6.8,5.5,2.6,4.966666666666667,4.966666666666667
18000202,5.6,6.25,1.2,4.35,4.35
18000204,7.8,6.75,4.2,6.25,6.25
18000205,7.2,6.0,3.6,5.6000000000000005,5.6000000000000005
18000206,7.0,5.5,4.2,5.566666666666666,5.566666666666666
18000209,6.8,7.0,3.0,5.6000000000000005,5.6000000000000005
18000210,7.0,5.75,3.4,5.383333333333333,5.383333333333333
18000211,7.4,6.5,4.4,6.1000000000000005,6.1000000000000005
18000215,4.8,6.0,1.6,4.133333333333334,4.133333333333334
18000216,9.2,7.5,9.2,8.633333333333333,8.633333333333333
18000218,8.2,5.25,4.8,6.083333333333333,6.083333333333333
18000220,5.8,6.0,2.0,4.6000000000000005,4.6000000000000005
18000221,8.2,6.25,4.8,6.416666666666667,6.416666666666667
18000222,7.4,6.75,2.4,5.516666666666667,5.516666666666667
18000223,7.4,4.75,3.4,5.183333333333334,5.183333333333334
18000224,5.6,5.0,5.2,5.266666666666667,5.266666666666667
18000225,8.6,5.0,3.2,5.6000000000000005,5.6000000000000005
18000226,5.2,5.75,6.4,5.783333333333334,5.783333333333334
18000227,4.0,5.5,2.6,4.033333333333333,4.033333333333333
18000229,7.2,6.25,3.8,5.75,5.75
18000233,8.4,6.0,3.8,6.066666666666666,6.066666666666666
18000234,4.6,6.5,4.0,5.033333333333333,5.033333333333333
18000235,6.2,7.25,4.4,5.95,5.95
18000236,6.4,6.75,5.6,6.25,6.25
