SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
39000001,9.8,6.0,4.0,6.6000000000000005,6.6000000000000005
39000002,8.2,6.5,4.4,6.366666666666667,6.366666666666667
39000003,8.4,6.75,3.2,6.116666666666667,6.116666666666667
39000004,6.0,5.25,3.4,4.883333333333334,4.883333333333334
39000005,8.4,7.5,5.8,7.233333333333333,7.233333333333333
39000006,5.8,5.0,2.2,4.333333333333333,4.333333333333333
39000007,4.2,6.5,2.2,4.3,4.3
39000008,4.8,6.0,2.6,4.466666666666667,4.466666666666667
39000009,5.4,6.75,4.2,5.45,5.45
39000010,7.6,7.75,6.0,7.116666666666667,7.116666666666667
39000011,5.6,6.5,3.4,5.166666666666667,5.166666666666667
39000012,7.8,6.5,5.0,6.433333333333334,6.433333333333334
39000013,3.0,4.5,3.2,3.5666666666666664,3.5666666666666664
39000014,2.2,2.75,4.0,2.983333333333333,2.983333333333333
39000015,8.8,7.75,2.6,6.383333333333334,6.383333333333334
39000016,1.8,4.25,2.6,2.8833333333333333,2.8833333333333333
39000017,9.2,6.0,6.2,7.133333333333333,7.133333333333333
39000018,5.0,6.0,2.6,4.533333333333333,4.533333333333333
39000019,6.2,8.0,5.6,6.599999999999999,6.599999999999999
39000020,8.2,7.5,5.8,7.166666666666667,7.166666666666667
39000021,8.6,7.75,4.6,6.983333333333334,6.983333333333334
39000022,5.8,3.5,3.2,4.166666666666667,4.166666666666667
39000023,7.0,6.25,3.0,5.416666666666667,5.416666666666667
39000024,6.8,6.25,3.8,5.616666666666667,5.616666666666667
39000025,3.6,2.0,2.8,2.7999999999999994,2.7999999999999994
39000026,6.4,5.25,2.4,4.683333333333334,4.683333333333334
39000027,4.6,3.25,3.4,3.75,3.75
39000028,7.4,6.25,3.2,5.616666666666667,5.616666666666667
39000029,7.2,6.5,4.0,5.9,5.8999999999999995
39000030,9.0,6.0,5.6,6.866666666666667,6.866666666666667
39000031,5.2,7.0,3.4,5.2,5.2
39000032,8.4,7.75,5.2,7.116666666666666,7.116666666666666
39000033,7.6,8.0,4.8,6.8,6.8
39000034,6.0,6.25,3.6,5.283333333333333,5.283333333333333
39000035,9.2,7.0,7.8,8.0,8.0
39000036,6.6,7.0,3.8,5.8,5.8
39000037,4.8,6.75,2.6,4.716666666666667,4.716666666666667
39000038,9.0,6.75,6.6,7.45,7.45
39000039,5.2,6.5,3.2,4.966666666666666,4.966666666666666
39000040,4.8,6.75,3.4,4.983333333333333,4.983333333333333
39000041,6.0,4.25,3.6,4.616666666666666,4.616666666666666
39000042,5.4,5.25,2.6,4.416666666666667,4.416666666666667
39000043,6.6,6.5,1.8,4.966666666666667,4.966666666666667
39000044,4.6,4.75,3.6,4.316666666666666,4.316666666666666
39000045,9.4,7.75,8.0,8.383333333333333,8.383333333333333
39000046,7.0,6.0,4.8,5.933333333333334,5.933333333333334
39000047,4.0,6.0,1.8,3.9333333333333336,3.9333333333333336
39000048,7.6,7.5,6.2,7.1000000000000005,7.1000000000000005
39000049,5.2,6.5,3.8,5.166666666666667,5.166666666666667
39000050,6.2,5.5,3.0,4.9,4.8999999999999995
39000051,6.6,5.25,2.8,4.883333333333333,4.883333333333333
39000052,4.0,5.0,3.4,4.133333333333334,4.133333333333334
39000053,5.4,6.75,2.8,4.983333333333333,4.983333333333333
39000054,9.0,3.5,4.2,5.566666666666666,5.566666666666666
39000055,8.2,6.5,6.2,6.966666666666666,6.966666666666666
39000056,7.2,6.0,4.2,5.8,5.8
39000057,6.6,6.5,6.2,6.433333333333334,6.433333333333334
39000058,7.6,5.0,4.2,5.6000000000000005,5.6000000000000005
39000059,6.8,5.25,5.6,5.883333333333333,5.883333333333333
39000060,4.2,4.5,5.4,4.7,4.7
39000061,8.6,5.5,5.2,6.433333333333334,6.433333333333334
39000062,6.6,6.5,1.8,4.966666666666667,4.966666666666667
39000063,6.4,5.5,3.8,5.233333333333333,5.233333333333333
39000064,7.2,6.75,5.0,6.316666666666666,6.316666666666666
39000065,8.4,6.75,7.4,7.516666666666667,7.516666666666667
39000066,6.2,6.0,3.0,5.066666666666666,5.066666666666666
39000067,7.6,5.75,3.4,5.583333333333333,5.583333333333333
39000068,6.0,6.75,5.4,6.05,6.05
39000069,8.2,4.75,5.0,5.983333333333333,5.983333333333333
39000070,8.2,6.5,6.6,7.099999999999999,7.099999999999999
39000071,5.6,6.25,3.6,5.15,5.1499999999999995
39000072,3.4,6.0,2.2,3.866666666666667,3.866666666666667
39000073,9.0,5.75,4.8,6.516666666666667,6.516666666666667
39000074,3.8,4.75,3.2,3.9166666666666665,3.9166666666666665
39000075,7.4,6.25,4.8,6.15,6.1499999999999995
39000076,7.2,5.5,6.0,6.233333333333333,6.233333333333333
39000077,6.6,6.5,5.0,6.033333333333334,6.033333333333334
39000078,4.4,3.25,3.2,3.616666666666667,3.616666666666667
39000079,4.0,5.75,3.6,4.45,4.45
39000080,5.4,8.0,3.4,5.6000000000000005,5.6000000000000005
39000081,5.2,5.5,2.8,4.5,4.5
39000082,5.2,5.5,2.8,4.5,4.5
39000083,8.0,5.75,2.0,5.25,5.25
39000084,7.2,5.5,2.8,5.166666666666667,5.166666666666667
39000085,7.0,7.0,5.2,6.4,6.3999999999999995
39000086,8.6,7.0,4.4,6.666666666666667,6.666666666666667
39000088,7.0,5.0,5.4,5.8,5.8
39000089,6.8,7.75,3.4,5.983333333333333,5.983333333333333
39000090,8.0,6.0,5.4,6.466666666666666,6.466666666666666
39000091,6.6,6.0,3.4,5.333333333333333,5.333333333333333
39000092,9.0,6.5,6.8,7.433333333333334,7.433333333333334
39000093,5.8,6.0,2.4,4.733333333333333,4.733333333333333
39000094,7.0,6.75,2.8,5.516666666666667,5.516666666666667
39000095,7.4,6.25,7.2,6.95,6.95
39000096,8.0,5.75,4.0,5.916666666666667,5.916666666666667
39000097,3.0,4.5,3.2,3.5666666666666664,3.5666666666666664
39000098,7.6,5.25,5.2,6.016666666666667,6.016666666666667
39000099,1.8,5.25,2.6,3.216666666666667,3.216666666666667
39000100,7.2,7.5,5.6,6.766666666666666,6.766666666666666
39000101,7.8,7.75,6.4,7.316666666666667,7.316666666666667
39000102,4.8,5.75,2.4,4.316666666666667,4.316666666666667
