SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
62000001,7.8,7.25,3.6,6.216666666666668,6.216666666666668
62000002,6.6,7.25,3.8,5.883333333333333,5.883333333333333
62000003,6.2,7.0,3.8,5.666666666666667,5.666666666666667
62000004,5.0,4.25,2.8,4.016666666666667,4.016666666666667
62000005,7.0,6.25,3.8,5.683333333333334,5.683333333333334
62000007,8.2,6.25,3.4,5.949999999999999,5.949999999999999
62000008,6.0,7.25,3.2,5.483333333333333,5.483333333333333
62000009,7.6,7.0,3.6,6.066666666666666,6.066666666666666
62000010,4.8,7.0,3.2,5.0,5.0
62000011,5.4,6.25,3.4,5.016666666666667,5.016666666666667
62000012,7.6,6.75,4.8,6.383333333333333,6.383333333333333
62000013,7.4,6.0,3.6,5.666666666666667,5.666666666666667
62000014,4.6,6.5,2.4,4.5,4.5
62000015,7.2,7.0,4.4,6.2,6.2
62000016,6.0,5.5,2.4,4.633333333333334,4.633333333333334
62000017,8.0,3.75,6.4,6.05,6.05
62000018,5.6,5.5,4.0,5.033333333333333,5.033333333333333
62000019,8.4,6.5,5.0,6.633333333333333,6.633333333333333
62000020,6.8,6.5,4.4,5.900000000000001,5.900000000000001
62000021,7.6,7.75,4.2,6.516666666666667,6.516666666666667
62000022,5.4,7.75,2.8,5.316666666666666,5.316666666666666
62000023,7.6,8.0,4.0,6.533333333333334,6.533333333333334
62000024,7.8,7.0,6.6,7.133333333333333,7.133333333333333
62000025,5.4,7.75,3.4,5.516666666666667,5.516666666666667
62000026,7.4,7.0,6.0,6.8,6.8
62000027,7.6,6.5,3.6,5.9,5.8999999999999995
62000028,6.2,7.75,3.4,5.783333333333332,5.783333333333332
62000029,3.6,4.75,3.8,4.05,4.05
62000030,8.0,7.25,2.6,5.95,5.95
62000031,3.4,5.75,3.4,4.183333333333334,4.183333333333334
62000033,4.8,6.25,7.6,6.216666666666666,6.216666666666666
62000034,6.2,6.5,3.4,5.366666666666666,5.366666666666666
62000035,4.0,6.75,3.6,4.783333333333333,4.783333333333333
62000036,5.0,6.25,2.8,4.683333333333334,4.683333333333334
62000037,9.2,6.0,7.8,7.666666666666667,7.666666666666667
62000038,5.0,6.0,1.8,4.266666666666667,4.266666666666667
62000040,4.2,7.5,3.6,5.1,5.1
62000041,4.8,5.75,3.2,4.583333333333333,4.583333333333333
62000042,5.8,5.25,3.6,4.883333333333334,4.883333333333334
62000046,5.0,6.0,4.0,5.0,5.0
62000048,5.2,5.25,4.2,4.883333333333333,4.883333333333333
62000049,3.8,7.75,3.0,4.8500000000000005,4.8500000000000005
62000052,4.0,6.0,3.0,4.333333333333333,4.333333333333333
62000053,5.8,7.5,3.2,5.5,5.5
62000058,2.8,7.0,3.2,4.333333333333333,4.333333333333333
62000060,5.0,7.75,2.8,5.183333333333334,5.183333333333334
62000064,3.2,5.5,2.6,3.766666666666666,3.766666666666666
62000065,5.0,6.25,2.2,4.483333333333333,4.483333333333333
62000068,5.8,7.75,3.4,5.65,5.6499999999999995
62000074,5.8,7.25,3.4,5.483333333333333,5.483333333333333
62000075,8.0,8.0,4.6,6.866666666666667,6.866666666666667
62000076,5.6,7.25,4.6,5.816666666666666,5.816666666666666
62000078,3.0,6.5,3.6,4.366666666666666,4.366666666666666
62000079,6.2,7.0,3.6,5.6000000000000005,5.6000000000000005
62000085,5.6,7.0,2.6,5.066666666666666,5.066666666666666
62000087,6.4,6.5,3.6,5.5,5.5
62000089,3.6,6.25,2.2,4.016666666666667,4.016666666666667
62000092,2.0,5.5,1.4,2.966666666666667,2.966666666666667
62000093,7.8,7.25,2.6,5.883333333333334,5.883333333333334
62000094,7.0,7.25,2.8,5.683333333333334,5.683333333333334
62000095,3.2,6.75,1.6,3.85,3.8499999999999996
62000096,7.4,7.25,4.4,6.3500000000000005,6.3500000000000005
62000099,2.6,5.75,4.0,4.116666666666666,4.116666666666666
62000100,7.4,6.75,6.4,6.8500000000000005,6.8500000000000005
62000101,5.2,5.0,2.8,4.333333333333333,4.333333333333333
62000102,5.8,5.25,1.4,4.15,4.15
62000103,6.8,5.0,3.6,5.133333333333334,5.133333333333334
62000105,6.0,5.5,2.4,4.633333333333334,4.633333333333334
62000107,6.4,6.5,4.2,5.7,5.7
62000108,7.2,7.0,2.6,5.6000000000000005,5.6000000000000005
62000109,6.6,6.5,2.4,5.166666666666667,5.166666666666667
62000110,7.4,6.75,3.8,5.983333333333333,5.983333333333333
62000111,5.0,5.25,1.4,3.883333333333333,3.8833333333333333
62000112,5.6,6.5,2.6,4.9,4.8999999999999995
62000113,6.8,5.25,2.4,4.816666666666667,4.816666666666667
62000115,5.0,5.0,3.0,4.333333333333333,4.333333333333333
62000116,7.4,5.25,6.8,6.483333333333333,6.483333333333333
62000117,7.0,6.25,3.8,5.683333333333334,5.683333333333334
62000118,1.8,3.75,2.4,2.65,2.65
62000119,8.4,7.25,7.0,7.55,7.55
62000122,4.4,5.75,2.4,4.183333333333334,4.183333333333334
62000123,7.4,7.5,5.0,6.633333333333333,6.633333333333333
62000124,7.2,7.0,5.6,6.599999999999999,6.599999999999999
62000125,7.2,6.0,3.0,5.4,5.3999999999999995
62000126,7.6,5.75,2.8,5.383333333333333,5.383333333333333
62000128,4.2,7.0,3.6,4.933333333333333,4.933333333333333
62000130,6.0,6.5,4.0,5.5,5.5
62000131,5.8,5.75,3.0,4.8500000000000005,4.8500000000000005
62000133,7.4,7.5,4.4,6.433333333333334,6.433333333333334
62000137,7.8,6.5,3.6,5.966666666666668,5.966666666666668
62000138,7.6,7.25,3.4,6.083333333333333,6.083333333333333
62000140,4.6,6.25,3.2,4.683333333333334,4.683333333333334
62000141,6.8,5.75,3.6,5.383333333333334,5.383333333333334
62000142,5.2,5.0,3.8,4.666666666666667,4.666666666666667
62000143,6.6,6.25,4.0,5.616666666666667,5.616666666666667
62000144,7.4,5.5,4.0,5.633333333333333,5.633333333333333
62000145,7.0,5.25,5.0,5.75,5.75
62000146,8.0,5.75,5.4,6.383333333333333,6.383333333333333
62000147,8.4,8.5,4.8,7.233333333333333,7.233333333333333
62000148,6.0,6.5,3.2,5.233333333333333,5.233333333333333
62000152,5.6,6.5,2.6,4.9,4.8999999999999995
62000153,5.0,6.0,3.2,4.733333333333333,4.733333333333333
62000154,5.8,7.25,5.0,6.016666666666667,6.016666666666667
62000155,5.6,5.0,4.0,4.866666666666666,4.866666666666666
62000156,5.8,6.5,3.0,5.1000000000000005,5.1000000000000005
62000157,8.0,8.25,3.6,6.616666666666667,6.616666666666667
62000159,6.2,6.75,4.8,5.916666666666667,5.916666666666667
62000160,8.2,6.5,5.0,6.566666666666666,6.566666666666666
62000161,8.2,7.0,3.8,6.333333333333333,6.333333333333333
62000162,9.2,8.0,6.0,7.733333333333333,7.733333333333333
62000163,3.4,6.5,2.2,4.033333333333334,4.033333333333334
62000166,8.2,6.0,6.6,6.933333333333333,6.933333333333333
62000167,5.6,5.75,4.4,5.25,5.25
62000168,7.6,7.0,3.0,5.866666666666667,5.866666666666667
62000169,4.4,5.5,2.8,4.233333333333333,4.233333333333333
62000171,5.0,6.0,4.0,5.0,5.0
62000172,3.8,7.75,1.8,4.45,4.45
62000174,7.2,7.75,3.8,6.25,6.25
62000176,7.4,7.75,4.4,6.516666666666667,6.516666666666667
62000177,9.0,7.0,4.8,6.933333333333334,6.933333333333334
62000178,6.8,6.0,3.0,5.266666666666667,5.266666666666667
62000179,3.8,6.0,1.4,3.733333333333334,3.733333333333334
62000180,4.6,7.5,3.2,5.1000000000000005,5.1000000000000005
62000181,4.2,6.0,2.8,4.333333333333333,4.333333333333333
62000183,5.6,7.0,1.6,4.733333333333333,4.733333333333333
62000185,6.8,6.5,5.2,6.166666666666667,6.166666666666667
62000186,7.6,6.25,5.8,6.55,6.55
62000188,4.0,4.75,2.2,3.65,3.65
62000189,7.2,6.75,5.8,6.583333333333333,6.583333333333333
62000190,8.2,7.5,5.8,7.166666666666667,7.166666666666667
62000191,4.8,7.0,3.4,5.066666666666667,5.066666666666667
62000192,8.2,6.0,3.2,5.8,5.8
62000193,4.2,6.0,2.4,4.2,4.2
62000194,2.6,6.0,2.2,3.6,3.6
62000195,8.6,6.5,3.4,6.166666666666667,6.166666666666667
62000196,6.8,5.5,1.8,4.7,4.7
62000199,8.2,6.25,2.8,5.75,5.75
62000201,5.2,6.0,3.6,4.933333333333333,4.933333333333333
62000202,2.4,5.25,2.6,3.4166666666666665,3.4166666666666665
62000204,4.0,6.0,1.6,3.8666666666666663,3.8666666666666667
62000205,6.6,5.75,3.0,5.116666666666666,5.116666666666666
62000206,5.4,5.5,3.6,4.833333333333333,4.833333333333333
62000207,6.8,5.5,3.2,5.166666666666667,5.166666666666667
62000211,5.6,5.5,3.4,4.833333333333333,4.833333333333333
62000212,7.8,5.75,3.6,5.716666666666668,5.716666666666668
62000215,3.8,7.25,3.4,4.816666666666667,4.816666666666667
62000217,6.8,5.5,3.4,5.233333333333333,5.233333333333333
62000218,8.6,5.5,3.0,5.7,5.7
62000219,7.8,6.25,3.6,5.883333333333334,5.883333333333334
62000220,4.6,6.25,3.6,4.816666666666666,4.816666666666666
62000221,7.4,8.25,4.0,6.55,6.55
62000222,7.2,6.0,4.6,5.933333333333333,5.933333333333333
62000223,4.2,5.75,1.0,3.65,3.65
62000224,6.0,5.0,4.2,5.066666666666666,5.066666666666666
62000226,7.2,6.5,4.8,6.166666666666667,6.166666666666667
62000227,3.4,6.5,2.4,4.1000000000000005,4.1000000000000005
62000228,7.8,5.5,4.2,5.833333333333333,5.833333333333333
62000229,7.0,5.5,3.2,5.233333333333333,5.233333333333333
62000230,9.4,7.0,7.6,8.0,8.0
62000232,7.8,7.25,5.0,6.683333333333334,6.683333333333334
62000233,4.6,6.25,3.2,4.683333333333334,4.683333333333334
62000234,7.0,6.25,3.4,5.55,5.55
62000235,8.2,7.75,3.8,6.583333333333333,6.583333333333333
62000237,5.8,6.5,2.8,5.033333333333334,5.033333333333334
62000238,5.8,6.0,2.2,4.666666666666667,4.666666666666667
62000239,9.2,7.25,4.4,6.95,6.95
62000240,8.0,6.25,5.0,6.416666666666667,6.416666666666667
62000241,7.6,6.75,5.4,6.583333333333333,6.583333333333333
62000242,9.4,7.25,5.6,7.416666666666667,7.416666666666667
62000243,6.2,7.5,4.0,5.9,5.8999999999999995
62000245,4.6,5.5,3.4,4.5,4.5
62000247,3.4,6.5,2.8,4.233333333333333,4.233333333333333
62000248,2.4,7.75,4.4,4.8500000000000005,4.8500000000000005
62000249,5.8,6.0,3.6,5.133333333333334,5.133333333333334
62000251,7.0,7.25,3.8,6.016666666666667,6.016666666666667
62000252,7.4,5.5,2.8,5.233333333333333,5.233333333333333
62000256,7.8,4.0,6.2,6.0,6.0
62000257,6.4,5.75,2.6,4.916666666666667,4.916666666666667
62000259,4.8,6.25,3.0,4.683333333333334,4.683333333333334
62000261,5.4,5.75,4.6,5.25,5.25
62000262,5.6,7.25,3.2,5.3500000000000005,5.3500000000000005
62000263,2.6,6.75,2.8,4.05,4.05
62000266,6.2,6.0,3.6,5.266666666666667,5.266666666666667
62000267,3.6,6.75,4.0,4.783333333333333,4.783333333333333
62000268,6.2,8.25,3.0,5.816666666666666,5.816666666666666
62000270,8.2,7.25,5.6,7.016666666666666,7.016666666666666
62000272,6.4,5.75,6.8,6.316666666666666,6.316666666666666
62000273,7.0,5.25,3.0,5.083333333333333,5.083333333333333
62000274,7.4,6.5,1.8,5.233333333333333,5.233333333333333
62000277,3.8,6.0,3.8,4.533333333333334,4.533333333333334
62000280,4.4,7.0,4.0,5.133333333333334,5.133333333333334
62000281,8.4,6.25,4.2,6.283333333333334,6.283333333333334
62000282,7.8,8.5,7.2,7.833333333333333,7.833333333333333
62000283,3.2,5.0,1.8,3.333333333333333,3.3333333333333335
62000284,8.2,8.0,5.2,7.133333333333333,7.133333333333333
62000285,7.8,6.75,4.2,6.25,6.25
62000286,6.4,6.5,3.8,5.566666666666666,5.566666666666666
62000288,7.2,8.25,4.0,6.483333333333333,6.483333333333333
62000289,6.8,8.0,3.8,6.2,6.2
62000290,3.8,6.5,3.8,4.7,4.7
62000291,6.2,6.5,3.2,5.3,5.3
62000292,7.8,8.25,4.6,6.883333333333333,6.883333333333333
62000294,5.8,6.75,3.6,5.383333333333334,5.383333333333334
62000295,4.8,8.0,3.4,5.4,5.3999999999999995
62000297,4.4,6.5,3.0,4.633333333333334,4.633333333333334
62000299,4.6,6.25,3.8,4.883333333333333,4.883333333333333
62000300,6.2,6.0,2.8,5.0,5.0
62000301,6.8,7.0,3.6,5.800000000000001,5.800000000000001
62000305,6.2,6.25,2.2,4.883333333333333,4.883333333333333
62000306,5.6,5.5,3.0,4.7,4.7
62000308,4.0,6.0,2.8,4.266666666666667,4.266666666666667
62000310,5.8,8.25,3.4,5.816666666666666,5.816666666666666
62000311,7.2,7.0,3.2,5.8,5.8
62000312,6.6,7.0,3.2,5.6000000000000005,5.6000000000000005
62000314,4.8,6.25,2.4,4.483333333333333,4.483333333333333
62000315,6.4,6.75,3.0,5.383333333333333,5.383333333333333
62000317,8.4,6.25,6.0,6.883333333333333,6.883333333333333
62000318,8.2,6.5,3.4,6.033333333333332,6.033333333333332
62000322,4.4,5.5,2.8,4.233333333333333,4.233333333333333
62000323,4.0,5.75,2.8,4.183333333333334,4.183333333333334
62000325,3.6,5.75,2.2,3.85,3.85
62000327,4.2,6.75,2.8,4.583333333333333,4.583333333333333
62000329,3.2,5.5,3.2,3.9666666666666655,3.9666666666666663
62000331,8.0,8.5,8.2,8.233333333333333,8.233333333333333
62000332,7.8,7.0,3.6,6.133333333333334,6.133333333333334
