SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
48000001,7.0,7.0,5.0,6.333333333333333,6.333333333333333
48000002,8.2,7.25,4.0,6.483333333333333,6.483333333333333
48000003,8.4,6.0,5.2,6.533333333333334,6.533333333333334
48000004,8.2,7.75,6.0,7.316666666666666,7.316666666666666
48000006,7.4,7.0,4.2,6.2,6.2
48000008,6.0,4.75,6.2,5.65,5.6499999999999995
48000009,6.4,5.75,3.8,5.316666666666666,5.316666666666666
48000010,9.2,6.25,9.0,8.15,8.15
48000012,8.0,6.25,3.6,5.95,5.95
48000013,7.6,6.25,8.4,7.416666666666667,7.416666666666667
48000014,7.2,6.75,5.0,6.316666666666666,6.316666666666666
48000015,7.2,6.75,4.6,6.183333333333333,6.183333333333333
48000016,8.2,5.0,5.8,6.333333333333333,6.333333333333333
48000017,8.6,8.5,8.8,8.633333333333335,8.633333333333335
48000018,7.2,6.75,3.2,5.716666666666666,5.716666666666666
48000019,7.2,7.0,4.6,6.266666666666666,6.266666666666666
48000020,5.0,5.25,5.0,5.083333333333333,5.083333333333333
48000021,7.2,5.5,6.6,6.433333333333333,6.433333333333333
48000022,8.4,8.25,8.6,8.416666666666666,8.416666666666666
48000023,7.6,5.5,5.6,6.233333333333333,6.233333333333333
48000024,8.6,7.0,8.4,8.0,8.0
48000025,7.4,7.0,7.6,7.333333333333333,7.333333333333333
48000027,8.6,6.25,5.4,6.75,6.75
48000028,8.0,4.5,9.2,7.233333333333333,7.233333333333333
48000030,7.2,7.0,4.0,6.066666666666666,6.066666666666666
48000032,7.2,5.25,4.8,5.75,5.75
48000033,6.0,5.75,6.6,6.116666666666667,6.116666666666667
48000034,5.8,5.5,3.6,4.966666666666667,4.966666666666667
48000035,2.8,3.25,2.0,2.6833333333333336,2.6833333333333336
48000036,5.8,7.75,3.4,5.65,5.6499999999999995
48000037,6.0,6.5,3.2,5.233333333333333,5.233333333333333
48000038,9.2,7.0,5.8,7.333333333333333,7.333333333333333
48000040,9.0,6.0,4.2,6.4,6.3999999999999995
48000041,8.0,6.75,5.6,6.783333333333334,6.783333333333334
48000042,8.4,6.25,6.6,7.083333333333333,7.083333333333333
48000043,7.4,7.5,5.8,6.9,6.8999999999999995
48000044,8.4,7.75,7.8,7.983333333333333,7.983333333333333
48000045,8.2,7.25,5.2,6.883333333333333,6.883333333333333
48000046,8.0,5.0,3.0,5.333333333333333,5.333333333333333
48000047,7.8,6.0,5.8,6.533333333333334,6.533333333333334
48000048,7.6,6.5,5.6,6.566666666666666,6.566666666666666
48000049,8.6,7.5,8.6,8.233333333333334,8.233333333333334
48000050,6.2,6.5,6.0,6.233333333333333,6.233333333333333
48000051,7.6,5.75,5.0,6.116666666666667,6.116666666666667
48000052,3.6,8.0,4.0,5.2,5.2
48000053,7.2,5.75,6.4,6.45,6.45
48000054,4.8,5.25,3.4,4.483333333333333,4.483333333333333
48000055,7.8,6.5,5.6,6.633333333333333,6.633333333333333
48000056,4.4,4.25,3.6,4.083333333333333,4.083333333333333
48000057,7.8,6.25,8.4,7.483333333333334,7.483333333333334
48000058,8.8,6.75,6.6,7.383333333333333,7.383333333333333
48000060,8.6,8.5,4.2,7.1000000000000005,7.1000000000000005
48000061,8.0,6.0,4.2,6.066666666666666,6.066666666666666
48000062,8.4,7.0,5.4,6.933333333333334,6.933333333333334
48000063,5.0,2.25,4.6,3.95,3.9499999999999997
48000064,8.4,6.5,4.8,6.566666666666666,6.566666666666666
48000066,7.0,7.5,6.4,6.966666666666666,6.966666666666666
