SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
2000001,8.2,7.0,8.2,7.8,7.8
2000002,8.8,7.0,9.8,8.533333333333333,8.533333333333333
2000003,7.8,6.5,9.2,7.833333333333333,7.833333333333333
2000004,6.6,7.0,9.6,7.733333333333333,7.733333333333333
2000005,8.0,6.75,8.6,7.783333333333334,7.783333333333334
2000006,7.8,6.5,8.8,7.7,7.7
2000007,8.2,6.0,5.0,6.4,6.3999999999999995
2000008,7.6,5.5,9.0,7.366666666666667,7.366666666666667
2000009,7.6,7.25,9.0,7.95,7.95
2000010,7.4,7.5,9.2,8.033333333333333,8.033333333333333
2000011,7.6,7.5,8.8,7.966666666666666,7.966666666666666
2000012,8.4,5.25,9.4,7.683333333333334,7.683333333333334
2000013,8.4,8.0,7.6,8.0,8.0
2000014,7.0,7.75,8.6,7.783333333333334,7.783333333333334
2000015,8.4,5.75,9.2,7.783333333333334,7.783333333333334
2000016,8.0,7.75,9.2,8.316666666666666,8.316666666666666
2000017,7.2,7.5,8.2,7.633333333333333,7.633333333333333
2000018,8.8,8.0,9.4,8.733333333333334,8.733333333333334
2000019,7.8,7.0,9.6,8.133333333333333,8.133333333333333
2000020,8.4,6.5,8.8,7.900000000000001,7.900000000000001
2000021,8.4,8.0,9.2,8.533333333333333,8.533333333333333
2000022,7.4,7.25,9.8,8.15,8.15
2000023,7.2,7.75,7.6,7.516666666666666,7.516666666666666
2000024,5.6,6.75,9.0,7.116666666666667,7.116666666666667
2000025,7.8,7.5,9.4,8.233333333333334,8.233333333333334
2000026,7.8,4.25,8.6,6.883333333333333,6.883333333333333
2000027,8.4,6.75,9.8,8.316666666666668,8.316666666666668
2000028,4.6,7.5,6.0,6.033333333333334,6.033333333333334
2000031,8.0,7.25,8.0,7.75,7.75
2000032,8.6,6.75,8.6,7.983333333333333,7.983333333333333
2000033,7.6,3.75,5.8,5.716666666666666,5.716666666666666
2000034,7.8,7.0,9.4,8.066666666666668,8.066666666666668
2000035,7.4,7.5,7.4,7.433333333333334,7.433333333333334
2000036,8.4,5.25,9.8,7.816666666666667,7.816666666666667
2000037,8.0,7.0,9.2,8.066666666666666,8.066666666666666
2000038,8.6,5.75,6.0,6.783333333333334,6.783333333333334
2000039,8.2,7.25,8.8,8.083333333333334,8.083333333333334
2000040,6.6,6.5,8.0,7.033333333333334,7.033333333333334
2000041,8.0,7.5,9.4,8.299999999999999,8.299999999999999
2000042,8.6,5.0,8.8,7.466666666666666,7.466666666666666
2000043,8.8,5.5,8.2,7.5,7.5
2000044,8.0,6.75,6.2,6.983333333333333,6.983333333333333
2000045,8.4,5.75,9.8,7.983333333333334,7.983333333333334
2000046,7.6,5.75,9.0,7.45,7.45
2000047,8.4,5.25,9.4,7.683333333333334,7.683333333333334
2000048,7.8,3.75,9.6,7.05,7.05
2000049,8.2,5.0,8.4,7.2,7.2
2000050,8.8,6.75,7.2,7.583333333333333,7.583333333333333
2000051,8.6,7.5,8.8,8.3,8.3
2000052,7.2,5.5,8.8,7.166666666666667,7.166666666666667
2000053,9.8,6.25,8.8,8.283333333333333,8.283333333333333
2000055,8.0,5.25,9.4,7.55,7.55
2000056,7.2,7.25,8.6,7.683333333333333,7.683333333333333
2000057,6.0,8.0,9.6,7.866666666666667,7.866666666666667
2000058,8.4,7.25,7.2,7.616666666666667,7.616666666666667
2000059,7.6,7.75,9.0,8.116666666666667,8.116666666666667
2000060,8.6,7.25,9.0,8.283333333333333,8.283333333333333
2000061,7.8,7.25,8.4,7.816666666666667,7.816666666666667
2000062,7.6,7.75,9.6,8.316666666666666,8.316666666666666
2000063,6.2,8.0,9.0,7.733333333333333,7.733333333333333
2000064,6.8,6.25,9.4,7.483333333333334,7.483333333333334
2000065,7.2,7.0,9.6,7.933333333333333,7.933333333333333
2000066,9.0,7.5,8.8,8.433333333333334,8.433333333333334
2000067,7.2,7.0,9.6,7.933333333333333,7.933333333333333
2000068,8.4,6.75,9.0,8.049999999999999,8.049999999999999
2000069,8.0,6.5,9.0,7.833333333333333,7.833333333333333
2000071,8.8,8.0,9.0,8.6,8.6
2000072,6.8,7.0,9.6,7.8,7.8
2000073,5.4,4.5,8.4,6.1000000000000005,6.1000000000000005
2000074,8.4,7.25,7.8,7.816666666666666,7.816666666666666
2000076,8.4,7.0,6.2,7.2,7.2
2000078,9.0,4.5,9.2,7.566666666666666,7.566666666666666
2000079,7.2,5.25,9.2,7.216666666666666,7.216666666666666
2000080,8.2,8.25,10.0,8.816666666666666,8.816666666666666
2000081,7.0,6.5,9.0,7.5,7.5
2000082,8.4,6.75,7.6,7.583333333333333,7.583333333333333
2000083,8.4,6.0,9.0,7.8,7.8
2000084,8.2,5.0,9.0,7.399999999999999,7.3999999999999995
2000085,7.6,6.75,8.8,7.716666666666666,7.716666666666666
2000086,8.2,6.5,10.0,8.233333333333333,8.233333333333333
2000087,7.6,6.75,8.6,7.649999999999999,7.6499999999999995
2000088,7.8,8.25,9.0,8.35,8.35
2000089,7.8,8.0,9.2,8.333333333333334,8.333333333333334
2000090,8.6,7.0,7.4,7.666666666666667,7.666666666666667
2000091,8.0,5.75,9.2,7.649999999999999,7.6499999999999995
2000092,8.8,6.75,9.0,8.183333333333334,8.183333333333334
2000093,7.6,7.5,9.0,8.033333333333333,8.033333333333333
2000094,8.0,6.75,8.8,7.85,7.8500000000000005
2000095,8.0,6.33,9.4,7.91,7.91
2000097,8.4,6.5,9.2,8.033333333333333,8.033333333333333
2000099,7.4,6.75,8.0,7.383333333333333,7.383333333333333
2000100,8.2,7.75,8.4,8.116666666666667,8.116666666666667
2000101,8.6,7.75,8.8,8.383333333333335,8.383333333333335
2000102,8.4,7.0,8.0,7.8,7.8
2000103,8.4,8.0,8.0,8.133333333333333,8.133333333333333
2000104,8.2,5.75,6.4,6.783333333333334,6.783333333333334
2000105,8.6,7.0,7.6,7.733333333333333,7.733333333333333
2000106,7.4,4.0,9.8,7.066666666666667,7.066666666666667
2000107,7.8,7.25,9.2,8.083333333333334,8.083333333333334
