SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
61000001,7.2,6.5,3.8,5.833333333333333,5.833333333333333
61000002,6.8,6.25,8.4,7.150000000000001,7.150000000000001
61000003,5.6,8.5,6.0,6.7,6.7
61000004,6.6,7.75,7.6,7.316666666666666,7.316666666666666
61000005,6.6,7.0,8.4,7.333333333333333,7.333333333333333
61000006,7.0,6.75,5.0,6.25,6.25
61000007,6.8,6.5,4.2,5.833333333333333,5.833333333333333
61000008,7.2,6.25,6.0,6.483333333333333,6.483333333333333
61000009,8.2,6.5,7.8,7.5,7.5
61000010,2.6,5.0,1.8,3.1333333333333333,3.1333333333333333
61000011,7.4,7.25,9.0,7.883333333333333,7.883333333333333
61000012,6.8,5.75,5.8,6.116666666666667,6.116666666666667
61000013,5.4,6.16,4.4,5.32,5.32
61000014,5.2,4.5,4.6,4.766666666666667,4.766666666666667
61000015,4.6,5.5,1.8,3.966666666666667,3.966666666666667
61000016,8.8,9.25,8.4,8.816666666666668,8.816666666666668
61000017,6.0,4.0,3.6,4.533333333333333,4.533333333333333
61000018,7.6,8.5,8.6,8.233333333333334,8.233333333333334
61000019,7.8,8.0,4.6,6.8,6.8
61000020,8.0,8.5,8.2,8.233333333333333,8.233333333333333
61000021,5.8,6.75,4.2,5.583333333333333,5.583333333333333
61000022,7.6,6.75,7.4,7.25,7.25
61000023,3.6,5.75,4.6,4.65,4.6499999999999995
61000024,4.2,6.25,5.6,5.349999999999999,5.349999999999999
61000025,7.4,6.25,5.0,6.216666666666666,6.216666666666666
61000026,2.6,5.0,2.4,3.333333333333333,3.3333333333333335
61000027,6.0,5.25,2.0,4.416666666666667,4.416666666666667
61000028,5.0,5.41,3.4,4.6033333333333335,4.6033333333333335
61000029,7.2,5.5,5.2,5.966666666666666,5.966666666666666
61000030,6.0,5.0,3.4,4.8,4.8
61000031,7.0,5.0,5.2,5.733333333333333,5.733333333333333
61000032,7.4,6.0,8.4,7.266666666666667,7.266666666666667
61000033,7.2,6.0,8.2,7.133333333333333,7.133333333333333
61000034,6.2,6.5,6.0,6.233333333333333,6.233333333333333
61000035,7.2,7.25,4.8,6.416666666666667,6.416666666666667
61000036,5.2,5.5,4.0,4.9,4.8999999999999995
61000037,8.6,7.0,4.4,6.666666666666667,6.666666666666667
61000038,8.2,7.75,7.6,7.849999999999999,7.849999999999999
61000039,6.2,6.25,6.8,6.416666666666667,6.416666666666667
61000040,5.8,6.5,3.2,5.166666666666667,5.166666666666667
61000041,7.8,7.0,7.4,7.400000000000001,7.400000000000001
61000042,4.8,4.5,2.8,4.033333333333334,4.033333333333334
61000043,6.0,8.5,7.0,7.166666666666667,7.166666666666667
61000044,7.2,5.75,5.2,6.05,6.05
61000045,6.0,7.75,7.0,6.916666666666667,6.916666666666667
61000046,4.8,6.0,5.0,5.266666666666667,5.266666666666667
61000047,6.2,7.0,3.8,5.666666666666667,5.666666666666667
61000048,5.2,5.75,2.4,4.45,4.45
61000049,6.8,7.5,7.6,7.3,7.3
61000050,7.4,8.75,5.8,7.316666666666666,7.316666666666666
61000051,8.6,7.0,7.4,7.666666666666667,7.666666666666667
61000052,7.2,7.33,3.2,5.91,5.91
61000053,7.2,7.25,4.0,6.15,6.1499999999999995
61000054,6.8,8.25,4.2,6.416666666666667,6.416666666666667
61000055,5.2,7.0,3.8,5.333333333333333,5.333333333333333
61000056,6.8,6.0,4.4,5.733333333333334,5.733333333333334
61000057,7.4,7.25,8.8,7.816666666666667,7.816666666666667
61000058,3.8,5.75,4.4,4.65,4.65
61000059,6.6,6.25,6.6,6.483333333333333,6.483333333333333
61000060,6.6,8.0,9.6,8.066666666666666,8.066666666666666
