SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
27000001,5.8,6.0,3.8,5.2,5.2
27000002,6.2,5.75,5.2,5.716666666666666,5.716666666666666
27000003,7.4,6.75,5.4,6.516666666666667,6.516666666666667
27000004,4.8,5.75,3.6,4.716666666666667,4.716666666666667
27000005,8.0,7.5,7.6,7.7,7.7
27000006,7.0,6.25,4.4,5.883333333333333,5.883333333333333
27000007,6.2,8.0,5.0,6.4,6.3999999999999995
27000008,8.0,6.75,3.6,6.116666666666667,6.116666666666667
27000009,8.2,9.0,6.0,7.733333333333333,7.733333333333333
27000010,7.0,5.25,3.4,5.216666666666667,5.216666666666667
27000011,5.8,5.5,2.0,4.433333333333334,4.433333333333334
27000012,4.6,5.25,4.0,4.616666666666666,4.616666666666666
27000013,7.2,6.5,4.8,6.166666666666667,6.166666666666667
27000014,8.2,7.75,6.4,7.45,7.45
27000015,6.6,6.25,4.4,5.75,5.75
27000016,6.2,5.75,3.0,4.983333333333333,4.983333333333333
27000017,7.2,5.75,5.6,6.183333333333333,6.183333333333333
27000018,8.0,7.0,4.0,6.333333333333333,6.333333333333333
27000019,7.0,6.75,4.6,6.116666666666667,6.116666666666667
27000020,6.0,6.75,3.6,5.45,5.45
27000021,8.8,6.25,4.6,6.55,6.55
27000022,7.2,6.5,3.0,5.566666666666666,5.566666666666666
27000023,5.2,7.0,2.0,4.733333333333333,4.733333333333333
27000024,6.0,6.75,4.8,5.8500000000000005,5.8500000000000005
27000025,4.8,5.5,2.8,4.366666666666667,4.366666666666667
27000026,8.6,8.5,6.2,7.766666666666667,7.766666666666667
27000027,7.6,7.25,8.8,7.883333333333333,7.883333333333333
27000028,6.2,7.75,4.4,6.116666666666667,6.116666666666667
27000029,8.4,8.5,8.0,8.299999999999999,8.299999999999999
27000030,7.4,7.75,3.4,6.183333333333334,6.183333333333334
27000031,8.8,7.25,6.8,7.616666666666667,7.616666666666667
27000032,8.6,5.0,4.2,5.933333333333334,5.933333333333334
27000033,8.4,5.0,3.2,5.533333333333334,5.533333333333334
27000034,6.4,6.0,2.6,5.0,5.0
27000035,6.2,5.25,3.2,4.883333333333333,4.883333333333333
27000036,8.4,8.25,7.0,7.883333333333333,7.883333333333333
27000037,3.6,7.0,4.0,4.866666666666666,4.866666666666666
27000038,5.8,7.0,3.2,5.333333333333333,5.333333333333333
27000039,5.6,9.0,6.2,6.933333333333334,6.933333333333334
27000040,8.8,5.75,3.8,6.116666666666667,6.116666666666667
