SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
63000001,7.4,4.25,3.0,4.883333333333334,4.883333333333334
63000002,6.8,6.0,6.6,6.466666666666666,6.466666666666666
63000003,5.2,7.5,3.6,5.433333333333334,5.433333333333334
63000005,8.4,5.5,9.6,7.833333333333333,7.833333333333333
63000006,7.8,5.5,3.8,5.7,5.7
63000007,8.4,7.25,9.4,8.35,8.35
63000008,7.6,8.0,8.6,8.066666666666666,8.066666666666666
63000009,4.4,4.75,3.4,4.183333333333334,4.183333333333334
63000010,5.8,5.5,3.8,5.033333333333334,5.033333333333334
63000011,7.8,6.75,5.6,6.716666666666666,6.716666666666666
63000012,7.6,5.75,3.0,5.45,5.45
63000013,7.4,7.0,8.6,7.666666666666667,7.666666666666667
63000014,6.2,4.0,3.2,4.466666666666666,4.466666666666666
63000015,7.2,7.25,4.8,6.416666666666667,6.416666666666667
63000016,8.8,5.5,6.0,6.766666666666667,6.766666666666667
63000017,8.2,6.25,9.2,7.883333333333333,7.883333333333333
63000018,7.6,6.5,8.6,7.566666666666666,7.566666666666666
63000019,6.6,6.0,5.0,5.866666666666667,5.866666666666667
63000020,7.2,5.5,8.8,7.166666666666667,7.166666666666667
63000021,6.0,6.25,3.0,5.083333333333333,5.083333333333333
63000022,6.6,6.0,5.4,6.0,6.0
63000023,4.6,6.0,3.0,4.533333333333333,4.533333333333333
63000024,6.2,6.25,2.0,4.816666666666666,4.816666666666666
63000025,7.8,6.5,7.6,7.3,7.3
63000026,8.6,5.0,6.2,6.6000000000000005,6.6000000000000005
63000027,5.2,3.25,4.8,4.416666666666667,4.416666666666667
63000029,8.8,6.5,7.4,7.566666666666667,7.566666666666667
63000030,8.4,5.75,3.8,5.983333333333333,5.983333333333333
63000031,7.8,6.75,9.4,7.983333333333334,7.983333333333334
63000032,6.6,3.75,4.0,4.783333333333333,4.783333333333333
63000033,6.2,5.5,5.8,5.833333333333333,5.833333333333333
63000034,8.0,4.0,8.2,6.733333333333333,6.733333333333333
63000035,6.8,4.5,7.0,6.1000000000000005,6.1000000000000005
63000036,4.4,4.75,2.0,3.716666666666667,3.716666666666667
63000037,5.4,4.25,4.8,4.816666666666666,4.816666666666666
63000038,7.4,6.5,5.8,6.566666666666666,6.566666666666666
63000039,4.2,3.75,3.2,3.716666666666667,3.716666666666667
63000040,8.0,7.0,4.8,6.6000000000000005,6.6000000000000005
63000041,5.8,6.75,8.8,7.116666666666667,7.116666666666667
63000042,6.2,5.0,2.0,4.4,4.3999999999999995
63000043,4.8,3.5,2.0,3.4333333333333336,3.4333333333333336
63000044,8.0,5.75,5.4,6.383333333333333,6.383333333333333
63000045,8.4,3.75,9.6,7.25,7.25
63000047,6.2,5.0,4.2,5.133333333333333,5.133333333333333
63000048,3.4,4.5,3.0,3.633333333333333,3.6333333333333333
63000049,8.2,5.25,5.2,6.216666666666666,6.216666666666666
63000050,5.8,5.66,5.0,5.486666666666667,5.486666666666667
63000051,8.4,5.0,5.8,6.4,6.3999999999999995
63000052,8.4,7.25,9.6,8.416666666666666,8.416666666666666
63000053,6.0,7.0,7.2,6.733333333333333,6.733333333333333
63000055,5.2,3.75,5.0,4.65,4.6499999999999995
63000056,9.0,5.0,3.2,5.733333333333333,5.733333333333333
63000057,6.6,8.75,7.0,7.45,7.45
63000058,8.0,6.5,7.8,7.433333333333334,7.433333333333334
63000059,7.0,6.25,4.0,5.75,5.75
63000061,8.4,4.75,2.6,5.25,5.25
63000062,8.0,6.5,7.8,7.433333333333334,7.433333333333334
63000063,8.8,6.5,6.0,7.1000000000000005,7.1000000000000005
63000064,9.0,7.75,8.2,8.316666666666666,8.316666666666666
63000065,7.0,7.25,8.0,7.416666666666667,7.416666666666667
63000066,6.2,6.75,4.0,5.65,5.6499999999999995
63000067,7.8,7.0,8.4,7.733333333333334,7.733333333333334
63000068,8.4,8.0,8.8,8.4,8.4
63000069,7.8,8.5,8.0,8.1,8.1
63000071,7.6,5.25,2.6,5.15,5.1499999999999995
63000072,7.0,4.25,8.6,6.616666666666667,6.616666666666667
63000074,9.4,4.75,7.4,7.183333333333334,7.183333333333334
63000076,6.2,4.75,3.2,4.716666666666666,4.716666666666666
63000077,8.6,4.75,4.4,5.916666666666667,5.916666666666667
63000078,7.6,5.0,4.4,5.666666666666667,5.666666666666667
63000079,7.0,5.75,2.2,4.983333333333333,4.983333333333333
63000080,9.0,5.5,8.2,7.566666666666666,7.566666666666666
63000081,7.6,4.0,6.8,6.133333333333333,6.133333333333333
63000082,4.4,4.0,3.0,3.8,3.8000000000000003
63000084,8.0,6.0,4.4,6.133333333333333,6.133333333333333
63000085,7.6,6.5,5.2,6.433333333333334,6.433333333333334
63000086,6.0,5.75,4.2,5.316666666666666,5.316666666666666
63000089,8.2,3.75,3.8,5.25,5.25
63000090,7.6,4.75,3.2,5.183333333333334,5.183333333333334
63000091,7.4,7.0,6.6,7.0,7.0
63000093,5.2,8.25,5.4,6.283333333333334,6.283333333333334
63000094,6.2,5.75,5.4,5.783333333333334,5.783333333333334
63000095,6.0,8.5,7.0,7.166666666666667,7.166666666666667
63000096,9.2,4.75,8.6,7.516666666666666,7.516666666666666
63000097,6.6,4.5,2.2,4.433333333333334,4.433333333333334
63000099,8.6,5.75,4.4,6.25,6.25
63000100,4.8,5.0,2.2,4.0,4.0
63000102,3.0,3.5,2.4,2.966666666666667,2.966666666666667
63000105,8.6,5.5,6.6,6.9,6.8999999999999995
63000106,6.2,4.75,4.0,4.983333333333333,4.983333333333333
63000109,7.8,5.0,9.2,7.333333333333333,7.333333333333333
63000110,7.0,5.0,3.4,5.133333333333334,5.133333333333334
63000112,8.2,6.0,6.6,6.933333333333333,6.933333333333333
63000113,9.4,6.25,9.0,8.216666666666667,8.216666666666667
63000116,8.6,6.0,9.4,8.0,8.0
63000117,4.2,3.5,3.8,3.8333333333333335,3.8333333333333335
63000120,8.6,5.5,7.2,7.1000000000000005,7.1000000000000005
63000121,6.6,6.0,9.2,7.266666666666666,7.266666666666666
63000122,6.2,5.5,4.0,5.233333333333333,5.233333333333333
63000123,7.4,6.75,4.8,6.316666666666666,6.316666666666666
63000124,7.8,5.5,4.8,6.033333333333334,6.033333333333334
63000125,8.0,7.5,9.6,8.366666666666667,8.366666666666667
63000126,8.2,7.5,8.2,7.966666666666666,7.966666666666666
63000127,8.8,6.5,7.2,7.5,7.5
63000128,7.8,5.5,6.4,6.566666666666667,6.566666666666667
63000129,3.4,5.0,2.2,3.5333333333333337,3.5333333333333337
63000130,6.0,4.25,2.8,4.3500000000000005,4.3500000000000005
63000132,8.2,4.75,4.8,5.916666666666667,5.916666666666667
63000135,8.8,6.25,5.2,6.75,6.75
63000140,6.0,5.0,2.6,4.533333333333333,4.533333333333333
63000141,7.2,3.5,4.2,4.966666666666666,4.966666666666666
63000142,7.2,6.5,7.8,7.166666666666667,7.166666666666667
63000144,7.6,5.5,3.8,5.633333333333333,5.633333333333333
63000146,8.0,7.25,6.2,7.15,7.1499999999999995
63000147,6.4,6.25,4.8,5.816666666666666,5.816666666666666
63000148,6.8,4.75,9.0,6.8500000000000005,6.8500000000000005
63000149,5.6,6.0,3.0,4.866666666666666,4.866666666666666
63000150,6.8,5.41,8.2,6.803333333333334,6.803333333333334
63000151,7.6,5.0,7.0,6.533333333333334,6.533333333333334
63000152,5.6,5.25,2.8,4.55,4.55
63000153,3.2,5.75,4.6,4.516666666666667,4.516666666666667
63000154,6.8,4.25,4.4,5.15,5.15
63000155,4.8,5.0,3.2,4.333333333333333,4.333333333333333
63000157,7.2,6.5,7.2,6.966666666666666,6.966666666666666
63000158,5.0,4.25,2.6,3.95,3.9499999999999997
63000160,7.8,5.75,9.0,7.516666666666667,7.516666666666667
63000161,3.8,5.0,3.6,4.133333333333334,4.133333333333334
63000162,6.2,5.75,6.2,6.05,6.05
63000163,8.4,3.75,10.0,7.383333333333333,7.383333333333333
63000164,8.8,7.0,8.4,8.066666666666668,8.066666666666668
63000166,4.8,3.25,2.8,3.616666666666667,3.616666666666667
63000167,8.0,4.0,7.4,6.466666666666666,6.466666666666666
63000168,3.6,7.75,5.2,5.516666666666667,5.516666666666667
63000169,7.0,4.75,3.6,5.116666666666666,5.116666666666666
63000170,6.8,6.5,4.2,5.833333333333333,5.833333333333333
63000171,6.4,4.75,4.2,5.116666666666667,5.116666666666667
63000172,8.4,4.5,8.6,7.166666666666667,7.166666666666667
63000173,9.4,3.5,7.0,6.633333333333333,6.633333333333333
63000174,5.6,5.5,3.6,4.9,4.8999999999999995
63000176,5.2,6.25,4.2,5.216666666666666,5.216666666666666
63000177,8.6,6.0,8.6,7.733333333333333,7.733333333333333
63000179,6.8,7.25,8.6,7.55,7.55
63000180,9.0,4.25,8.6,7.283333333333334,7.283333333333334
63000182,3.8,5.0,2.0,3.6,3.6
63000183,2.0,2.5,2.4,2.3000000000000003,2.3000000000000003
63000184,9.6,5.0,6.2,6.933333333333334,6.933333333333334
63000185,9.0,6.0,9.6,8.200000000000001,8.200000000000001
63000186,5.2,4.75,2.8,4.25,4.25
63000187,6.0,5.75,4.2,5.316666666666666,5.316666666666666
63000188,5.8,4.25,3.6,4.55,4.55
63000191,7.4,4.25,2.2,4.616666666666667,4.616666666666667
63000192,6.0,5.25,5.6,5.616666666666667,5.616666666666667
63000194,6.4,4.5,5.0,5.3,5.3
63000196,6.6,5.0,2.8,4.8,4.8
63000197,5.4,4.5,2.8,4.233333333333333,4.233333333333333
63000199,6.8,5.75,2.8,5.116666666666667,5.116666666666667
63000200,8.0,5.25,5.8,6.3500000000000005,6.3500000000000005
63000201,5.0,5.5,3.6,4.7,4.7
63000203,9.0,5.5,5.8,6.766666666666667,6.766666666666667
63000204,2.8,3.0,2.8,2.8666666666666667,2.8666666666666667
63000205,6.6,5.5,1.8,4.633333333333334,4.633333333333334
63000207,6.6,5.0,7.8,6.466666666666666,6.466666666666666
63000208,9.2,5.0,9.2,7.8,7.8
63000209,5.0,5.5,7.6,6.033333333333334,6.033333333333334
63000210,6.2,3.75,3.4,4.45,4.45
63000211,7.6,8.0,6.6,7.399999999999999,7.3999999999999995
63000212,6.2,6.5,7.2,6.633333333333333,6.633333333333333
63000213,5.0,7.75,6.2,6.316666666666666,6.316666666666666
63000215,2.6,5.0,2.4,3.333333333333333,3.3333333333333335
63000216,6.4,8.0,7.8,7.399999999999999,7.3999999999999995
63000217,8.2,6.0,6.2,6.8,6.8
63000218,8.2,7.5,9.2,8.299999999999999,8.299999999999999
63000219,6.8,6.25,7.8,6.95,6.95
63000220,7.0,6.33,3.2,5.510000000000001,5.510000000000001
63000221,4.0,5.75,4.2,4.65,4.6499999999999995
63000223,7.8,7.0,8.2,7.666666666666667,7.666666666666667
63000224,6.0,3.5,3.6,4.366666666666666,4.366666666666666
63000225,6.6,5.75,4.6,5.65,5.6499999999999995
63000226,8.4,4.75,7.4,6.8500000000000005,6.8500000000000005
63000227,7.2,7.0,8.8,7.666666666666667,7.666666666666667
63000228,8.0,5.0,9.4,7.466666666666666,7.466666666666666
63000229,8.4,6.5,6.2,7.033333333333334,7.033333333333334
63000230,6.4,8.0,5.2,6.533333333333334,6.533333333333334
63000231,6.8,6.0,5.0,5.933333333333334,5.933333333333334
63000232,8.0,6.5,6.8,7.1000000000000005,7.1000000000000005
63000233,7.2,9.25,6.4,7.616666666666667,7.616666666666667
63000234,7.6,6.25,4.8,6.216666666666666,6.216666666666666
63000235,6.2,6.25,6.0,6.15,6.1499999999999995
63000236,7.2,6.0,3.2,5.466666666666666,5.466666666666666
63000237,8.0,6.0,6.0,6.666666666666667,6.666666666666667
63000238,8.0,5.0,3.6,5.533333333333334,5.533333333333334
63000240,6.4,7.58,5.2,6.3933333333333335,6.3933333333333335
63000241,6.8,6.5,3.6,5.633333333333334,5.633333333333334
63000243,7.4,7.25,2.8,5.816666666666666,5.816666666666666
63000245,4.8,5.5,2.4,4.233333333333333,4.233333333333333
63000246,7.8,6.5,4.0,6.1000000000000005,6.1000000000000005
63000247,4.4,7.5,4.8,5.566666666666666,5.566666666666666
63000248,7.6,4.5,7.6,6.566666666666666,6.566666666666666
63000249,6.6,5.5,7.2,6.433333333333334,6.433333333333334
63000250,8.0,4.75,4.6,5.783333333333334,5.783333333333334
63000251,4.4,3.75,2.0,3.3833333333333333,3.3833333333333333
63000252,5.8,8.5,5.4,6.566666666666667,6.566666666666667
63000253,6.0,4.75,5.4,5.383333333333333,5.383333333333333
63000254,4.4,6.0,3.0,4.466666666666667,4.466666666666667
63000255,7.6,6.75,4.2,6.183333333333334,6.183333333333334
63000256,7.4,6.5,6.4,6.766666666666667,6.766666666666667
63000257,7.0,7.0,5.6,6.533333333333334,6.533333333333334
63000258,5.6,5.5,2.8,4.633333333333333,4.633333333333333
63000259,6.2,6.25,3.2,5.216666666666666,5.216666666666666
63000260,8.2,7.5,7.2,7.633333333333333,7.633333333333333
63000261,6.8,8.0,5.4,6.733333333333334,6.733333333333334
63000262,8.0,6.25,7.0,7.083333333333333,7.083333333333333
63000263,8.0,7.0,6.4,7.133333333333333,7.133333333333333
63000265,6.0,5.75,6.4,6.05,6.05
63000266,4.2,4.0,3.0,3.733333333333333,3.733333333333333
63000267,7.8,5.75,6.4,6.650000000000001,6.650000000000001
63000268,7.0,7.0,3.4,5.8,5.8
63000269,6.6,7.0,6.4,6.666666666666667,6.666666666666667
63000270,7.8,4.0,4.6,5.466666666666666,5.466666666666666
63000271,7.4,7.75,8.4,7.85,7.8500000000000005
63000272,5.0,4.75,3.8,4.516666666666667,4.516666666666667
63000273,9.0,8.25,9.2,8.816666666666666,8.816666666666666
63000274,8.4,7.0,9.6,8.333333333333334,8.333333333333334
63000275,8.2,3.75,7.4,6.45,6.45
63000276,5.0,6.75,2.4,4.716666666666667,4.716666666666667
63000277,4.4,4.25,2.6,3.75,3.75
63000278,6.6,6.75,7.0,6.783333333333334,6.783333333333334
63000279,4.6,3.75,2.4,3.583333333333333,3.5833333333333335
63000280,7.6,5.0,4.4,5.666666666666667,5.666666666666667
63000281,5.0,4.25,2.8,4.016666666666667,4.016666666666667
63000283,7.2,5.25,8.2,6.883333333333333,6.883333333333333
63000284,8.4,6.0,4.4,6.266666666666667,6.266666666666667
63000286,6.8,5.0,2.2,4.666666666666667,4.666666666666667
63000287,7.4,4.75,3.8,5.316666666666666,5.316666666666666
63000288,6.4,3.25,4.4,4.683333333333334,4.683333333333334
63000289,3.6,4.0,3.2,3.6,3.6
63000290,5.6,6.25,2.8,4.883333333333333,4.883333333333333
63000291,5.8,4.0,2.6,4.133333333333334,4.133333333333334
63000292,7.6,5.75,7.6,6.983333333333333,6.983333333333333
