SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
19000001,9.0,7.5,8.2,8.233333333333333,8.233333333333333
19000002,9.0,7.75,6.2,7.649999999999999,7.6499999999999995
19000003,6.8,9.25,7.8,7.95,7.95
19000004,8.2,9.5,9.8,9.166666666666666,9.166666666666666
19000005,8.0,9.5,9.2,8.9,8.9
19000006,8.6,9.25,9.8,9.216666666666669,9.216666666666667
19000007,7.6,9.25,10.0,8.950000000000001,8.950000000000001
19000008,8.2,9.5,9.2,8.966666666666667,8.966666666666667
19000009,8.2,6.5,8.6,7.766666666666666,7.766666666666666
19000010,8.6,9.5,9.4,9.166666666666666,9.166666666666666
19000011,8.6,9.75,9.2,9.183333333333334,9.183333333333334
19000012,9.2,8.0,10.0,9.066666666666666,9.066666666666666
19000013,7.6,9.25,8.8,8.55,8.55
19000015,8.8,6.75,9.8,8.450000000000001,8.450000000000001
19000016,8.6,9.25,9.8,9.216666666666669,9.216666666666667
19000017,6.4,9.25,6.6,7.416666666666667,7.416666666666667
19000018,7.8,9.5,9.2,8.833333333333334,8.833333333333334
19000019,8.4,9.5,9.0,8.966666666666667,8.966666666666667
19000020,8.6,9.5,8.8,8.966666666666667,8.966666666666667
19000021,8.4,9.5,9.6,9.166666666666666,9.166666666666666
19000023,9.4,7.0,8.6,8.333333333333334,8.333333333333334
19000025,7.8,9.25,9.6,8.883333333333333,8.883333333333333
19000026,9.4,8.0,8.0,8.466666666666667,8.466666666666667
19000027,7.4,7.0,7.2,7.2,7.2
19000029,7.2,9.5,9.0,8.566666666666666,8.566666666666666
19000030,8.6,9.5,9.2,9.1,9.1
19000031,8.6,9.0,6.2,7.933333333333334,7.933333333333334
19000033,8.8,9.5,8.4,8.9,8.9
19000034,7.6,9.0,8.2,8.266666666666667,8.266666666666667
19000035,7.6,8.75,9.8,8.716666666666667,8.716666666666667
19000036,8.8,5.25,8.4,7.483333333333334,7.483333333333334
19000038,9.6,6.75,3.6,6.650000000000001,6.650000000000001
19000039,9.0,8.0,8.4,8.466666666666667,8.466666666666667
19000040,9.0,9.25,7.6,8.616666666666667,8.616666666666667
19000041,6.8,9.75,7.8,8.116666666666667,8.116666666666667
19000042,9.4,9.75,6.6,8.583333333333334,8.583333333333334
19000043,8.2,8.5,8.4,8.366666666666667,8.366666666666667
19000044,8.4,6.0,8.0,7.466666666666666,7.466666666666666
19000045,9.6,7.5,7.6,8.233333333333334,8.233333333333334
19000046,7.6,9.5,8.6,8.566666666666668,8.566666666666668
19000047,9.0,8.75,6.0,7.916666666666667,7.916666666666667
19000048,9.2,9.5,8.0,8.9,8.9
19000049,8.4,9.0,9.4,8.933333333333332,8.933333333333332
19000050,7.8,8.5,5.2,7.166666666666667,7.166666666666667
19000051,8.2,8.0,9.4,8.533333333333333,8.533333333333333
19000052,8.2,9.25,9.8,9.083333333333334,9.083333333333334
19000053,9.6,8.25,7.2,8.35,8.35
19000054,7.8,9.0,8.8,8.533333333333333,8.533333333333333
19000055,8.4,9.5,9.4,9.1,9.1
19000056,8.4,9.5,9.2,9.033333333333331,9.033333333333333
19000057,9.2,8.5,7.6,8.433333333333332,8.433333333333332
19000058,9.2,8.5,9.2,8.966666666666667,8.966666666666667
19000059,9.0,6.75,7.4,7.716666666666666,7.716666666666666
19000060,7.2,9.75,7.6,8.183333333333332,8.183333333333332
19000061,8.6,8.25,8.0,8.283333333333333,8.283333333333333
19000063,9.0,8.0,9.2,8.733333333333333,8.733333333333333
19000064,9.4,8.75,9.6,9.25,9.25
19000065,9.4,7.0,9.0,8.466666666666667,8.466666666666667
19000066,7.8,7.5,5.2,6.833333333333333,6.833333333333333
19000068,9.4,7.75,6.8,7.983333333333333,7.983333333333333
19000070,8.8,6.25,7.0,7.35,7.3500000000000005
19000071,8.6,7.75,7.2,7.85,7.8500000000000005
19000074,8.8,8.25,9.0,8.683333333333334,8.683333333333334
19000075,8.4,9.5,9.6,9.166666666666666,9.166666666666666
19000076,9.0,7.5,7.6,8.033333333333333,8.033333333333333
19000077,8.2,9.5,9.8,9.166666666666666,9.166666666666666
19000078,8.8,9.25,9.4,9.15,9.15
19000079,9.0,6.75,8.0,7.916666666666667,7.916666666666667
19000080,8.2,9.5,6.4,8.033333333333333,8.033333333333333
19000081,9.2,7.75,8.0,8.316666666666666,8.316666666666666
19000083,9.0,6.0,7.2,7.399999999999999,7.3999999999999995
19000084,9.0,8.5,6.8,8.1,8.1
19000085,8.8,7.25,5.6,7.216666666666666,7.216666666666666
19000086,8.6,7.25,9.2,8.35,8.35
19000087,9.2,6.75,5.8,7.25,7.25
19000088,8.4,7.0,8.0,7.8,7.8
19000089,8.2,9.25,8.4,8.616666666666667,8.616666666666667
19000090,8.4,6.75,6.8,7.316666666666666,7.316666666666666
19000091,8.6,7.0,4.2,6.6000000000000005,6.6000000000000005
19000092,8.4,8.0,9.6,8.666666666666666,8.666666666666666
19000093,9.0,7.25,9.2,8.483333333333333,8.483333333333333
19000094,8.0,9.5,9.6,9.033333333333331,9.033333333333333
19000095,7.4,9.75,9.8,8.983333333333333,8.983333333333333
19000096,7.6,9.5,9.2,8.766666666666667,8.766666666666667
19000097,8.4,8.25,10.0,8.883333333333333,8.883333333333333
19000098,8.2,8.5,5.0,7.233333333333333,7.233333333333333
19000099,8.8,8.75,6.4,7.983333333333334,7.983333333333334
19000100,6.2,8.5,8.4,7.7,7.7
19000101,9.4,8.25,7.4,8.35,8.35
19000102,8.4,7.75,9.8,8.65,8.65
19000103,9.4,8.25,9.4,9.016666666666666,9.016666666666666
19000104,8.0,7.0,8.0,7.666666666666667,7.666666666666667
19000105,8.0,9.5,9.0,8.833333333333334,8.833333333333334
19000106,8.8,7.5,7.2,7.833333333333333,7.833333333333333
19000107,7.0,9.5,9.2,8.566666666666666,8.566666666666666
19000108,8.0,9.75,8.4,8.716666666666667,8.716666666666667
19000109,8.0,8.75,5.2,7.316666666666666,7.316666666666666
19000110,9.4,8.25,5.4,7.683333333333333,7.683333333333333
19000111,6.8,9.75,4.8,7.116666666666667,7.116666666666667
19000112,8.8,8.0,5.2,7.333333333333333,7.333333333333333
19000113,7.2,9.5,6.6,7.766666666666666,7.766666666666666
19000114,8.6,8.0,6.4,7.666666666666667,7.666666666666667
19000115,9.6,8.0,8.8,8.8,8.8
19000117,8.6,9.0,5.6,7.733333333333334,7.733333333333334
19000118,8.8,6.5,9.0,8.1,8.1
19000119,9.4,8.0,8.6,8.666666666666666,8.666666666666666
19000120,9.2,6.0,7.8,7.666666666666667,7.666666666666667
19000121,6.8,9.0,8.0,7.933333333333334,7.933333333333334
19000122,8.2,5.5,8.4,7.366666666666667,7.366666666666667
19000123,8.2,8.5,7.0,7.899999999999999,7.8999999999999995
19000124,9.0,7.75,3.4,6.716666666666666,6.716666666666666
19000125,8.4,8.0,8.8,8.4,8.4
19000126,8.8,7.5,8.2,8.166666666666666,8.166666666666666
19000127,9.0,6.5,7.4,7.633333333333333,7.633333333333333
19000128,9.2,8.0,7.0,8.066666666666666,8.066666666666666
19000130,9.6,6.5,7.6,7.900000000000001,7.900000000000001
19000131,8.8,7.25,7.2,7.75,7.75
19000132,6.8,9.5,7.6,7.966666666666666,7.966666666666666
19000133,9.2,8.5,9.8,9.166666666666666,9.166666666666666
19000134,9.4,6.5,8.0,7.966666666666666,7.966666666666666
19000135,8.6,8.5,9.8,8.966666666666667,8.966666666666667
19000136,8.8,6.75,6.6,7.383333333333333,7.383333333333333
19000137,8.0,9.25,9.6,8.950000000000001,8.950000000000001
19000138,8.4,6.0,8.6,7.666666666666667,7.666666666666667
19000139,9.0,6.25,8.6,7.95,7.95
19000140,8.2,8.75,7.0,7.983333333333333,7.983333333333333
19000141,4.4,9.5,5.6,6.5,6.5
19000142,9.0,8.25,9.2,8.816666666666666,8.816666666666666
19000144,5.0,9.0,4.0,6.0,6.0
19000146,8.0,7.5,8.2,7.899999999999999,7.8999999999999995
19000147,9.2,6.75,6.2,7.383333333333333,7.383333333333333
19000148,8.8,8.75,9.4,8.983333333333334,8.983333333333334
19000149,8.6,7.75,7.2,7.85,7.8500000000000005
19000150,8.8,8.5,8.0,8.433333333333334,8.433333333333334
19000151,5.4,9.0,7.6,7.333333333333333,7.333333333333333
19000152,9.4,8.0,8.4,8.6,8.6
19000153,8.2,8.5,9.2,8.633333333333333,8.633333333333333
19000154,8.8,7.75,8.0,8.183333333333334,8.183333333333334
19000155,8.2,9.0,8.4,8.533333333333333,8.533333333333333
19000157,8.0,7.5,9.6,8.366666666666667,8.366666666666667
19000159,8.4,9.0,8.6,8.666666666666666,8.666666666666666
19000160,7.8,8.75,9.8,8.783333333333333,8.783333333333333
19000161,8.6,9.5,9.8,9.3,9.3
19000162,7.6,9.25,9.2,8.683333333333334,8.683333333333334
19000163,8.2,9.5,9.8,9.166666666666666,9.166666666666666
19000164,8.6,7.25,7.8,7.883333333333333,7.883333333333333
19000165,7.2,8.25,8.2,7.883333333333333,7.883333333333333
19000166,8.4,7.5,9.8,8.566666666666668,8.566666666666668
19000167,8.8,9.5,9.4,9.233333333333334,9.233333333333334
19000168,7.8,9.25,9.8,8.950000000000001,8.950000000000001
19000170,4.2,8.5,9.0,7.233333333333333,7.233333333333333
19000171,8.8,9.0,9.2,9.0,9.0
19000172,8.2,9.0,9.6,8.933333333333332,8.933333333333332
19000173,7.6,8.75,9.4,8.583333333333334,8.583333333333334
19000174,9.4,5.5,8.8,7.900000000000001,7.900000000000001
19000175,8.6,8.0,9.2,8.6,8.6
19000176,6.0,9.25,6.8,7.35,7.3500000000000005
19000177,8.0,7.75,8.6,8.116666666666667,8.116666666666667
19000178,8.8,8.0,7.8,8.200000000000001,8.200000000000001
19000179,7.0,9.25,9.4,8.549999999999999,8.549999999999999
19000180,8.0,8.25,7.2,7.816666666666666,7.816666666666666
19000182,8.0,8.25,9.4,8.549999999999999,8.549999999999999
19000183,8.6,9.0,8.6,8.733333333333334,8.733333333333334
19000184,8.0,7.75,7.8,7.85,7.8500000000000005
19000185,9.0,8.5,7.6,8.366666666666667,8.366666666666667
19000186,8.8,9.25,10.0,9.35,9.35
19000187,7.0,8.5,8.2,7.899999999999999,7.8999999999999995
19000188,8.8,6.0,8.6,7.8,7.8
19000189,6.4,8.75,10.0,8.383333333333333,8.383333333333333
19000190,9.0,5.0,9.4,7.8,7.8
19000192,8.8,7.5,9.4,8.566666666666668,8.566666666666668
19000193,8.6,6.5,8.8,7.966666666666666,7.966666666666666
19000194,8.2,9.0,9.6,8.933333333333332,8.933333333333332
19000195,7.2,8.75,9.2,8.383333333333333,8.383333333333333
19000196,9.0,7.5,9.8,8.766666666666667,8.766666666666667
19000197,9.4,7.75,6.4,7.849999999999999,7.849999999999999
19000198,8.8,7.75,6.2,7.583333333333333,7.583333333333333
19000199,8.2,7.25,8.6,8.016666666666666,8.016666666666666
19000200,8.6,7.5,9.2,8.433333333333334,8.433333333333334
19000201,9.2,6.5,7.0,7.566666666666666,7.566666666666666
19000202,7.2,9.25,9.6,8.683333333333332,8.683333333333332
19000203,6.2,9.0,8.8,8.0,8.0
19000204,8.2,8.25,7.6,8.016666666666666,8.016666666666666
