SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
5000001,7.8,9.0,9.0,8.6,8.6
5000003,8.2,5.5,9.6,7.766666666666666,7.766666666666666
5000004,8.2,6.5,7.4,7.366666666666667,7.366666666666667
5000005,8.0,8.75,8.6,8.450000000000001,8.450000000000001
5000006,7.6,8.0,8.6,8.066666666666666,8.066666666666666
5000007,5.6,7.5,7.4,6.833333333333333,6.833333333333333
5000008,8.6,8.0,9.2,8.6,8.6
5000009,8.8,9.25,8.4,8.816666666666668,8.816666666666668
5000010,7.8,5.5,5.6,6.3,6.3
5000011,8.0,7.75,8.6,8.116666666666667,8.116666666666667
5000012,8.6,8.25,8.8,8.55,8.55
5000014,7.2,3.75,5.4,5.45,5.45
5000015,6.2,7.75,8.2,7.383333333333333,7.383333333333333
5000016,8.6,9.0,8.8,8.8,8.8
5000017,5.6,8.0,4.4,6.0,6.0
5000018,7.4,8.25,8.4,8.016666666666667,8.016666666666667
5000020,7.6,7.75,9.0,8.116666666666667,8.116666666666667
5000021,8.8,7.25,7.8,7.95,7.95
5000022,8.6,5.5,8.8,7.633333333333333,7.633333333333333
5000023,8.2,6.5,9.4,8.033333333333333,8.033333333333333
5000024,7.8,4.0,8.4,6.733333333333334,6.733333333333334
5000025,8.2,5.75,8.2,7.383333333333333,7.383333333333333
5000026,8.6,6.0,8.2,7.599999999999999,7.599999999999999
5000029,8.8,8.0,6.4,7.733333333333334,7.733333333333334
5000031,8.2,8.5,8.8,8.5,8.5
5000032,8.8,7.5,9.4,8.566666666666668,8.566666666666668
5000034,8.4,5.25,6.0,6.55,6.55
5000035,6.4,5.5,6.2,6.033333333333334,6.033333333333334
5000036,8.6,6.0,8.0,7.533333333333334,7.533333333333334
5000037,8.8,0.0,7.0,5.266666666666667,5.266666666666667
5000038,9.0,9.0,9.8,9.266666666666667,9.266666666666667
5000042,6.8,7.75,6.2,6.916666666666667,6.916666666666667
5000044,8.8,0.0,4.6,4.466666666666667,4.466666666666667
5000045,7.8,6.75,8.4,7.650000000000001,7.650000000000001
5000047,9.4,7.0,7.4,7.933333333333333,7.933333333333333
5000049,8.8,9.0,9.8,9.2,9.200000000000001
5000050,8.4,5.25,8.4,7.35,7.3500000000000005
5000055,7.8,5.5,6.4,6.566666666666667,6.566666666666667
5000056,8.6,3.75,8.4,6.916666666666667,6.916666666666667
5000057,9.0,7.0,9.2,8.4,8.4
5000058,9.2,6.0,7.2,7.466666666666666,7.466666666666666
5000059,7.4,5.5,8.2,7.033333333333334,7.033333333333334
5000063,8.2,0.0,7.0,5.066666666666666,5.066666666666666
5000064,8.8,6.0,7.2,7.333333333333333,7.333333333333333
5000065,8.4,3.5,9.2,7.033333333333334,7.033333333333334
5000066,8.6,4.75,7.0,6.783333333333334,6.783333333333334
5000068,8.4,6.75,9.4,8.183333333333334,8.183333333333334
5000069,8.0,4.25,8.6,6.95,6.95
5000073,7.4,7.0,5.6,6.666666666666667,6.666666666666667
