SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
23000001,7.8,8.5,9.4,8.566666666666668,8.566666666666668
23000002,9.0,8.5,6.8,8.1,8.1
23000003,7.8,9.0,8.0,8.266666666666667,8.266666666666667
23000004,7.6,6.0,6.0,6.533333333333334,6.533333333333334
23000005,8.4,8.5,9.0,8.633333333333333,8.633333333333333
23000006,7.8,7.25,5.6,6.883333333333333,6.883333333333333
23000007,8.8,8.5,7.0,8.1,8.1
23000008,7.2,7.75,5.2,6.716666666666666,6.716666666666666
23000009,8.4,7.5,8.4,8.1,8.1
23000010,8.0,7.0,4.6,6.533333333333334,6.533333333333334
23000011,8.4,7.5,8.4,8.1,8.1
23000012,7.8,8.5,9.4,8.566666666666668,8.566666666666668
23000013,7.6,8.0,8.2,7.933333333333333,7.933333333333333
23000014,7.8,8.75,9.4,8.65,8.65
23000015,8.2,7.25,6.0,7.15,7.1499999999999995
23000016,8.6,7.25,3.4,6.416666666666667,6.416666666666667
23000017,7.8,9.5,9.8,9.033333333333331,9.033333333333333
23000018,7.6,8.25,8.4,8.083333333333334,8.083333333333334
23000019,8.8,7.5,8.8,8.366666666666667,8.366666666666667
23000020,8.6,9.0,9.4,9.0,9.0
23000021,8.6,9.25,6.0,7.95,7.95
23000022,8.8,8.25,8.8,8.616666666666667,8.616666666666667
23000023,8.2,9.5,10.0,9.233333333333333,9.233333333333333
23000024,8.6,9.0,9.2,8.933333333333334,8.933333333333334
23000025,7.2,8.25,7.2,7.55,7.55
23000026,8.0,7.5,8.0,7.833333333333333,7.833333333333333
23000027,6.0,9.25,6.0,7.083333333333333,7.083333333333333
23000028,7.4,9.75,8.0,8.383333333333333,8.383333333333333
23000029,9.0,8.0,8.4,8.466666666666667,8.466666666666667
23000030,9.2,7.5,8.4,8.366666666666667,8.366666666666667
23000031,8.2,7.75,8.2,8.049999999999999,8.049999999999999
23000032,7.8,6.75,7.8,7.45,7.45
23000033,7.8,5.75,9.0,7.516666666666667,7.516666666666667
23000034,8.6,5.0,8.8,7.466666666666666,7.466666666666666
23000035,8.0,6.0,5.4,6.466666666666666,6.466666666666666
23000036,7.6,7.25,5.4,6.75,6.75
23000037,9.6,6.0,5.8,7.133333333333333,7.133333333333333
23000038,8.4,8.25,8.4,8.35,8.35
