SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
49000001,4.8,5.25,3.6,4.55,4.55
49000002,5.8,4.25,3.8,4.616666666666667,4.616666666666667
49000003,4.4,3.75,4.2,4.116666666666667,4.116666666666667
49000005,6.4,5.0,2.6,4.666666666666667,4.666666666666667
49000006,6.6,5.25,5.2,5.683333333333334,5.683333333333334
49000007,6.6,5.25,4.4,5.416666666666667,5.416666666666667
49000008,5.8,6.5,5.6,5.966666666666666,5.966666666666666
49000009,5.8,6.0,4.0,5.266666666666667,5.266666666666667
49000010,5.0,3.0,3.0,3.6666666666666665,3.6666666666666665
49000011,6.4,6.0,3.4,5.266666666666667,5.266666666666667
49000012,5.8,3.75,2.0,3.85,3.85
49000013,7.4,5.75,7.2,6.783333333333334,6.783333333333334
49000015,6.2,5.25,2.4,4.616666666666666,4.616666666666666
49000016,6.2,6.25,6.0,6.15,6.1499999999999995
49000017,5.4,4.25,3.4,4.3500000000000005,4.3500000000000005
49000018,6.2,6.25,4.8,5.75,5.75
49000020,6.4,7.25,6.0,6.55,6.55
49000021,6.6,6.5,3.6,5.566666666666666,5.566666666666666
49000022,6.0,6.5,3.2,5.233333333333333,5.233333333333333
49000023,7.8,7.0,6.0,6.933333333333334,6.933333333333334
49000024,7.8,6.25,6.6,6.883333333333333,6.883333333333333
49000025,8.2,8.5,5.4,7.366666666666667,7.366666666666667
49000027,7.4,7.5,5.6,6.833333333333333,6.833333333333333
49000028,7.4,6.5,5.2,6.366666666666667,6.366666666666667
49000029,8.2,8.0,6.4,7.533333333333334,7.533333333333334
49000032,7.2,7.0,6.0,6.733333333333333,6.733333333333333
49000033,8.0,4.75,3.6,5.45,5.45
49000034,6.2,6.0,4.8,5.666666666666667,5.666666666666667
49000035,6.2,6.0,3.8,5.333333333333333,5.333333333333333
49000036,7.0,5.75,3.4,5.383333333333333,5.383333333333333
49000037,6.0,5.0,3.0,4.666666666666667,4.666666666666667
49000038,7.0,4.5,3.6,5.033333333333333,5.033333333333333
49000039,5.6,6.25,3.4,5.083333333333333,5.083333333333333
49000040,6.0,6.25,5.2,5.816666666666666,5.816666666666666
49000041,8.0,7.0,8.0,7.666666666666667,7.666666666666667
49000042,8.2,6.25,8.0,7.483333333333333,7.483333333333333
49000043,7.6,6.75,6.8,7.05,7.05
49000045,7.8,6.25,6.8,6.95,6.95
49000046,6.4,5.25,3.0,4.883333333333334,4.883333333333334
49000047,7.2,5.5,3.8,5.5,5.5
49000048,7.4,5.5,4.0,5.633333333333333,5.633333333333333
49000049,7.6,6.75,5.6,6.65,6.6499999999999995
49000050,6.8,7.25,6.2,6.75,6.75
49000051,5.2,5.0,3.2,4.466666666666666,4.466666666666666
49000052,7.6,6.25,6.4,6.75,6.75
49000053,6.0,5.5,3.0,4.833333333333333,4.833333333333333
49000054,7.2,6.5,4.0,5.9,5.8999999999999995
49000055,6.0,5.75,3.0,4.916666666666667,4.916666666666667
49000056,5.4,5.75,4.2,5.116666666666667,5.116666666666667
49000057,7.6,5.0,5.0,5.866666666666667,5.866666666666667
49000059,6.6,7.0,6.2,6.6000000000000005,6.6000000000000005
49000060,6.0,5.75,3.8,5.183333333333334,5.183333333333334
49000061,8.0,6.5,6.4,6.966666666666666,6.966666666666666
49000062,5.4,8.0,3.2,5.533333333333334,5.533333333333334
49000063,7.2,5.5,3.8,5.5,5.5
49000064,6.2,5.75,5.2,5.716666666666666,5.716666666666666
49000065,6.6,4.75,3.4,4.916666666666667,4.916666666666667
49000066,5.8,5.0,4.2,5.0,5.0
49000067,5.0,5.25,2.2,4.15,4.1499999999999995
49000068,5.6,5.75,3.6,4.983333333333333,4.983333333333333
49000069,8.2,7.25,6.0,7.15,7.1499999999999995
49000073,5.4,6.5,3.2,5.033333333333334,5.033333333333334
49000074,7.8,5.5,4.4,5.900000000000001,5.900000000000001
49000076,6.6,7.0,6.2,6.6000000000000005,6.6000000000000005
49000078,5.6,5.0,3.6,4.733333333333333,4.733333333333333
49000079,5.6,6.5,2.8,4.966666666666666,4.966666666666666
49000080,6.0,3.5,4.0,4.5,4.5
49000081,9.4,5.5,4.0,6.3,6.3
49000082,6.6,5.5,6.2,6.1000000000000005,6.1000000000000005
49000085,5.0,7.25,4.2,5.483333333333333,5.483333333333333
49000086,6.4,5.75,4.6,5.583333333333333,5.583333333333333
49000088,7.2,7.5,6.0,6.9,6.8999999999999995
49000090,5.6,6.0,8.4,6.666666666666667,6.666666666666667
