SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
42000001,8.0,6.25,6.4,6.883333333333333,6.883333333333333
42000002,8.0,7.75,7.8,7.85,7.8500000000000005
42000003,7.6,8.25,6.2,7.35,7.3500000000000005
42000004,7.8,7.0,6.4,7.066666666666667,7.066666666666667
42000005,7.8,6.75,5.0,6.516666666666667,6.516666666666667
42000006,8.4,7.0,7.6,7.666666666666667,7.666666666666667
42000007,8.4,8.25,7.2,7.949999999999999,7.949999999999999
42000008,8.4,6.25,6.0,6.883333333333333,6.883333333333333
42000009,7.6,6.25,6.4,6.75,6.75
42000010,7.6,7.0,8.4,7.666666666666667,7.666666666666667
42000011,8.0,5.75,7.8,7.183333333333334,7.183333333333334
42000012,7.8,6.5,4.4,6.233333333333334,6.233333333333334
42000013,7.6,8.25,8.2,8.016666666666666,8.016666666666666
42000014,8.4,5.25,6.6,6.75,6.75
42000015,6.4,7.5,9.0,7.633333333333333,7.633333333333333
42000016,8.8,6.25,9.4,8.15,8.15
42000017,4.8,6.25,6.2,5.75,5.75
42000018,6.0,6.0,7.2,6.4,6.3999999999999995
42000019,8.0,8.5,6.0,7.5,7.5
42000020,5.2,7.75,8.2,7.05,7.05
42000021,6.2,7.0,4.8,6.0,6.0
42000022,7.6,7.0,6.0,6.866666666666667,6.866666666666667
42000023,7.6,6.0,7.8,7.133333333333333,7.133333333333333
42000024,8.6,8.5,8.8,8.633333333333335,8.633333333333335
42000025,8.8,8.0,9.2,8.666666666666666,8.666666666666666
42000026,7.6,6.25,5.4,6.416666666666667,6.416666666666667
42000027,6.0,7.5,4.4,5.966666666666666,5.966666666666666
42000028,8.0,6.25,7.2,7.15,7.1499999999999995
42000029,7.6,7.0,6.2,6.933333333333334,6.933333333333334
42000030,7.6,8.0,7.2,7.6,7.6000000000000005
42000031,8.0,7.5,8.0,7.833333333333333,7.833333333333333
42000032,7.4,7.5,7.6,7.5,7.5
42000033,8.0,7.25,4.4,6.55,6.55
42000034,6.8,6.75,9.2,7.583333333333333,7.583333333333333
42000035,8.2,6.5,6.8,7.166666666666667,7.166666666666667
42000036,7.4,6.5,5.4,6.433333333333334,6.433333333333334
42000037,8.6,8.75,8.0,8.450000000000001,8.450000000000001
42000038,7.8,8.5,6.4,7.566666666666667,7.566666666666667
42000039,6.8,7.0,4.2,6.0,6.0
42000040,8.0,8.5,7.6,8.033333333333333,8.033333333333333
42000041,7.8,7.75,6.2,7.25,7.25
42000042,6.0,6.75,5.6,6.116666666666667,6.116666666666667
