SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
17000001,6.2,7.75,3.0,5.65,5.6499999999999995
17000002,5.4,6.5,3.4,5.1000000000000005,5.1000000000000005
17000003,3.2,5.75,3.6,4.183333333333333,4.183333333333333
17000004,1.6,3.75,3.6,2.983333333333333,2.983333333333333
17000005,3.2,4.25,2.6,3.35,3.35
17000006,5.6,6.5,7.0,6.366666666666667,6.366666666666667
17000007,4.0,6.0,6.0,5.333333333333333,5.333333333333333
17000008,3.8,6.25,7.2,5.75,5.75
17000009,3.0,6.0,2.6,3.8666666666666663,3.8666666666666667
17000010,1.6,5.75,5.0,4.116666666666666,4.116666666666666
17000011,7.0,5.5,5.6,6.033333333333334,6.033333333333334
17000012,6.0,6.75,6.2,6.316666666666666,6.316666666666666
17000013,1.6,4.0,3.6,3.0666666666666664,3.0666666666666664
17000014,4.0,4.75,5.6,4.783333333333333,4.783333333333333
17000015,2.6,4.5,3.8,3.633333333333333,3.633333333333333
17000016,3.8,6.0,6.0,5.266666666666667,5.266666666666667
17000017,6.2,6.0,6.6,6.266666666666666,6.266666666666666
17000018,5.4,7.25,6.4,6.3500000000000005,6.3500000000000005
17000019,2.0,7.0,3.8,4.266666666666667,4.266666666666667
17000020,3.4,5.5,4.0,4.3,4.3
17000021,6.2,8.75,8.8,7.916666666666667,7.916666666666667
17000022,3.8,5.5,6.0,5.1000000000000005,5.1000000000000005
17000023,4.4,6.5,5.4,5.433333333333334,5.433333333333334
17000024,4.2,7.5,5.8,5.833333333333333,5.833333333333333
17000025,2.6,6.75,4.0,4.45,4.45
17000026,3.4,7.5,6.2,5.7,5.7
17000027,5.4,6.5,3.8,5.233333333333333,5.233333333333333
17000029,3.8,6.5,4.8,5.033333333333334,5.033333333333334
17000030,4.2,4.0,2.6,3.6,3.5999999999999996
17000031,4.0,3.5,4.2,3.9,3.9
17000032,5.0,5.0,3.4,4.466666666666667,4.466666666666667
17000033,5.8,6.0,4.2,5.333333333333333,5.333333333333333
17000034,6.8,4.5,3.0,4.766666666666667,4.766666666666667
17000035,5.0,5.5,4.6,5.033333333333333,5.033333333333333
17000036,5.6,6.5,6.0,6.033333333333334,6.033333333333334
17000039,4.2,4.75,2.2,3.7166666666666655,3.7166666666666663
17000040,2.6,2.75,2.4,2.583333333333333,2.5833333333333335
17000041,5.2,4.75,2.0,3.983333333333333,3.983333333333333
17000042,3.6,2.5,3.2,3.1,3.1
17000043,4.8,5.5,4.4,4.9,4.9
17000044,5.4,6.5,7.6,6.5,6.5
17000045,3.2,5.75,7.6,5.516666666666666,5.516666666666666
17000046,2.0,4.5,2.0,2.833333333333333,2.8333333333333335
17000047,4.0,6.0,3.0,4.333333333333333,4.333333333333333
17000048,2.8,4.75,5.8,4.45,4.45
17000049,6.2,5.25,6.0,5.816666666666666,5.816666666666666
17000050,4.8,4.75,3.0,4.183333333333334,4.183333333333334
17000051,3.4,2.25,1.6,2.4166666666666665,2.4166666666666665
17000052,3.4,6.0,2.4,3.9333333333333336,3.9333333333333336
17000053,2.2,3.0,3.0,2.733333333333333,2.733333333333333
17000054,6.2,5.58,4.0,5.260000000000001,5.260000000000001
17000055,6.2,7.75,3.6,5.8500000000000005,5.8500000000000005
17000056,4.4,4.5,3.4,4.1000000000000005,4.1000000000000005
17000057,2.2,3.5,3.4,3.033333333333333,3.033333333333333
17000058,3.8,4.5,6.4,4.9,4.9
17000059,2.2,5.5,3.4,3.7,3.6999999999999997
17000060,3.2,5.25,2.4,3.6166666666666663,3.6166666666666667
17000061,2.4,3.25,1.6,2.4166666666666665,2.4166666666666665
17000062,3.0,4.25,2.8,3.35,3.35
17000063,3.2,4.0,2.8,3.333333333333333,3.3333333333333335
17000064,3.0,4.5,3.2,3.5666666666666664,3.5666666666666664
17000065,3.8,4.0,2.8,3.533333333333333,3.533333333333333
17000066,6.8,6.75,5.2,6.25,6.25
17000067,2.0,3.0,2.8,2.6,2.6
17000068,3.0,4.75,6.0,4.583333333333333,4.583333333333333
17000069,3.4,4.5,2.8,3.5666666666666664,3.5666666666666664
17000070,3.0,2.5,2.4,2.6333333333333333,2.6333333333333333
