SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
33000001,6.2,6.0,4.2,5.466666666666666,5.466666666666666
33000002,5.8,8.0,3.6,5.800000000000001,5.800000000000001
33000003,7.0,7.0,2.6,5.533333333333334,5.533333333333334
33000004,8.6,7.5,5.8,7.300000000000001,7.300000000000001
33000005,8.6,6.0,5.6,6.733333333333333,6.733333333333333
33000006,5.4,5.5,2.8,4.566666666666666,4.566666666666666
33000007,7.4,7.5,7.2,7.366666666666667,7.366666666666667
33000008,8.2,7.5,3.4,6.366666666666666,6.366666666666666
33000009,7.4,7.17,2.6,5.723333333333334,5.723333333333334
33000010,9.0,5.92,3.0,5.973333333333334,5.973333333333334
33000011,5.0,7.5,2.4,4.966666666666667,4.966666666666667
33000012,7.6,7.0,6.0,6.866666666666667,6.866666666666667
33000013,6.4,6.5,3.8,5.566666666666666,5.566666666666666
33000014,8.0,4.0,9.2,7.066666666666666,7.066666666666666
33000015,2.6,5.0,2.6,3.4,3.4
33000016,5.2,6.75,3.0,4.983333333333333,4.983333333333333
33000017,4.6,6.75,2.8,4.716666666666666,4.716666666666666
33000018,3.4,6.25,2.2,3.9500000000000006,3.9500000000000006
33000019,4.4,6.25,3.6,4.75,4.75
33000020,7.8,5.5,4.6,5.966666666666666,5.966666666666666
33000021,8.8,8.0,7.6,8.133333333333333,8.133333333333333
33000022,8.0,7.0,5.0,6.666666666666667,6.666666666666667
33000023,2.8,5.5,1.8,3.366666666666667,3.366666666666667
33000024,6.8,8.0,3.6,6.133333333333334,6.133333333333334
33000025,6.6,6.5,2.8,5.3,5.3
33000026,4.4,5.0,2.8,4.066666666666666,4.066666666666666
33000027,7.6,6.25,6.0,6.616666666666667,6.616666666666667
33000028,6.6,5.5,2.0,4.7,4.7
33000029,7.0,5.75,4.2,5.65,5.6499999999999995
33000030,5.6,5.0,2.2,4.266666666666667,4.266666666666667
33000031,7.6,8.5,7.6,7.900000000000001,7.900000000000001
33000032,5.8,6.0,3.4,5.066666666666667,5.066666666666667
33000033,7.6,6.5,2.6,5.566666666666666,5.566666666666666
33000034,8.2,4.08,7.0,6.426666666666667,6.426666666666667
33000035,5.2,6.0,1.8,4.333333333333333,4.333333333333333
33000036,8.4,6.0,1.6,5.333333333333333,5.333333333333333
33000037,8.4,6.0,6.0,6.8,6.8
33000038,7.4,4.0,4.0,5.133333333333334,5.133333333333334
33000039,6.2,7.75,5.4,6.45,6.45
33000040,5.0,6.17,1.8,4.323333333333333,4.323333333333333
33000041,9.2,6.83,6.4,7.476666666666667,7.476666666666667
33000042,4.0,4.75,3.8,4.183333333333334,4.183333333333334
33000043,8.4,5.75,3.2,5.783333333333334,5.783333333333334
33000044,5.4,5.5,2.8,4.566666666666666,4.566666666666666
33000045,6.8,7.0,5.4,6.400000000000001,6.400000000000001
33000046,7.2,8.75,6.8,7.583333333333333,7.583333333333333
33000047,5.6,7.25,6.6,6.483333333333333,6.483333333333333
33000048,8.0,6.5,6.0,6.833333333333333,6.833333333333333
33000049,6.6,7.0,6.0,6.533333333333334,6.533333333333334
33000050,8.4,9.0,8.2,8.533333333333333,8.533333333333333
33000051,7.8,8.0,6.4,7.400000000000001,7.400000000000001
33000052,6.4,8.0,3.4,5.933333333333334,5.933333333333334
33000053,8.6,7.5,6.4,7.5,7.5
33000054,4.2,6.0,2.6,4.266666666666667,4.266666666666667
33000055,5.2,8.0,8.8,7.333333333333333,7.333333333333333
33000056,8.4,6.5,4.2,6.366666666666667,6.366666666666667
33000057,1.4,5.0,3.0,3.1333333333333333,3.1333333333333333
33000058,5.4,5.5,3.8,4.9,4.8999999999999995
33000059,7.8,6.17,4.6,6.19,6.19
33000060,7.4,7.0,7.2,7.2,7.2
33000061,8.4,6.25,4.6,6.416666666666667,6.416666666666667
33000062,6.6,8.0,4.6,6.4,6.3999999999999995
33000063,8.2,6.75,7.2,7.383333333333333,7.383333333333333
33000064,6.2,6.75,2.6,5.183333333333333,5.183333333333333
33000065,4.8,5.5,3.6,4.633333333333334,4.633333333333334
33000066,7.2,7.0,3.0,5.733333333333333,5.733333333333333
33000067,6.2,6.5,2.6,5.1,5.1
33000068,8.0,7.25,6.6,7.283333333333334,7.283333333333334
33000069,8.0,5.0,3.6,5.533333333333334,5.533333333333334
33000070,5.8,4.0,2.8,4.2,4.2
33000071,8.6,4.25,4.2,5.683333333333334,5.683333333333334
33000072,6.0,5.0,3.4,4.8,4.8
33000073,7.0,5.5,4.0,5.5,5.5
33000074,4.6,7.0,4.2,5.266666666666667,5.266666666666667
33000075,6.8,6.0,3.0,5.266666666666667,5.266666666666667
33000076,8.4,7.5,3.0,6.3,6.3
33000077,7.4,6.0,4.2,5.866666666666667,5.866666666666667
33000078,7.0,8.0,4.0,6.333333333333333,6.333333333333333
33000079,3.4,5.75,3.0,4.05,4.05
33000080,6.6,7.0,3.4,5.666666666666667,5.666666666666667
33000081,3.4,6.25,3.2,4.283333333333334,4.283333333333334
33000082,3.0,4.75,2.6,3.45,3.4499999999999997
33000083,7.8,6.5,3.6,5.966666666666668,5.966666666666668
33000084,6.6,6.0,7.2,6.6000000000000005,6.6000000000000005
33000085,6.8,5.75,2.6,5.05,5.05
33000086,6.2,6.25,4.0,5.483333333333333,5.483333333333333
33000087,8.0,7.75,5.4,7.05,7.05
33000088,8.8,5.5,9.4,7.900000000000001,7.900000000000001
33000089,5.8,5.0,2.2,4.333333333333333,4.333333333333333
33000090,3.6,4.5,3.0,3.7,3.6999999999999997
33000091,4.0,5.0,1.8,3.6,3.6
33000092,4.2,4.0,4.0,4.066666666666666,4.066666666666666
33000093,7.2,6.0,6.0,6.4,6.3999999999999995
33000094,7.4,7.25,5.4,6.683333333333334,6.683333333333334
33000095,7.8,8.5,8.6,8.299999999999999,8.299999999999999
33000096,5.6,7.5,3.2,5.433333333333334,5.433333333333334
33000097,7.8,7.5,4.6,6.633333333333333,6.633333333333333
33000098,7.2,7.75,4.4,6.45,6.45
33000099,8.8,6.0,6.2,7.0,7.0
33000100,4.2,4.25,2.8,3.75,3.75
33000101,8.2,7.0,8.8,8.0,8.0
33000102,6.0,7.5,4.8,6.1000000000000005,6.1000000000000005
33000103,5.0,7.25,3.4,5.216666666666667,5.216666666666667
33000104,8.0,6.5,8.8,7.766666666666667,7.766666666666667
33000105,6.4,2.75,3.8,4.316666666666666,4.316666666666666
33000106,8.8,3.5,3.4,5.233333333333333,5.233333333333333
33000107,7.8,5.0,3.0,5.266666666666667,5.266666666666667
33000108,8.0,5.25,3.0,5.416666666666667,5.416666666666667
33000109,8.6,7.0,8.2,7.933333333333333,7.933333333333333
33000110,4.2,6.5,3.4,4.7,4.7
33000111,8.0,6.5,3.2,5.9,5.8999999999999995
33000112,3.2,5.5,3.2,3.9666666666666655,3.9666666666666663
33000113,7.2,8.0,5.4,6.866666666666667,6.866666666666667
33000114,4.6,7.0,3.0,4.866666666666666,4.866666666666666
33000115,9.0,8.5,9.2,8.9,8.9
33000116,4.4,7.0,3.4,4.933333333333334,4.933333333333334
33000117,8.2,5.75,3.6,5.8500000000000005,5.8500000000000005
33000118,4.2,6.17,2.2,4.19,4.19
33000119,8.2,8.25,7.8,8.083333333333334,8.083333333333334
33000120,8.0,7.0,6.4,7.133333333333333,7.133333333333333
33000121,8.8,6.0,4.8,6.533333333333334,6.533333333333334
33000122,5.2,7.0,1.0,4.4,4.3999999999999995
33000123,4.8,8.0,2.8,5.2,5.2
33000124,7.4,7.5,3.6,6.166666666666667,6.166666666666667
33000125,3.4,4.5,3.2,3.7000000000000006,3.7000000000000006
33000126,8.0,8.5,6.6,7.7,7.7
33000127,8.0,6.5,3.2,5.9,5.8999999999999995
33000128,6.8,6.25,2.8,5.283333333333334,5.283333333333334
33000129,4.6,5.25,3.2,4.3500000000000005,4.3500000000000005
33000130,4.8,6.25,2.6,4.55,4.55
33000131,8.2,4.75,5.6,6.183333333333333,6.183333333333333
33000132,6.8,8.25,4.2,6.416666666666667,6.416666666666667
33000133,5.4,6.0,3.2,4.866666666666667,4.866666666666667
33000134,3.6,5.5,2.8,3.9666666666666655,3.9666666666666663
33000135,7.2,3.75,3.6,4.85,4.85
33000136,6.4,6.25,3.2,5.283333333333334,5.283333333333334
33000137,6.6,7.0,3.6,5.733333333333333,5.733333333333333
33000138,7.4,8.0,5.0,6.8,6.8
33000139,8.2,7.25,7.2,7.55,7.55
33000140,7.6,5.0,3.6,5.4,5.3999999999999995
33000141,8.8,6.75,2.0,5.8500000000000005,5.8500000000000005
33000142,7.6,6.75,5.2,6.516666666666667,6.516666666666667
33000143,7.6,8.0,6.4,7.333333333333333,7.333333333333333
33000144,8.8,6.5,4.8,6.7,6.7
33000145,6.2,7.25,1.8,5.083333333333333,5.083333333333333
33000146,4.2,7.0,3.0,4.733333333333333,4.733333333333333
33000147,7.0,7.5,4.0,6.166666666666667,6.166666666666667
33000148,8.0,8.0,5.2,7.066666666666666,7.066666666666666
33000149,7.8,9.0,7.8,8.200000000000001,8.200000000000001
33000150,4.6,6.5,4.2,5.1000000000000005,5.1000000000000005
33000151,8.2,7.0,2.8,6.0,6.0
33000152,5.4,7.0,4.8,5.733333333333333,5.733333333333333
33000153,7.8,6.0,3.4,5.733333333333333,5.733333333333333
33000154,6.0,6.5,4.0,5.5,5.5
33000155,8.6,6.5,3.2,6.1000000000000005,6.1000000000000005
33000156,7.4,8.0,4.8,6.733333333333333,6.733333333333333
33000157,4.8,5.75,2.0,4.183333333333334,4.183333333333334
33000158,5.8,5.25,2.6,4.55,4.55
33000159,6.6,7.5,3.8,5.966666666666666,5.966666666666666
33000160,5.0,4.75,2.8,4.183333333333334,4.183333333333334
33000161,7.8,6.75,2.8,5.783333333333334,5.783333333333334
33000162,3.0,5.5,3.4,3.966666666666667,3.966666666666667
33000163,4.0,7.25,5.0,5.416666666666667,5.416666666666667
33000164,4.0,6.5,3.4,4.633333333333334,4.633333333333334
33000165,6.8,8.0,3.4,6.066666666666666,6.066666666666666
33000166,6.6,8.5,3.8,6.3,6.3
33000167,2.6,3.75,3.0,3.1166666666666667,3.1166666666666667
33000168,8.0,7.0,9.0,8.0,8.0
33000169,5.8,5.75,4.2,5.25,5.25
33000170,5.4,5.25,1.8,4.15,4.15
33000171,3.2,4.75,3.0,3.65,3.65
33000172,6.8,5.5,2.2,4.833333333333333,4.833333333333333
33000173,6.4,6.0,1.8,4.733333333333333,4.733333333333333
33000174,7.4,6.5,4.8,6.233333333333333,6.233333333333333
33000175,4.4,5.0,4.6,4.666666666666667,4.666666666666667
33000176,8.8,6.5,8.8,8.033333333333333,8.033333333333333
33000177,6.0,4.75,3.2,4.65,4.6499999999999995
33000178,6.8,4.0,4.8,5.2,5.2
33000179,6.4,8.5,5.0,6.633333333333333,6.633333333333333
33000180,6.0,7.0,1.8,4.933333333333334,4.933333333333334
33000181,5.0,6.5,3.4,4.966666666666667,4.966666666666667
33000182,1.6,4.75,3.6,3.3166666666666664,3.3166666666666664
33000183,3.0,6.0,2.0,3.6666666666666665,3.6666666666666665
33000184,5.6,6.75,2.4,4.916666666666667,4.916666666666667
33000185,8.2,5.25,8.4,7.283333333333334,7.283333333333334
33000186,8.6,7.0,2.6,6.066666666666666,6.066666666666666
33000187,8.6,4.75,2.2,5.183333333333334,5.183333333333334
33000188,8.4,5.5,5.4,6.433333333333334,6.433333333333334
33000189,8.6,6.5,6.2,7.1000000000000005,7.1000000000000005
33000190,5.6,7.25,4.8,5.883333333333333,5.883333333333333
33000191,6.2,6.25,3.8,5.416666666666667,5.416666666666667
33000192,4.8,6.5,2.0,4.433333333333334,4.433333333333334
33000193,7.2,8.0,4.8,6.666666666666667,6.666666666666667
33000194,5.2,6.0,2.4,4.533333333333333,4.533333333333333
33000195,5.4,3.0,2.8,3.733333333333333,3.733333333333333
33000196,8.4,5.0,3.6,5.666666666666667,5.666666666666667
33000197,7.4,6.0,3.0,5.466666666666666,5.466666666666666
33000198,5.8,7.25,2.6,5.216666666666667,5.216666666666667
33000199,8.6,8.25,7.2,8.016666666666667,8.016666666666667
33000200,4.0,4.5,2.6,3.7,3.6999999999999997
33000201,5.8,4.25,2.6,4.216666666666667,4.216666666666667
33000202,7.8,6.5,6.2,6.833333333333333,6.833333333333333
33000203,4.8,6.75,3.2,4.916666666666667,4.916666666666667
33000204,4.8,5.5,3.2,4.5,4.5
33000205,4.2,3.75,3.2,3.716666666666667,3.716666666666667
33000206,6.2,6.75,3.0,5.316666666666666,5.316666666666666
33000207,7.4,7.25,5.8,6.816666666666666,6.816666666666666
33000208,3.8,2.75,2.4,2.983333333333333,2.983333333333333
33000209,4.2,6.5,1.8,4.166666666666667,4.166666666666667
33000210,8.0,6.5,5.6,6.7,6.7
33000211,2.6,4.75,2.4,3.25,3.25
33000212,3.4,6.75,2.2,4.116666666666667,4.116666666666667
33000213,8.6,5.45,3.2,5.75,5.75
33000214,7.4,5.5,5.8,6.233333333333333,6.233333333333333
33000215,3.4,4.75,2.6,3.583333333333333,3.5833333333333335
33000216,8.0,6.5,2.8,5.766666666666667,5.766666666666667
33000217,6.6,6.25,4.2,5.683333333333334,5.683333333333334
33000218,8.0,6.0,2.2,5.4,5.3999999999999995
33000219,4.6,6.5,2.6,4.566666666666666,4.566666666666666
33000220,5.4,6.75,3.2,5.116666666666667,5.116666666666667
33000221,6.0,5.75,3.0,4.916666666666667,4.916666666666667
33000222,8.2,6.0,2.8,5.666666666666667,5.666666666666667
33000223,6.4,7.0,3.0,5.466666666666666,5.466666666666666
33000224,6.4,5.5,3.6,5.166666666666667,5.166666666666667
33000225,4.6,6.0,2.8,4.466666666666666,4.466666666666666
33000226,5.4,7.25,1.8,4.816666666666667,4.816666666666667
33000227,4.4,7.25,1.8,4.483333333333333,4.483333333333333
33000228,7.6,7.0,6.4,7.0,7.0
33000229,7.4,6.25,4.0,5.883333333333333,5.883333333333333
33000230,8.2,7.25,6.6,7.349999999999999,7.349999999999999
33000231,7.4,5.75,4.0,5.716666666666666,5.716666666666666
33000232,8.6,8.0,6.4,7.666666666666667,7.666666666666667
33000233,1.6,5.5,2.6,3.233333333333333,3.233333333333333
33000234,6.4,6.0,3.2,5.2,5.2
33000235,6.4,6.75,3.4,5.516666666666667,5.516666666666667
33000236,5.6,4.75,3.2,4.516666666666667,4.516666666666667
33000237,5.4,7.25,1.4,4.683333333333334,4.683333333333334
33000238,5.8,6.75,3.8,5.45,5.45
33000239,8.4,7.25,5.2,6.95,6.95
33000240,6.4,5.0,3.0,4.8,4.8
33000241,7.8,8.25,5.6,7.216666666666666,7.216666666666666
33000242,7.8,7.25,2.8,5.95,5.95
33000243,2.0,5.25,2.4,3.216666666666667,3.216666666666667
33000244,6.2,7.75,4.6,6.183333333333333,6.183333333333333
33000245,3.0,4.75,4.6,4.116666666666666,4.116666666666666
33000246,6.2,6.75,6.0,6.316666666666666,6.316666666666666
33000247,6.2,6.25,5.0,5.816666666666666,5.816666666666666
33000248,8.2,6.75,5.2,6.716666666666666,6.716666666666666
33000249,7.0,6.25,5.8,6.3500000000000005,6.3500000000000005
33000250,2.6,0.0,3.2,1.9333333333333336,1.9333333333333336
33000251,7.8,5.25,6.6,6.55,6.55
33000252,7.2,6.25,6.6,6.683333333333333,6.683333333333333
33000253,6.6,6.75,2.8,5.383333333333333,5.383333333333333
33000254,3.0,5.75,3.2,3.983333333333333,3.983333333333333
33000255,8.6,7.0,9.4,8.333333333333334,8.333333333333334
33000256,8.4,5.0,3.4,5.6000000000000005,5.6000000000000005
33000257,3.6,6.25,3.2,4.3500000000000005,4.3500000000000005
33000258,4.2,6.75,3.6,4.85,4.85
33000259,4.2,7.75,3.4,5.116666666666666,5.116666666666666
33000260,9.2,4.0,7.0,6.733333333333333,6.733333333333333
33000261,8.0,6.75,3.6,6.116666666666667,6.116666666666667
