SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
58000001,8.0,6.5,4.2,6.233333333333333,6.233333333333333
58000002,6.6,8.0,8.2,7.599999999999999,7.599999999999999
58000003,7.8,7.0,4.8,6.533333333333334,6.533333333333334
58000004,6.2,6.25,5.2,5.883333333333333,5.883333333333333
58000005,6.0,4.5,5.0,5.166666666666667,5.166666666666667
58000006,6.8,5.0,5.8,5.866666666666667,5.866666666666667
58000007,5.4,4.5,3.2,4.366666666666667,4.366666666666667
58000008,4.8,5.0,3.0,4.266666666666667,4.266666666666667
58000009,5.4,5.75,3.2,4.783333333333334,4.783333333333334
58000010,6.8,7.25,4.8,6.283333333333334,6.283333333333334
58000011,7.2,6.25,3.2,5.55,5.55
58000012,5.6,6.5,5.4,5.833333333333333,5.833333333333333
58000015,4.8,7.0,4.0,5.266666666666667,5.266666666666667
58000016,5.4,7.5,3.2,5.366666666666667,5.366666666666667
58000017,5.8,6.5,6.6,6.3,6.3
58000018,5.0,7.0,5.4,5.8,5.8
58000019,5.0,5.5,2.4,4.3,4.3
58000020,5.6,5.5,4.2,5.1000000000000005,5.1000000000000005
58000021,4.4,5.0,2.8,4.066666666666666,4.066666666666666
58000022,5.4,7.25,6.0,6.216666666666666,6.216666666666666
58000024,8.2,8.25,8.2,8.216666666666667,8.216666666666667
58000025,6.0,6.0,5.2,5.733333333333333,5.733333333333333
58000026,5.0,7.0,5.4,5.8,5.8
58000027,5.4,5.0,3.6,4.666666666666667,4.666666666666667
58000028,4.4,6.25,3.2,4.616666666666667,4.616666666666667
58000029,6.2,5.5,5.6,5.766666666666666,5.766666666666666
58000030,7.0,6.0,6.8,6.6000000000000005,6.6000000000000005
58000031,7.6,5.75,5.8,6.383333333333333,6.383333333333333
58000032,6.8,5.75,3.4,5.316666666666667,5.316666666666667
58000033,5.4,7.0,4.0,5.466666666666666,5.466666666666666
58000034,6.8,5.0,2.6,4.8,4.8
58000036,8.4,7.75,6.0,7.383333333333333,7.383333333333333
58000037,7.6,7.25,5.4,6.75,6.75
58000038,3.8,4.5,2.8,3.7000000000000006,3.7000000000000006
58000039,7.4,6.0,6.4,6.6000000000000005,6.6000000000000005
58000040,6.2,6.5,2.4,5.033333333333333,5.033333333333333
58000041,6.0,5.25,3.4,4.883333333333334,4.883333333333334
58000042,5.8,6.25,6.2,6.083333333333333,6.083333333333333
58000043,5.0,5.25,4.8,5.016666666666667,5.016666666666667
58000044,7.6,8.0,4.4,6.666666666666667,6.666666666666667
58000047,5.6,6.5,3.2,5.1000000000000005,5.1000000000000005
58000049,6.0,6.0,3.8,5.266666666666667,5.266666666666667
58000050,5.6,6.5,3.6,5.233333333333333,5.233333333333333
58000052,7.6,7.5,7.6,7.566666666666666,7.566666666666666
58000054,8.2,7.25,8.2,7.883333333333333,7.883333333333333
58000056,5.8,7.25,3.8,5.616666666666667,5.616666666666667
58000057,6.0,5.75,4.8,5.516666666666667,5.516666666666667
58000058,6.0,7.25,4.4,5.883333333333333,5.883333333333333
58000059,4.2,5.25,4.2,4.55,4.55
58000060,6.0,6.5,4.0,5.5,5.5
58000061,6.2,7.0,4.6,5.933333333333333,5.933333333333333
58000062,7.2,6.75,4.4,6.116666666666667,6.116666666666667
58000064,6.0,6.0,3.4,5.133333333333334,5.133333333333334
58000065,6.2,4.75,4.6,5.183333333333333,5.183333333333333
58000067,4.6,5.25,4.6,4.816666666666666,4.816666666666666
58000068,7.2,6.5,4.8,6.166666666666667,6.166666666666667
58000070,4.6,6.0,2.8,4.466666666666666,4.466666666666666
58000071,5.0,5.5,3.8,4.766666666666667,4.766666666666667
58000072,7.2,8.5,5.2,6.966666666666666,6.966666666666666
58000073,8.2,7.0,8.4,7.866666666666667,7.866666666666667
58000075,5.8,5.75,3.2,4.916666666666667,4.916666666666667
58000076,8.0,7.0,5.8,6.933333333333334,6.933333333333334
58000077,7.4,7.0,4.2,6.2,6.2
58000079,5.4,6.75,3.2,5.116666666666667,5.116666666666667
58000080,5.6,6.0,4.2,5.266666666666667,5.266666666666667
58000081,4.0,6.25,3.0,4.416666666666667,4.416666666666667
58000082,8.0,6.75,4.0,6.25,6.25
58000083,4.8,6.75,3.0,4.8500000000000005,4.8500000000000005
58000084,4.6,4.0,3.2,3.9333333333333336,3.9333333333333336
58000085,7.2,7.5,6.4,7.033333333333334,7.033333333333334
58000086,6.0,8.0,2.8,5.6000000000000005,5.6000000000000005
58000087,4.8,5.5,5.4,5.233333333333333,5.233333333333333
58000088,8.6,8.25,7.2,8.016666666666667,8.016666666666667
58000089,7.4,6.5,5.2,6.366666666666667,6.366666666666667
58000090,8.0,5.75,5.2,6.316666666666666,6.316666666666666
58000091,6.6,5.75,7.4,6.583333333333333,6.583333333333333
58000092,6.6,6.5,4.0,5.7,5.7
58000093,5.6,5.25,3.8,4.883333333333333,4.883333333333333
58000094,5.4,6.75,3.8,5.316666666666666,5.316666666666666
58000095,4.8,6.5,2.8,4.7,4.7
58000096,4.0,6.25,6.6,5.616666666666667,5.616666666666667
58000097,5.0,6.25,3.2,4.816666666666666,4.816666666666666
58000098,3.6,3.25,3.2,3.35,3.35
58000099,3.8,3.25,3.4,3.483333333333333,3.483333333333333
58000100,5.2,6.25,3.6,5.016666666666667,5.016666666666667
58000101,4.6,4.5,4.6,4.566666666666666,4.566666666666666
58000103,6.4,6.5,6.0,6.3,6.3
58000104,6.0,6.0,4.2,5.4,5.3999999999999995
58000105,7.4,7.75,5.6,6.916666666666667,6.916666666666667
58000106,7.0,6.75,4.2,5.983333333333333,5.983333333333333
58000107,4.0,4.25,3.8,4.016666666666667,4.016666666666667
58000108,5.4,6.5,2.4,4.766666666666667,4.766666666666667
58000109,4.4,6.0,3.0,4.466666666666667,4.466666666666667
58000110,7.6,5.25,7.4,6.75,6.75
58000112,6.8,6.25,4.6,5.883333333333333,5.883333333333333
58000113,6.0,5.75,2.6,4.783333333333333,4.783333333333333
58000114,7.0,6.25,4.8,6.016666666666667,6.016666666666667
58000115,8.0,6.5,6.2,6.9,6.8999999999999995
