SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
57000001,8.6,5.75,7.4,7.25,7.25
57000002,8.0,5.25,6.4,6.55,6.55
57000004,7.8,5.0,8.2,7.0,7.0
57000005,7.6,6.5,9.0,7.7,7.7
57000006,8.4,5.0,2.8,5.4,5.3999999999999995
57000007,8.4,6.75,5.2,6.783333333333334,6.783333333333334
57000008,7.2,6.25,6.0,6.483333333333333,6.483333333333333
57000009,8.0,5.5,7.8,7.1000000000000005,7.1000000000000005
57000010,7.6,6.25,6.8,6.883333333333333,6.883333333333333
57000011,7.2,6.0,6.6,6.599999999999999,6.599999999999999
57000013,8.2,7.08,6.8,7.359999999999999,7.359999999999999
57000014,7.2,6.0,9.6,7.599999999999999,7.599999999999999
57000015,8.4,6.25,3.4,6.016666666666667,6.016666666666667
57000016,6.8,8.0,8.0,7.6,7.6000000000000005
57000018,5.6,5.25,7.2,6.016666666666667,6.016666666666667
57000019,7.8,7.5,7.2,7.5,7.5
57000020,2.4,7.25,3.6,4.416666666666667,4.416666666666667
57000021,8.0,7.0,8.6,7.866666666666667,7.866666666666667
57000023,5.2,5.25,3.6,4.683333333333333,4.683333333333333
57000024,6.2,7.25,7.6,7.016666666666666,7.016666666666666
57000025,7.0,7.25,4.6,6.283333333333334,6.283333333333334
57000026,7.2,8.25,4.2,6.55,6.55
57000027,5.4,6.0,4.4,5.266666666666667,5.266666666666667
57000028,5.8,6.75,4.2,5.583333333333333,5.583333333333333
57000029,7.8,5.5,5.4,6.233333333333334,6.233333333333334
57000030,7.4,6.5,5.8,6.566666666666666,6.566666666666666
57000032,8.0,5.33,5.8,6.376666666666666,6.376666666666666
57000033,7.2,5.75,7.8,6.916666666666667,6.916666666666667
57000034,7.0,6.0,4.4,5.8,5.8
57000036,7.0,6.5,6.6,6.7,6.7
57000038,8.0,6.75,6.8,7.183333333333334,7.183333333333334
57000039,8.0,6.5,4.2,6.233333333333333,6.233333333333333
57000040,7.6,6.5,6.0,6.7,6.7
57000041,6.6,6.25,8.2,7.016666666666666,7.016666666666666
57000042,5.0,5.0,5.4,5.133333333333334,5.133333333333334
57000046,7.6,5.25,7.8,6.883333333333333,6.883333333333333
57000047,7.6,4.0,8.2,6.599999999999999,6.599999999999999
57000049,8.2,5.5,9.6,7.766666666666666,7.766666666666666
57000050,7.4,6.75,7.4,7.183333333333334,7.183333333333334
