SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
11000001,3.6,8.5,7.2,6.433333333333334,6.433333333333334
11000003,5.6,5.25,4.0,4.95,4.95
11000004,4.8,4.5,3.2,4.166666666666667,4.166666666666667
11000005,7.6,7.0,4.2,6.266666666666667,6.266666666666667
11000006,4.6,6.25,4.8,5.216666666666666,5.216666666666666
11000007,5.6,6.25,4.0,5.283333333333333,5.283333333333333
11000008,7.2,6.5,8.4,7.366666666666667,7.366666666666667
11000009,2.6,6.5,2.2,3.766666666666667,3.766666666666667
11000010,2.8,5.25,2.2,3.4166666666666665,3.4166666666666665
11000011,3.2,4.75,2.0,3.3166666666666664,3.3166666666666664
11000012,6.2,9.0,5.2,6.8,6.8
11000013,4.8,7.5,3.6,5.3,5.3
11000014,3.2,6.0,2.8,4.0,4.0
11000015,7.4,6.5,4.0,5.966666666666666,5.966666666666666
11000016,4.6,6.25,5.0,5.283333333333333,5.283333333333333
11000017,3.4,5.75,1.6,3.583333333333333,3.5833333333333335
11000018,4.4,5.75,2.8,4.316666666666666,4.316666666666666
11000019,2.0,6.5,3.0,3.8333333333333335,3.8333333333333335
11000020,3.6,5.0,1.6,3.4,3.4
11000021,3.4,5.75,3.8,4.316666666666666,4.316666666666666
11000022,5.0,7.75,2.8,5.183333333333334,5.183333333333334
11000023,7.2,4.25,3.6,5.016666666666667,5.016666666666667
11000024,2.8,6.5,4.2,4.5,4.5
11000025,5.6,4.25,1.8,3.883333333333333,3.8833333333333333
11000026,4.2,5.25,3.2,4.216666666666666,4.216666666666666
11000027,2.2,4.25,3.0,3.15,3.15
11000028,3.6,5.5,2.2,3.766666666666667,3.766666666666667
11000029,3.6,6.75,2.6,4.316666666666666,4.316666666666666
11000031,6.0,5.75,5.0,5.583333333333333,5.583333333333333
11000032,4.8,4.5,4.4,4.566666666666667,4.566666666666667
11000033,3.6,5.5,3.0,4.033333333333333,4.033333333333333
11000034,5.2,8.25,4.6,6.016666666666666,6.016666666666666
11000035,4.8,7.25,3.8,5.283333333333334,5.283333333333334
11000036,7.0,7.5,3.4,5.966666666666666,5.966666666666666
11000037,6.6,7.25,3.6,5.816666666666666,5.816666666666666
11000038,6.6,7.0,3.6,5.733333333333333,5.733333333333333
11000039,4.6,5.75,3.8,4.716666666666666,4.716666666666666
11000040,4.4,5.5,5.0,4.966666666666667,4.966666666666667
11000042,6.0,5.0,6.8,5.933333333333334,5.933333333333334
11000044,7.2,8.5,7.6,7.766666666666666,7.766666666666666
11000045,5.2,7.0,5.0,5.733333333333333,5.733333333333333
11000046,4.4,6.0,4.6,5.0,5.0
11000047,6.0,7.5,3.6,5.7,5.7
11000048,5.2,6.5,4.4,5.366666666666667,5.366666666666667
11000049,4.0,5.25,2.6,3.95,3.9499999999999997
11000050,5.4,4.75,3.6,4.583333333333333,4.583333333333333
11000051,5.2,4.25,3.0,4.15,4.1499999999999995
11000052,5.6,6.25,4.0,5.283333333333333,5.283333333333333
11000053,3.8,5.0,3.0,3.9333333333333336,3.9333333333333336
11000054,2.6,5.25,4.2,4.016666666666667,4.016666666666667
11000055,5.0,5.5,3.0,4.5,4.5
11000056,7.6,6.0,5.4,6.333333333333333,6.333333333333333
11000057,3.2,6.0,3.4,4.2,4.2
11000058,3.4,4.5,2.2,3.366666666666667,3.366666666666667
11000059,3.0,5.0,3.6,3.8666666666666663,3.8666666666666667
11000060,4.8,6.75,3.8,5.116666666666667,5.116666666666667
11000061,6.0,6.0,3.4,5.133333333333334,5.133333333333334
11000062,4.4,5.25,3.0,4.216666666666667,4.216666666666667
11000063,3.8,6.0,3.2,4.333333333333333,4.333333333333333
11000064,4.2,6.58,5.0,5.260000000000001,5.260000000000001
11000065,3.6,5.25,4.0,4.283333333333333,4.283333333333333
11000066,5.2,6.5,5.0,5.566666666666666,5.566666666666666
11000067,5.4,6.5,2.8,4.9,4.8999999999999995
11000068,6.8,6.75,4.2,5.916666666666667,5.916666666666667
11000069,4.8,5.5,3.8,4.7,4.7
11000070,4.0,6.0,3.2,4.4,4.3999999999999995
11000071,5.0,6.25,4.4,5.216666666666667,5.216666666666667
11000072,3.6,5.5,3.6,4.233333333333333,4.233333333333333
11000073,6.2,7.0,4.0,5.733333333333333,5.733333333333333
11000074,4.0,7.0,4.6,5.2,5.2
11000075,7.0,6.25,2.8,5.3500000000000005,5.3500000000000005
11000076,5.2,6.25,2.6,4.683333333333333,4.683333333333333
11000077,5.6,5.5,6.6,5.9,5.8999999999999995
11000078,4.4,4.75,2.6,3.9166666666666665,3.9166666666666665
11000079,4.6,5.5,2.6,4.233333333333333,4.233333333333333
