SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
6000001,3.0,4.25,2.4,3.216666666666667,3.216666666666667
6000003,4.4,4.25,4.2,4.283333333333334,4.283333333333334
6000004,3.0,4.5,3.2,3.5666666666666664,3.5666666666666664
6000006,3.8,3.25,2.8,3.283333333333333,3.283333333333333
6000007,3.4,4.25,1.6,3.083333333333333,3.0833333333333335
6000008,3.8,3.25,1.4,2.8166666666666664,2.8166666666666664
6000009,7.6,6.75,6.4,6.916666666666667,6.916666666666667
6000011,5.0,5.0,3.0,4.333333333333333,4.333333333333333
6000012,3.2,3.5,3.0,3.233333333333333,3.233333333333333
6000013,6.4,5.5,3.6,5.166666666666667,5.166666666666667
6000014,3.2,3.5,4.4,3.7000000000000006,3.7000000000000006
6000015,4.2,5.75,3.0,4.316666666666666,4.316666666666666
6000016,2.8,5.5,2.6,3.633333333333333,3.6333333333333333
6000017,2.8,5.0,3.4,3.733333333333333,3.733333333333333
6000019,4.2,4.0,3.6,3.933333333333333,3.933333333333333
6000021,3.2,2.5,2.4,2.7,2.6999999999999997
6000023,4.2,3.5,2.6,3.4333333333333336,3.4333333333333336
6000024,5.0,6.0,2.8,4.6000000000000005,4.6000000000000005
6000025,3.0,4.75,2.4,3.3833333333333333,3.3833333333333333
6000026,4.0,5.75,3.0,4.25,4.25
6000027,3.6,3.75,3.2,3.516666666666667,3.516666666666667
6000028,3.6,4.75,2.2,3.516666666666667,3.516666666666667
6000029,5.8,6.0,6.8,6.2,6.2
6000030,2.8,4.0,2.0,2.9333333333333336,2.9333333333333336
6000031,4.4,4.75,3.2,4.116666666666667,4.116666666666667
6000032,4.2,7.0,3.2,4.8,4.8
6000033,3.2,4.5,2.6,3.4333333333333336,3.4333333333333336
6000034,5.8,5.0,3.4,4.733333333333333,4.733333333333333
6000035,4.2,4.75,3.6,4.183333333333333,4.183333333333333
6000037,4.4,5.0,3.2,4.2,4.2
6000038,3.2,4.5,2.6,3.4333333333333336,3.4333333333333336
6000040,2.0,2.5,2.4,2.3000000000000003,2.3000000000000003
6000042,6.0,4.75,2.8,4.516666666666667,4.516666666666667
6000043,3.6,5.0,6.6,5.066666666666666,5.066666666666666
6000044,4.6,5.25,2.4,4.083333333333333,4.083333333333333
6000045,5.0,5.25,4.4,4.883333333333334,4.883333333333334
6000046,3.8,5.0,3.0,3.9333333333333336,3.9333333333333336
6000047,3.6,4.0,2.2,3.266666666666667,3.266666666666667
6000048,5.0,5.25,4.2,4.816666666666666,4.816666666666666
6000049,4.2,6.75,2.2,4.383333333333333,4.383333333333333
6000054,3.0,4.25,2.2,3.15,3.15
6000055,3.6,2.75,2.8,3.0499999999999994,3.0499999999999994
6000056,4.6,4.5,2.4,3.8333333333333335,3.8333333333333335
6000057,5.6,6.25,5.0,5.616666666666667,5.616666666666667
6000058,3.8,3.0,3.6,3.466666666666667,3.466666666666667
6000059,7.0,6.75,6.0,6.583333333333333,6.583333333333333
6000061,4.8,6.5,3.4,4.9,4.9
6000062,2.4,5.0,2.4,3.266666666666667,3.266666666666667
6000065,4.8,6.0,4.4,5.066666666666667,5.066666666666667
6000066,4.2,4.5,2.2,3.633333333333333,3.633333333333333
6000067,2.4,4.25,2.6,3.083333333333333,3.0833333333333335
6000068,5.6,6.75,5.0,5.783333333333334,5.783333333333334
6000069,2.2,5.75,3.2,3.716666666666667,3.716666666666667
6000070,8.2,7.75,5.8,7.25,7.25
6000071,4.8,4.5,2.2,3.8333333333333335,3.8333333333333335
6000072,5.4,7.0,3.2,5.2,5.2
6000073,6.2,3.75,2.2,4.05,4.05
6000074,6.2,5.25,2.4,4.616666666666666,4.616666666666666
6000075,5.8,5.0,3.0,4.6000000000000005,4.6000000000000005
6000076,4.4,6.0,2.0,4.133333333333334,4.133333333333334
6000077,4.8,7.25,3.2,5.083333333333333,5.083333333333333
6000078,6.6,6.0,4.8,5.8,5.8
6000079,4.8,5.75,1.8,4.116666666666667,4.116666666666667
6000080,3.8,6.0,2.6,4.133333333333334,4.133333333333334
