SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
64000001,6.8,8.0,7.0,7.266666666666667,7.266666666666667
64000003,7.4,7.75,6.4,7.183333333333334,7.183333333333334
64000004,5.6,6.5,5.0,5.7,5.7
64000005,5.2,6.25,4.0,5.15,5.1499999999999995
64000006,4.6,5.25,3.4,4.416666666666667,4.416666666666667
64000007,6.6,5.75,2.8,5.05,5.05
64000008,2.8,7.0,2.6,4.133333333333334,4.133333333333334
64000010,6.0,7.0,6.8,6.6000000000000005,6.6000000000000005
64000011,4.2,6.0,4.2,4.8,4.8
64000012,7.6,7.75,3.6,6.316666666666666,6.316666666666666
64000014,7.8,7.75,6.6,7.383333333333333,7.383333333333333
64000015,4.0,6.5,3.0,4.5,4.5
64000016,7.8,6.75,3.6,6.050000000000001,6.050000000000001
64000018,6.4,5.0,5.0,5.466666666666666,5.466666666666666
64000019,3.4,6.5,3.4,4.433333333333334,4.433333333333334
64000021,4.6,6.0,4.0,4.866666666666666,4.866666666666666
64000022,6.4,8.0,5.0,6.466666666666666,6.466666666666666
64000024,5.8,6.5,4.4,5.566666666666667,5.566666666666667
64000025,8.2,8.25,6.6,7.683333333333333,7.683333333333333
64000026,6.0,7.0,5.0,6.0,6.0
64000028,5.4,6.0,5.0,5.466666666666666,5.466666666666666
64000029,5.0,7.5,4.8,5.766666666666667,5.766666666666667
64000032,3.4,5.75,3.8,4.316666666666666,4.316666666666666
64000033,4.2,7.0,2.0,4.4,4.3999999999999995
64000036,7.4,7.0,3.6,6.0,6.0
64000038,7.2,6.25,5.0,6.15,6.1499999999999995
64000039,4.6,7.0,3.2,4.933333333333334,4.933333333333334
64000040,8.4,7.0,5.0,6.8,6.8
64000041,7.2,6.75,5.0,6.316666666666666,6.316666666666666
64000042,7.0,8.5,7.2,7.566666666666666,7.566666666666666
64000043,6.6,7.25,4.8,6.216666666666666,6.216666666666666
64000044,6.8,6.75,1.8,5.116666666666667,5.116666666666667
64000045,6.6,7.75,5.0,6.45,6.45
64000046,7.6,6.75,4.2,6.183333333333334,6.183333333333334
64000047,7.4,8.0,6.0,7.133333333333333,7.133333333333333
64000048,6.0,7.5,5.6,6.366666666666667,6.366666666666667
64000049,6.6,7.75,5.6,6.65,6.6499999999999995
