SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
7000001,7.8,0.0,2.8,3.533333333333333,3.533333333333333
7000002,8.0,6.0,5.4,6.466666666666666,6.466666666666666
7000003,8.2,6.75,4.2,6.383333333333333,6.383333333333333
7000004,7.2,8.75,9.2,8.383333333333333,8.383333333333333
7000005,8.0,6.25,5.6,6.616666666666667,6.616666666666667
7000006,8.2,7.75,6.2,7.383333333333333,7.383333333333333
7000008,6.2,7.0,2.8,5.333333333333333,5.333333333333333
7000009,8.0,7.0,8.2,7.733333333333333,7.733333333333333
7000010,7.4,7.5,7.8,7.566666666666666,7.566666666666666
7000011,6.6,5.25,9.0,6.95,6.95
7000012,4.8,7.0,4.2,5.333333333333333,5.333333333333333
7000013,7.0,7.25,9.2,7.816666666666666,7.816666666666666
7000014,6.8,7.25,5.4,6.483333333333334,6.483333333333334
7000015,7.4,5.75,7.4,6.8500000000000005,6.8500000000000005
7000016,8.4,9.0,5.6,7.666666666666667,7.666666666666667
7000017,7.8,7.25,5.2,6.75,6.75
7000018,8.2,9.25,5.8,7.75,7.75
7000019,5.2,4.75,2.6,4.183333333333333,4.183333333333333
7000020,7.6,6.5,8.0,7.366666666666667,7.366666666666667
7000021,8.6,7.0,9.4,8.333333333333334,8.333333333333334
7000022,5.4,8.0,8.2,7.2,7.2
7000023,8.2,9.5,6.8,8.166666666666666,8.166666666666666
7000024,7.2,9.0,8.8,8.333333333333334,8.333333333333334
7000025,7.0,6.25,4.0,5.75,5.75
7000026,7.8,7.75,4.2,6.583333333333333,6.583333333333333
7000027,7.4,9.0,4.2,6.866666666666666,6.866666666666666
7000028,7.0,5.5,4.4,5.633333333333333,5.633333333333333
7000029,8.0,8.5,6.0,7.5,7.5
7000030,6.8,7.5,8.0,7.433333333333334,7.433333333333334
7000031,7.6,6.0,8.0,7.2,7.2
7000032,7.8,6.25,4.2,6.083333333333333,6.083333333333333
7000033,8.0,6.75,4.8,6.516666666666667,6.516666666666667
7000034,5.4,8.75,4.2,6.116666666666667,6.116666666666667
7000037,7.4,5.75,5.4,6.183333333333334,6.183333333333334
7000040,4.6,9.0,5.6,6.4,6.3999999999999995
7000041,8.0,8.25,8.8,8.35,8.35
7000042,8.8,6.0,6.8,7.2,7.2
7000044,8.4,8.25,9.0,8.549999999999999,8.549999999999999
7000045,6.0,9.5,6.2,7.233333333333333,7.233333333333333
7000047,6.2,7.5,3.0,5.566666666666666,5.566666666666666
7000049,6.0,8.0,4.2,6.066666666666666,6.066666666666666
7000050,8.4,7.75,5.2,7.116666666666666,7.116666666666666
