SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
8000001,6.8,7.0,3.8,5.866666666666667,5.866666666666667
8000002,6.8,8.25,7.4,7.483333333333334,7.483333333333334
8000003,7.8,7.75,4.4,6.650000000000001,6.650000000000001
8000004,6.2,8.0,7.0,7.066666666666666,7.066666666666666
8000005,6.0,8.75,6.4,7.05,7.05
8000006,5.4,7.75,3.0,5.383333333333333,5.383333333333333
8000007,8.8,7.25,5.4,7.150000000000001,7.150000000000001
8000008,5.6,7.0,6.6,6.4,6.3999999999999995
8000009,7.0,7.75,5.2,6.65,6.6499999999999995
8000011,7.0,8.0,4.6,6.533333333333334,6.533333333333334
8000012,6.4,7.5,4.8,6.233333333333333,6.233333333333333
8000013,4.6,7.5,4.4,5.5,5.5
8000014,6.0,7.25,5.6,6.283333333333334,6.283333333333334
8000015,5.2,8.0,3.8,5.666666666666667,5.666666666666667
8000016,5.4,7.0,5.4,5.933333333333334,5.933333333333334
8000017,3.6,6.75,5.0,5.116666666666666,5.116666666666666
8000018,7.6,7.0,9.2,7.933333333333333,7.933333333333333
8000019,6.4,8.25,4.4,6.3500000000000005,6.3500000000000005
8000020,7.8,8.25,4.4,6.816666666666667,6.816666666666667
8000021,5.0,7.75,8.0,6.916666666666667,6.916666666666667
8000022,5.8,8.5,3.6,5.966666666666668,5.966666666666668
8000023,4.4,8.0,3.0,5.133333333333334,5.133333333333334
8000024,5.8,8.5,4.8,6.366666666666667,6.366666666666667
8000025,5.6,7.08,4.0,5.56,5.56
8000026,4.4,6.5,5.4,5.433333333333334,5.433333333333334
8000027,3.6,6.5,3.4,4.5,4.5
8000028,5.2,6.75,3.8,5.25,5.25
8000029,5.4,7.0,2.8,5.066666666666666,5.066666666666666
8000030,5.8,8.75,6.2,6.916666666666667,6.916666666666667
8000031,6.0,6.25,4.4,5.55,5.55
8000032,7.4,7.5,3.6,6.166666666666667,6.166666666666667
8000033,7.4,8.75,2.6,6.25,6.25
8000034,5.8,7.75,4.4,5.983333333333334,5.983333333333334
8000035,8.2,8.25,7.6,8.016666666666666,8.016666666666666
8000036,7.8,7.75,4.0,6.516666666666667,6.516666666666667
8000037,8.8,9.5,9.4,9.233333333333334,9.233333333333334
8000038,5.8,7.5,4.2,5.833333333333333,5.833333333333333
8000039,6.4,7.0,3.0,5.466666666666666,5.466666666666666
8000040,7.0,7.5,7.6,7.366666666666667,7.366666666666667
8000042,5.6,7.25,5.4,6.083333333333333,6.083333333333333
8000045,6.2,7.0,5.8,6.333333333333333,6.333333333333333
8000046,6.0,6.75,4.0,5.583333333333333,5.583333333333333
8000047,6.2,7.5,5.8,6.5,6.5
8000048,7.4,8.0,6.2,7.2,7.2
8000049,4.2,7.5,4.2,5.3,5.3
8000050,4.8,8.25,5.0,6.016666666666667,6.016666666666667
8000053,6.0,6.25,4.2,5.483333333333333,5.483333333333333
8000054,5.8,7.5,3.8,5.7,5.7
8000056,6.4,8.75,4.6,6.583333333333333,6.583333333333333
8000057,7.6,7.5,4.6,6.566666666666666,6.566666666666666
8000058,7.0,7.5,3.6,6.033333333333334,6.033333333333334
8000059,4.8,8.0,4.0,5.6000000000000005,5.6000000000000005
8000060,6.4,7.75,6.4,6.8500000000000005,6.8500000000000005
8000061,6.6,8.25,6.0,6.95,6.95
8000062,6.6,8.25,4.6,6.483333333333333,6.483333333333333
8000063,6.0,8.75,3.6,6.116666666666667,6.116666666666667
8000064,6.0,7.25,5.2,6.15,6.1499999999999995
8000065,7.2,7.75,4.8,6.583333333333333,6.583333333333333
8000066,6.8,7.5,4.2,6.166666666666667,6.166666666666667
8000067,8.4,8.5,8.2,8.366666666666665,8.366666666666665
8000068,6.8,7.5,5.2,6.5,6.5
8000069,8.6,6.5,5.8,6.966666666666666,6.966666666666666
8000070,5.0,6.25,7.2,6.15,6.1499999999999995
8000072,6.2,7.25,4.4,5.95,5.95
8000073,7.4,7.25,4.2,6.283333333333334,6.283333333333334
8000074,6.4,7.25,6.6,6.75,6.75
8000075,7.2,8.75,8.0,7.983333333333333,7.983333333333333
8000076,5.6,7.0,3.4,5.333333333333333,5.333333333333333
8000077,9.0,7.75,6.2,7.649999999999999,7.6499999999999995
8000078,7.8,6.25,6.2,6.75,6.75
8000079,7.0,7.75,4.6,6.45,6.45
8000080,6.4,8.5,5.0,6.633333333333333,6.633333333333333
8000081,6.8,8.25,5.2,6.75,6.75
8000082,4.4,6.75,3.0,4.716666666666667,4.716666666666667
8000083,4.0,7.75,4.0,5.25,5.25
8000084,7.6,8.0,5.2,6.933333333333334,6.933333333333334
8000085,6.4,7.5,3.4,5.766666666666667,5.766666666666667
8000086,5.8,8.75,5.8,6.783333333333334,6.783333333333334
8000087,4.8,6.25,3.0,4.683333333333334,4.683333333333334
8000088,5.6,7.25,3.6,5.483333333333333,5.483333333333333
8000089,6.0,7.75,4.0,5.916666666666667,5.916666666666667
8000090,5.6,7.0,3.6,5.4,5.3999999999999995
8000092,5.4,8.0,3.4,5.6000000000000005,5.6000000000000005
8000093,8.2,8.0,3.8,6.666666666666667,6.666666666666667
8000094,8.2,7.17,6.2,7.19,7.19
8000095,5.4,8.25,5.0,6.216666666666666,6.216666666666666
8000096,7.0,7.83,4.4,6.41,6.41
8000098,7.2,8.5,4.8,6.833333333333333,6.833333333333333
8000099,8.0,7.75,5.6,7.116666666666667,7.116666666666667
8000100,6.6,7.5,4.8,6.3,6.3
8000101,5.8,7.0,4.8,5.866666666666667,5.866666666666667
