SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
15000001,7.4,8.5,8.8,8.233333333333334,8.233333333333334
15000002,8.2,6.75,5.0,6.65,6.6499999999999995
15000003,7.2,7.0,8.2,7.466666666666666,7.466666666666666
15000004,7.8,6.75,8.4,7.650000000000001,7.650000000000001
15000005,8.0,7.5,8.2,7.899999999999999,7.8999999999999995
15000006,7.4,6.0,8.8,7.400000000000001,7.400000000000001
15000007,8.6,7.25,7.8,7.883333333333333,7.883333333333333
15000008,8.0,6.25,8.4,7.55,7.55
15000009,7.0,7.5,8.2,7.566666666666666,7.566666666666666
15000010,8.4,8.0,8.4,8.266666666666666,8.266666666666666
15000011,9.4,7.25,8.0,8.216666666666667,8.216666666666667
15000012,7.0,8.0,8.6,7.866666666666667,7.866666666666667
15000013,9.0,6.25,8.4,7.883333333333333,7.883333333333333
15000014,7.6,8.5,9.0,8.366666666666667,8.366666666666667
15000015,7.8,7.25,8.2,7.75,7.75
15000016,8.2,9.5,9.6,9.1,9.1
15000017,8.2,7.5,9.4,8.366666666666667,8.366666666666667
15000018,7.4,6.0,8.0,7.133333333333333,7.133333333333333
15000019,7.6,8.75,8.8,8.383333333333335,8.383333333333335
15000021,7.6,8.0,7.0,7.533333333333334,7.533333333333334
15000022,8.2,8.75,9.4,8.783333333333333,8.783333333333333
15000023,8.0,7.75,9.2,8.316666666666666,8.316666666666666
15000024,8.6,7.0,8.0,7.866666666666667,7.866666666666667
15000025,8.6,7.25,9.4,8.416666666666666,8.416666666666666
15000026,6.6,7.75,5.6,6.65,6.6499999999999995
15000027,6.8,8.75,4.6,6.716666666666666,6.716666666666666
15000028,7.8,7.0,5.2,6.666666666666667,6.666666666666667
15000029,9.0,7.25,6.0,7.416666666666667,7.416666666666667
15000030,7.6,7.25,8.2,7.683333333333333,7.683333333333333
15000031,7.0,9.0,8.2,8.066666666666666,8.066666666666666
15000033,8.0,7.25,9.0,8.083333333333334,8.083333333333334
15000034,4.2,8.5,3.0,5.233333333333333,5.233333333333333
15000035,4.2,8.75,7.6,6.849999999999999,6.849999999999999
15000036,7.8,6.5,8.4,7.566666666666667,7.566666666666667
15000037,4.4,8.25,5.2,5.95,5.95
15000038,8.2,7.0,8.4,7.866666666666667,7.866666666666667
15000039,8.0,6.5,9.2,7.899999999999999,7.8999999999999995
15000040,5.2,7.75,3.2,5.383333333333333,5.383333333333333
15000041,6.0,9.25,7.8,7.683333333333334,7.683333333333334
15000042,8.0,7.75,5.2,6.983333333333333,6.983333333333333
15000043,8.4,8.75,9.2,8.783333333333333,8.783333333333333
15000044,7.0,7.0,8.4,7.466666666666666,7.466666666666666
15000045,7.4,7.5,9.0,7.966666666666666,7.966666666666666
15000046,8.2,7.5,9.6,8.433333333333332,8.433333333333332
15000047,8.0,6.0,8.8,7.6,7.6000000000000005
15000048,7.0,7.5,5.6,6.7,6.7
15000049,8.0,7.0,9.6,8.200000000000001,8.200000000000001
15000050,7.4,7.75,9.0,8.049999999999999,8.049999999999999
15000051,8.2,7.25,5.4,6.95,6.95
15000052,8.0,7.0,7.0,7.333333333333333,7.333333333333333
15000053,5.0,9.25,6.4,6.883333333333333,6.883333333333333
15000054,8.8,6.5,8.6,7.966666666666666,7.966666666666666
15000055,8.6,5.75,9.2,7.849999999999999,7.849999999999999
15000056,7.6,7.0,8.8,7.8,7.8
15000057,7.6,8.75,8.4,8.25,8.25
15000058,8.0,7.0,7.6,7.533333333333334,7.533333333333334
15000059,9.2,7.5,8.8,8.5,8.5
15000060,8.2,7.25,7.4,7.616666666666667,7.616666666666667
15000061,8.8,9.0,8.6,8.799999999999999,8.799999999999999
15000062,8.2,6.75,8.6,7.849999999999999,7.849999999999999
15000063,8.2,8.25,9.2,8.549999999999999,8.549999999999999
15000064,8.0,6.0,8.2,7.399999999999999,7.3999999999999995
15000065,8.0,6.5,4.8,6.433333333333334,6.433333333333334
15000066,7.6,7.75,7.6,7.649999999999999,7.6499999999999995
15000067,8.2,6.75,3.6,6.183333333333334,6.183333333333334
15000068,7.2,5.0,7.2,6.466666666666666,6.466666666666666
15000069,4.4,8.5,8.8,7.233333333333334,7.233333333333334
15000070,7.4,5.25,7.4,6.683333333333334,6.683333333333334
15000071,8.0,6.75,8.6,7.783333333333334,7.783333333333334
15000072,8.2,9.25,8.8,8.75,8.75
15000073,7.6,7.0,9.2,7.933333333333333,7.933333333333333
15000074,7.6,7.5,6.2,7.1000000000000005,7.1000000000000005
15000075,7.8,6.0,9.2,7.666666666666667,7.666666666666667
15000076,8.0,6.0,8.8,7.6,7.6000000000000005
15000077,8.0,4.5,5.2,5.9,5.8999999999999995
15000078,7.6,5.75,8.2,7.183333333333333,7.183333333333333
15000079,8.8,6.5,5.8,7.033333333333334,7.033333333333334
15000080,8.2,7.0,8.6,7.933333333333333,7.933333333333333
15000081,7.2,7.5,7.6,7.433333333333333,7.433333333333333
15000082,7.4,7.0,7.4,7.266666666666667,7.266666666666667
15000083,7.4,5.5,7.0,6.633333333333333,6.633333333333333
15000084,7.6,6.25,5.2,6.3500000000000005,6.3500000000000005
15000085,7.2,7.0,8.6,7.599999999999999,7.599999999999999
15000086,7.0,6.5,8.0,7.166666666666667,7.166666666666667
15000087,7.0,7.25,8.6,7.616666666666667,7.616666666666667
15000088,8.4,6.75,8.6,7.916666666666667,7.916666666666667
15000089,8.0,7.5,8.6,8.033333333333333,8.033333333333333
15000090,8.4,7.0,7.4,7.6,7.6000000000000005
15000091,4.4,7.5,8.8,6.900000000000001,6.900000000000001
15000092,8.2,7.5,5.8,7.166666666666667,7.166666666666667
15000093,7.8,8.75,7.6,8.049999999999999,8.049999999999999
15000094,7.2,6.75,9.2,7.716666666666666,7.716666666666666
15000095,7.0,6.25,8.4,7.216666666666666,7.216666666666666
