SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
59000002,5.8,8.75,9.6,8.049999999999999,8.049999999999999
59000003,7.2,7.0,6.6,6.933333333333333,6.933333333333333
59000004,8.4,8.25,6.0,7.55,7.55
59000005,7.0,8.25,5.4,6.883333333333333,6.883333333333333
59000006,8.0,8.0,9.2,8.4,8.4
59000007,8.8,8.0,8.4,8.4,8.4
59000008,8.8,7.75,9.6,8.716666666666667,8.716666666666667
59000009,7.0,8.25,7.8,7.683333333333334,7.683333333333334
59000011,7.8,8.0,8.8,8.200000000000001,8.200000000000001
59000012,7.6,8.75,7.2,7.85,7.8500000000000005
59000014,8.0,9.0,8.2,8.4,8.4
59000016,6.0,7.25,5.2,6.15,6.1499999999999995
59000018,7.6,8.0,8.8,8.133333333333333,8.133333333333333
59000019,6.8,9.5,9.2,8.5,8.5
59000020,6.2,7.25,3.6,5.683333333333334,5.683333333333334
59000023,8.4,8.0,9.0,8.466666666666667,8.466666666666667
59000024,8.4,8.5,7.6,8.166666666666666,8.166666666666666
59000025,8.2,8.0,5.4,7.2,7.2
59000027,4.2,8.5,4.2,5.633333333333333,5.633333333333333
59000028,7.2,7.5,6.4,7.033333333333334,7.033333333333334
59000029,7.4,8.75,6.4,7.516666666666666,7.516666666666666
59000030,8.6,8.75,6.8,8.05,8.05
59000033,8.8,8.75,9.4,8.983333333333334,8.983333333333334
59000034,7.4,8.25,9.4,8.35,8.35
59000035,8.0,6.75,8.4,7.716666666666666,7.716666666666666
59000036,7.2,9.0,8.2,8.133333333333333,8.133333333333333
59000038,6.8,6.25,4.0,5.683333333333334,5.683333333333334
59000039,6.4,9.25,6.2,7.283333333333334,7.283333333333334
59000040,7.8,7.0,7.0,7.266666666666667,7.266666666666667
59000041,7.8,9.5,7.4,8.233333333333334,8.233333333333334
59000042,8.2,6.0,4.6,6.266666666666666,6.266666666666666
59000043,8.8,7.5,6.0,7.433333333333334,7.433333333333334
59000045,9.0,5.0,5.0,6.333333333333333,6.333333333333333
59000046,8.4,6.0,8.0,7.466666666666666,7.466666666666666
59000047,7.4,7.0,5.4,6.6000000000000005,6.6000000000000005
