SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
28000001,7.2,9.0,7.0,7.733333333333333,7.733333333333333
28000002,7.8,8.25,3.4,6.483333333333333,6.483333333333333
28000003,6.0,7.0,5.6,6.2,6.2
28000004,8.2,8.25,9.8,8.75,8.75
28000005,8.8,7.5,7.8,8.033333333333333,8.033333333333333
28000006,8.4,9.0,9.0,8.799999999999999,8.799999999999999
28000007,7.8,8.25,7.6,7.883333333333333,7.883333333333333
28000008,7.8,8.5,3.0,6.433333333333334,6.433333333333334
28000009,7.4,7.75,8.6,7.916666666666667,7.916666666666667
28000010,5.2,8.75,3.0,5.65,5.6499999999999995
28000011,3.6,5.5,3.6,4.233333333333333,4.233333333333333
28000012,8.0,8.0,7.4,7.8,7.8
28000013,8.2,5.25,9.0,7.483333333333333,7.483333333333333
28000014,6.8,7.25,7.8,7.283333333333334,7.283333333333334
28000015,7.6,8.25,6.0,7.283333333333334,7.283333333333334
28000016,8.6,9.0,7.6,8.4,8.4
28000017,8.0,7.0,6.0,7.0,7.0
28000019,7.8,7.75,8.2,7.916666666666667,7.916666666666667
28000020,5.8,8.25,6.8,6.95,6.95
28000021,7.6,8.0,7.2,7.6,7.6000000000000005
28000022,6.8,6.0,8.6,7.133333333333333,7.133333333333333
28000023,8.4,8.0,6.4,7.599999999999999,7.599999999999999
28000024,7.2,8.25,7.2,7.55,7.55
28000025,6.6,8.25,5.8,6.883333333333333,6.883333333333333
28000026,7.6,7.5,6.4,7.166666666666667,7.166666666666667
28000027,3.4,3.5,2.6,3.1666666666666665,3.1666666666666665
28000028,7.4,7.25,8.2,7.616666666666667,7.616666666666667
28000029,7.6,9.0,6.4,7.666666666666667,7.666666666666667
28000030,7.8,8.75,6.2,7.583333333333333,7.583333333333333
28000032,7.2,9.0,6.8,7.666666666666667,7.666666666666667
28000033,7.6,7.33,6.0,6.976666666666667,6.976666666666667
28000034,4.6,7.5,3.2,5.1000000000000005,5.1000000000000005
28000035,5.8,9.25,5.2,6.75,6.75
28000036,7.4,9.0,6.8,7.733333333333333,7.733333333333333
28000038,8.8,6.25,5.4,6.816666666666667,6.816666666666667
28000040,4.6,3.75,4.8,4.383333333333333,4.383333333333333
28000041,7.6,8.5,8.2,8.1,8.1
28000042,8.0,7.0,8.4,7.8,7.8
28000043,7.4,9.0,8.2,8.2,8.2
28000044,6.0,6.5,2.8,5.1000000000000005,5.1000000000000005
28000045,5.2,7.75,5.0,5.983333333333333,5.983333333333333
28000046,8.4,8.5,7.2,8.033333333333333,8.033333333333333
28000047,8.0,7.75,6.2,7.316666666666666,7.316666666666666
28000048,7.4,9.25,8.8,8.483333333333333,8.483333333333333
28000049,8.4,9.0,6.6,8.0,8.0
28000050,7.8,8.75,9.2,8.583333333333334,8.583333333333334
28000051,4.8,5.5,4.0,4.766666666666667,4.766666666666667
28000053,8.0,8.5,9.4,8.633333333333333,8.633333333333333
28000054,4.6,6.0,4.4,5.0,5.0
28000055,8.4,7.5,6.0,7.3,7.3
28000056,7.2,8.75,8.0,7.983333333333333,7.983333333333333
28000057,7.8,9.0,7.8,8.200000000000001,8.200000000000001
28000058,6.6,7.5,6.0,6.7,6.7
28000059,2.2,6.5,2.8,3.8333333333333335,3.8333333333333335
28000061,7.0,5.0,7.4,6.466666666666666,6.466666666666666
28000062,6.4,8.5,8.0,7.633333333333333,7.633333333333333
28000063,6.8,8.75,9.2,8.25,8.25
28000064,8.2,7.0,7.8,7.666666666666667,7.666666666666667
28000065,7.8,8.5,4.2,6.833333333333333,6.833333333333333
28000066,5.6,7.5,4.2,5.766666666666667,5.766666666666667
28000067,7.2,8.5,6.8,7.5,7.5
28000069,4.8,4.25,4.0,4.3500000000000005,4.3500000000000005
28000070,7.8,8.25,6.8,7.616666666666667,7.616666666666667
28000071,4.8,8.75,5.8,6.45,6.45
28000072,8.0,9.0,8.4,8.466666666666667,8.466666666666667
28000073,8.4,8.75,8.8,8.65,8.65
28000074,8.0,8.75,7.8,8.183333333333334,8.183333333333334
28000075,8.0,9.25,7.0,8.083333333333334,8.083333333333334
28000076,4.6,8.0,4.2,5.6000000000000005,5.6000000000000005
28000077,6.2,8.0,7.0,7.066666666666666,7.066666666666666
28000078,7.4,9.0,8.8,8.4,8.4
28000079,7.6,8.5,9.2,8.433333333333334,8.433333333333334
28000080,8.2,8.25,8.6,8.35,8.35
28000082,6.8,8.0,7.6,7.466666666666666,7.466666666666666
28000083,4.4,8.0,5.0,5.8,5.8
28000084,6.2,8.75,5.0,6.65,6.6499999999999995
28000085,6.4,9.0,7.0,7.466666666666666,7.466666666666666
28000086,5.4,6.75,8.2,6.783333333333334,6.783333333333334
28000087,7.6,8.75,9.4,8.583333333333334,8.583333333333334
28000089,5.6,5.0,2.2,4.266666666666667,4.266666666666667
28000090,7.8,8.0,6.0,7.266666666666667,7.266666666666667
28000091,8.2,7.75,5.2,7.05,7.05
28000092,6.2,9.0,8.2,7.8,7.8
28000093,7.8,9.0,9.2,8.666666666666666,8.666666666666666
28000094,8.4,9.25,8.4,8.683333333333332,8.683333333333332
28000095,8.8,9.0,9.0,8.933333333333334,8.933333333333334
28000096,6.6,7.5,5.0,6.366666666666667,6.366666666666667
28000097,6.4,8.0,7.6,7.333333333333333,7.333333333333333
28000098,6.4,8.5,6.2,7.033333333333334,7.033333333333334
28000099,8.2,8.5,9.2,8.633333333333333,8.633333333333333
28000100,7.0,7.0,5.0,6.333333333333333,6.333333333333333
28000101,8.0,9.0,7.4,8.133333333333333,8.133333333333333
28000102,7.8,8.5,6.4,7.566666666666667,7.566666666666667
28000103,6.2,8.75,6.0,6.983333333333333,6.983333333333333
28000104,6.4,7.25,6.0,6.55,6.55
28000105,6.0,8.5,5.4,6.633333333333333,6.633333333333333
28000106,6.0,8.5,8.8,7.766666666666667,7.766666666666667
28000107,7.6,9.0,8.6,8.4,8.4
28000108,8.2,8.75,8.8,8.583333333333334,8.583333333333334
28000109,7.2,9.0,8.4,8.200000000000001,8.200000000000001
28000112,3.0,6.5,1.8,3.766666666666667,3.766666666666667
28000113,6.0,8.5,4.4,6.3,6.3
28000115,8.6,6.75,8.0,7.783333333333334,7.783333333333334
28000116,8.0,6.75,8.0,7.583333333333333,7.583333333333333
28000117,7.4,7.0,7.6,7.333333333333333,7.333333333333333
28000118,8.0,7.0,5.6,6.866666666666667,6.866666666666667
28000120,7.4,8.75,9.6,8.583333333333334,8.583333333333334
28000121,8.0,7.25,6.4,7.216666666666666,7.216666666666666
28000123,7.4,9.25,9.6,8.75,8.75
28000124,8.2,8.25,8.8,8.416666666666666,8.416666666666666
28000126,8.0,9.25,9.0,8.75,8.75
28000128,7.2,7.5,5.8,6.833333333333333,6.833333333333333
28000129,8.6,7.0,7.2,7.6,7.6000000000000005
