SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
26000002,8.0,8.5,9.8,8.766666666666667,8.766666666666667
26000003,7.4,8.0,9.0,8.133333333333333,8.133333333333333
26000004,9.0,6.75,9.2,8.316666666666666,8.316666666666666
26000005,8.0,7.5,9.2,8.233333333333333,8.233333333333333
26000008,7.4,7.0,7.8,7.399999999999999,7.3999999999999995
26000010,6.6,7.0,7.0,6.866666666666667,6.866666666666667
26000011,8.8,7.0,7.6,7.8,7.8
26000012,6.8,6.75,7.6,7.05,7.05
26000013,7.2,7.75,6.2,7.05,7.05
26000014,8.0,8.25,8.6,8.283333333333333,8.283333333333333
26000016,6.2,7.0,6.8,6.666666666666667,6.666666666666667
26000017,6.6,8.0,7.6,7.399999999999999,7.3999999999999995
26000018,8.2,8.5,6.0,7.566666666666666,7.566666666666666
26000020,7.2,7.0,2.0,5.4,5.3999999999999995
26000021,7.8,7.75,6.6,7.383333333333333,7.383333333333333
26000022,6.0,8.25,5.2,6.483333333333333,6.483333333333333
26000023,8.4,9.0,8.8,8.733333333333333,8.733333333333333
26000024,8.2,5.25,8.4,7.283333333333334,7.283333333333334
26000025,8.0,7.0,9.0,8.0,8.0
26000026,7.4,7.5,8.6,7.833333333333333,7.833333333333333
26000027,9.0,7.0,9.6,8.533333333333333,8.533333333333333
26000028,8.4,9.0,9.4,8.933333333333332,8.933333333333332
26000029,2.0,4.25,2.2,2.8166666666666664,2.8166666666666664
26000030,8.8,7.5,8.2,8.166666666666666,8.166666666666666
26000031,8.6,7.75,9.4,8.583333333333334,8.583333333333334
26000032,8.4,6.5,8.4,7.766666666666667,7.766666666666667
26000033,8.8,8.75,7.4,8.316666666666668,8.316666666666668
26000035,7.4,6.5,7.4,7.1000000000000005,7.1000000000000005
26000036,7.8,8.75,9.8,8.783333333333333,8.783333333333333
26000037,7.8,8.75,6.8,7.783333333333334,7.783333333333334
26000038,8.4,6.25,6.4,7.016666666666667,7.016666666666667
26000039,8.6,7.0,7.0,7.533333333333334,7.533333333333334
26000040,7.0,8.75,9.0,8.25,8.25
26000043,8.0,8.0,8.2,8.066666666666666,8.066666666666666
26000046,8.8,6.5,9.4,8.233333333333334,8.233333333333334
26000047,8.0,6.75,6.0,6.916666666666667,6.916666666666667
26000048,8.2,8.25,9.0,8.483333333333333,8.483333333333333
26000049,7.6,7.0,9.4,8.0,8.0
26000050,8.0,8.75,8.0,8.25,8.25
26000051,2.0,3.0,3.0,2.6666666666666665,2.6666666666666665
26000052,8.4,9.0,9.6,9.0,9.0
26000053,7.2,8.75,8.4,8.116666666666667,8.116666666666667
26000054,7.8,9.0,9.0,8.6,8.6
26000056,9.2,8.0,9.6,8.933333333333332,8.933333333333332
26000057,8.8,6.75,6.8,7.45,7.45
26000058,7.2,7.25,8.2,7.55,7.55
26000059,9.4,8.0,7.8,8.4,8.4
26000061,8.8,9.0,9.2,9.0,9.0
26000062,9.2,6.0,8.8,8.0,8.0
26000065,7.2,5.5,9.4,7.366666666666667,7.366666666666667
26000066,8.0,8.5,8.4,8.299999999999999,8.299999999999999
26000067,7.8,0.0,8.6,5.466666666666666,5.466666666666666
26000068,7.4,8.75,9.2,8.45,8.45
26000069,7.8,7.75,9.0,8.183333333333334,8.183333333333334
26000070,8.4,8.5,9.2,8.7,8.7
26000071,8.4,6.75,6.8,7.316666666666666,7.316666666666666
26000074,8.2,8.75,8.2,8.383333333333333,8.383333333333333
26000076,7.8,6.75,8.2,7.583333333333333,7.583333333333333
26000077,8.4,8.25,8.2,8.283333333333333,8.283333333333333
26000078,8.8,6.25,8.8,7.95,7.95
26000079,6.8,7.75,7.8,7.45,7.45
26000081,8.8,8.0,9.4,8.733333333333334,8.733333333333334
26000082,8.2,7.0,6.4,7.2,7.2
26000083,8.2,7.5,9.4,8.366666666666667,8.366666666666667
26000084,6.8,7.75,6.8,7.116666666666667,7.116666666666667
26000085,8.8,7.0,6.2,7.333333333333333,7.333333333333333
26000086,8.4,6.75,8.0,7.716666666666666,7.716666666666666
26000087,8.6,8.25,8.6,8.483333333333334,8.483333333333334
26000089,6.0,7.25,6.4,6.55,6.55
26000090,8.6,8.0,9.2,8.6,8.6
26000091,6.6,6.75,7.8,7.05,7.05
26000092,8.2,8.5,9.4,8.700000000000001,8.700000000000001
26000093,8.0,7.25,7.4,7.55,7.55
26000095,9.0,5.75,6.4,7.05,7.05
26000096,6.4,7.75,4.6,6.25,6.25
26000097,7.6,6.5,9.4,7.833333333333333,7.833333333333333
26000100,8.4,6.5,6.4,7.1000000000000005,7.1000000000000005
26000101,8.0,7.75,5.8,7.183333333333334,7.183333333333334
26000102,6.8,0.0,7.0,4.6000000000000005,4.6000000000000005
26000103,7.2,8.0,9.0,8.066666666666666,8.066666666666666
26000104,6.4,6.5,6.0,6.3,6.3
26000105,8.2,5.75,7.8,7.25,7.25
26000106,7.8,7.0,8.6,7.8,7.8
26000107,7.2,8.0,9.0,8.066666666666666,8.066666666666666
26000108,7.8,8.25,9.4,8.483333333333334,8.483333333333334
26000109,7.6,5.25,4.8,5.883333333333333,5.883333333333333
