SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
53000001,4.2,9.0,5.4,6.2,6.2
53000002,6.8,7.75,3.8,6.116666666666667,6.116666666666667
53000003,9.0,8.75,6.4,8.049999999999999,8.049999999999999
53000004,7.0,7.0,6.0,6.666666666666667,6.666666666666667
53000005,6.6,7.25,4.6,6.15,6.1499999999999995
53000006,7.6,6.75,4.6,6.316666666666666,6.316666666666666
53000007,5.4,7.0,5.4,5.933333333333334,5.933333333333334
53000008,5.6,8.75,7.6,7.316666666666666,7.316666666666666
53000009,7.8,8.5,6.8,7.7,7.7
53000010,5.4,8.0,5.4,6.266666666666667,6.266666666666667
53000011,7.0,6.25,4.4,5.883333333333333,5.883333333333333
53000012,3.2,6.75,3.8,4.583333333333333,4.583333333333333
53000013,8.0,7.25,5.2,6.816666666666666,6.816666666666666
53000014,6.6,8.0,6.8,7.133333333333333,7.133333333333333
53000015,6.8,8.5,8.0,7.766666666666667,7.766666666666667
53000016,5.8,6.75,3.8,5.45,5.45
53000017,6.6,7.5,4.4,6.166666666666667,6.166666666666667
53000018,8.4,7.5,4.2,6.7,6.7
53000019,6.6,7.5,9.2,7.766666666666666,7.766666666666666
53000020,6.4,7.25,4.2,5.95,5.95
53000021,5.8,7.25,5.0,6.016666666666667,6.016666666666667
53000022,7.4,9.25,8.6,8.416666666666666,8.416666666666666
53000023,4.2,6.42,3.2,4.6066666666666665,4.6066666666666665
53000024,7.2,9.75,7.2,8.049999999999999,8.049999999999999
53000025,7.0,8.25,7.0,7.416666666666667,7.416666666666667
53000026,7.8,7.25,6.8,7.283333333333334,7.283333333333334
53000027,6.6,6.75,5.4,6.25,6.25
53000028,7.6,6.0,4.4,6.0,6.0
53000029,7.4,6.75,6.2,6.783333333333334,6.783333333333334
53000030,6.8,5.0,6.0,5.933333333333334,5.933333333333334
53000031,5.2,9.25,6.0,6.816666666666666,6.816666666666666
53000032,6.0,7.5,5.0,6.166666666666667,6.166666666666667
53000033,3.2,7.0,5.2,5.133333333333333,5.133333333333333
53000034,8.0,9.0,8.8,8.6,8.6
53000035,7.4,8.0,5.6,7.0,7.0
53000036,7.4,8.5,6.4,7.433333333333334,7.433333333333334
53000037,7.4,7.75,5.2,6.783333333333334,6.783333333333334
53000038,5.8,8.75,7.4,7.316666666666667,7.316666666666667
53000039,7.6,8.75,7.2,7.85,7.8500000000000005
