Địa phương,Năm,Dân số trung bình,Mật độ dân số
Hà Nội,2018,8.976451799125792,7.7649285027731985
Hà Nội,2019,8.998865970528751,7.787382026484701
Hà Nội,2020,9.017548997419098,7.805474625270857
Hà Nội,2021,9.02771837005311,7.8160138391590275
Hà Nội,2022,9.0402220518807,7.828436359157585
Vĩnh Phúc,2018,7.0373790467756425,6.826143841495153
Vĩnh Phúc,2019,7.05168244778878,6.839476438228843
Vĩnh Phúc,2020,7.065784143207047,6.854354502255021
Vĩnh Phúc,2021,7.0832032668329195,6.871091294610546
Vĩnh Phúc,2022,7.088091533032774,6.876264611890766
Bắc Ninh,2018,7.198407934878751,7.39357073974396
Bắc Ninh,2019,7.228823770451552,7.424165281042028
Bắc Ninh,2020,7.257799286776298,7.45298232946546
Bắc Ninh,2021,7.288210224086134,7.48324441607385
Bắc Ninh,2022,7.305322614963161,7.500529485395295
Quảng Ninh,2018,7.173115052429426,5.352095072228508
Quảng Ninh,2019,7.189016783630995,5.365976015021851
Quảng Ninh,2020,7.198639718379046,5.375278407684165
Quảng Ninh,2021,7.208489302928532,5.384495062789089
Quảng Ninh,2022,7.217355386734849,5.393627546352362
Hải Dương,2018,7.537802902598766,7.026053737340971
Hải Dương,2019,7.547976253732677,7.036148493750536
Hải Dương,2020,7.558396756713509,7.046647277848756
Hải Dương,2021,7.5687820792590905,7.057036981697891
Hải Dương,2022,7.573952551175484,7.062191632286556
Hải Phòng,2018,7.609069022208476,7.163226610910403
Hải Phòng,2019,7.617415367916296,7.171656822768514
Hải Phòng,2020,7.6272960636501566,7.20414929203594
Hải Phòng,2021,7.6364578096056945,7.213768308118642
Hải Phòng,2022,7.6439715275007165,7.221105098182496
Hưng Yên,2018,7.124800271834477,7.1971583696321515
Hưng Yên,2019,7.135528098680009,7.2078598714324755
Hưng Yên,2020,7.146055387185358,7.218176838403408
Hưng Yên,2021,7.158163741444359,7.2305631534092925
Hưng Yên,2022,7.163056195095403,7.23561914106675
Thái Bình,2018,7.525154682103808,7.063690080602897
Thái Bình,2019,7.529513863454429,7.068172000388042
Thái Bình,2020,7.53382204385946,7.07326971745971
Thái Bình,2021,7.536715876467046,7.076653815443951
Thái Bình,2022,7.538250158372626,7.077498053569231
Hà Nam,2018,6.741818751437505,6.8904361652116695
Hà Nam,2019,6.750516502555645,6.898714534329988
Hà Nam,2020,6.759058035436842,6.907755278982137
Hà Nam,2021,6.7744752833261765,6.922643891475888
Hà Nam,2022,6.777646593635117,6.926577033222725
Nam Định,2018,7.486725414479683,6.974796914712827
Nam Định,2019,7.48487413348196,6.9726062513017535
Nam Định,2020,7.484554019361352,6.9726062513017535
Nam Định,2021,7.515491619191876,7.003065458786462
Nam Định,2022,7.537350118635563,7.025538314638521
Ninh Bình,2018,6.882129731343165,6.555129269889691
Ninh Bình,2019,6.89213389807918,6.565264970035361
Ninh Bình,2020,6.9016567205202675,6.57507584059962
Ninh Bình,2021,6.9152967703154795,6.570882962339584
Ninh Bình,2022,6.918398439080617,6.573680166960646
Hà Giang,2018,6.74111020157319,4.670489652108734
Hà Giang,2019,6.7547206428130755,4.68213122712422
Hà Giang,2020,6.768769035674651,4.700480365792417
Hà Giang,2021,6.787946442776723,4.718498871295094
Hà Giang,2022,6.794272981877445,4.727387818712341
Cao Bằng,2018,6.270421163241404,4.368307962532944
Cao Bằng,2019,6.274573679589626,4.3694478524670215
Cao Bằng,2020,6.278690265446063,4.382026634673881
Cao Bằng,2021,6.2956718231419195,4.394449154672439
Cao Bằng,2022,6.297201396726045,4.394449154672439
Bắc Kạn,2018,5.7430031878094825,4.162003210695915
Bắc Kạn,2019,5.7506660605550515,4.174387269895637
Bắc Kạn,2020,5.757196851290837,4.174387269895637
Bắc Kạn,2021,5.779848053257003,4.204692619390966
Bắc Kạn,2022,5.781823179659065,4.204692619390966
Tuyên Quang,2018,6.657112053965342,4.887638691386985
Tuyên Quang,2019,6.667338398997471,4.897839799950911
Tuyên Quang,2020,6.675697110278353,4.90527477843843
Tuyên Quang,2021,6.686697051867266,4.919980925828125
Tuyên Quang,2022,6.69181075239462,4.919980925828125
Lào Cai,2018,6.580361706294128,4.729686060685659
Lào Cai,2019,6.597554895099754,4.74493212836325
Lào Cai,2020,6.615208057529048,4.762173934797756
Lào Cai,2021,6.635802188310797,4.787491742782046
Lào Cai,2022,6.647156455206741,4.795790545596741
Yên Bái,2018,6.702697195214312,4.772970146263026
Yên Bái,2019,6.71295620067707,4.77912349311153
Yên Bái,2020,6.723339530899532,4.795790545596741
Yên Bái,2021,6.736575422287017,4.804021044733257
Yên Bái,2022,6.741995810487161,4.812184355372417
Thái Nguyên,2018,7.149602815090119,5.889265694787734
Thái Nguyên,2019,7.163094928512663,5.902633333401366
Thái Nguyên,2020,7.1761551386985865,5.916202062607435
Thái Nguyên,2021,7.187770536372886,5.929589143389895
Thái Nguyên,2022,7.197427869038638,5.937536205082426
Lạng Sơn,2018,6.654023645899904,4.5365700944958345
Lạng Sơn,2019,6.662877235521921,4.543294782270004
Lạng Sơn,2020,6.670398699415744,4.553876891600541
Lạng Sơn,2021,6.680779393647702,4.564348191467836
Lạng Sơn,2022,6.6872208210217545,4.574710978503383
Bắc Giang,2018,7.482963161677396,6.123106656159697
Bắc Giang,2019,7.5013030943193275,6.142037405587356
Bắc Giang,2020,7.518400898030281,6.159095388491933
Bắc Giang,2021,7.53649193021321,6.175867270105761
Bắc Giang,2022,7.544824050522211,6.184148890937483
Phú Thọ,2018,7.2790429352887145,6.01644979980189
Phú Thọ,2019,7.290565696525495,6.028278520230698
Phú Thọ,2020,7.301066830917732,6.037870919922137
Phú Thọ,2021,7.318234462246004,6.056784013228625
Phú Thọ,2022,7.324437242295467,6.061456918928017
Điện Biên,2018,6.380969635637417,4.12535861575127
Điện Biên,2019,6.399758982226306,4.143134726391533
Điện Biên,2020,6.419147663782579,4.1588830833596715
Điện Biên,2021,6.437895639369397,4.189654742026425
Điện Biên,2022,6.4550727692648575,4.204692619390966
Lai Châu,2018,6.1167747380734285,3.912023005428146
Lai Châu,2019,6.136862749797339,3.9318256327243257
Lai Châu,2020,6.152328357651745,3.9512437185814275
Lai Châu,2021,6.170509909700393,3.970291913552122
Lai Châu,2022,6.1781515614115765,3.970291913552122
Sơn La,2018,7.117286602876485,4.469465003822716
Sơn La,2019,7.133056500850146,4.48863636973214
Sơn La,2020,7.1472130271469005,4.499809670330265
Sơn La,2021,7.160628491727036,4.51085950651685
Sơn La,2022,7.170219538449961,4.5217885770490405
Hoà Bình,2018,6.745706827027738,5.221706264176197
Hoà Bình,2019,6.752036703982716,5.225746673713202
Hoà Bình,2020,6.758349988629745,5.236441962829949
Hoà Bình,2021,6.77046827142761,5.247024072160486
Hoà Bình,2022,6.774658077797153,5.25227342804663
Thanh Hóa,2018,8.197345989868591,5.789072927260093
Thanh Hóa,2019,8.201331099098821,5.793013608384144
Thanh Hóa,2020,8.206567243108982,5.799092654460526
Thanh Hóa,2021,8.220518809062636,5.811140992976701
Thanh Hóa,2022,8.22203255743766,5.814130531825066
Nghệ An,2018,8.099068285161282,5.296816240421769
Nghệ An,2019,8.11288741102792,5.308267697401205
Nghệ An,2020,8.121242675676658,5.318119993844216
Nghệ An,2021,8.134411850250157,5.332718793265369
Nghệ An,2022,8.137392906075767,5.332718793265369
Hà Tĩnh,2018,7.15500590563958,5.36480710781687
Hà Tĩnh,2019,7.162630028457801,5.3706380281276624
Hà Tĩnh,2020,7.167516157579513,5.375278407684165
Hà Tĩnh,2021,7.18087686010253,5.389071729816501
Hà Tĩnh,2022,7.188223896915616,5.3981627015177525
Quảng Bình,2018,6.792456654618674,4.713037556857098
Quảng Bình,2019,6.798609831721339,4.718498871295094
Quảng Bình,2020,6.804592346867798,4.727387818712341
Quảng Bình,2021,6.814169611351558,4.736198448394496
Quảng Bình,2022,6.817677386855467,4.736198448394496
Quảng Trị,2018,6.445243515494697,4.914491433543353
Quảng Trị,2019,6.45110213410454,4.919980925828125
Quảng Trị,2020,6.457381713124678,4.912654885736052
Quảng Trị,2021,6.4735665697548495,4.927253685157205
Quảng Trị,2022,6.4784328343434066,4.927253685157205
Thừa Thiên - Huế,2018,7.0258938069991785,5.436164433240162
Thừa Thiên - Huế,2019,7.029530335908058,5.438079308923196
Thừa Thiên - Huế,2020,7.033144866883786,5.43372200355424
Thừa Thiên - Huế,2021,7.050816121822789,5.4510384535657
Thừa Thiên - Huế,2022,7.056364921290555,5.459585514144159
Đà Nẵng,2018,7.016071422465596,6.76538493769041
Đà Nẵng,2019,7.0397479884406335,6.78897174299217
Đà Nẵng,2020,7.064314484552652,6.813444599510896
Đà Nẵng,2021,7.086311422162433,6.836259277277067
Đà Nẵng,2022,7.106761863306363,6.856461984594587
Quảng Nam,2018,7.307068167605103,4.94861803634573
Quảng Nam,2019,7.311552329989604,4.955827057601261
Quảng Nam,2020,7.3165747549028755,4.955827057601261
Quảng Nam,2021,7.325465113506739,4.969813299576001
Quảng Nam,2022,7.326057635891793,4.969813299576001
Quảng Ngãi,2018,7.115175869831111,5.47503994494151
Quảng Ngãi,2019,7.116312971967928,5.476463551931511
Quảng Ngãi,2020,7.117529862557393,5.476463551931511
Quảng Ngãi,2021,7.12619176944693,5.484796933490655
Quảng Ngãi,2022,7.127412761011515,5.488937726156687
Bình Định,2018,7.305053797757241,5.50231887233388
Bình Định,2019,7.305053797757241,5.501258210544727
Bình Định,2020,7.305121008833652,5.501258210544727
Bình Định,2021,7.31875172764784,5.517452896464707
Bình Định,2022,7.3160763050714985,5.5134287461649825
Phú Yên,2018,6.770215864960075,5.156119960838237
Phú Yên,2019,6.7721646246757885,5.159055299214529
Phú Yên,2020,6.773423566186845,5.159055299214529
Phú Yên,2021,6.774840838860418,5.159055299214529
Phú Yên,2022,6.776073603147667,5.159055299214529
Khánh Hòa,2018,7.110287876392222,5.473656267914107
Khánh Hòa,2019,7.117043284005906,5.480638923341991
Khánh Hòa,2020,7.123221434368394,5.476463551931511
Khánh Hòa,2021,7.129345624696792,5.480638923341991
Khánh Hòa,2022,7.13406979746172,5.484796933490655
Ninh Thuận,2018,6.378256389950525,5.167696021339599
Ninh Thuận,2019,6.3818160174060985,5.170483995038151
Ninh Thuận,2020,6.386273075027617,5.176149732573829
Ninh Thuận,2021,6.3903245561640105,5.181783550292085
Ninh Thuận,2022,6.394727231660946,5.181783550292085
Bình Thuận,2018,7.112571913603462,5.0401940963378005
Bình Thuận,2019,7.116637620944077,5.043425116919247
Bình Thuận,2020,7.122269706264938,5.049856007249537
Bình Thuận,2021,7.127942464550442,5.056245805348308
Bình Thuận,2022,7.132545473834441,5.062595033026967
Kon Tum,2018,6.277395086520957,4.007878491071668
Kon Tum,2019,6.297845696992248,4.02535169073515
Kon Tum,2020,6.3201206025291885,4.04305126783455
Kon Tum,2021,6.34349371612682,4.07753744390572
Kon Tum,2022,6.362872919086187,4.0943445622221
Gia Lai,2018,7.310349603665281,4.568817356522293
Gia Lai,2019,7.32659718413194,4.584967478670572
Gia Lai,2020,7.340725301612486,4.59511985013459
Gia Lai,2021,7.358652538488136,4.61512051684126
Gia Lai,2022,7.37210545754853,4.634728988229636
Đắk Lắk,2018,7.529137893312772,4.961865129726826
Đắk Lắk,2019,7.535083118504788,4.969813299576001
Đắk Lắk,2020,7.542711748360646,4.969813299576001
Đắk Lắk,2021,7.554334823725748,4.983606621708336
Đắk Lắk,2022,7.559267634764801,4.990432586778736
Đắk Nông,2018,6.422272462887942,4.5490230253650905
Đắk Nông,2019,6.439030831234781,4.564348191467836
Đắk Nông,2020,6.458197207563349,4.584967478670572
Đắk Nông,2021,6.498914479634056,4.624972813284271
Đắk Nông,2022,6.508113184176762,4.634728988229636
Lâm Đồng,2018,7.163482180192367,4.882801922586371
Lâm Đồng,2019,7.169580936888691,4.890349128221754
Lâm Đồng,2020,7.177622098001411,4.897839799950911
Lâm Đồng,2021,7.186779984342735,4.90527477843843
Lâm Đồng,2022,7.1948346698578565,4.912654885736052
Bình Phước,2018,6.892540113175657,4.964381909578794
Bình Phước,2019,6.9055528554269365,4.976733742420574
Bình Phước,2020,6.918774345464571,4.990432586778736
Bình Phước,2021,6.931754968630018,5.003946305945459
Bình Phước,2022,6.941837814279295,5.017279836814924
Tây Ninh,2018,7.056778550374577,5.660213655509408
Tây Ninh,2019,7.06621096467411,5.66988092298052
Tây Ninh,2020,7.071853460804248,5.676753802268282
Tây Ninh,2021,7.074887052935105,5.676753802268282
Tây Ninh,2022,7.0806660260219045,5.683579767338681
Bình Dương,2018,7.76012596509006,6.7688724500734745
Bình Dương,2019,7.806411431644483,6.815639990074331
Bình Dương,2020,7.855757833490973,6.86484777797086
Bình Dương,2021,7.862031345859505,6.871091294610546
Bình Dương,2022,7.924115755033519,6.932447891572509
Đồng Nai,2018,8.024567604294198,6.255807621669508
Đồng Nai,2019,8.043567008639354,6.274762021241939
Đồng Nai,2020,8.063818531285923,6.295266001439646
Đồng Nai,2021,8.061202914888852,6.29156913955832
Đồng Nai,2022,8.088196371611428,6.318968113746434
Bà Rịa - Vũng Tàu,2018,7.037291200331171,6.35369154980482
Bà Rịa - Vũng Tàu,2019,7.049428437298283,6.366470447731438
Bà Rịa - Vũng Tàu,2020,7.062996792205682,6.3784261836515865
Bà Rịa - Vũng Tàu,2021,7.0699421533557105,6.385194398997726
Bà Rịa - Vũng Tàu,2022,7.072167415232524,6.38856140554563
TP. Hồ Chí Minh,2018,9.087404081078999,8.364018701627069
TP. Hồ Chí Minh,2019,9.109259574136413,8.385944904806284
TP. Hồ Chí Minh,2020,9.12995427201693,8.390268497842571
TP. Hồ Chí Minh,2021,9.123347903898688,8.383661798791715
TP. Hồ Chí Minh,2022,9.147370752801377,8.407601514786142
Long An,2018,7.425894096042352,5.922944777976174
Long An,2019,7.43549701512444,5.932245187448011
Long An,2020,7.4463867130861106,5.942799375126701
Long An,2021,7.453417017583585,5.950642552587727
Long An,2022,7.458336088430133,5.955837369464831
Tiền Giang,2018,7.47255759360486,6.5520370201314
Tiền Giang,2019,7.476642242161398,6.556778356158042
Tiền Giang,2020,7.4801688251474205,6.541029999189903
Tiền Giang,2021,7.484042747491236,6.54534966033442
Tiền Giang,2022,7.487308138957152,6.548219102762372
Bến Tre,2018,7.1592919047975645,6.285998094508865
Bến Tre,2019,7.161699579449059,6.2878585601617845
Bến Tre,2020,7.1642562339503435,6.297109319933935
Bến Tre,2021,7.166806368634765,6.298949246855942
Bến Tre,2022,7.168587601394605,6.300785794663244
Trà Vinh,2018,6.916516784650709,6.058585667962137
Trà Vinh,2019,6.917012300244814,6.059123195581797
Trà Vinh,2020,6.917646202130109,6.045005314036012
Trà Vinh,2021,6.926213866206076,6.054439346269371
Trà Vinh,2022,6.926832152786873,6.054439346269371
Vĩnh Long,2018,6.930201467811967,6.507755210305031
Vĩnh Long,2019,6.930103682645899,6.507277712385012
Vĩnh Long,2020,6.930465440008429,6.507277712385012
Vĩnh Long,2021,6.936362171991133,6.513230110912307
Vĩnh Long,2022,6.936167793418815,6.513230110912307
Đồng Tháp,2018,7.381564159068851,6.162556621950388
Đồng Tháp,2019,7.377008626837169,6.156978985585555
Đồng Tháp,2020,7.377765158208342,6.159095388491933
Đồng Tháp,2021,7.378577323234929,6.159095388491933
Đồng Tháp,2022,7.377865152583741,6.159095388491933
An Giang,2018,7.565793282428515,6.302600660558868
An Giang,2019,7.5534963371448125,6.289715570908998
An Giang,2020,7.551990537960518,6.2878585601617845
An Giang,2021,7.5546019436248875,6.29156913955832
An Giang,2022,7.552510216191659,6.289715570908998
Kiên Giang,2018,7.448974308067921,5.600715622835498
Kiên Giang,2019,7.452228422160346,5.605802066295998
Kiên Giang,2020,7.455223294886609,5.605802066295998
Kiên Giang,2021,7.468695903219975,5.62040086571715
Kiên Giang,2022,7.468376275811487,5.62040086571715
TP. Cần Thơ,2018,7.1128977791867944,6.748947103172822
TP. Cần Thơ,2019,7.119635638017636,6.755768921984255
TP. Cần Thơ,2020,7.123455195054941,6.7580945044277305
TP. Cần Thơ,2021,7.128487926401691,6.763884908562435
TP. Cần Thơ,2022,7.132777065308119,6.767343125265392
Hậu Giang,2018,6.599734435534826,6.116267331022821
Hậu Giang,2019,6.596053700686136,6.111467339502679
Hậu Giang,2020,6.5927431188584,6.1092475827643655
Hậu Giang,2021,6.592893837856815,6.1092475827643655
Hậu Giang,2022,6.592318243059649,6.1092475827643655
Sóc Trăng,2018,7.09738341095853,5.899869955946905
Sóc Trăng,2019,7.0896600822797495,5.8916442118257715
Sóc Trăng,2020,7.086520519573314,5.8944028342648505
Sóc Trăng,2021,7.095744079901971,5.902633333401366
Sóc Trăng,2022,7.088258516969308,5.8944028342648505
Bạc Liêu,2018,6.805722553416985,5.824021750542496
Bạc Liêu,2019,6.811464618663851,5.8289456176102075
Bạc Liêu,2020,6.817261481763391,5.834810737062605
Bạc Liêu,2021,6.82275279191219,5.840641657373398
Bạc Liêu,2022,6.826339128567769,5.846438775057725
Cà Mau,2018,7.086403430409783,5.433678334478489
Cà Mau,2019,7.085315518674381,5.43372200355424
Cà Mau,2020,7.084972162405384,5.420534999272286
Cà Mau,2021,7.097342046767504,5.43372200355424
Cà Mau,2022,7.096415040187243,5.43372200355424
