SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
10000001,4.2,7.25,7.2,6.216666666666666,6.216666666666666
10000002,6.4,5.0,5.2,5.533333333333334,5.533333333333334
10000003,5.8,6.0,6.2,6.0,6.0
10000004,5.2,7.5,4.4,5.7,5.7
10000005,7.2,8.25,8.0,7.816666666666666,7.816666666666666
10000006,4.4,7.5,2.8,4.9,4.8999999999999995
10000007,3.2,5.0,3.4,3.8666666666666663,3.8666666666666667
10000008,4.0,6.25,3.4,4.55,4.55
10000009,3.6,5.5,3.6,4.233333333333333,4.233333333333333
10000012,6.2,8.0,3.8,6.0,6.0
10000013,5.6,8.5,7.2,7.1000000000000005,7.1000000000000005
10000014,8.0,7.0,8.6,7.866666666666667,7.866666666666667
10000015,7.6,8.25,8.0,7.95,7.95
10000016,5.0,8.75,6.8,6.8500000000000005,6.8500000000000005
10000017,6.8,3.75,3.6,4.716666666666667,4.716666666666667
10000018,7.4,8.75,6.6,7.583333333333333,7.583333333333333
10000019,6.2,4.0,2.8,4.333333333333333,4.333333333333333
10000020,7.0,8.75,8.8,8.183333333333334,8.183333333333334
10000021,4.2,7.25,4.6,5.349999999999999,5.349999999999999
10000022,4.8,7.25,6.0,6.016666666666667,6.016666666666667
10000023,7.8,6.5,6.0,6.766666666666667,6.766666666666667
10000024,5.4,6.0,4.8,5.4,5.3999999999999995
10000025,5.4,5.75,5.2,5.45,5.45
10000026,7.2,5.5,4.8,5.833333333333333,5.833333333333333
10000027,2.4,7.5,3.6,4.5,4.5
10000028,2.8,7.0,3.0,4.266666666666667,4.266666666666667
10000030,6.0,7.0,4.4,5.8,5.8
10000031,5.8,8.25,6.2,6.75,6.75
10000034,7.8,6.5,9.0,7.766666666666667,7.766666666666667
10000035,7.2,7.0,5.6,6.599999999999999,6.599999999999999
10000036,8.0,5.75,4.6,6.116666666666667,6.116666666666667
10000037,5.4,8.25,6.4,6.683333333333334,6.683333333333334
10000038,3.0,6.75,9.2,6.316666666666666,6.316666666666666
10000039,5.6,8.0,5.8,6.466666666666666,6.466666666666666
10000040,7.6,6.0,9.0,7.533333333333334,7.533333333333334
10000041,5.6,6.75,6.0,6.116666666666667,6.116666666666667
10000042,4.6,7.5,6.6,6.233333333333333,6.233333333333333
10000044,6.8,5.0,8.0,6.6000000000000005,6.6000000000000005
10000045,4.0,6.5,5.4,5.3,5.3
10000047,7.2,8.25,8.2,7.883333333333333,7.883333333333333
10000048,2.8,4.0,2.4,3.0666666666666664,3.0666666666666664
10000051,5.2,5.25,4.6,5.016666666666667,5.016666666666667
10000052,6.0,6.75,5.8,6.183333333333334,6.183333333333334
