SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
4000001,3.2,5.0,2.0,3.4,3.4
4000002,4.0,4.5,3.6,4.033333333333333,4.033333333333333
4000003,5.0,3.25,2.8,3.6833333333333336,3.6833333333333336
4000004,2.4,4.25,3.8,3.483333333333333,3.483333333333333
4000005,5.2,6.0,8.0,6.4,6.3999999999999995
4000006,2.4,5.0,4.2,3.866666666666667,3.866666666666667
4000007,3.8,3.25,2.6,3.216666666666667,3.216666666666667
4000008,3.2,3.25,2.8,3.083333333333333,3.0833333333333335
4000009,4.6,3.75,3.6,3.983333333333333,3.983333333333333
4000010,3.6,4.0,2.8,3.4666666666666663,3.4666666666666663
4000011,4.0,6.0,4.2,4.733333333333333,4.733333333333333
4000012,3.8,4.5,3.2,3.8333333333333335,3.8333333333333335
4000013,2.8,3.25,3.0,3.016666666666667,3.016666666666667
4000014,3.2,1.5,1.6,2.1,2.1
4000015,3.4,2.75,7.8,4.65,4.6499999999999995
4000016,2.0,3.25,1.8,2.35,2.35
4000017,3.6,5.0,3.2,3.9333333333333336,3.9333333333333336
4000018,3.8,3.25,3.4,3.483333333333333,3.483333333333333
4000019,3.2,2.75,2.2,2.716666666666667,2.716666666666667
4000020,3.8,4.25,1.6,3.216666666666667,3.216666666666667
4000021,5.4,5.0,3.4,4.6000000000000005,4.6000000000000005
4000022,3.4,2.25,2.8,2.8166666666666664,2.8166666666666664
4000023,5.4,6.25,4.8,5.483333333333333,5.483333333333333
4000024,5.0,4.0,3.0,4.0,4.0
4000025,3.6,4.5,3.2,3.766666666666667,3.766666666666667
4000026,2.6,2.5,2.0,2.3666666666666667,2.3666666666666667
4000027,3.4,4.0,2.8,3.4,3.4
4000028,4.4,2.5,3.0,3.3000000000000003,3.3000000000000003
4000029,4.2,4.5,4.4,4.366666666666666,4.366666666666666
4000030,4.0,5.25,2.2,3.8166666666666655,3.8166666666666664
4000031,2.8,4.0,3.0,3.266666666666667,3.266666666666667
4000032,3.4,4.5,3.4,3.766666666666667,3.766666666666667
4000033,3.8,4.5,2.6,3.633333333333333,3.6333333333333333
4000034,5.2,5.25,1.6,4.016666666666667,4.016666666666667
4000035,1.8,5.0,3.2,3.333333333333333,3.3333333333333335
4000036,2.2,2.0,2.6,2.266666666666667,2.266666666666667
4000037,3.2,3.75,1.8,2.9166666666666665,2.9166666666666665
4000038,2.2,4.25,3.0,3.15,3.15
4000039,4.4,5.0,5.4,4.933333333333334,4.933333333333334
4000040,3.8,5.75,3.8,4.45,4.45
4000041,2.2,1.75,2.2,2.0500000000000003,2.0500000000000003
4000042,5.0,3.0,3.0,3.6666666666666665,3.6666666666666665
4000043,5.8,4.0,2.8,4.2,4.2
4000044,4.2,4.5,2.6,3.766666666666666,3.766666666666666
4000045,4.8,4.0,2.4,3.733333333333334,3.733333333333334
4000046,2.4,3.5,3.2,3.0333333333333337,3.0333333333333337
4000047,4.0,4.75,2.4,3.716666666666667,3.716666666666667
4000048,2.0,4.25,2.6,2.95,2.9499999999999997
4000049,3.2,7.5,5.0,5.233333333333333,5.233333333333333
4000050,4.2,7.0,5.2,5.466666666666666,5.466666666666666
4000051,4.0,4.5,2.8,3.766666666666667,3.766666666666667
4000052,4.0,5.75,2.2,3.983333333333333,3.983333333333333
4000053,5.6,6.5,5.4,5.833333333333333,5.833333333333333
4000054,4.8,4.75,2.8,4.116666666666667,4.116666666666667
4000055,3.2,4.75,2.4,3.45,3.4499999999999997
4000056,5.8,6.0,3.0,4.933333333333334,4.933333333333334
4000057,4.8,7.5,6.6,6.3,6.3
4000058,4.0,4.0,3.2,3.733333333333333,3.733333333333333
4000059,3.8,3.0,2.2,3.0,3.0
4000060,4.2,4.0,3.2,3.8,3.7999999999999994
4000061,3.6,4.0,3.8,3.8,3.7999999999999994
4000062,3.6,5.75,3.6,4.316666666666666,4.316666666666666
4000063,4.4,5.5,3.8,4.566666666666666,4.566666666666666
4000064,4.8,6.5,3.0,4.766666666666667,4.766666666666667
4000065,5.8,6.0,3.4,5.066666666666667,5.066666666666667
4000066,4.2,3.75,4.4,4.116666666666667,4.116666666666667
4000067,4.8,5.75,2.6,4.383333333333334,4.383333333333334
4000068,2.0,3.5,2.2,2.566666666666667,2.566666666666667
4000069,5.2,5.25,2.2,4.216666666666666,4.216666666666666
4000070,2.4,2.25,3.6,2.75,2.75
4000071,3.0,5.0,2.2,3.4,3.4
4000072,5.0,6.75,5.8,5.8500000000000005,5.8500000000000005
4000073,3.4,4.5,3.8,3.9,3.9
4000074,4.0,4.0,3.2,3.733333333333333,3.733333333333333
4000075,2.8,2.75,1.8,2.45,2.4499999999999997
4000076,4.4,5.25,1.6,3.75,3.75
4000077,3.6,4.25,3.0,3.6166666666666663,3.6166666666666667
4000078,1.6,5.5,2.2,3.1,3.1
4000079,6.0,7.75,1.8,5.183333333333334,5.183333333333334
4000080,2.4,3.75,2.4,2.85,2.85
4000081,5.4,2.75,3.0,3.716666666666667,3.716666666666667
4000082,4.2,5.25,3.4,4.283333333333333,4.283333333333333
4000083,3.6,4.0,4.2,3.9333333333333336,3.9333333333333336
4000084,5.0,7.5,2.6,5.033333333333333,5.033333333333333
4000085,4.4,4.75,3.4,4.183333333333334,4.183333333333334
4000086,4.4,3.75,3.4,3.85,3.85
4000087,5.4,4.5,2.0,3.966666666666667,3.966666666666667
4000088,6.2,5.0,3.8,5.0,5.0
4000089,3.0,2.5,2.2,2.566666666666667,2.566666666666667
4000091,1.2,2.5,2.2,1.9666666666666668,1.9666666666666668
4000092,2.4,2.5,2.0,2.3000000000000003,2.3000000000000003
4000093,3.8,7.25,2.2,4.416666666666667,4.416666666666667
4000094,3.6,4.75,2.8,3.7166666666666655,3.7166666666666663
4000095,3.6,6.75,3.6,4.65,4.6499999999999995
4000096,5.6,4.5,3.2,4.433333333333334,4.433333333333334
4000097,4.0,4.5,2.6,3.7,3.6999999999999997
4000098,5.6,6.0,6.0,5.866666666666667,5.866666666666667
4000099,1.8,3.5,2.2,2.5,2.5
4000100,3.2,5.5,2.8,3.8333333333333335,3.8333333333333335
4000101,4.4,5.0,2.0,3.8,3.8000000000000003
4000102,3.8,5.0,3.0,3.9333333333333336,3.9333333333333336
4000103,4.0,3.75,3.6,3.783333333333333,3.783333333333333
4000104,3.8,4.0,2.6,3.466666666666667,3.466666666666667
4000105,4.2,5.5,4.4,4.7,4.7
4000106,3.2,4.5,1.8,3.1666666666666665,3.1666666666666665
4000107,4.6,2.75,3.8,3.7166666666666655,3.7166666666666663
4000108,3.4,3.75,2.2,3.116666666666667,3.116666666666667
