SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
43000001,4.2,5.5,2.0,3.9,3.9
43000002,2.4,5.0,2.2,3.2000000000000006,3.2000000000000006
43000003,4.6,5.5,4.2,4.766666666666667,4.766666666666667
43000004,4.2,5.0,1.4,3.533333333333333,3.533333333333333
43000005,6.2,8.25,7.4,7.283333333333334,7.283333333333334
43000006,6.2,8.0,3.6,5.933333333333334,5.933333333333334
43000007,5.8,7.25,2.8,5.283333333333334,5.283333333333334
43000008,3.6,5.0,2.6,3.733333333333333,3.733333333333333
43000009,4.6,7.0,3.4,5.0,5.0
43000010,2.8,5.0,3.8,3.8666666666666663,3.8666666666666667
43000011,4.0,5.5,4.8,4.766666666666667,4.766666666666667
43000012,4.0,5.5,2.6,4.033333333333333,4.033333333333333
43000013,3.6,5.25,2.8,3.883333333333333,3.883333333333333
43000014,4.8,3.75,3.0,3.85,3.85
43000015,3.0,6.25,3.2,4.15,4.1499999999999995
43000016,6.8,5.5,3.8,5.366666666666667,5.366666666666667
43000017,4.8,5.5,4.4,4.9,4.9
43000018,5.0,5.25,5.0,5.083333333333333,5.083333333333333
43000019,3.6,5.5,3.2,4.1000000000000005,4.1000000000000005
43000020,6.2,5.75,3.2,5.05,5.05
43000021,5.0,7.0,5.0,5.666666666666667,5.666666666666667
43000022,6.4,5.5,6.0,5.966666666666666,5.966666666666666
43000023,4.2,5.75,2.8,4.25,4.25
43000024,4.4,5.25,2.8,4.15,4.1499999999999995
43000025,3.8,6.0,4.2,4.666666666666667,4.666666666666667
43000026,4.8,7.5,4.0,5.433333333333334,5.433333333333334
43000027,6.0,5.75,4.0,5.25,5.25
43000028,6.6,5.0,5.8,5.8,5.8
43000029,4.6,5.5,3.4,4.5,4.5
43000030,5.0,6.0,2.4,4.466666666666667,4.466666666666667
43000031,6.2,5.0,3.0,4.733333333333333,4.733333333333333
43000032,4.6,7.0,5.0,5.533333333333334,5.533333333333334
43000033,5.0,6.25,3.4,4.883333333333334,4.883333333333334
43000034,5.6,5.25,4.4,5.083333333333333,5.083333333333333
43000035,6.0,7.0,5.0,6.0,6.0
43000036,4.8,5.0,3.6,4.466666666666667,4.466666666666667
43000037,6.0,6.25,2.4,4.883333333333334,4.883333333333334
43000038,5.8,7.0,3.2,5.333333333333333,5.333333333333333
43000039,5.6,5.0,4.0,4.866666666666666,4.866666666666666
43000040,4.8,5.75,3.0,4.516666666666667,4.516666666666667
43000041,5.0,7.5,3.8,5.433333333333334,5.433333333333334
43000042,5.0,6.0,3.6,4.866666666666666,4.866666666666666
43000043,4.2,5.5,4.0,4.566666666666666,4.566666666666666
43000044,5.8,6.75,4.6,5.716666666666666,5.716666666666666
43000045,5.8,5.25,3.0,4.683333333333334,4.683333333333334
43000046,4.6,6.0,3.6,4.733333333333333,4.733333333333333
43000047,5.0,6.5,3.2,4.9,4.8999999999999995
43000048,3.2,3.25,3.0,3.15,3.15
43000049,5.6,5.25,2.8,4.55,4.55
43000050,4.6,5.0,3.0,4.2,4.2
43000051,3.0,5.25,3.0,3.75,3.75
43000052,6.0,6.5,2.2,4.9,4.8999999999999995
43000053,7.0,4.5,7.2,6.233333333333333,6.233333333333333
43000054,6.0,4.25,4.8,5.016666666666667,5.016666666666667
43000055,5.4,5.25,2.6,4.416666666666667,4.416666666666667
43000056,6.2,6.25,3.2,5.216666666666666,5.216666666666666
43000057,3.4,6.5,2.4,4.1000000000000005,4.1000000000000005
43000058,3.2,4.5,3.4,3.7,3.6999999999999997
43000059,5.6,6.25,3.6,5.15,5.1499999999999995
43000060,6.8,4.25,3.8,4.95,4.95
43000061,2.8,7.0,2.0,3.9333333333333336,3.9333333333333336
43000062,4.2,4.5,4.8,4.5,4.5
