SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
56000001,8.0,7.0,4.6,6.533333333333334,6.533333333333334
56000002,7.6,8.0,5.0,6.866666666666667,6.866666666666667
56000003,7.6,8.0,8.4,8.0,8.0
56000005,6.8,7.75,4.2,6.25,6.25
56000006,5.2,5.83,4.4,5.1433333333333335,5.1433333333333335
56000007,5.4,6.5,5.4,5.766666666666667,5.766666666666667
56000009,6.0,7.0,5.0,6.0,6.0
56000010,7.2,6.75,4.8,6.25,6.25
56000011,8.0,9.0,8.8,8.6,8.6
56000017,7.2,6.5,5.8,6.5,6.5
56000018,7.2,6.5,7.6,7.099999999999999,7.099999999999999
56000019,8.2,6.5,8.8,7.833333333333333,7.833333333333333
56000020,4.6,5.0,4.2,4.6000000000000005,4.6000000000000005
56000021,5.4,7.0,3.8,5.4,5.3999999999999995
56000022,6.8,5.25,7.8,6.616666666666667,6.616666666666667
56000026,6.2,0.0,5.0,3.733333333333333,3.733333333333333
56000027,6.2,6.5,5.8,6.166666666666667,6.166666666666667
56000028,7.4,8.5,9.2,8.366666666666667,8.366666666666667
56000031,7.0,7.0,5.2,6.4,6.3999999999999995
56000032,7.8,6.75,6.0,6.8500000000000005,6.8500000000000005
56000033,7.8,8.0,7.6,7.8,7.8
56000039,7.8,8.25,5.8,7.283333333333334,7.283333333333334
56000040,6.4,7.0,6.0,6.466666666666666,6.466666666666666
56000049,6.4,5.75,5.4,5.8500000000000005,5.8500000000000005
56000053,7.2,6.0,5.6,6.266666666666666,6.266666666666666
56000057,6.2,7.75,6.4,6.783333333333334,6.783333333333334
56000058,6.6,5.5,7.6,6.566666666666666,6.566666666666666
56000059,6.8,5.5,6.2,6.166666666666667,6.166666666666667
56000060,6.0,0.0,4.4,3.466666666666667,3.466666666666667
56000064,7.2,5.5,7.8,6.833333333333333,6.833333333333333
56000065,5.6,5.5,8.6,6.566666666666666,6.566666666666666
56000066,6.0,6.5,5.6,6.033333333333334,6.033333333333334
56000068,8.2,6.5,6.0,6.9,6.8999999999999995
56000069,5.8,7.0,5.6,6.133333333333333,6.133333333333333
56000070,7.6,8.5,8.8,8.3,8.3
56000071,6.6,6.25,2.2,5.016666666666667,5.016666666666667
56000072,7.4,6.5,7.8,7.233333333333333,7.233333333333333
56000073,7.0,6.92,4.4,6.1066666666666665,6.1066666666666665
56000074,7.6,7.08,4.8,6.493333333333333,6.493333333333333
56000076,7.4,5.0,5.8,6.066666666666666,6.066666666666666
56000078,6.2,5.0,5.2,5.466666666666666,5.466666666666666
56000081,4.6,0.0,5.8,3.4666666666666663,3.4666666666666663
56000083,5.8,5.0,5.8,5.533333333333334,5.533333333333334
56000084,3.6,0.0,1.8,1.8,1.8
56000086,7.0,6.0,3.8,5.6000000000000005,5.6000000000000005
56000087,7.6,6.5,4.8,6.3,6.3
56000088,6.2,6.25,6.0,6.15,6.1499999999999995
56000096,6.6,7.5,6.4,6.833333333333333,6.833333333333333
56000100,6.4,8.0,5.6,6.666666666666667,6.666666666666667
56000101,7.2,6.0,7.6,6.933333333333333,6.933333333333333
56000102,6.4,8.25,6.6,7.083333333333333,7.083333333333333
56000103,6.6,7.5,7.8,7.3,7.3
56000106,6.4,7.5,7.4,7.1000000000000005,7.1000000000000005
56000107,7.0,6.25,3.8,5.683333333333334,5.683333333333334
56000108,7.6,7.75,7.4,7.583333333333333,7.583333333333333
56000110,5.8,6.75,4.6,5.716666666666666,5.716666666666666
56000111,6.6,7.5,5.4,6.5,6.5
56000112,6.6,8.0,4.2,6.266666666666667,6.266666666666667
56000113,7.4,5.5,6.0,6.3,6.3
56000115,8.0,6.25,4.8,6.3500000000000005,6.3500000000000005
56000123,8.0,7.5,7.0,7.5,7.5
56000127,6.0,0.0,5.6,3.8666666666666663,3.8666666666666667
56000131,7.2,6.5,5.2,6.3,6.3
56000133,7.2,8.25,6.6,7.349999999999999,7.349999999999999
56000134,6.8,6.0,5.4,6.066666666666667,6.066666666666667
56000136,8.0,5.0,9.0,7.333333333333333,7.333333333333333
56000139,8.2,5.5,8.2,7.3,7.3
56000140,7.0,6.25,8.0,7.083333333333333,7.083333333333333
56000145,6.4,6.25,6.6,6.416666666666667,6.416666666666667
56000146,6.2,6.5,3.8,5.5,5.5
56000148,6.8,7.75,7.2,7.25,7.25
56000149,5.4,6.5,4.8,5.566666666666666,5.566666666666666
56000150,5.6,4.5,8.0,6.033333333333334,6.033333333333334
56000151,7.6,7.0,6.4,7.0,7.0
56000153,6.2,5.25,5.4,5.616666666666667,5.616666666666667
56000154,6.4,7.0,6.6,6.666666666666667,6.666666666666667
56000155,6.0,6.25,6.0,6.083333333333333,6.083333333333333
56000156,7.2,8.0,6.6,7.266666666666666,7.266666666666666
56000157,5.8,6.0,7.0,6.266666666666667,6.266666666666667
56000160,6.4,7.0,8.0,7.133333333333333,7.133333333333333
56000161,5.0,4.5,5.0,4.833333333333333,4.833333333333333
56000167,7.2,4.75,5.6,5.849999999999999,5.849999999999999
56000168,6.0,5.75,4.4,5.383333333333333,5.383333333333333
56000169,5.8,3.25,2.8,3.9500000000000006,3.9500000000000006
56000170,7.2,5.5,5.0,5.9,5.8999999999999995
56000172,5.8,6.75,4.2,5.583333333333333,5.583333333333333
56000173,7.4,6.75,8.0,7.383333333333333,7.383333333333333
56000175,6.8,7.17,4.8,6.256666666666667,6.256666666666667
56000177,7.0,5.75,9.4,7.383333333333333,7.383333333333333
56000182,6.8,6.25,6.6,6.55,6.55
56000183,6.4,5.75,4.4,5.516666666666667,5.516666666666667
56000184,3.8,0.0,2.6,2.1333333333333333,2.1333333333333333
56000186,6.0,6.5,7.4,6.633333333333333,6.633333333333333
56000187,7.2,6.25,7.4,6.95,6.95
56000190,6.0,6.5,4.6,5.7,5.7
56000191,7.2,6.75,4.4,6.116666666666667,6.116666666666667
56000194,8.0,6.0,8.8,7.6,7.6000000000000005
56000195,6.8,6.5,4.8,6.033333333333334,6.033333333333334
56000196,7.6,8.0,7.0,7.533333333333334,7.533333333333334
56000198,7.2,5.0,3.6,5.266666666666667,5.266666666666667
56000199,8.0,6.5,9.0,7.833333333333333,7.833333333333333
56000201,6.0,5.75,5.2,5.65,5.6499999999999995
56000203,5.8,7.5,4.0,5.766666666666667,5.766666666666667
56000204,6.4,5.0,5.6,5.666666666666667,5.666666666666667
56000210,6.8,6.5,6.4,6.566666666666667,6.566666666666667
56000212,4.0,0.0,2.0,2.0,2.0
56000213,6.8,5.75,6.4,6.316666666666667,6.316666666666667
56000215,7.0,7.5,6.4,6.966666666666666,6.966666666666666
56000216,6.6,6.5,5.4,6.166666666666667,6.166666666666667
56000217,7.4,6.5,8.4,7.433333333333334,7.433333333333334
56000218,2.6,0.0,3.0,1.8666666666666665,1.8666666666666665
56000220,8.0,6.25,5.0,6.416666666666667,6.416666666666667
56000221,6.8,5.0,5.2,5.666666666666667,5.666666666666667
56000223,5.2,5.5,3.8,4.833333333333333,4.833333333333333
56000224,7.2,6.5,9.0,7.566666666666666,7.566666666666666
56000228,6.8,6.0,3.8,5.533333333333334,5.533333333333334
56000229,6.2,5.25,5.6,5.683333333333333,5.683333333333333
56000232,3.8,7.25,4.8,5.283333333333334,5.283333333333334
56000233,5.2,6.5,6.0,5.9,5.8999999999999995
56000234,6.2,5.25,4.4,5.283333333333333,5.283333333333333
56000235,6.2,7.25,4.6,6.016666666666666,6.016666666666666
56000236,4.8,6.75,4.6,5.383333333333333,5.383333333333333
56000237,6.4,8.0,8.8,7.733333333333334,7.733333333333334
56000239,6.2,5.0,5.0,5.4,5.3999999999999995
56000240,7.0,5.5,5.6,6.033333333333334,6.033333333333334
56000241,6.4,6.75,6.0,6.383333333333333,6.383333333333333
56000242,6.8,7.0,3.8,5.866666666666667,5.866666666666667
56000244,5.2,6.5,5.0,5.566666666666666,5.566666666666666
56000245,5.4,0.0,4.8,3.4,3.4
56000246,4.6,0.0,4.2,2.9333333333333336,2.9333333333333336
56000247,6.6,6.5,4.2,5.766666666666667,5.766666666666667
56000249,5.8,7.25,4.8,5.95,5.95
56000251,6.8,5.75,5.8,6.116666666666667,6.116666666666667
56000253,7.0,6.75,6.6,6.783333333333334,6.783333333333334
56000254,7.4,6.0,7.6,7.0,7.0
56000256,7.4,5.75,6.6,6.583333333333333,6.583333333333333
56000257,7.4,7.5,3.2,6.033333333333334,6.033333333333334
56000259,5.2,5.25,4.0,4.816666666666666,4.816666666666666
56000260,6.6,6.75,6.4,6.583333333333333,6.583333333333333
56000261,6.4,6.0,3.8,5.4,5.3999999999999995
56000262,6.8,7.25,9.0,7.683333333333334,7.683333333333334
56000263,6.0,7.0,7.6,6.866666666666667,6.866666666666667
56000265,7.2,8.0,8.0,7.733333333333333,7.733333333333333
56000266,6.6,6.75,3.2,5.516666666666667,5.516666666666667
56000267,7.6,7.75,6.6,7.316666666666666,7.316666666666666
56000268,4.8,5.25,4.4,4.816666666666667,4.816666666666667
