SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
24000001,6.4,5.5,3.4,5.1000000000000005,5.1000000000000005
24000002,7.8,8.5,8.8,8.366666666666667,8.366666666666667
24000003,7.2,9.0,9.2,8.466666666666667,8.466666666666667
24000004,6.0,8.5,8.0,7.5,7.5
24000005,8.0,8.5,4.4,6.966666666666666,6.966666666666666
24000006,7.6,6.0,6.4,6.666666666666667,6.666666666666667
24000007,8.4,6.75,3.4,6.183333333333334,6.183333333333334
24000008,6.4,9.5,8.2,8.033333333333333,8.033333333333333
24000009,6.6,8.25,7.2,7.35,7.3500000000000005
24000010,7.2,7.0,6.8,7.0,7.0
24000011,6.6,8.5,6.4,7.166666666666667,7.166666666666667
24000012,7.2,9.25,6.4,7.616666666666667,7.616666666666667
24000013,5.0,8.25,4.6,5.95,5.95
24000014,7.6,6.5,4.4,6.166666666666667,6.166666666666667
24000016,7.8,7.0,5.2,6.666666666666667,6.666666666666667
24000017,5.4,8.0,5.4,6.266666666666667,6.266666666666667
24000018,6.8,7.0,4.4,6.066666666666667,6.066666666666667
24000019,7.8,5.25,3.0,5.3500000000000005,5.3500000000000005
24000020,6.8,6.25,3.8,5.616666666666667,5.616666666666667
24000021,8.6,7.5,5.6,7.233333333333334,7.233333333333334
24000022,8.0,7.0,4.0,6.333333333333333,6.333333333333333
24000023,6.8,8.25,7.4,7.483333333333334,7.483333333333334
24000024,5.8,9.5,8.4,7.900000000000001,7.900000000000001
24000025,6.8,9.5,9.8,8.700000000000001,8.700000000000001
24000026,5.2,8.0,4.6,5.933333333333333,5.933333333333333
24000027,5.0,7.5,7.2,6.566666666666666,6.566666666666666
24000028,6.4,8.0,4.8,6.4,6.3999999999999995
24000029,7.4,7.75,6.4,7.183333333333334,7.183333333333334
24000030,8.2,6.0,4.6,6.266666666666666,6.266666666666666
24000031,5.4,8.0,4.2,5.866666666666667,5.866666666666667
