SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
26000001,6.8,0.0,7.0,4.6000000000000005,4.6000000000000005
26000002,2.6,6.25,5.4,4.75,4.75
26000005,5.8,6.25,7.4,6.483333333333334,6.483333333333334
26000007,3.8,5.5,7.4,5.566666666666667,5.566666666666667
26000016,7.0,0.0,8.0,5.0,5.0
26000019,6.6,0.0,7.0,4.533333333333333,4.533333333333333
26000020,4.8,7.0,4.8,5.533333333333334,5.533333333333334
26000021,5.6,7.25,5.0,5.95,5.95
26000025,5.2,7.5,5.0,5.9,5.8999999999999995
26000028,5.8,7.0,4.6,5.8,5.8
26000029,6.6,0.0,6.0,4.2,4.2
26000033,8.2,7.5,7.4,7.7,7.7
26000035,5.8,0.0,4.8,3.533333333333333,3.533333333333333
26000037,7.0,6.0,7.6,6.866666666666667,6.866666666666667
26000047,7.6,0.0,4.8,4.133333333333333,4.133333333333333
26000049,6.6,0.0,8.2,4.933333333333333,4.933333333333333
26000058,6.8,5.75,5.6,6.05,6.05
26000065,5.6,0.0,6.2,3.9333333333333336,3.9333333333333336
26000076,3.2,0.0,3.6,2.266666666666667,2.266666666666667
26000077,7.2,6.25,7.2,6.883333333333333,6.883333333333333
26000078,4.4,7.5,3.6,5.166666666666667,5.166666666666667
26000079,6.8,6.25,5.8,6.283333333333334,6.283333333333334
26000085,7.0,0.0,6.0,4.333333333333333,4.333333333333333
26000087,7.2,7.75,6.4,7.116666666666667,7.116666666666667
26000089,5.6,7.25,3.4,5.416666666666667,5.416666666666667
26000103,4.4,5.25,6.6,5.416666666666667,5.416666666666667
26000120,5.0,0.0,3.6,2.8666666666666667,2.8666666666666667
26000125,2.2,0.0,3.6,1.9333333333333336,1.9333333333333336
26000129,6.4,6.5,6.2,6.366666666666667,6.366666666666667
26000130,6.4,6.25,7.0,6.55,6.55
26000135,7.0,5.5,6.8,6.433333333333334,6.433333333333334
26000139,5.0,3.5,2.6,3.7,3.6999999999999997
26000153,6.6,0.0,4.0,3.533333333333333,3.533333333333333
26000157,6.0,6.5,7.4,6.633333333333333,6.633333333333333
26000159,0.0,3.5,4.4,2.6333333333333333,2.6333333333333333
26000160,7.4,0.0,4.6,4.0,4.0
26000164,7.4,7.75,7.2,7.45,7.45
