SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
12000001,3.6,8.25,3.8,5.216666666666666,5.216666666666666
12000002,7.0,4.0,3.8,4.933333333333334,4.933333333333334
12000004,4.0,5.5,2.8,4.1000000000000005,4.1000000000000005
12000005,4.4,5.25,2.8,4.15,4.1499999999999995
12000007,3.6,5.5,1.8,3.633333333333333,3.6333333333333333
12000009,6.0,6.5,2.0,4.833333333333333,4.833333333333333
12000010,5.0,5.25,2.8,4.3500000000000005,4.3500000000000005
12000011,2.4,6.5,3.4,4.1000000000000005,4.1000000000000005
12000012,6.8,4.25,3.6,4.883333333333334,4.883333333333334
12000013,6.2,6.0,1.6,4.6,4.6
12000014,5.2,8.25,3.8,5.75,5.75
12000015,5.6,7.25,3.0,5.283333333333333,5.283333333333333
12000016,5.0,6.75,3.8,5.183333333333334,5.183333333333334
12000020,5.0,5.25,2.8,4.3500000000000005,4.3500000000000005
12000021,2.8,7.0,3.0,4.266666666666667,4.266666666666667
12000022,3.6,6.25,3.0,4.283333333333333,4.283333333333333
12000024,5.2,8.0,7.0,6.733333333333333,6.733333333333333
12000025,5.2,6.5,2.4,4.7,4.7
12000026,4.2,7.0,2.2,4.466666666666666,4.466666666666666
12000027,4.2,6.0,3.2,4.466666666666666,4.466666666666666
12000028,5.0,7.25,4.8,5.683333333333334,5.683333333333334
12000029,4.0,6.0,2.8,4.266666666666667,4.266666666666667
12000030,5.4,4.0,2.6,4.0,4.0
12000031,6.0,8.5,3.4,5.966666666666666,5.966666666666666
12000032,4.8,6.75,6.2,5.916666666666667,5.916666666666667
12000033,8.6,4.0,9.0,7.2,7.2
12000034,5.6,8.0,3.4,5.666666666666667,5.666666666666667
12000035,5.8,7.75,4.2,5.916666666666667,5.916666666666667
12000036,4.4,3.75,3.2,3.7833333333333337,3.7833333333333337
12000037,5.0,8.0,2.6,5.2,5.2
12000038,2.0,6.75,3.2,3.983333333333333,3.983333333333333
12000039,4.2,5.25,2.2,3.883333333333333,3.883333333333333
12000040,4.6,7.25,4.6,5.483333333333333,5.483333333333333
12000043,6.6,6.25,4.4,5.75,5.75
12000044,4.8,6.25,2.8,4.616666666666667,4.616666666666667
12000045,3.6,7.75,5.2,5.516666666666667,5.516666666666667
12000046,8.4,4.75,5.8,6.316666666666666,6.316666666666666
12000047,5.2,8.5,6.2,6.633333333333333,6.633333333333333
12000048,2.4,3.75,2.2,2.7833333333333337,2.7833333333333337
12000049,3.8,5.5,4.8,4.7,4.7
12000051,3.8,5.5,3.8,4.366666666666667,4.366666666666667
12000052,4.8,8.5,4.6,5.966666666666666,5.966666666666666
12000053,6.8,7.75,9.4,7.983333333333334,7.983333333333334
12000054,3.8,6.0,3.6,4.466666666666667,4.466666666666667
12000055,5.8,8.5,5.0,6.433333333333334,6.433333333333334
12000056,4.6,6.5,4.6,5.233333333333333,5.233333333333333
12000057,5.6,5.75,3.2,4.8500000000000005,4.8500000000000005
12000058,4.6,6.75,4.2,5.183333333333334,5.183333333333334
12000059,4.6,5.75,3.2,4.516666666666667,4.516666666666667
12000060,4.0,4.5,3.2,3.9,3.9
12000061,4.6,7.25,3.4,5.083333333333333,5.083333333333333
12000062,5.4,6.0,2.8,4.733333333333333,4.733333333333333
12000063,2.0,7.75,1.8,3.85,3.85
12000064,6.2,7.75,3.2,5.716666666666666,5.716666666666666
12000065,4.6,5.5,3.2,4.433333333333334,4.433333333333334
12000066,7.8,6.5,2.6,5.633333333333334,5.633333333333334
12000067,4.8,6.5,3.2,4.833333333333333,4.833333333333333
12000068,5.4,8.0,3.6,5.666666666666667,5.666666666666667
12000069,3.6,6.5,2.8,4.3,4.3
12000070,6.0,4.5,3.8,4.766666666666667,4.766666666666667
12000071,5.8,8.0,3.2,5.666666666666667,5.666666666666667
12000072,5.2,6.75,3.0,4.983333333333333,4.983333333333333
12000073,7.4,3.75,5.4,5.516666666666667,5.516666666666667
12000074,4.2,6.0,1.6,3.933333333333333,3.933333333333333
12000076,4.6,3.25,4.0,3.95,3.9499999999999997
12000077,4.6,6.75,3.0,4.783333333333333,4.783333333333333
12000078,7.0,7.0,4.6,6.2,6.2
12000079,5.6,5.75,3.6,4.983333333333333,4.983333333333333
12000080,6.2,8.75,6.8,7.25,7.25
12000081,3.4,4.0,2.4,3.266666666666667,3.266666666666667
12000082,5.8,4.75,4.0,4.8500000000000005,4.8500000000000005
12000083,6.6,7.5,2.2,5.433333333333334,5.433333333333334
12000084,4.4,7.75,3.0,5.05,5.05
12000085,4.0,6.75,4.2,4.983333333333333,4.983333333333333
12000086,4.8,7.5,2.6,4.966666666666667,4.966666666666667
12000087,5.8,7.0,5.6,6.133333333333333,6.133333333333333
12000088,5.6,7.75,4.6,5.983333333333333,5.983333333333333
12000089,4.2,8.25,2.2,4.883333333333333,4.883333333333333
12000090,3.4,7.0,2.4,4.266666666666667,4.266666666666667
12000091,4.8,8.25,2.8,5.283333333333334,5.283333333333334
12000092,5.6,8.25,4.6,6.15,6.1499999999999995
12000093,3.4,6.0,2.6,4.0,4.0
12000094,3.6,6.0,1.4,3.6666666666666665,3.6666666666666665
12000095,5.0,3.75,3.0,3.9166666666666665,3.9166666666666665
12000096,6.2,6.5,6.8,6.5,6.5
12000097,3.4,6.75,3.0,4.383333333333334,4.383333333333334
12000098,3.4,3.5,2.6,3.1666666666666665,3.1666666666666665
12000099,6.4,3.75,3.2,4.45,4.45
12000100,3.6,7.0,2.6,4.4,4.3999999999999995
12000101,3.6,3.5,4.2,3.766666666666667,3.766666666666667
12000102,3.4,5.75,3.2,4.116666666666667,4.116666666666667
12000103,5.2,7.5,4.0,5.566666666666666,5.566666666666666
12000104,7.0,5.0,5.6,5.866666666666667,5.866666666666667
12000105,2.8,5.0,2.8,3.533333333333333,3.533333333333333
12000106,2.8,5.5,2.0,3.4333333333333336,3.4333333333333336
12000107,4.6,7.25,3.6,5.15,5.1499999999999995
12000108,7.2,8.75,7.6,7.849999999999999,7.849999999999999
12000109,3.8,6.25,2.2,4.083333333333333,4.083333333333333
12000110,4.6,7.5,2.6,4.9,4.8999999999999995
12000111,3.2,6.0,2.8,4.0,4.0
12000112,5.8,7.75,3.0,5.516666666666667,5.516666666666667
12000114,5.0,4.0,4.0,4.333333333333333,4.333333333333333
12000115,5.8,7.5,3.8,5.7,5.7
12000119,4.6,7.25,3.0,4.95,4.95
12000120,4.2,6.0,2.8,4.333333333333333,4.333333333333333
12000121,3.2,7.25,2.4,4.283333333333333,4.283333333333333
12000122,5.8,7.75,3.8,5.783333333333334,5.783333333333334
12000123,6.6,5.0,3.4,5.0,5.0
12000124,2.8,7.75,2.4,4.316666666666667,4.316666666666667
12000125,3.8,5.5,1.8,3.7000000000000006,3.7000000000000006
12000127,5.0,2.0,2.6,3.2,3.1999999999999997
12000128,3.8,7.75,2.8,4.783333333333334,4.783333333333334
12000129,4.4,4.0,3.0,3.8,3.8000000000000003
12000130,4.4,6.5,2.6,4.5,4.5
12000131,8.0,9.0,7.0,8.0,8.0
12000132,5.6,8.75,5.4,6.583333333333333,6.583333333333333
12000134,2.4,4.5,3.0,3.3000000000000003,3.3000000000000003
12000136,3.0,2.75,2.2,2.65,2.65
12000137,3.0,8.5,2.4,4.633333333333334,4.633333333333334
12000138,5.8,6.0,2.6,4.8,4.8
12000140,3.8,3.5,2.6,3.3000000000000003,3.3000000000000003
12000142,5.0,8.25,2.4,5.216666666666667,5.216666666666667
12000143,6.6,8.75,4.2,6.516666666666667,6.516666666666667
12000144,4.6,6.0,2.0,4.2,4.2
12000145,6.4,7.75,2.2,5.45,5.45
12000146,4.6,7.5,4.0,5.366666666666667,5.366666666666667
12000147,5.2,7.0,3.4,5.2,5.2
12000149,7.8,8.5,5.6,7.3,7.3
12000150,4.8,7.25,5.6,5.883333333333333,5.883333333333333
12000151,4.2,8.25,2.2,4.883333333333333,4.883333333333333
12000152,3.4,7.75,4.0,5.05,5.05
12000153,5.0,8.0,7.6,6.866666666666667,6.866666666666667
12000156,3.0,4.5,3.0,3.5,3.5
12000157,5.6,6.25,3.2,5.016666666666667,5.016666666666667
12000158,4.0,6.0,3.4,4.466666666666667,4.466666666666667
12000159,3.8,4.5,2.6,3.633333333333333,3.6333333333333333
12000160,5.6,8.25,3.8,5.883333333333333,5.883333333333333
12000161,6.6,7.5,4.4,6.166666666666667,6.166666666666667
12000162,3.4,6.0,2.2,3.866666666666667,3.866666666666667
12000163,3.6,6.75,3.2,4.516666666666667,4.516666666666667
12000164,5.6,8.75,5.4,6.583333333333333,6.583333333333333
12000165,4.2,8.5,2.0,4.9,4.8999999999999995
12000166,6.0,7.75,6.2,6.65,6.6499999999999995
12000167,5.8,7.0,3.6,5.466666666666668,5.466666666666668
12000168,3.0,5.75,1.6,3.45,3.4499999999999997
12000169,6.8,7.25,2.4,5.483333333333333,5.483333333333333
12000170,3.2,5.0,2.4,3.533333333333333,3.533333333333333
12000171,4.6,6.75,5.2,5.516666666666667,5.516666666666667
12000174,3.0,2.75,3.0,2.9166666666666665,2.9166666666666665
12000175,3.2,6.75,3.2,4.383333333333333,4.383333333333333
12000176,6.6,5.5,4.0,5.366666666666667,5.366666666666667
12000177,6.8,5.75,4.6,5.716666666666666,5.716666666666666
12000178,4.0,6.75,2.0,4.25,4.25
12000179,5.4,6.5,2.4,4.766666666666667,4.766666666666667
