SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
38000001,2.6,4.75,1.8,3.0500000000000003,3.0500000000000003
38000002,7.4,7.0,7.0,7.133333333333333,7.133333333333333
38000003,6.4,6.25,3.4,5.3500000000000005,5.3500000000000005
38000004,7.4,3.0,3.0,4.466666666666667,4.466666666666667
38000006,5.8,5.5,3.4,4.9,4.9
38000007,4.8,6.25,3.4,4.816666666666667,4.816666666666667
38000008,6.4,7.25,2.6,5.416666666666667,5.416666666666667
38000009,6.6,5.25,4.4,5.416666666666667,5.416666666666667
38000010,5.6,3.5,2.8,3.9666666666666655,3.9666666666666663
38000011,6.2,5.5,4.2,5.3,5.3
38000012,4.8,5.5,3.2,4.5,4.5
38000013,3.6,4.5,2.2,3.4333333333333336,3.4333333333333336
38000014,5.0,5.75,3.6,4.783333333333333,4.783333333333333
38000015,2.8,3.5,2.8,3.033333333333333,3.033333333333333
38000016,3.8,4.0,3.0,3.6,3.6
38000018,7.8,5.75,7.6,7.05,7.05
38000022,2.8,4.25,1.4,2.8166666666666664,2.8166666666666664
38000023,3.2,4.5,2.4,3.3666666666666667,3.3666666666666667
38000024,4.0,5.0,2.4,3.8,3.8000000000000003
38000025,4.4,6.25,3.0,4.55,4.55
38000026,5.0,5.75,3.8,4.8500000000000005,4.8500000000000005
38000027,2.0,2.75,2.8,2.5166666666666666,2.5166666666666666
38000028,3.2,6.0,2.2,3.8,3.7999999999999994
38000029,3.0,2.75,2.0,2.583333333333333,2.5833333333333335
38000031,3.2,3.5,3.4,3.3666666666666667,3.3666666666666667
38000032,5.0,6.08,3.0,4.693333333333333,4.693333333333333
38000033,4.6,4.5,3.4,4.166666666666667,4.166666666666667
38000034,4.4,5.75,3.4,4.516666666666667,4.516666666666667
38000035,3.4,5.0,2.2,3.5333333333333337,3.5333333333333337
38000036,3.4,5.75,2.6,3.9166666666666665,3.9166666666666665
38000037,3.4,5.75,3.0,4.05,4.05
38000038,3.4,4.25,3.8,3.8166666666666655,3.8166666666666664
38000039,3.6,4.5,3.4,3.8333333333333335,3.8333333333333335
38000040,4.0,4.25,3.6,3.95,3.9499999999999997
38000041,4.0,6.5,3.4,4.633333333333334,4.633333333333334
38000042,4.8,5.0,3.6,4.466666666666667,4.466666666666667
38000043,5.2,6.5,3.2,4.966666666666666,4.966666666666666
38000044,5.6,6.25,4.4,5.416666666666667,5.416666666666667
38000045,4.2,4.25,3.6,4.016666666666667,4.016666666666667
38000046,2.4,2.75,3.4,2.85,2.85
38000047,4.6,5.5,2.8,4.3,4.3
38000048,7.2,7.25,5.2,6.55,6.55
38000050,6.2,5.25,7.0,6.15,6.1499999999999995
38000051,3.0,2.5,2.8,2.766666666666667,2.766666666666667
38000053,3.8,7.0,2.0,4.266666666666667,4.266666666666667
38000054,4.8,4.25,4.4,4.483333333333333,4.483333333333333
38000055,3.6,6.0,2.6,4.066666666666666,4.066666666666666
38000056,5.4,5.0,2.6,4.333333333333333,4.333333333333333
38000057,4.2,5.0,2.6,3.933333333333333,3.933333333333333
38000058,3.4,4.0,3.0,3.466666666666667,3.466666666666667
38000060,4.4,5.0,3.6,4.333333333333333,4.333333333333333
38000062,5.8,6.25,4.0,5.3500000000000005,5.3500000000000005
38000063,5.2,4.0,2.4,3.8666666666666663,3.8666666666666667
38000064,4.0,5.75,4.2,4.65,4.6499999999999995
38000065,2.8,3.0,2.2,2.6666666666666665,2.6666666666666665
38000066,4.2,6.0,3.2,4.466666666666666,4.466666666666666
38000067,5.8,3.75,3.0,4.183333333333334,4.183333333333334
38000068,3.6,2.25,2.8,2.883333333333333,2.883333333333333
38000069,4.2,5.0,3.2,4.133333333333333,4.133333333333333
38000070,4.2,5.5,3.4,4.366666666666666,4.366666666666666
38000073,4.6,5.0,2.0,3.8666666666666663,3.8666666666666667
38000074,2.8,2.75,3.0,2.85,2.85
38000075,2.2,3.5,3.2,2.966666666666667,2.966666666666667
38000076,5.0,5.75,5.2,5.316666666666666,5.316666666666666
38000079,3.2,5.75,3.0,3.983333333333333,3.983333333333333
38000081,7.4,5.0,2.6,5.0,5.0
38000082,4.0,3.75,2.6,3.45,3.4499999999999997
38000084,3.2,3.25,2.8,3.083333333333333,3.0833333333333335
38000085,5.8,4.75,3.2,4.583333333333333,4.583333333333333
38000086,5.6,5.83,3.0,4.81,4.81
38000087,8.0,6.5,7.4,7.3,7.3
38000088,2.8,3.0,2.4,2.733333333333333,2.733333333333333
38000089,1.6,4.0,2.4,2.6666666666666665,2.6666666666666665
38000091,2.6,2.75,2.0,2.45,2.4499999999999997
38000092,3.8,5.0,3.6,4.133333333333334,4.133333333333334
38000093,3.8,5.5,3.6,4.3,4.3
38000094,3.8,3.75,2.6,3.3833333333333333,3.3833333333333333
38000096,4.6,4.75,3.6,4.316666666666666,4.316666666666666
38000098,2.6,2.5,2.2,2.433333333333333,2.433333333333333
38000099,2.2,3.0,3.0,2.733333333333333,2.733333333333333
38000100,5.6,4.75,3.0,4.45,4.45
38000101,4.4,4.75,3.8,4.316666666666666,4.316666666666666
38000102,2.4,3.0,2.2,2.5333333333333337,2.5333333333333337
38000103,4.8,5.25,4.0,4.683333333333334,4.683333333333334
38000104,4.2,6.5,3.6,4.766666666666667,4.766666666666667
38000105,6.0,4.5,3.8,4.766666666666667,4.766666666666667
38000106,4.8,4.25,3.4,4.15,4.15
38000107,2.2,5.0,2.4,3.2,3.1999999999999997
38000108,5.0,6.5,3.4,4.966666666666667,4.966666666666667
38000109,4.8,6.25,3.2,4.75,4.75
38000111,4.8,5.41,2.6,4.2700000000000005,4.2700000000000005
