SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
42000002,6.6,5.66,8.6,6.953333333333333,6.953333333333333
42000004,7.4,5.5,5.8,6.233333333333333,6.233333333333333
42000005,8.0,6.75,7.0,7.25,7.25
42000006,6.2,7.0,6.0,6.4,6.3999999999999995
42000007,5.6,7.5,6.6,6.566666666666666,6.566666666666666
42000008,8.2,7.0,9.0,8.066666666666666,8.066666666666666
42000009,8.4,7.25,7.8,7.816666666666666,7.816666666666666
42000010,6.0,6.25,5.8,6.016666666666667,6.016666666666667
42000012,7.4,6.5,5.2,6.366666666666667,6.366666666666667
42000013,8.4,6.25,5.2,6.616666666666667,6.616666666666667
42000014,8.8,6.0,5.4,6.733333333333334,6.733333333333334
42000018,7.0,5.0,7.0,6.333333333333333,6.333333333333333
42000019,7.6,5.25,5.0,5.95,5.95
42000020,5.6,5.5,8.4,6.5,6.5
42000021,5.8,6.25,4.8,5.616666666666667,5.616666666666667
42000022,8.6,6.25,6.6,7.15,7.1499999999999995
42000024,8.0,7.0,7.4,7.466666666666666,7.466666666666666
42000026,6.8,5.5,5.8,6.033333333333334,6.033333333333334
42000027,7.6,6.25,4.4,6.083333333333333,6.083333333333333
42000029,5.2,6.75,5.8,5.916666666666667,5.916666666666667
42000030,6.2,7.0,6.8,6.666666666666667,6.666666666666667
42000031,6.6,6.25,4.2,5.683333333333334,5.683333333333334
42000032,7.0,7.0,4.0,6.0,6.0
42000033,2.0,0.0,2.4,1.4666666666666668,1.4666666666666668
42000034,7.0,8.0,6.6,7.2,7.2
42000036,8.0,7.0,5.8,6.933333333333334,6.933333333333334
42000037,7.4,5.5,6.4,6.433333333333334,6.433333333333334
42000038,7.6,6.5,7.4,7.166666666666667,7.166666666666667
42000040,7.2,5.0,5.4,5.866666666666667,5.866666666666667
42000041,8.4,7.0,9.6,8.333333333333334,8.333333333333334
42000042,7.4,7.0,8.6,7.666666666666667,7.666666666666667
42000043,7.4,6.5,9.4,7.766666666666667,7.766666666666667
42000044,6.6,7.0,5.2,6.266666666666667,6.266666666666667
42000045,7.8,5.75,6.4,6.650000000000001,6.650000000000001
42000046,6.0,5.75,3.8,5.183333333333334,5.183333333333334
42000047,5.8,6.25,5.2,5.75,5.75
42000048,4.4,6.25,3.6,4.75,4.75
42000049,6.4,5.75,6.4,6.183333333333334,6.183333333333334
42000050,6.4,6.5,4.6,5.833333333333333,5.833333333333333
42000051,7.8,6.25,8.2,7.416666666666667,7.416666666666667
42000052,7.2,5.0,6.8,6.333333333333333,6.333333333333333
42000053,7.0,3.5,4.4,4.966666666666667,4.966666666666667
42000054,5.2,0.0,5.8,3.6666666666666665,3.6666666666666665
42000055,4.6,3.83,3.8,4.076666666666667,4.076666666666667
42000058,7.0,7.0,7.0,7.0,7.0
42000059,7.2,6.75,4.4,6.116666666666667,6.116666666666667
42000060,8.2,6.25,8.0,7.483333333333333,7.483333333333333
42000061,7.6,4.25,4.4,5.416666666666667,5.416666666666667
42000063,6.8,5.92,6.2,6.306666666666666,6.306666666666666
42000065,6.0,0.0,5.2,3.733333333333333,3.733333333333333
42000066,7.4,6.25,4.4,6.016666666666667,6.016666666666667
42000067,7.8,7.0,5.2,6.666666666666667,6.666666666666667
42000068,5.4,4.75,8.2,6.116666666666667,6.116666666666667
42000069,6.4,6.25,3.0,5.216666666666667,5.216666666666667
42000070,6.6,5.0,5.2,5.6000000000000005,5.6000000000000005
42000071,5.6,5.5,4.8,5.3,5.3
42000072,5.2,4.75,4.0,4.65,4.6499999999999995
42000074,6.0,4.75,3.6,4.783333333333333,4.783333333333333
42000075,5.8,5.25,6.2,5.75,5.75
42000078,7.4,6.5,8.0,7.3,7.3
42000081,6.2,7.25,4.8,6.083333333333333,6.083333333333333
42000083,6.6,5.25,4.4,5.416666666666667,5.416666666666667
42000084,2.0,3.0,3.2,2.733333333333333,2.733333333333333
42000087,8.2,5.0,5.2,6.133333333333333,6.133333333333333
42000091,7.8,6.25,5.2,6.416666666666667,6.416666666666667
42000092,5.4,4.75,2.0,4.05,4.05
42000093,7.0,6.75,5.4,6.383333333333333,6.383333333333333
42000094,8.6,6.75,7.8,7.716666666666666,7.716666666666666
42000095,7.2,7.0,7.2,7.133333333333333,7.133333333333333
42000096,7.4,5.25,5.6,6.083333333333333,6.083333333333333
42000097,5.2,4.25,4.6,4.683333333333333,4.683333333333333
42000098,6.2,5.25,4.8,5.416666666666667,5.416666666666667
42000102,8.8,5.75,5.4,6.650000000000001,6.650000000000001
42000103,7.0,5.75,6.8,6.516666666666667,6.516666666666667
42000106,8.2,5.25,5.6,6.349999999999999,6.349999999999999
42000107,7.2,5.0,8.0,6.733333333333333,6.733333333333333
42000108,6.8,4.0,7.0,5.933333333333334,5.933333333333334
42000111,6.0,6.0,4.8,5.6000000000000005,5.6000000000000005
42000112,7.0,7.5,4.6,6.366666666666667,6.366666666666667
42000113,5.0,4.5,3.6,4.366666666666666,4.366666666666666
42000114,6.2,4.75,6.0,5.65,5.6499999999999995
42000116,5.4,6.5,5.0,5.633333333333333,5.633333333333333
42000117,5.2,6.16,4.6,5.319999999999999,5.319999999999999
42000118,6.8,6.75,7.4,6.983333333333334,6.983333333333334
42000119,7.0,6.5,4.0,5.833333333333333,5.833333333333333
42000121,5.6,6.0,4.2,5.266666666666667,5.266666666666667
42000122,6.2,5.0,5.8,5.666666666666667,5.666666666666667
