SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
53000001,6.4,5.0,4.8,5.4,5.3999999999999995
53000002,6.0,4.0,6.2,5.4,5.3999999999999995
53000003,4.2,4.5,7.4,5.366666666666667,5.366666666666667
53000004,4.6,5.5,4.2,4.766666666666667,4.766666666666667
53000005,5.0,5.5,7.2,5.9,5.8999999999999995
53000006,6.0,5.75,3.8,5.183333333333334,5.183333333333334
53000007,6.4,4.5,2.8,4.566666666666666,4.566666666666666
53000008,5.0,6.0,3.4,4.8,4.8
53000009,6.0,5.5,4.4,5.3,5.3
53000010,6.6,6.0,4.2,5.6000000000000005,5.6000000000000005
53000011,8.0,6.5,8.8,7.766666666666667,7.766666666666667
53000012,7.0,6.5,9.0,7.5,7.5
53000013,7.4,4.0,5.4,5.6000000000000005,5.6000000000000005
53000014,8.2,6.5,7.4,7.366666666666667,7.366666666666667
53000015,7.6,5.5,6.0,6.366666666666667,6.366666666666667
53000016,4.0,5.5,5.4,4.966666666666667,4.966666666666667
53000017,5.6,5.5,4.4,5.166666666666667,5.166666666666667
53000018,8.0,8.75,7.2,7.983333333333333,7.983333333333333
53000019,6.0,5.0,5.8,5.6000000000000005,5.6000000000000005
53000020,6.6,6.0,6.4,6.333333333333333,6.333333333333333
53000021,7.0,6.5,5.0,6.166666666666667,6.166666666666667
53000022,6.2,5.0,4.8,5.333333333333333,5.333333333333333
53000023,6.4,5.0,4.6,5.333333333333333,5.333333333333333
53000024,6.4,4.5,3.0,4.633333333333334,4.633333333333334
53000025,4.8,4.75,4.0,4.516666666666667,4.516666666666667
53000026,6.2,4.12,4.4,4.906666666666667,4.906666666666667
53000027,5.2,4.25,3.8,4.416666666666667,4.416666666666667
53000028,5.4,4.25,2.2,3.9500000000000006,3.9500000000000006
53000029,5.2,5.5,5.6,5.433333333333333,5.433333333333333
53000030,6.0,4.5,4.0,4.833333333333333,4.833333333333333
53000031,7.8,5.25,6.2,6.416666666666667,6.416666666666667
53000032,8.0,5.5,9.4,7.633333333333333,7.633333333333333
53000033,6.2,3.5,5.0,4.9,4.8999999999999995
53000034,8.0,5.5,5.8,6.433333333333334,6.433333333333334
53000035,5.2,5.0,3.4,4.533333333333333,4.533333333333333
53000036,5.8,4.5,4.2,4.833333333333333,4.833333333333333
53000037,7.0,5.0,4.6,5.533333333333334,5.533333333333334
53000038,4.8,5.0,5.6,5.133333333333334,5.133333333333334
53000039,4.8,5.0,4.0,4.6000000000000005,4.6000000000000005
53000040,5.4,5.0,4.4,4.933333333333334,4.933333333333334
53000041,8.0,3.75,3.4,5.05,5.05
53000042,7.2,4.75,5.0,5.65,5.6499999999999995
53000043,8.6,6.75,5.2,6.8500000000000005,6.8500000000000005
53000044,6.2,3.25,6.2,5.216666666666666,5.216666666666666
53000045,7.2,5.25,4.8,5.75,5.75
53000046,3.2,5.25,3.6,4.016666666666667,4.016666666666667
53000047,6.6,6.0,6.6,6.4,6.3999999999999995
53000048,8.2,4.92,8.2,7.1066666666666665,7.1066666666666665
53000049,5.8,5.5,4.2,5.166666666666667,5.166666666666667
53000050,6.8,6.0,4.4,5.733333333333334,5.733333333333334
53000051,7.0,7.5,7.4,7.3,7.3
