SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
48000001,9.2,3.5,5.8,6.166666666666667,6.166666666666667
48000004,6.2,5.75,4.8,5.583333333333333,5.583333333333333
48000005,7.8,5.0,7.4,6.733333333333334,6.733333333333334
48000006,7.8,4.0,6.0,5.933333333333334,5.933333333333334
48000007,7.4,5.0,5.2,5.866666666666667,5.866666666666667
48000008,5.6,8.0,9.4,7.666666666666667,7.666666666666667
48000009,6.4,4.5,4.6,5.166666666666667,5.166666666666667
48000010,7.0,4.75,6.0,5.916666666666667,5.916666666666667
48000011,7.0,4.75,5.2,5.65,5.6499999999999995
48000012,4.6,2.25,3.6,3.483333333333333,3.483333333333333
48000013,7.0,4.75,6.4,6.05,6.05
48000014,4.6,4.25,3.4,4.083333333333333,4.083333333333333
48000015,6.6,4.0,4.0,4.866666666666666,4.866666666666666
48000016,7.2,5.5,4.4,5.7,5.7
48000017,7.6,7.75,5.6,6.983333333333333,6.983333333333333
48000018,6.4,5.25,4.0,5.216666666666667,5.216666666666667
48000019,6.0,4.0,2.6,4.2,4.2
48000021,6.2,5.5,4.4,5.366666666666667,5.366666666666667
48000024,6.2,5.5,7.2,6.3,6.3
48000028,5.8,5.25,4.8,5.283333333333334,5.283333333333334
48000031,7.8,4.5,5.6,5.966666666666666,5.966666666666666
48000032,4.8,4.5,1.8,3.7000000000000006,3.7000000000000006
48000033,5.4,5.75,4.6,5.25,5.25
48000034,7.4,7.0,5.6,6.666666666666667,6.666666666666667
48000035,6.4,5.5,3.2,5.033333333333334,5.033333333333334
48000036,7.0,7.0,7.6,7.2,7.2
48000040,6.2,3.75,3.6,4.516666666666667,4.516666666666667
48000042,5.6,8.0,4.6,6.066666666666666,6.066666666666666
48000044,7.4,5.25,6.0,6.216666666666666,6.216666666666666
48000045,6.6,7.25,8.0,7.283333333333334,7.283333333333334
48000047,7.2,7.0,7.2,7.133333333333333,7.133333333333333
48000048,5.6,5.5,3.0,4.7,4.7
48000051,8.4,6.0,4.8,6.4,6.3999999999999995
48000052,4.2,3.25,3.4,3.6166666666666663,3.6166666666666667
48000053,7.4,6.5,8.4,7.433333333333334,7.433333333333334
48000054,7.4,5.75,5.6,6.25,6.25
48000056,5.0,5.75,4.2,4.983333333333333,4.983333333333333
48000057,7.8,7.5,8.6,7.966666666666666,7.966666666666666
48000058,7.0,6.0,5.6,6.2,6.2
48000060,4.4,5.0,5.4,4.933333333333334,4.933333333333334
48000061,8.4,6.25,7.2,7.283333333333334,7.283333333333334
48000062,7.8,6.5,6.6,6.966666666666666,6.966666666666666
48000064,6.8,5.5,7.0,6.433333333333334,6.433333333333334
48000065,6.8,7.5,7.8,7.366666666666667,7.366666666666667
48000066,7.4,4.5,6.4,6.1000000000000005,6.1000000000000005
48000070,7.4,7.0,8.6,7.666666666666667,7.666666666666667
48000071,8.0,6.25,7.0,7.083333333333333,7.083333333333333
48000072,7.8,7.5,8.0,7.766666666666667,7.766666666666667
48000073,6.6,5.5,5.0,5.7,5.7
48000076,6.0,6.5,5.0,5.833333333333333,5.833333333333333
48000077,6.6,7.0,5.4,6.333333333333333,6.333333333333333
48000078,6.0,6.5,4.4,5.633333333333333,5.633333333333333
