SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
44000001,8.4,7.5,4.4,6.766666666666667,6.766666666666667
44000003,7.0,5.0,4.0,5.333333333333333,5.333333333333333
44000004,7.2,6.75,7.4,7.116666666666667,7.116666666666667
44000005,7.6,7.0,9.2,7.933333333333333,7.933333333333333
44000006,8.4,6.75,7.4,7.516666666666667,7.516666666666667
44000007,7.4,6.0,6.2,6.533333333333334,6.533333333333334
44000008,7.6,7.5,5.6,6.9,6.8999999999999995
44000009,8.6,7.5,9.2,8.433333333333334,8.433333333333334
44000010,6.0,7.0,2.8,5.266666666666667,5.266666666666667
44000013,9.2,7.0,8.8,8.333333333333334,8.333333333333334
44000014,7.4,7.5,2.8,5.9,5.8999999999999995
44000015,6.6,7.0,3.4,5.666666666666667,5.666666666666667
44000016,8.4,8.0,6.0,7.466666666666666,7.466666666666666
44000017,7.4,8.0,7.6,7.666666666666667,7.666666666666667
44000019,8.6,5.5,7.6,7.233333333333333,7.233333333333333
44000020,9.0,7.0,5.0,7.0,7.0
44000021,7.2,6.75,5.2,6.383333333333333,6.383333333333333
44000022,6.8,8.0,4.6,6.466666666666666,6.466666666666666
44000023,9.0,6.0,7.2,7.399999999999999,7.3999999999999995
44000024,7.4,6.0,3.6,5.666666666666667,5.666666666666667
44000025,7.0,6.5,6.2,6.566666666666666,6.566666666666666
44000026,7.8,6.75,6.6,7.05,7.05
44000027,8.8,6.75,6.0,7.183333333333334,7.183333333333334
44000028,7.4,7.25,4.4,6.3500000000000005,6.3500000000000005
44000029,7.8,8.25,6.8,7.616666666666667,7.616666666666667
44000030,6.4,8.25,6.4,7.016666666666667,7.016666666666667
44000031,9.6,8.25,9.4,9.083333333333334,9.083333333333334
44000032,7.4,9.25,8.4,8.35,8.35
44000033,9.0,9.0,7.4,8.466666666666667,8.466666666666667
44000035,7.6,7.5,7.2,7.433333333333334,7.433333333333334
44000036,7.4,6.5,6.2,6.7,6.7
44000038,8.8,7.25,7.2,7.75,7.75
44000039,7.0,8.25,7.0,7.416666666666667,7.416666666666667
44000040,7.0,7.25,3.4,5.883333333333333,5.883333333333333
44000041,7.2,7.5,6.0,6.9,6.8999999999999995
44000042,8.0,7.75,6.8,7.516666666666667,7.516666666666667
44000043,8.8,7.0,6.0,7.266666666666667,7.266666666666667
44000044,7.4,8.0,3.6,6.333333333333333,6.333333333333333
44000045,3.8,6.0,5.4,5.066666666666667,5.066666666666667
44000046,8.2,6.75,6.6,7.183333333333333,7.183333333333333
44000047,8.8,7.5,6.0,7.433333333333334,7.433333333333334
44000048,8.4,7.75,8.0,8.049999999999999,8.049999999999999
44000049,8.4,8.25,6.4,7.683333333333333,7.683333333333333
44000050,8.8,8.25,7.4,8.15,8.15
44000051,9.4,8.5,8.6,8.833333333333334,8.833333333333334
44000052,6.4,7.75,5.8,6.65,6.6499999999999995
44000054,8.6,8.5,6.0,7.7,7.7
44000055,2.8,6.5,4.8,4.7,4.7
44000056,7.8,9.0,5.4,7.400000000000001,7.400000000000001
44000057,4.4,6.75,4.6,5.25,5.25
44000058,7.4,7.5,6.6,7.166666666666667,7.166666666666667
44000059,7.2,6.75,5.0,6.316666666666666,6.316666666666666
44000060,8.8,6.75,5.6,7.05,7.05
44000061,9.2,7.75,4.8,7.25,7.25
44000062,6.8,7.25,5.0,6.3500000000000005,6.3500000000000005
44000063,8.8,6.75,7.4,7.650000000000001,7.650000000000001
44000064,8.4,7.75,6.2,7.449999999999999,7.449999999999999
44000065,7.8,8.0,9.2,8.333333333333334,8.333333333333334
44000066,9.2,8.25,9.0,8.816666666666666,8.816666666666666
44000067,10.0,8.25,6.2,8.15,8.15
44000068,8.4,6.25,5.6,6.75,6.75
44000069,6.4,7.0,4.4,5.933333333333334,5.933333333333334
44000070,6.8,7.5,5.6,6.633333333333333,6.633333333333333
44000071,6.4,7.25,7.8,7.15,7.1499999999999995
44000072,7.0,7.25,5.4,6.55,6.55
44000073,8.4,7.0,8.4,7.933333333333334,7.933333333333334
44000074,8.6,6.75,6.6,7.316666666666666,7.316666666666666
44000075,5.2,7.25,3.6,5.3500000000000005,5.3500000000000005
44000076,5.4,5.0,2.6,4.333333333333333,4.333333333333333
44000078,9.0,7.5,6.4,7.633333333333333,7.633333333333333
44000079,8.6,7.75,7.2,7.85,7.8500000000000005
44000080,8.0,8.25,9.2,8.483333333333333,8.483333333333333
44000082,8.6,6.25,8.0,7.616666666666667,7.616666666666667
44000083,8.6,7.5,4.8,6.966666666666668,6.966666666666668
44000085,8.4,8.0,4.8,7.066666666666666,7.066666666666666
44000086,8.8,7.25,7.4,7.816666666666667,7.816666666666667
44000087,4.4,8.0,4.0,5.466666666666666,5.466666666666666
44000088,7.2,8.0,8.0,7.733333333333333,7.733333333333333
44000090,6.6,8.0,5.6,6.733333333333333,6.733333333333333
44000091,9.2,7.25,8.6,8.35,8.35
44000092,8.0,4.5,7.2,6.566666666666666,6.566666666666666
