SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
11000001,5.0,4.75,4.0,4.583333333333333,4.583333333333333
11000002,2.6,4.75,3.6,3.65,3.65
11000003,6.6,5.75,7.8,6.716666666666666,6.716666666666666
11000004,7.2,7.5,5.2,6.633333333333333,6.633333333333333
11000006,6.2,5.0,3.6,4.933333333333333,4.933333333333333
11000007,4.2,5.0,3.4,4.2,4.2
11000008,7.2,6.0,3.8,5.666666666666667,5.666666666666667
11000009,2.8,5.75,2.2,3.583333333333333,3.5833333333333335
11000010,4.0,6.25,3.4,4.55,4.55
11000012,2.8,5.0,2.4,3.4,3.4
11000013,5.0,5.5,3.0,4.5,4.5
11000015,6.8,8.25,5.0,6.683333333333334,6.683333333333334
11000016,2.8,5.75,2.2,3.583333333333333,3.5833333333333335
11000017,3.8,5.5,1.8,3.7000000000000006,3.7000000000000006
11000018,4.8,6.75,2.4,4.65,4.65
11000019,7.2,5.25,5.0,5.816666666666666,5.816666666666666
11000020,2.8,3.75,2.2,2.9166666666666665,2.9166666666666665
11000021,5.0,5.25,2.0,4.083333333333333,4.083333333333333
11000022,7.2,7.5,3.4,6.033333333333332,6.033333333333332
11000023,4.8,4.75,1.2,3.583333333333333,3.5833333333333335
11000024,3.4,4.5,2.4,3.4333333333333336,3.4333333333333336
11000026,1.8,5.25,2.8,3.283333333333333,3.283333333333333
11000027,6.4,5.25,4.2,5.283333333333334,5.283333333333334
11000028,6.4,8.25,3.8,6.15,6.1499999999999995
11000029,5.6,6.75,3.4,5.25,5.25
11000031,6.4,6.25,3.8,5.483333333333333,5.483333333333333
11000033,3.8,5.5,3.2,4.166666666666667,4.166666666666667
11000034,7.2,8.0,2.6,5.933333333333334,5.933333333333334
11000035,7.2,6.25,6.0,6.483333333333333,6.483333333333333
11000036,5.2,5.25,2.6,4.35,4.35
11000038,3.4,4.5,2.8,3.5666666666666664,3.5666666666666664
11000039,6.2,5.5,3.0,4.9,4.8999999999999995
11000041,5.6,3.75,2.8,4.05,4.05
11000042,2.8,4.75,3.2,3.583333333333333,3.5833333333333335
11000043,7.4,6.0,4.8,6.066666666666666,6.066666666666666
11000044,8.4,5.0,4.2,5.866666666666667,5.866666666666667
11000045,6.2,6.0,6.4,6.2,6.2
11000046,7.0,5.25,3.8,5.3500000000000005,5.3500000000000005
11000047,6.4,5.0,3.0,4.8,4.8
11000048,5.4,5.5,2.6,4.5,4.5
11000049,3.4,4.0,2.6,3.333333333333333,3.3333333333333335
