SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
6000001,5.2,4.75,4.2,4.716666666666666,4.716666666666666
6000002,2.6,5.5,3.4,3.8333333333333335,3.8333333333333335
6000003,4.2,4.75,2.4,3.783333333333333,3.783333333333333
6000004,2.8,7.75,1.6,4.05,4.05
6000006,3.6,6.25,2.8,4.216666666666666,4.216666666666666
6000007,4.0,6.75,2.8,4.516666666666667,4.516666666666667
6000008,2.6,4.0,2.2,2.9333333333333336,2.9333333333333336
6000009,4.4,7.0,3.2,4.866666666666667,4.866666666666667
6000010,3.6,3.25,2.8,3.2166666666666663,3.2166666666666663
6000011,4.6,3.5,4.6,4.233333333333333,4.233333333333333
6000012,7.2,6.5,3.2,5.633333333333333,5.633333333333333
6000013,3.0,4.25,2.0,3.083333333333333,3.0833333333333335
6000014,4.8,5.0,2.8,4.2,4.2
6000015,3.6,5.0,2.8,3.8,3.7999999999999994
6000016,3.8,3.5,1.6,2.966666666666667,2.966666666666667
6000017,5.6,7.5,2.6,5.233333333333333,5.233333333333333
6000018,4.8,5.0,3.2,4.333333333333333,4.333333333333333
6000019,3.4,4.75,3.0,3.716666666666667,3.716666666666667
6000020,6.2,5.5,3.4,5.033333333333333,5.033333333333333
6000021,4.8,4.5,2.2,3.8333333333333335,3.8333333333333335
6000022,2.8,3.5,2.4,2.9,2.9
6000024,4.2,5.0,2.6,3.933333333333333,3.933333333333333
6000026,2.6,4.5,2.4,3.1666666666666665,3.1666666666666665
6000027,4.0,3.5,2.8,3.4333333333333336,3.4333333333333336
6000029,3.4,6.0,1.6,3.6666666666666665,3.6666666666666665
6000031,1.4,5.5,3.6,3.5,3.5
6000032,5.0,5.0,2.0,4.0,4.0
6000033,3.2,5.0,3.0,3.733333333333333,3.733333333333333
6000034,3.6,7.5,2.6,4.566666666666666,4.566666666666666
6000036,3.8,5.75,2.0,3.85,3.85
6000038,4.4,6.75,1.8,4.316666666666667,4.316666666666667
6000039,6.0,8.0,2.2,5.4,5.3999999999999995
6000041,3.4,4.25,2.2,3.2833333333333337,3.2833333333333337
6000042,3.0,2.75,2.4,2.716666666666667,2.716666666666667
6000044,2.6,3.0,1.6,2.4,2.4
6000045,4.0,6.0,3.2,4.4,4.3999999999999995
6000046,2.8,2.0,3.0,2.6,2.6
6000047,3.6,4.75,4.0,4.116666666666666,4.116666666666666
6000048,3.0,4.0,2.4,3.1333333333333333,3.1333333333333333
6000050,4.0,5.5,2.8,4.1000000000000005,4.1000000000000005
6000051,3.6,4.0,2.0,3.2,3.1999999999999997
6000052,3.4,4.5,2.8,3.5666666666666664,3.5666666666666664
6000054,4.0,6.5,2.8,4.433333333333334,4.433333333333334
6000055,2.8,3.5,4.4,3.5666666666666664,3.5666666666666664
6000057,4.6,4.5,3.6,4.233333333333333,4.233333333333333
6000058,3.6,5.0,3.8,4.133333333333333,4.133333333333333
6000059,4.4,4.75,2.0,3.716666666666667,3.716666666666667
6000060,3.4,5.5,3.2,4.033333333333334,4.033333333333334
6000061,4.4,7.5,2.6,4.833333333333333,4.833333333333333
6000062,3.4,5.25,3.4,4.016666666666667,4.016666666666667
6000063,5.4,5.5,2.6,4.5,4.5
6000065,7.0,7.25,5.2,6.483333333333333,6.483333333333333
6000066,4.0,3.5,3.4,3.633333333333333,3.6333333333333333
6000067,4.6,7.5,4.0,5.366666666666667,5.366666666666667
6000068,2.8,7.5,3.0,4.433333333333334,4.433333333333334
6000069,5.2,5.5,2.4,4.366666666666666,4.366666666666666
6000070,6.8,6.75,4.0,5.8500000000000005,5.8500000000000005
6000071,5.2,5.5,4.6,5.1,5.1
6000072,4.4,6.5,2.6,4.5,4.5
6000073,4.2,6.0,3.2,4.466666666666666,4.466666666666666
6000074,3.0,4.5,3.2,3.5666666666666664,3.5666666666666664
6000075,6.0,2.75,4.2,4.316666666666666,4.316666666666666
6000076,2.2,3.5,3.0,2.9,2.9
6000078,4.2,7.0,2.4,4.533333333333333,4.533333333333333
6000079,6.0,6.25,3.6,5.283333333333333,5.283333333333333
6000080,5.8,6.5,4.8,5.7,5.7
6000081,6.2,7.5,3.6,5.766666666666667,5.766666666666667
6000084,2.8,2.5,3.4,2.9,2.9
6000085,3.4,3.5,4.8,3.9,3.9
6000086,3.0,4.0,2.2,3.0666666666666664,3.0666666666666664
6000087,3.2,5.5,3.8,4.166666666666667,4.166666666666667
6000088,4.4,6.5,3.0,4.633333333333334,4.633333333333334
6000089,3.8,5.0,2.0,3.6,3.6
6000090,4.0,6.75,1.6,4.116666666666666,4.116666666666666
6000091,1.8,3.0,3.0,2.6,2.6
6000092,3.2,4.25,3.2,3.5500000000000003,3.5500000000000003
6000093,5.6,6.5,2.0,4.7,4.7
6000094,3.6,2.75,4.0,3.45,3.4499999999999997
6000095,1.6,5.25,3.0,3.283333333333333,3.283333333333333
6000096,2.8,5.5,2.6,3.633333333333333,3.6333333333333333
6000097,2.8,4.75,2.8,3.45,3.4499999999999997
6000098,2.2,3.25,3.2,2.8833333333333333,2.8833333333333333
6000099,2.8,5.5,1.8,3.366666666666667,3.366666666666667
6000101,3.0,5.25,2.8,3.6833333333333336,3.6833333333333336
6000102,4.6,4.25,2.6,3.8166666666666655,3.8166666666666664
6000103,5.2,6.5,3.4,5.033333333333333,5.033333333333333
6000104,2.6,3.75,2.8,3.0499999999999994,3.0499999999999994
6000105,5.0,6.25,4.4,5.216666666666667,5.216666666666667
6000106,3.8,4.25,5.0,4.3500000000000005,4.3500000000000005
6000107,3.4,3.25,2.2,2.9500000000000006,2.9500000000000006
6000108,2.6,5.0,2.4,3.333333333333333,3.3333333333333335
6000109,4.2,4.25,3.0,3.8166666666666655,3.8166666666666664
6000110,5.2,4.75,4.6,4.85,4.85
6000111,2.8,3.5,2.6,2.966666666666667,2.966666666666667
6000112,4.0,4.75,2.2,3.65,3.65
6000113,3.2,5.0,2.2,3.4666666666666663,3.4666666666666663
6000114,6.0,6.0,4.2,5.4,5.3999999999999995
6000115,2.6,4.0,2.8,3.133333333333333,3.133333333333333
6000116,5.0,6.0,3.6,4.866666666666666,4.866666666666666
6000117,7.0,6.5,3.6,5.7,5.7
6000118,4.4,6.0,2.2,4.2,4.2
6000119,4.2,5.25,2.4,3.95,3.9499999999999997
6000120,4.6,5.5,2.8,4.3,4.3
6000123,3.8,4.0,2.6,3.466666666666667,3.466666666666667
6000124,4.6,6.33,3.6,4.843333333333333,4.843333333333333
6000125,4.4,5.0,3.0,4.133333333333334,4.133333333333334
6000126,5.6,6.83,2.6,5.01,5.01
6000129,4.6,7.25,3.4,5.083333333333333,5.083333333333333
6000130,5.0,5.75,2.4,4.383333333333334,4.383333333333334
6000131,4.0,5.06,1.6,3.553333333333333,3.553333333333333
6000133,5.6,7.0,2.4,5.0,5.0
6000134,3.4,5.5,2.6,3.8333333333333335,3.8333333333333335
6000137,3.6,7.25,1.4,4.083333333333333,4.083333333333333
6000138,2.2,6.0,2.8,3.6666666666666665,3.6666666666666665
6000139,3.6,7.0,2.2,4.266666666666667,4.266666666666667
6000140,2.4,5.5,3.2,3.7000000000000006,3.7000000000000006
6000141,4.6,5.75,1.8,4.05,4.05
6000142,5.6,5.0,3.0,4.533333333333333,4.533333333333333
6000143,6.6,8.25,2.8,5.883333333333333,5.883333333333333
6000144,6.4,8.5,1.8,5.566666666666666,5.566666666666666
6000145,6.8,8.5,5.4,6.900000000000001,6.900000000000001
6000146,5.0,7.25,1.6,4.616666666666666,4.616666666666666
6000147,3.8,4.5,3.0,3.766666666666667,3.766666666666667
6000148,4.4,4.41,1.6,3.47,3.47
6000151,4.8,4.0,3.6,4.133333333333334,4.133333333333334
6000152,4.8,7.0,2.8,4.866666666666667,4.866666666666667
6000153,2.4,5.25,2.0,3.216666666666667,3.216666666666667
6000154,4.8,6.0,3.8,4.866666666666667,4.866666666666667
