SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
5000001,7.2,7.5,6.2,6.966666666666666,6.966666666666666
5000003,7.6,8.25,7.0,7.616666666666667,7.616666666666667
5000004,2.8,4.0,3.6,3.466666666666667,3.466666666666667
5000005,7.0,3.75,5.6,5.45,5.45
5000006,6.6,8.25,7.6,7.483333333333333,7.483333333333333
5000007,8.4,9.0,7.4,8.266666666666666,8.266666666666666
5000010,8.2,8.0,9.2,8.466666666666667,8.466666666666667
5000011,9.2,6.25,4.6,6.683333333333333,6.683333333333333
5000012,6.4,7.5,5.0,6.3,6.3
5000013,8.4,7.5,5.8,7.233333333333333,7.233333333333333
5000014,9.2,8.0,9.0,8.733333333333333,8.733333333333333
5000015,9.2,6.5,9.0,8.233333333333333,8.233333333333333
5000016,8.0,8.0,6.6,7.533333333333334,7.533333333333334
5000018,8.4,8.25,8.2,8.283333333333333,8.283333333333333
5000019,8.4,6.75,8.2,7.783333333333334,7.783333333333334
5000020,7.6,8.0,4.8,6.8,6.8
5000021,9.4,6.0,5.8,7.066666666666666,7.066666666666666
5000022,8.4,5.75,4.2,6.116666666666667,6.116666666666667
5000023,6.0,6.25,6.6,6.283333333333334,6.283333333333334
5000024,7.8,7.5,7.2,7.5,7.5
5000025,9.0,7.25,6.2,7.483333333333333,7.483333333333333
5000026,8.4,6.5,5.6,6.833333333333333,6.833333333333333
5000027,4.0,4.25,3.0,3.75,3.75
5000028,5.2,4.25,5.0,4.816666666666666,4.816666666666666
5000030,9.0,8.25,7.8,8.35,8.35
5000031,8.4,4.25,4.2,5.616666666666667,5.616666666666667
5000034,2.4,3.75,1.2,2.45,2.45
5000035,8.2,9.0,6.6,7.933333333333333,7.933333333333333
5000036,8.2,6.75,9.8,8.25,8.25
5000037,8.4,7.5,7.2,7.7,7.7
5000038,8.8,7.0,8.0,7.933333333333334,7.933333333333334
5000039,8.8,8.0,6.6,7.8,7.8
5000040,8.8,4.75,6.6,6.716666666666666,6.716666666666666
5000041,5.8,5.75,6.8,6.116666666666667,6.116666666666667
5000043,3.2,6.0,2.4,3.8666666666666663,3.8666666666666667
5000044,7.8,5.5,5.0,6.1000000000000005,6.1000000000000005
5000045,9.0,6.0,4.8,6.6000000000000005,6.6000000000000005
5000046,2.0,4.75,2.8,3.1833333333333336,3.1833333333333336
5000049,8.6,0.0,3.8,4.133333333333333,4.133333333333333
5000050,3.8,6.25,3.0,4.3500000000000005,4.3500000000000005
5000053,9.4,7.5,3.6,6.833333333333333,6.833333333333333
5000054,7.8,6.0,7.4,7.066666666666667,7.066666666666667
5000055,5.6,3.0,2.0,3.533333333333333,3.533333333333333
5000056,7.8,7.5,8.8,8.033333333333333,8.033333333333333
5000057,2.4,5.0,3.0,3.466666666666667,3.466666666666667
5000058,4.6,6.5,2.4,4.5,4.5
5000059,8.4,7.0,7.8,7.733333333333333,7.733333333333333
5000062,7.8,7.0,4.2,6.333333333333333,6.333333333333333
5000064,9.0,6.5,4.8,6.766666666666667,6.766666666666667
5000065,1.8,2.5,3.0,2.433333333333333,2.433333333333333
5000066,3.8,3.75,2.6,3.3833333333333333,3.3833333333333333
5000067,8.2,6.75,7.2,7.383333333333333,7.383333333333333
5000068,2.0,3.75,3.0,2.9166666666666665,2.9166666666666665
5000069,7.8,8.5,8.4,8.233333333333334,8.233333333333334
5000070,2.4,4.0,2.4,2.9333333333333336,2.9333333333333336
5000072,7.8,8.25,7.8,7.95,7.95
5000073,8.8,5.25,5.0,6.3500000000000005,6.3500000000000005
5000074,8.4,6.5,5.6,6.833333333333333,6.833333333333333
5000076,2.4,3.25,2.0,2.5500000000000003,2.5500000000000003
5000077,2.6,5.75,2.0,3.45,3.4499999999999997
5000078,2.8,5.5,2.8,3.7000000000000006,3.7000000000000006
5000079,9.0,4.0,9.0,7.333333333333333,7.333333333333333
