SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
49000001,8.4,6.75,4.2,6.45,6.45
49000002,8.2,7.75,8.0,7.983333333333333,7.983333333333333
49000003,7.2,7.5,3.4,6.033333333333332,6.033333333333332
49000004,8.4,6.25,8.2,7.616666666666667,7.616666666666667
49000006,7.0,6.75,3.2,5.65,5.6499999999999995
49000007,8.0,6.0,5.6,6.533333333333334,6.533333333333334
49000008,7.2,7.0,4.4,6.2,6.2
49000009,8.0,6.25,4.0,6.083333333333333,6.083333333333333
49000010,7.4,6.5,4.4,6.1000000000000005,6.1000000000000005
49000011,8.8,7.0,2.2,6.0,6.0
49000012,7.6,6.5,1.2,5.1,5.1
49000013,4.8,5.75,2.2,4.25,4.25
49000014,8.2,6.0,3.4,5.866666666666666,5.866666666666666
49000015,6.8,6.0,2.4,5.066666666666667,5.066666666666667
49000016,3.6,5.0,1.8,3.466666666666667,3.466666666666667
49000017,5.2,4.5,3.0,4.233333333333333,4.233333333333333
49000018,5.2,5.25,3.6,4.683333333333333,4.683333333333333
49000019,7.0,5.0,2.2,4.733333333333333,4.733333333333333
49000020,5.8,5.0,2.6,4.466666666666667,4.466666666666667
49000021,8.2,6.75,5.4,6.783333333333334,6.783333333333334
49000022,6.2,7.25,3.8,5.75,5.75
49000023,6.6,7.0,4.0,5.866666666666667,5.866666666666667
49000024,7.0,6.0,5.0,6.0,6.0
49000025,5.2,5.75,2.8,4.583333333333333,4.583333333333333
49000026,8.4,8.0,7.8,8.066666666666666,8.066666666666666
49000027,6.4,6.25,4.0,5.55,5.55
49000028,5.8,5.25,2.6,4.55,4.55
49000029,7.8,8.25,6.4,7.483333333333334,7.483333333333334
49000030,7.8,7.75,2.2,5.916666666666667,5.916666666666667
49000031,7.0,5.75,3.2,5.316666666666666,5.316666666666666
49000032,4.8,7.25,2.6,4.883333333333334,4.883333333333334
49000033,5.4,4.0,2.8,4.066666666666666,4.066666666666666
49000034,8.0,6.75,4.6,6.45,6.45
49000035,7.2,7.0,4.8,6.333333333333333,6.333333333333333
49000036,7.8,8.0,4.6,6.8,6.8
49000037,5.0,6.0,3.4,4.8,4.8
49000038,3.2,3.75,2.2,3.0500000000000003,3.0500000000000003
49000039,5.4,6.0,3.6,5.0,5.0
49000040,7.6,8.0,4.4,6.666666666666667,6.666666666666667
49000041,8.2,6.75,4.2,6.383333333333333,6.383333333333333
49000042,7.6,7.75,3.8,6.383333333333333,6.383333333333333
49000043,8.0,7.0,4.6,6.533333333333334,6.533333333333334
49000044,4.6,6.25,2.2,4.3500000000000005,4.3500000000000005
49000045,8.6,5.5,3.8,5.966666666666666,5.966666666666666
49000046,7.0,6.25,3.4,5.55,5.55
49000047,9.0,6.0,5.0,6.666666666666667,6.666666666666667
49000048,5.6,7.0,3.8,5.466666666666666,5.466666666666666
49000049,8.8,7.5,4.2,6.833333333333333,6.833333333333333
49000050,8.2,5.67,4.6,6.156666666666666,6.156666666666666
49000051,7.4,5.5,5.6,6.166666666666667,6.166666666666667
49000052,5.0,5.5,3.4,4.633333333333334,4.633333333333334
49000053,4.8,6.25,2.6,4.55,4.55
49000054,5.8,6.25,2.6,4.883333333333334,4.883333333333334
49000055,3.8,6.0,3.6,4.466666666666667,4.466666666666667
49000056,6.4,6.75,4.4,5.8500000000000005,5.8500000000000005
49000057,5.4,6.75,3.2,5.116666666666667,5.116666666666667
49000058,5.8,5.25,1.4,4.15,4.15
49000059,4.6,5.0,3.6,4.4,4.3999999999999995
49000060,3.4,5.5,2.2,3.7000000000000006,3.7000000000000006
49000061,7.8,6.25,4.2,6.083333333333333,6.083333333333333
49000062,6.4,7.0,3.8,5.733333333333333,5.733333333333333
49000063,7.0,7.5,2.6,5.7,5.7
49000064,3.2,5.5,4.0,4.233333333333333,4.233333333333333
49000065,8.2,6.25,5.2,6.55,6.55
49000066,6.4,7.0,4.2,5.866666666666667,5.866666666666667
49000067,8.2,7.0,2.4,5.866666666666666,5.866666666666666
49000068,6.2,6.25,3.6,5.3500000000000005,5.3500000000000005
49000069,6.8,5.0,5.0,5.6000000000000005,5.6000000000000005
49000070,7.2,5.5,3.2,5.3,5.3
49000072,4.6,3.75,3.2,3.85,3.85
49000073,5.4,5.5,3.2,4.7,4.7
49000074,5.0,7.25,3.0,5.083333333333333,5.083333333333333
49000075,5.0,6.33,3.6,4.976666666666667,4.976666666666667
49000076,7.4,5.25,2.4,5.016666666666667,5.016666666666667
49000077,7.8,6.5,2.2,5.5,5.5
49000078,5.6,5.25,2.8,4.55,4.55
49000079,6.4,5.75,3.0,5.05,5.05
49000080,8.8,7.0,5.2,7.0,7.0
49000081,6.6,6.5,5.0,6.033333333333334,6.033333333333334
49000082,4.8,5.0,2.4,4.066666666666667,4.066666666666667
49000083,7.8,6.5,3.6,5.966666666666668,5.966666666666668
49000084,4.8,6.5,4.2,5.166666666666667,5.166666666666667
49000085,8.6,7.75,4.0,6.783333333333334,6.783333333333334
49000086,7.8,7.0,3.2,6.0,6.0
49000087,5.0,6.25,3.2,4.816666666666666,4.816666666666666
49000088,4.4,5.0,2.4,3.9333333333333336,3.9333333333333336
49000089,8.8,7.0,3.8,6.533333333333334,6.533333333333334
49000090,7.0,6.5,4.2,5.9,5.8999999999999995
49000092,3.8,5.25,1.8,3.616666666666667,3.616666666666667
49000093,6.8,6.25,4.0,5.683333333333334,5.683333333333334
49000094,8.2,9.0,6.4,7.866666666666667,7.866666666666667
49000095,7.8,6.75,3.0,5.8500000000000005,5.8500000000000005
49000096,6.4,7.25,3.0,5.55,5.55
49000097,6.6,8.0,6.0,6.866666666666667,6.866666666666667
49000098,6.0,6.75,3.4,5.383333333333333,5.383333333333333
49000099,5.8,6.5,2.8,5.033333333333334,5.033333333333334
49000100,7.0,7.25,5.0,6.416666666666667,6.416666666666667
49000101,8.4,7.75,5.4,7.183333333333333,7.183333333333333
49000102,8.2,7.5,5.6,7.099999999999999,7.099999999999999
49000104,2.8,5.75,3.0,3.85,3.85
49000105,1.8,3.75,2.4,2.65,2.65
49000106,5.4,6.0,2.0,4.466666666666667,4.466666666666667
49000107,7.4,7.5,4.4,6.433333333333334,6.433333333333334
49000108,3.8,4.5,2.4,3.566666666666667,3.566666666666667
49000109,6.0,6.5,4.6,5.7,5.7
49000110,7.4,6.25,5.2,6.283333333333334,6.283333333333334
49000111,6.4,7.5,2.6,5.5,5.5
49000112,7.4,6.75,2.8,5.65,5.6499999999999995
49000113,8.6,7.5,4.0,6.7,6.7
49000114,7.8,6.25,2.8,5.616666666666667,5.616666666666667
49000115,6.4,6.25,2.4,5.016666666666667,5.016666666666667
49000116,7.8,6.25,5.4,6.483333333333334,6.483333333333334
49000117,5.8,6.0,4.8,5.533333333333334,5.533333333333334
49000118,7.8,5.75,4.2,5.916666666666667,5.916666666666667
49000119,8.0,7.5,4.8,6.766666666666667,6.766666666666667
49000120,7.2,6.5,3.4,5.699999999999999,5.699999999999999
49000121,5.2,6.0,2.6,4.6,4.6
49000122,7.6,7.25,5.2,6.683333333333334,6.683333333333334
49000123,7.6,7.25,3.4,6.083333333333333,6.083333333333333
49000124,7.4,7.25,2.8,5.816666666666666,5.816666666666666
49000125,8.4,6.5,4.2,6.366666666666667,6.366666666666667
49000126,6.0,6.0,1.4,4.466666666666667,4.466666666666667
49000127,5.6,6.75,1.6,4.65,4.6499999999999995
49000128,6.4,8.0,6.0,6.8,6.8
49000129,5.8,6.0,3.2,5.0,5.0
49000130,6.6,8.0,2.8,5.8,5.8
49000131,3.2,5.5,2.8,3.8333333333333335,3.8333333333333335
49000132,7.0,5.25,3.6,5.283333333333333,5.283333333333333
49000133,4.0,5.0,2.4,3.8,3.8000000000000003
49000134,7.0,7.0,2.8,5.6000000000000005,5.6000000000000005
49000136,8.4,5.75,4.2,6.116666666666667,6.116666666666667
49000137,6.6,6.25,2.6,5.15,5.1499999999999995
49000138,7.2,6.75,4.2,6.05,6.05
49000139,5.0,5.5,4.2,4.9,4.8999999999999995
49000140,7.2,6.5,4.4,6.033333333333334,6.033333333333334
49000141,6.0,4.5,4.0,4.833333333333333,4.833333333333333
49000142,5.4,5.5,2.6,4.5,4.5
49000143,5.4,5.25,2.8,4.483333333333333,4.483333333333333
49000144,5.0,5.5,1.6,4.033333333333333,4.033333333333333
49000145,4.6,5.25,4.6,4.816666666666666,4.816666666666666
49000146,8.6,5.75,5.4,6.583333333333333,6.583333333333333
49000147,8.8,6.5,6.0,7.1000000000000005,7.1000000000000005
49000148,7.8,5.0,5.6,6.133333333333333,6.133333333333333
49000149,8.6,5.75,2.6,5.65,5.6499999999999995
49000150,5.4,4.0,2.4,3.9333333333333336,3.9333333333333336
49000151,7.0,7.0,5.4,6.466666666666666,6.466666666666666
49000152,5.2,6.0,2.4,4.533333333333333,4.533333333333333
49000153,7.8,6.0,5.8,6.533333333333334,6.533333333333334
49000154,8.0,7.25,5.0,6.75,6.75
49000155,6.0,7.25,5.0,6.083333333333333,6.083333333333333
49000156,7.6,7.25,3.6,6.15,6.1499999999999995
49000158,7.4,6.75,4.2,6.116666666666667,6.116666666666667
49000159,6.4,8.0,2.8,5.733333333333333,5.733333333333333
49000161,7.6,7.0,6.0,6.866666666666667,6.866666666666667
49000162,8.2,8.0,3.2,6.466666666666666,6.466666666666666
49000163,7.4,6.75,5.4,6.516666666666667,6.516666666666667
49000164,7.0,8.0,4.8,6.6000000000000005,6.6000000000000005
49000165,9.0,7.5,5.4,7.3,7.3
49000166,5.4,6.0,3.0,4.8,4.8
49000167,6.2,6.75,2.4,5.116666666666666,5.116666666666666
49000168,6.8,4.25,3.6,4.883333333333334,4.883333333333334
49000169,7.6,6.5,4.4,6.166666666666667,6.166666666666667
49000170,8.0,7.0,3.6,6.2,6.2
49000171,4.6,3.75,2.6,3.65,3.65
49000172,8.8,7.0,3.2,6.333333333333333,6.333333333333333
49000173,7.2,5.0,3.2,5.133333333333333,5.133333333333333
49000174,7.4,5.75,2.8,5.316666666666666,5.316666666666666
49000175,8.2,5.75,3.8,5.916666666666667,5.916666666666667
49000176,4.6,5.5,3.2,4.433333333333334,4.433333333333334
49000177,7.4,5.75,3.8,5.65,5.6499999999999995
49000178,8.6,6.25,4.2,6.3500000000000005,6.3500000000000005
49000179,3.6,6.75,2.4,4.25,4.25
49000180,7.6,6.5,5.2,6.433333333333334,6.433333333333334
49000181,7.6,6.75,4.2,6.183333333333334,6.183333333333334
49000182,8.0,7.25,3.0,6.083333333333333,6.083333333333333
49000183,7.6,6.75,3.8,6.05,6.05
49000184,6.2,6.0,4.0,5.4,5.3999999999999995
49000185,7.4,6.25,3.6,5.75,5.75
49000186,7.8,7.5,4.8,6.7,6.7
49000187,6.8,8.0,3.8,6.2,6.2
49000188,8.0,7.0,6.8,7.266666666666667,7.266666666666667
49000189,7.6,7.25,5.4,6.75,6.75
49000190,8.2,8.0,7.6,7.933333333333333,7.933333333333333
49000191,7.2,5.75,6.0,6.316666666666666,6.316666666666666
49000192,7.0,6.75,4.2,5.983333333333333,5.983333333333333
49000193,6.6,5.75,4.0,5.45,5.45
49000194,4.4,4.0,2.8,3.733333333333333,3.733333333333333
49000195,4.4,3.0,3.0,3.466666666666667,3.466666666666667
49000196,5.2,5.75,2.8,4.583333333333333,4.583333333333333
49000197,9.4,6.5,5.6,7.166666666666667,7.166666666666667
49000198,7.0,6.0,3.0,5.333333333333333,5.333333333333333
49000199,8.6,6.0,6.8,7.133333333333333,7.133333333333333
49000200,5.8,5.25,2.6,4.55,4.55
49000201,5.8,4.75,3.4,4.65,4.65
49000202,4.0,5.0,2.4,3.8,3.8000000000000003
49000203,5.2,5.5,3.4,4.7,4.7
49000204,6.0,5.75,1.2,4.316666666666666,4.316666666666666
49000205,7.0,6.0,2.8,5.266666666666667,5.266666666666667
49000206,9.2,7.75,5.4,7.45,7.45
49000207,5.6,5.75,3.8,5.05,5.05
49000208,5.0,8.0,3.0,5.333333333333333,5.333333333333333
49000209,7.8,6.92,5.4,6.706666666666666,6.706666666666666
49000210,9.0,6.83,4.2,6.676666666666667,6.676666666666667
49000211,7.4,6.25,4.6,6.083333333333333,6.083333333333333
49000212,8.2,5.58,6.2,6.66,6.66
49000213,6.8,7.25,4.4,6.150000000000001,6.150000000000001
49000214,6.6,5.5,2.0,4.7,4.7
49000215,5.4,4.25,3.8,4.483333333333333,4.483333333333333
49000216,7.2,4.75,2.8,4.916666666666667,4.916666666666667
49000217,6.4,4.25,2.0,4.216666666666667,4.216666666666667
49000218,7.0,6.5,2.8,5.433333333333334,5.433333333333334
49000219,4.8,2.25,3.8,3.6166666666666663,3.6166666666666667
49000220,8.2,7.25,7.0,7.483333333333333,7.483333333333333
49000221,7.6,5.5,3.0,5.366666666666667,5.366666666666667
49000223,6.6,4.25,2.6,4.483333333333333,4.483333333333333
49000224,7.0,4.75,4.6,5.45,5.45
49000225,6.8,5.75,4.6,5.716666666666666,5.716666666666666
49000226,6.2,5.75,2.6,4.85,4.85
49000227,5.4,6.0,2.8,4.733333333333333,4.733333333333333
49000228,6.6,6.5,3.8,5.633333333333333,5.633333333333333
49000229,7.0,7.5,3.6,6.033333333333334,6.033333333333334
49000230,7.2,5.5,2.4,5.033333333333333,5.033333333333333
49000231,6.4,5.5,5.0,5.633333333333333,5.633333333333333
49000233,7.4,7.75,7.8,7.649999999999999,7.6499999999999995
49000234,7.2,6.0,5.0,6.066666666666666,6.066666666666666
49000235,8.6,7.5,6.6,7.566666666666667,7.566666666666667
49000236,7.6,8.25,4.4,6.75,6.75
49000237,6.4,5.0,3.4,4.933333333333334,4.933333333333334
49000238,7.6,7.25,5.0,6.616666666666667,6.616666666666667
49000239,8.4,7.25,6.0,7.216666666666666,7.216666666666666
49000240,8.4,6.5,6.0,6.966666666666666,6.966666666666666
49000241,7.0,5.5,4.0,5.5,5.5
49000242,7.6,6.0,5.4,6.333333333333333,6.333333333333333
49000243,6.0,6.0,4.6,5.533333333333334,5.533333333333334
49000244,5.4,5.25,3.2,4.616666666666667,4.616666666666667
49000245,9.2,6.75,4.4,6.783333333333334,6.783333333333334
49000246,8.6,5.25,4.8,6.216666666666666,6.216666666666666
49000247,6.0,5.5,4.0,5.166666666666667,5.166666666666667
49000248,8.4,5.0,3.2,5.533333333333334,5.533333333333334
49000249,7.8,4.5,2.2,4.833333333333333,4.833333333333333
49000251,5.6,6.5,2.4,4.833333333333333,4.833333333333333
49000252,7.6,8.5,8.0,8.033333333333333,8.033333333333333
49000253,7.6,7.25,5.0,6.616666666666667,6.616666666666667
49000254,6.6,5.5,4.2,5.433333333333334,5.433333333333334
49000255,7.6,8.0,3.0,6.2,6.2
49000256,5.4,5.5,2.8,4.566666666666666,4.566666666666666
49000257,8.0,7.25,5.8,7.016666666666667,7.016666666666667
49000258,6.4,6.25,2.8,5.15,5.1499999999999995
49000259,5.4,6.0,3.8,5.066666666666666,5.066666666666666
49000260,7.4,5.75,3.8,5.65,5.6499999999999995
49000261,7.8,5.92,3.4,5.706666666666666,5.706666666666666
49000262,7.0,4.25,4.0,5.083333333333333,5.083333333333333
49000263,6.4,5.25,3.8,5.15,5.1499999999999995
49000264,5.4,5.5,3.4,4.766666666666667,4.766666666666667
49000265,7.2,5.5,3.0,5.233333333333333,5.233333333333333
49000266,5.6,6.0,3.8,5.133333333333333,5.133333333333333
49000267,8.6,6.5,4.8,6.633333333333333,6.633333333333333
49000268,8.4,5.92,6.4,6.906666666666666,6.906666666666666
49000269,7.2,5.25,4.6,5.683333333333333,5.683333333333333
49000270,7.6,6.25,4.4,6.083333333333333,6.083333333333333
49000271,5.6,6.0,2.8,4.8,4.8
49000272,8.2,6.25,5.2,6.55,6.55
49000273,7.4,5.0,4.6,5.666666666666667,5.666666666666667
49000274,5.6,5.0,2.0,4.2,4.2
49000275,8.8,7.0,7.6,7.8,7.8
49000276,7.6,7.75,3.6,6.316666666666666,6.316666666666666
49000277,8.0,7.75,2.2,5.983333333333333,5.983333333333333
49000278,7.2,6.33,2.4,5.3100000000000005,5.3100000000000005
49000279,4.6,6.25,2.8,4.55,4.55
49000280,6.2,6.75,5.0,5.983333333333333,5.983333333333333
49000282,8.2,7.25,3.6,6.3500000000000005,6.3500000000000005
49000283,6.0,5.25,2.4,4.55,4.55
49000286,4.2,7.0,3.4,4.866666666666666,4.866666666666666
49000287,7.6,6.5,4.4,6.166666666666667,6.166666666666667
49000288,7.6,6.25,4.4,6.083333333333333,6.083333333333333
49000289,8.4,6.0,4.8,6.4,6.3999999999999995
49000290,7.4,6.0,5.4,6.266666666666667,6.266666666666667
49000291,7.2,5.5,3.8,5.5,5.5
49000292,7.8,6.75,3.8,6.116666666666667,6.116666666666667
49000293,7.4,7.5,6.4,7.1000000000000005,7.1000000000000005
49000294,5.2,6.25,3.4,4.95,4.95
49000295,7.6,8.0,6.6,7.399999999999999,7.3999999999999995
49000296,3.8,7.0,3.8,4.866666666666667,4.866666666666667
49000297,7.2,6.5,2.4,5.366666666666666,5.366666666666666
49000298,7.0,8.25,4.6,6.616666666666667,6.616666666666667
49000299,7.4,8.0,3.8,6.4,6.3999999999999995
49000300,7.8,8.0,3.8,6.533333333333334,6.533333333333334
49000301,7.2,7.0,5.6,6.599999999999999,6.599999999999999
49000302,7.2,8.5,5.8,7.166666666666667,7.166666666666667
49000303,4.0,5.0,2.0,3.6666666666666665,3.6666666666666665
49000304,7.6,6.0,3.8,5.8,5.8
49000305,5.4,5.5,3.4,4.766666666666667,4.766666666666667
49000306,6.2,7.75,2.2,5.383333333333333,5.383333333333333
49000307,5.8,6.0,3.8,5.2,5.2
49000308,8.2,8.75,5.6,7.516666666666666,7.516666666666666
49000309,8.4,8.0,5.6,7.333333333333333,7.333333333333333
49000310,6.2,7.08,3.2,5.493333333333333,5.493333333333333
49000311,7.8,8.25,6.6,7.55,7.55
49000312,6.2,7.0,4.6,5.933333333333333,5.933333333333333
49000313,8.6,6.75,5.2,6.8500000000000005,6.8500000000000005
49000314,5.2,5.75,4.2,5.05,5.05
49000315,7.2,5.75,2.0,4.983333333333333,4.983333333333333
49000316,4.8,6.0,3.2,4.666666666666667,4.666666666666667
49000317,5.4,5.5,3.2,4.7,4.7
49000319,6.4,6.0,2.6,5.0,5.0
49000320,7.0,7.0,4.4,6.133333333333333,6.133333333333333
49000321,4.8,7.0,2.8,4.866666666666667,4.866666666666667
49000322,6.8,5.5,3.2,5.166666666666667,5.166666666666667
49000323,8.0,5.75,3.0,5.583333333333333,5.583333333333333
49000324,6.4,6.5,2.0,4.966666666666667,4.966666666666667
49000325,7.4,7.0,3.0,5.8,5.8
49000326,7.0,6.5,5.0,6.166666666666667,6.166666666666667
49000327,7.0,6.25,3.0,5.416666666666667,5.416666666666667
49000328,7.8,7.5,4.6,6.633333333333333,6.633333333333333
49000329,6.2,4.75,2.4,4.45,4.45
49000330,7.6,6.5,3.6,5.9,5.8999999999999995
49000331,4.6,8.25,3.4,5.416666666666667,5.416666666666667
49000332,8.8,8.75,7.4,8.316666666666668,8.316666666666668
49000333,5.8,7.5,3.0,5.433333333333334,5.433333333333334
49000334,6.4,7.5,3.0,5.633333333333333,5.633333333333333
49000335,6.0,7.92,2.2,5.373333333333334,5.373333333333334
49000336,7.6,7.25,4.8,6.55,6.55
49000337,2.6,6.42,2.4,3.806666666666666,3.8066666666666666
49000338,7.8,7.58,7.0,7.46,7.46
49000339,6.2,5.75,3.8,5.25,5.25
49000341,7.2,7.75,4.2,6.383333333333333,6.383333333333333
49000342,6.6,6.25,3.4,5.416666666666667,5.416666666666667
49000343,7.4,7.25,5.2,6.616666666666667,6.616666666666667
49000344,3.8,5.5,3.0,4.1000000000000005,4.1000000000000005
49000345,6.4,6.25,2.6,5.083333333333333,5.083333333333333
49000347,5.8,5.25,1.8,4.283333333333334,4.283333333333334
49000348,5.0,6.0,5.4,5.466666666666666,5.466666666666666
