SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
9000001,7.8,6.25,2.4,5.483333333333333,5.483333333333333
9000002,7.4,8.5,4.0,6.633333333333333,6.633333333333333
9000003,7.8,7.75,5.6,7.05,7.05
9000004,6.6,8.5,4.4,6.5,6.5
9000005,5.4,8.25,3.0,5.55,5.55
9000006,7.4,8.5,4.4,6.766666666666667,6.766666666666667
9000007,4.6,7.0,3.8,5.133333333333333,5.133333333333333
9000008,5.8,8.0,4.6,6.133333333333333,6.133333333333333
9000009,4.2,8.0,2.4,4.866666666666666,4.866666666666666
9000010,6.2,7.75,4.8,6.25,6.25
9000011,5.2,6.25,4.8,5.416666666666667,5.416666666666667
9000012,6.8,7.5,5.2,6.5,6.5
9000013,6.0,6.25,2.6,4.95,4.95
9000014,8.4,6.75,3.2,6.116666666666667,6.116666666666667
9000015,7.4,7.75,4.0,6.383333333333333,6.383333333333333
9000016,6.0,7.0,3.8,5.6000000000000005,5.6000000000000005
9000017,4.2,7.5,4.6,5.433333333333333,5.433333333333333
9000018,9.2,8.75,8.8,8.916666666666666,8.916666666666666
9000019,7.4,8.0,4.2,6.533333333333334,6.533333333333334
9000020,5.0,7.0,3.2,5.066666666666666,5.066666666666666
9000021,7.8,6.75,4.4,6.316666666666667,6.316666666666667
9000022,6.0,7.25,4.0,5.75,5.75
9000023,6.6,7.25,3.2,5.683333333333334,5.683333333333334
9000024,8.0,8.0,3.4,6.466666666666666,6.466666666666666
9000025,5.0,7.5,2.6,5.033333333333333,5.033333333333333
9000026,4.6,7.5,1.6,4.566666666666666,4.566666666666666
9000027,8.4,8.5,7.0,7.966666666666666,7.966666666666666
9000028,5.6,8.0,3.4,5.666666666666667,5.666666666666667
9000029,5.6,7.5,3.4,5.5,5.5
9000030,5.8,7.25,4.0,5.683333333333334,5.683333333333334
9000031,8.0,7.75,5.4,7.05,7.05
9000032,7.6,8.5,5.4,7.166666666666667,7.166666666666667
9000033,8.0,7.75,4.6,6.783333333333334,6.783333333333334
9000034,8.0,8.5,6.4,7.633333333333333,7.633333333333333
9000035,6.4,9.0,3.6,6.333333333333333,6.333333333333333
9000036,8.2,8.25,4.6,7.016666666666666,7.016666666666666
9000037,8.2,7.5,4.4,6.7,6.7
9000038,7.6,8.25,5.4,7.083333333333333,7.083333333333333
