SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
1000002,9.2,8.25,10.0,9.15,9.15
1000004,8.4,6.75,10.0,8.383333333333333,8.383333333333333
1000005,8.8,8.25,9.4,8.816666666666668,8.816666666666668
1000006,8.0,8.75,8.6,8.450000000000001,8.450000000000001
1000007,9.0,5.25,9.0,7.75,7.75
1000009,8.0,8.0,8.4,8.133333333333333,8.133333333333333
1000010,8.8,6.25,9.2,8.083333333333334,8.083333333333334
1000011,6.0,7.75,8.2,7.316666666666666,7.316666666666666
1000012,6.4,6.75,7.8,6.983333333333333,6.983333333333333
1000013,7.4,6.75,9.0,7.716666666666666,7.716666666666666
1000014,7.4,8.0,8.6,8.0,8.0
1000015,6.0,7.75,9.0,7.583333333333333,7.583333333333333
1000016,7.8,8.5,9.4,8.566666666666668,8.566666666666668
1000017,7.8,8.0,9.6,8.466666666666667,8.466666666666667
1000019,7.0,8.5,8.8,8.1,8.1
1000020,8.8,6.25,8.4,7.816666666666667,7.816666666666667
1000021,9.0,9.0,9.4,9.133333333333333,9.133333333333333
1000023,7.6,8.25,10.0,8.616666666666667,8.616666666666667
1000024,8.4,7.5,9.2,8.366666666666667,8.366666666666667
1000025,4.2,6.5,3.6,4.766666666666667,4.766666666666667
1000026,8.6,7.0,5.2,6.933333333333334,6.933333333333334
1000027,8.0,9.0,9.8,8.933333333333334,8.933333333333334
1000028,9.2,8.25,9.2,8.883333333333333,8.883333333333333
1000029,8.4,6.0,9.4,7.933333333333334,7.933333333333334
1000030,8.2,7.75,9.2,8.383333333333333,8.383333333333333
1000031,8.6,8.25,9.8,8.883333333333335,8.883333333333335
1000032,3.8,7.25,6.4,5.816666666666667,5.816666666666667
1000033,8.6,8.5,9.8,8.966666666666667,8.966666666666667
1000034,4.8,6.25,3.8,4.95,4.95
1000036,6.8,7.5,7.0,7.1000000000000005,7.1000000000000005
1000037,8.0,7.5,9.8,8.433333333333334,8.433333333333334
1000038,6.8,7.5,7.8,7.366666666666667,7.366666666666667
1000039,7.0,7.25,6.6,6.95,6.95
1000041,8.2,7.0,8.6,7.933333333333333,7.933333333333333
1000042,7.6,7.5,8.8,7.966666666666666,7.966666666666666
1000043,8.0,8.5,8.8,8.433333333333334,8.433333333333334
1000044,2.6,6.25,4.2,4.3500000000000005,4.3500000000000005
1000045,7.2,8.0,5.2,6.8,6.8
1000046,8.6,9.25,8.4,8.75,8.75
1000047,6.2,7.25,8.4,7.283333333333334,7.283333333333334
1000048,8.8,7.5,9.4,8.566666666666668,8.566666666666668
1000049,7.6,8.5,9.6,8.566666666666668,8.566666666666668
1000050,8.2,7.5,9.2,8.299999999999999,8.299999999999999
1000051,7.2,5.75,6.0,6.316666666666666,6.316666666666666
1000053,8.8,7.0,9.8,8.533333333333333,8.533333333333333
1000054,5.0,8.5,7.0,6.833333333333333,6.833333333333333
1000055,8.4,8.5,9.2,8.7,8.7
1000056,8.6,7.5,9.4,8.5,8.5
1000057,7.8,6.0,8.4,7.400000000000001,7.400000000000001
1000058,7.2,7.75,9.2,8.049999999999999,8.049999999999999
1000059,8.4,8.25,9.0,8.549999999999999,8.549999999999999
1000060,8.0,7.5,7.8,7.766666666666667,7.766666666666667
1000061,8.8,7.0,9.6,8.466666666666667,8.466666666666667
1000062,8.6,8.5,9.6,8.9,8.9
1000063,8.6,8.75,9.6,8.983333333333334,8.983333333333334
1000064,7.0,7.0,2.2,5.4,5.3999999999999995
1000065,8.0,8.0,9.4,8.466666666666667,8.466666666666667
1000067,7.2,7.5,8.4,7.7,7.7
1000068,8.0,8.5,9.6,8.700000000000001,8.700000000000001
1000069,8.8,7.0,8.2,8.0,8.0
1000070,6.6,5.75,7.2,6.516666666666667,6.516666666666667
1000071,9.0,7.5,9.8,8.766666666666667,8.766666666666667
1000072,9.0,8.25,9.6,8.950000000000001,8.950000000000001
1000074,9.0,8.0,9.2,8.733333333333333,8.733333333333333
1000075,8.0,9.0,9.6,8.866666666666667,8.866666666666667
1000076,5.4,6.25,7.2,6.283333333333334,6.283333333333334
1000077,4.6,5.25,2.4,4.083333333333333,4.083333333333333
1000078,3.2,6.75,9.8,6.583333333333333,6.583333333333333
1000079,8.0,9.25,9.4,8.883333333333333,8.883333333333333
1000080,7.4,9.0,9.6,8.666666666666666,8.666666666666666
1000081,8.6,7.75,8.2,8.183333333333334,8.183333333333334
1000082,8.6,9.25,9.6,9.15,9.15
1000083,9.2,6.5,8.4,8.033333333333333,8.033333333333333
1000084,8.0,7.25,9.0,8.083333333333334,8.083333333333334
1000085,8.4,8.25,8.6,8.416666666666666,8.416666666666666
1000086,9.4,7.0,9.6,8.666666666666666,8.666666666666666
1000087,8.2,8.75,9.8,8.916666666666666,8.916666666666666
1000088,8.4,8.75,8.8,8.65,8.65
1000089,8.0,7.25,9.2,8.15,8.15
1000090,8.4,8.0,9.2,8.533333333333333,8.533333333333333
1000091,6.0,6.5,3.8,5.433333333333334,5.433333333333334
1000092,6.2,7.75,4.0,5.983333333333333,5.983333333333333
1000094,3.8,7.0,4.2,5.0,5.0
1000095,5.2,6.0,2.6,4.6,4.6
1000096,5.8,8.0,9.2,7.666666666666667,7.666666666666667
1000097,3.8,8.25,6.8,6.283333333333334,6.283333333333334
1000098,9.4,7.5,8.4,8.433333333333332,8.433333333333332
1000099,7.8,7.75,7.2,7.583333333333333,7.583333333333333
1000100,8.2,8.25,9.0,8.483333333333333,8.483333333333333
1000101,7.8,8.0,9.6,8.466666666666667,8.466666666666667
1000102,8.4,6.5,9.6,8.166666666666666,8.166666666666666
1000103,8.2,7.0,7.8,7.666666666666667,7.666666666666667
1000104,8.4,7.5,8.6,8.166666666666666,8.166666666666666
1000105,8.2,8.25,9.0,8.483333333333333,8.483333333333333
1000106,7.6,5.5,9.4,7.5,7.5
1000107,7.6,8.0,8.8,8.133333333333333,8.133333333333333
1000108,8.2,6.75,4.2,6.383333333333333,6.383333333333333
1000109,8.2,7.75,9.8,8.583333333333334,8.583333333333334
1000110,8.8,9.25,9.6,9.216666666666669,9.216666666666667
1000111,7.8,7.5,9.2,8.166666666666666,8.166666666666666
1000112,5.4,4.5,4.4,4.766666666666667,4.766666666666667
1000113,8.4,8.75,9.4,8.85,8.85
1000114,7.0,6.5,8.2,7.233333333333333,7.233333333333333
1000116,6.6,6.5,6.8,6.633333333333333,6.633333333333333
1000117,8.2,8.0,8.6,8.266666666666666,8.266666666666666
1000118,8.2,7.0,9.2,8.133333333333333,8.133333333333333
1000119,8.2,8.75,8.8,8.583333333333334,8.583333333333334
1000120,8.8,8.75,9.4,8.983333333333334,8.983333333333334
1000121,8.6,8.0,9.4,8.666666666666666,8.666666666666666
1000122,5.2,8.5,5.4,6.366666666666667,6.366666666666667
1000123,7.0,9.0,5.8,7.266666666666667,7.266666666666667
1000124,8.0,8.75,9.6,8.783333333333333,8.783333333333333
1000125,8.6,9.0,9.8,9.133333333333336,9.133333333333335
1000126,7.2,6.25,6.0,6.483333333333333,6.483333333333333
1000127,8.8,7.25,8.6,8.216666666666667,8.216666666666667
1000128,8.0,7.25,8.8,8.016666666666667,8.016666666666667
