SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
47000001,6.6,8.25,6.8,7.216666666666666,7.216666666666666
47000002,5.2,6.0,7.2,6.133333333333333,6.133333333333333
47000003,8.4,7.25,9.0,8.216666666666667,8.216666666666667
47000004,6.4,7.25,7.0,6.883333333333333,6.883333333333333
47000005,6.6,7.5,8.6,7.566666666666666,7.566666666666666
47000006,7.6,7.25,6.4,7.083333333333333,7.083333333333333
47000007,8.2,8.25,9.2,8.549999999999999,8.549999999999999
47000008,7.0,5.25,8.0,6.75,6.75
47000009,7.2,7.25,6.6,7.016666666666666,7.016666666666666
47000011,7.8,6.75,9.2,7.916666666666667,7.916666666666667
47000012,8.6,6.25,8.0,7.616666666666667,7.616666666666667
47000013,7.8,7.0,8.2,7.666666666666667,7.666666666666667
47000014,9.0,4.75,7.4,7.05,7.05
47000015,5.6,6.5,7.4,6.5,6.5
47000016,6.2,6.0,7.6,6.599999999999999,6.599999999999999
47000017,8.0,5.5,8.2,7.233333333333333,7.233333333333333
47000018,9.4,7.75,9.6,8.916666666666666,8.916666666666666
47000019,8.0,6.5,8.6,7.7,7.7
47000020,6.2,6.5,3.2,5.3,5.3
47000021,6.0,6.5,5.0,5.833333333333333,5.833333333333333
47000022,7.6,6.5,8.0,7.366666666666667,7.366666666666667
47000023,9.2,7.75,7.8,8.25,8.25
47000024,7.8,9.0,9.6,8.799999999999999,8.799999999999999
47000025,7.0,6.25,9.6,7.616666666666667,7.616666666666667
47000026,7.8,7.75,4.8,6.783333333333334,6.783333333333334
47000027,6.6,8.0,8.2,7.599999999999999,7.599999999999999
47000028,8.2,6.75,8.8,7.916666666666667,7.916666666666667
47000029,7.0,5.25,6.8,6.3500000000000005,6.3500000000000005
47000030,7.6,7.25,9.0,7.95,7.95
47000031,7.4,4.75,5.4,5.8500000000000005,5.8500000000000005
47000032,6.6,6.58,5.8,6.326666666666667,6.326666666666667
47000033,6.6,7.75,8.8,7.716666666666666,7.716666666666666
47000034,5.8,7.25,8.8,7.283333333333334,7.283333333333334
47000035,8.0,8.0,8.4,8.133333333333333,8.133333333333333
47000036,7.8,7.25,8.2,7.75,7.75
47000037,8.2,7.25,9.8,8.416666666666666,8.416666666666666
47000039,7.6,6.25,7.2,7.016666666666667,7.016666666666667
47000040,6.2,5.25,6.4,5.95,5.95
47000041,7.2,5.5,3.6,5.433333333333334,5.433333333333334
47000042,8.2,7.5,9.4,8.366666666666667,8.366666666666667
47000043,7.6,8.0,6.8,7.466666666666666,7.466666666666666
47000044,7.8,6.25,5.6,6.55,6.55
47000045,7.4,6.25,8.0,7.216666666666666,7.216666666666666
47000046,8.6,7.0,8.8,8.133333333333333,8.133333333333333
47000047,7.8,8.25,7.6,7.883333333333333,7.883333333333333
47000048,7.6,7.75,7.8,7.716666666666666,7.716666666666666
47000050,5.6,7.0,8.8,7.133333333333333,7.133333333333333
47000052,7.4,5.5,7.8,6.9,6.8999999999999995
47000053,8.8,7.75,8.4,8.316666666666668,8.316666666666668
47000054,3.2,6.0,8.4,5.866666666666667,5.866666666666667
47000055,7.0,5.75,8.2,6.983333333333333,6.983333333333333
47000056,9.0,5.25,7.8,7.35,7.3500000000000005
47000057,6.8,6.25,6.2,6.416666666666667,6.416666666666667
47000058,7.8,0.0,9.6,5.8,5.8
47000059,8.0,6.0,7.4,7.133333333333333,7.133333333333333
47000060,7.4,7.5,6.4,7.1000000000000005,7.1000000000000005
47000061,7.8,6.25,6.0,6.683333333333334,6.683333333333334
47000063,7.0,0.0,7.8,4.933333333333334,4.933333333333334
47000064,5.0,7.5,6.2,6.233333333333333,6.233333333333333
47000065,7.0,6.25,4.2,5.816666666666666,5.816666666666666
47000066,8.0,8.5,9.0,8.5,8.5
47000067,7.6,7.0,8.0,7.533333333333334,7.533333333333334
47000069,8.2,6.75,8.2,7.716666666666666,7.716666666666666
47000070,6.8,3.5,9.0,6.433333333333334,6.433333333333334
47000072,7.8,7.0,9.2,8.0,8.0
47000073,7.8,5.75,7.0,6.8500000000000005,6.8500000000000005
47000074,7.6,6.5,9.4,7.833333333333333,7.833333333333333
47000075,8.2,6.0,5.6,6.599999999999999,6.599999999999999
47000076,5.8,6.75,3.6,5.383333333333334,5.383333333333334
47000077,6.4,5.42,8.4,6.739999999999999,6.739999999999999
47000078,8.6,6.5,9.0,8.033333333333333,8.033333333333333
47000079,5.6,5.25,5.2,5.3500000000000005,5.3500000000000005
47000080,6.2,6.75,7.8,6.916666666666667,6.916666666666667
47000081,7.0,6.75,9.0,7.583333333333333,7.583333333333333
47000082,6.2,6.5,7.4,6.7,6.7
47000083,7.4,5.75,8.0,7.05,7.05
47000085,8.4,8.5,8.6,8.5,8.5
47000086,7.2,6.0,5.8,6.333333333333333,6.333333333333333
47000087,6.4,4.0,6.8,5.733333333333333,5.733333333333333
47000088,7.4,6.25,8.8,7.483333333333334,7.483333333333334
47000089,5.8,7.5,4.2,5.833333333333333,5.833333333333333
47000092,7.8,7.0,8.4,7.733333333333334,7.733333333333334
47000093,7.8,6.0,6.6,6.8,6.8
47000094,8.6,6.25,5.6,6.816666666666666,6.816666666666666
47000095,7.4,5.5,7.2,6.7,6.7
47000096,8.4,6.25,9.8,8.15,8.15
47000097,8.0,5.25,9.8,7.683333333333334,7.683333333333334
47000098,5.4,6.0,6.0,5.8,5.8
47000099,8.2,6.75,7.0,7.316666666666666,7.316666666666666
47000100,7.8,8.0,8.6,8.133333333333333,8.133333333333333
47000101,5.4,7.0,5.0,5.8,5.8
47000102,8.2,6.5,7.8,7.5,7.5
47000103,8.0,6.17,7.6,7.256666666666667,7.256666666666667
47000104,5.6,6.0,8.0,6.533333333333334,6.533333333333334
47000105,2.0,6.5,5.2,4.566666666666666,4.566666666666666
47000106,8.0,6.5,6.8,7.1000000000000005,7.1000000000000005
47000107,8.0,8.25,7.0,7.75,7.75
47000108,5.8,6.25,6.8,6.283333333333334,6.283333333333334
47000109,6.8,6.75,8.4,7.316666666666667,7.316666666666667
47000110,7.6,7.5,6.2,7.1000000000000005,7.1000000000000005
47000111,5.8,5.0,8.6,6.466666666666666,6.466666666666666
47000112,8.0,7.5,7.6,7.7,7.7
47000113,6.6,5.75,6.4,6.25,6.25
47000114,8.6,6.5,9.6,8.233333333333333,8.233333333333333
47000115,5.4,6.5,5.6,5.833333333333333,5.833333333333333
47000116,6.4,6.5,5.2,6.033333333333334,6.033333333333334
47000117,6.0,6.0,6.6,6.2,6.2
47000118,5.8,6.33,5.0,5.71,5.71
47000119,7.6,3.75,8.6,6.65,6.6499999999999995
47000121,7.8,6.5,3.8,6.033333333333334,6.033333333333334
47000122,7.6,6.5,8.0,7.366666666666667,7.366666666666667
47000124,6.8,6.75,9.2,7.583333333333333,7.583333333333333
47000125,7.0,4.5,7.8,6.433333333333334,6.433333333333334
47000126,6.4,5.5,4.0,5.3,5.3
47000127,8.2,6.75,9.6,8.183333333333332,8.183333333333332
47000128,5.0,5.75,4.0,4.916666666666667,4.916666666666667
47000129,7.4,6.5,7.0,6.966666666666666,6.966666666666666
47000130,8.4,7.0,8.8,8.066666666666668,8.066666666666668
47000131,6.4,6.0,7.6,6.666666666666667,6.666666666666667
47000132,8.6,6.0,8.6,7.733333333333333,7.733333333333333
47000133,8.8,7.0,8.8,8.200000000000001,8.200000000000001
47000134,6.6,7.5,3.8,5.966666666666666,5.966666666666666
47000135,8.8,7.25,9.0,8.35,8.35
47000136,7.4,5.5,4.0,5.633333333333333,5.633333333333333
47000137,5.0,6.0,8.4,6.466666666666666,6.466666666666666
47000138,7.6,6.5,7.0,7.033333333333334,7.033333333333334
47000139,8.4,7.0,9.2,8.200000000000001,8.200000000000001
47000140,8.4,7.0,7.6,7.666666666666667,7.666666666666667
47000141,8.2,8.0,9.0,8.4,8.4
47000142,9.0,7.0,9.2,8.4,8.4
47000143,7.8,8.0,9.0,8.266666666666667,8.266666666666667
47000144,7.0,6.25,9.2,7.483333333333333,7.483333333333333
47000145,8.2,6.0,6.2,6.8,6.8
47000146,6.2,6.5,9.0,7.233333333333333,7.233333333333333
47000147,6.6,7.0,6.6,6.733333333333333,6.733333333333333
47000148,9.0,6.0,6.6,7.2,7.2
47000149,8.4,5.5,4.2,6.033333333333334,6.033333333333334
47000150,6.0,6.0,5.4,5.8,5.8
47000151,5.6,7.25,5.8,6.216666666666666,6.216666666666666
47000153,7.8,6.0,8.2,7.333333333333333,7.333333333333333
47000154,8.4,7.5,6.8,7.566666666666666,7.566666666666666
47000155,8.6,6.0,9.2,7.933333333333333,7.933333333333333
47000156,7.8,6.5,4.6,6.3,6.3
47000157,6.2,6.0,6.2,6.133333333333333,6.133333333333333
47000158,8.4,6.5,6.0,6.966666666666666,6.966666666666666
47000159,8.0,4.75,4.4,5.716666666666666,5.716666666666666
47000160,7.0,5.5,7.4,6.633333333333333,6.633333333333333
47000161,8.0,6.5,8.0,7.5,7.5
47000162,7.0,5.0,6.4,6.133333333333333,6.133333333333333
47000164,6.0,6.5,3.8,5.433333333333334,5.433333333333334
47000166,8.8,6.25,6.0,7.016666666666667,7.016666666666667
47000167,4.8,6.5,4.2,5.166666666666667,5.166666666666667
47000168,8.2,5.83,8.2,7.409999999999999,7.409999999999999
47000170,7.4,7.5,6.8,7.233333333333333,7.233333333333333
47000171,8.2,6.5,7.6,7.433333333333333,7.433333333333333
47000172,7.2,6.92,6.0,6.706666666666667,6.706666666666667
47000174,8.0,6.75,8.2,7.649999999999999,7.6499999999999995
47000175,6.2,6.5,6.0,6.233333333333333,6.233333333333333
47000176,5.2,6.5,8.2,6.633333333333333,6.633333333333333
47000177,8.2,7.0,9.2,8.133333333333333,8.133333333333333
47000178,6.2,6.75,8.0,6.983333333333333,6.983333333333333
47000179,6.8,7.25,9.0,7.683333333333334,7.683333333333334
47000180,8.4,4.5,8.4,7.1000000000000005,7.1000000000000005
47000181,8.6,7.25,9.0,8.283333333333333,8.283333333333333
47000183,9.2,6.25,9.4,8.283333333333333,8.283333333333333
47000185,8.2,8.5,9.8,8.833333333333334,8.833333333333334
47000186,6.6,6.25,6.4,6.416666666666667,6.416666666666667
47000187,8.4,8.0,7.8,8.066666666666666,8.066666666666666
47000188,7.8,6.0,7.2,7.0,7.0
47000190,6.6,6.5,6.6,6.566666666666666,6.566666666666666
47000191,5.4,6.5,6.4,6.1000000000000005,6.1000000000000005
47000192,7.4,5.25,9.2,7.283333333333334,7.283333333333334
47000193,8.4,6.25,6.8,7.15,7.1499999999999995
47000194,8.0,7.5,9.0,8.166666666666666,8.166666666666666
47000195,8.6,6.75,7.8,7.716666666666666,7.716666666666666
47000196,8.0,7.25,8.6,7.95,7.95
47000198,7.4,6.0,6.4,6.6000000000000005,6.6000000000000005
47000199,7.0,5.0,5.8,5.933333333333334,5.933333333333334
47000200,4.8,6.0,6.6,5.8,5.8
47000201,7.6,6.25,8.2,7.349999999999999,7.349999999999999
47000202,6.8,6.75,7.8,7.116666666666667,7.116666666666667
47000203,7.2,7.0,7.8,7.333333333333333,7.333333333333333
47000204,8.6,6.0,8.2,7.599999999999999,7.599999999999999
47000205,8.6,5.5,6.8,6.966666666666666,6.966666666666666
47000207,7.6,3.5,7.6,6.233333333333333,6.233333333333333
