SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
29000001,9.0,7.0,8.8,8.266666666666667,8.266666666666667
29000003,4.4,7.25,4.0,5.216666666666667,5.216666666666667
29000005,7.8,9.0,8.6,8.466666666666667,8.466666666666667
29000006,9.8,7.75,6.8,8.116666666666667,8.116666666666667
29000007,9.4,7.25,10.0,8.883333333333333,8.883333333333333
29000008,9.0,7.25,9.6,8.616666666666667,8.616666666666667
29000009,8.8,9.0,9.4,9.066666666666668,9.066666666666668
29000010,8.0,8.0,9.6,8.533333333333333,8.533333333333333
29000011,9.0,7.25,7.0,7.75,7.75
29000012,9.4,7.0,8.4,8.266666666666666,8.266666666666666
29000013,8.4,8.0,6.6,7.666666666666667,7.666666666666667
29000014,8.6,8.75,9.8,9.05,9.05
29000015,8.0,7.25,8.4,7.883333333333333,7.883333333333333
29000016,8.2,8.25,9.2,8.549999999999999,8.549999999999999
29000017,9.6,9.0,9.2,9.266666666666667,9.266666666666667
29000018,8.8,6.5,6.0,7.1000000000000005,7.1000000000000005
29000019,8.6,9.0,9.4,9.0,9.0
29000020,8.6,8.5,9.6,8.9,8.9
29000021,9.6,8.5,8.8,8.966666666666667,8.966666666666667
29000022,7.6,8.0,9.8,8.466666666666667,8.466666666666667
29000023,8.2,7.75,9.0,8.316666666666666,8.316666666666666
29000024,8.8,0.0,8.6,5.8,5.8
29000025,8.6,5.5,9.4,7.833333333333333,7.833333333333333
29000027,8.2,8.0,9.8,8.666666666666666,8.666666666666666
29000029,8.8,6.5,6.8,7.366666666666667,7.366666666666667
29000030,8.6,5.83,8.8,7.743333333333333,7.743333333333333
29000031,8.6,8.0,7.8,8.133333333333335,8.133333333333335
29000032,8.4,8.75,7.0,8.049999999999999,8.049999999999999
29000033,8.2,8.0,6.0,7.399999999999999,7.3999999999999995
29000035,7.6,8.25,8.2,8.016666666666666,8.016666666666666
29000036,9.0,6.75,8.8,8.183333333333334,8.183333333333334
29000037,7.2,8.75,9.2,8.383333333333333,8.383333333333333
29000038,8.4,5.75,9.2,7.783333333333334,7.783333333333334
29000041,9.0,9.25,9.4,9.216666666666669,9.216666666666667
29000042,8.6,9.25,9.4,9.083333333333334,9.083333333333334
29000043,9.0,8.75,9.6,9.116666666666667,9.116666666666667
29000044,7.2,8.5,9.2,8.299999999999999,8.299999999999999
29000045,8.8,9.0,9.2,9.0,9.0
29000046,8.4,8.75,8.8,8.65,8.65
29000047,7.8,9.0,6.6,7.8,7.8
29000048,6.8,8.0,9.2,8.0,8.0
29000049,8.4,8.5,7.6,8.166666666666666,8.166666666666666
29000050,8.8,8.25,8.8,8.616666666666667,8.616666666666667
29000051,8.8,8.25,10.0,9.016666666666667,9.016666666666667
29000052,8.2,3.75,7.6,6.516666666666666,6.516666666666666
29000053,9.2,8.5,10.0,9.233333333333333,9.233333333333333
29000054,7.6,8.25,8.2,8.016666666666666,8.016666666666666
29000056,8.2,4.0,5.6,5.933333333333333,5.933333333333333
29000057,8.2,5.75,8.6,7.516666666666666,7.516666666666666
29000058,7.8,8.0,6.8,7.533333333333334,7.533333333333334
29000059,7.8,7.5,6.8,7.366666666666667,7.366666666666667
29000060,9.0,8.25,8.8,8.683333333333334,8.683333333333334
29000061,9.0,7.5,9.4,8.633333333333333,8.633333333333333
29000062,8.0,8.25,9.8,8.683333333333334,8.683333333333334
29000064,8.6,8.5,8.6,8.566666666666668,8.566666666666668
29000066,7.8,7.75,8.0,7.85,7.8500000000000005
29000067,8.0,9.0,8.6,8.533333333333333,8.533333333333333
29000068,4.8,6.25,4.6,5.216666666666667,5.216666666666667
29000069,7.8,7.5,8.8,8.033333333333333,8.033333333333333
