SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
14000001,7.8,7.0,7.4,7.400000000000001,7.400000000000001
14000004,7.6,7.25,5.6,6.816666666666666,6.816666666666666
14000005,7.2,5.5,2.6,5.1,5.1
14000007,6.6,7.25,8.6,7.483333333333333,7.483333333333333
14000008,3.0,4.75,3.2,3.65,3.65
14000009,4.2,6.5,3.0,4.566666666666666,4.566666666666666
14000010,6.6,7.5,8.4,7.5,7.5
14000011,5.8,7.25,4.4,5.816666666666667,5.816666666666667
14000014,5.2,6.0,3.2,4.8,4.8
14000016,4.8,6.5,7.2,6.166666666666667,6.166666666666667
14000018,7.6,8.0,7.0,7.533333333333334,7.533333333333334
14000019,3.2,5.25,2.4,3.6166666666666663,3.6166666666666667
14000020,7.8,7.5,4.6,6.633333333333333,6.633333333333333
14000021,6.2,7.0,6.2,6.466666666666666,6.466666666666666
14000023,7.8,8.5,9.4,8.566666666666668,8.566666666666668
14000024,5.6,6.5,3.4,5.166666666666667,5.166666666666667
14000026,5.0,5.25,4.6,4.95,4.95
14000028,6.8,8.75,9.0,8.183333333333334,8.183333333333334
14000029,4.0,6.0,9.0,6.333333333333333,6.333333333333333
14000030,6.4,6.0,6.2,6.2,6.2
14000032,3.6,5.75,2.8,4.05,4.05
14000033,7.0,8.0,7.2,7.399999999999999,7.3999999999999995
14000034,7.6,5.0,3.4,5.333333333333333,5.333333333333333
14000035,5.0,6.58,9.2,6.926666666666667,6.926666666666667
14000036,6.8,5.5,4.4,5.566666666666667,5.566666666666667
14000037,7.2,8.0,5.8,7.0,7.0
14000038,7.0,6.5,8.4,7.3,7.3
14000040,9.0,4.25,9.2,7.483333333333333,7.483333333333333
14000041,4.2,4.25,5.4,4.616666666666666,4.616666666666666
14000043,4.0,5.75,4.8,4.8500000000000005,4.8500000000000005
14000044,6.8,7.25,6.8,6.95,6.95
14000045,8.6,7.5,8.8,8.3,8.3
14000046,5.6,6.5,8.4,6.833333333333333,6.833333333333333
14000047,6.0,7.75,7.2,6.983333333333333,6.983333333333333
14000048,6.6,7.25,5.0,6.283333333333334,6.283333333333334
14000049,6.0,6.75,8.6,7.116666666666667,7.116666666666667
14000050,5.0,8.0,5.2,6.066666666666666,6.066666666666666
14000051,8.0,6.5,5.4,6.633333333333333,6.633333333333333
14000052,6.4,7.25,5.0,6.216666666666666,6.216666666666666
14000053,6.0,7.0,3.6,5.533333333333334,5.533333333333334
14000054,6.8,5.5,5.2,5.833333333333333,5.833333333333333
14000055,5.4,6.5,1.4,4.433333333333334,4.433333333333334
14000056,7.2,7.0,3.8,6.0,6.0
