SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
16000001,8.6,9.0,10.0,9.2,9.200000000000001
16000002,8.4,8.75,9.4,8.85,8.85
16000003,7.6,8.75,8.4,8.25,8.25
16000004,6.4,8.25,6.6,7.083333333333333,7.083333333333333
16000005,8.4,9.0,9.4,8.933333333333332,8.933333333333332
16000006,8.4,7.25,9.4,8.35,8.35
16000007,8.6,8.5,9.2,8.766666666666667,8.766666666666667
16000008,8.2,9.0,9.4,8.866666666666667,8.866666666666667
16000009,9.4,9.5,9.8,9.566666666666666,9.566666666666666
16000010,9.2,8.25,7.8,8.416666666666666,8.416666666666666
16000011,9.2,8.75,9.6,9.183333333333332,9.183333333333332
16000012,5.2,9.0,6.8,7.0,7.0
16000013,8.8,8.25,9.0,8.683333333333334,8.683333333333334
16000014,7.8,7.0,8.0,7.6,7.6000000000000005
16000015,9.4,9.0,9.2,9.2,9.2
16000017,9.0,6.5,10.0,8.5,8.5
16000018,8.6,9.25,9.4,9.083333333333334,9.083333333333334
16000019,9.2,7.0,4.6,6.933333333333333,6.933333333333333
16000020,9.2,8.75,9.8,9.25,9.25
16000021,8.4,8.0,9.2,8.533333333333333,8.533333333333333
16000022,6.4,8.0,9.0,7.8,7.8
16000024,6.6,7.0,9.4,7.666666666666667,7.666666666666667
16000025,8.6,8.0,10.0,8.866666666666667,8.866666666666667
16000026,6.8,8.75,9.0,8.183333333333334,8.183333333333334
16000027,9.4,8.75,10.0,9.383333333333333,9.383333333333333
16000028,8.6,8.5,10.0,9.033333333333331,9.033333333333333
16000029,9.0,8.0,7.4,8.133333333333333,8.133333333333333
16000030,8.2,8.5,8.6,8.433333333333332,8.433333333333332
16000031,7.2,8.5,5.8,7.166666666666667,7.166666666666667
16000032,8.2,9.25,9.0,8.816666666666666,8.816666666666666
16000033,9.0,7.5,6.6,7.7,7.7
16000034,8.6,8.0,7.8,8.133333333333335,8.133333333333335
16000035,7.8,8.0,9.8,8.533333333333333,8.533333333333333
16000036,8.2,7.75,9.2,8.383333333333333,8.383333333333333
16000037,7.4,9.0,7.2,7.866666666666666,7.866666666666666
16000038,8.2,8.25,10.0,8.816666666666666,8.816666666666666
16000039,8.4,7.5,7.8,7.899999999999999,7.8999999999999995
16000040,8.8,7.5,7.8,8.033333333333333,8.033333333333333
16000041,8.4,9.5,8.0,8.633333333333333,8.633333333333333
16000042,7.8,8.5,9.8,8.700000000000001,8.700000000000001
16000043,8.2,9.75,9.6,9.183333333333332,9.183333333333332
16000044,8.8,9.0,10.0,9.266666666666667,9.266666666666667
16000045,8.4,9.0,9.0,8.799999999999999,8.799999999999999
16000046,8.6,8.75,9.6,8.983333333333334,8.983333333333334
16000047,8.4,8.75,8.6,8.583333333333334,8.583333333333334
16000048,8.8,6.5,8.6,7.966666666666666,7.966666666666666
16000049,8.8,7.75,8.6,8.383333333333333,8.383333333333333
16000050,9.0,8.5,8.4,8.633333333333333,8.633333333333333
16000051,8.8,9.25,9.8,9.283333333333331,9.283333333333333
16000052,8.2,8.5,9.6,8.766666666666666,8.766666666666666
16000053,8.4,8.75,9.4,8.85,8.85
16000054,8.8,6.5,9.4,8.233333333333334,8.233333333333334
16000055,9.4,7.0,8.2,8.2,8.2
