SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
50002527,7.4,6.5,5.6,6.5,6.5
50002528,6.2,4.5,5.0,5.233333333333333,5.233333333333333
50002529,4.2,5.5,3.8,4.5,4.5
50002530,4.4,5.0,3.4,4.266666666666667,4.266666666666667
50002531,6.8,7.0,7.2,7.0,7.0
50002532,5.6,7.0,3.8,5.466666666666666,5.466666666666666
50002533,7.6,7.5,6.8,7.3,7.3
50002534,8.2,7.25,7.0,7.483333333333333,7.483333333333333
50002535,5.8,6.25,5.0,5.683333333333334,5.683333333333334
50002536,6.2,7.5,5.4,6.366666666666667,6.366666666666667
50002537,8.4,7.75,8.2,8.116666666666665,8.116666666666665
50002538,1.8,5.5,4.4,3.9,3.9
50002539,5.4,6.25,3.8,5.15,5.1499999999999995
50002540,7.8,7.25,5.6,6.883333333333333,6.883333333333333
50002541,6.2,7.75,7.4,7.116666666666667,7.116666666666667
50002542,8.2,6.75,6.0,6.983333333333333,6.983333333333333
50002543,6.2,7.0,6.2,6.466666666666666,6.466666666666666
50002544,6.2,7.0,6.6,6.599999999999999,6.599999999999999
50002545,5.6,7.5,3.6,5.566666666666666,5.566666666666666
50002547,5.8,7.75,5.4,6.316666666666667,6.316666666666667
50002548,7.8,7.5,4.4,6.566666666666667,6.566666666666667
50002549,8.0,6.0,5.8,6.6000000000000005,6.6000000000000005
50002550,7.2,6.5,7.4,7.033333333333334,7.033333333333334
50002551,7.6,5.5,4.8,5.966666666666666,5.966666666666666
50002552,5.4,6.5,2.4,4.766666666666667,4.766666666666667
50002553,6.0,7.0,5.4,6.133333333333333,6.133333333333333
50002554,4.0,6.0,3.8,4.6000000000000005,4.6000000000000005
50002555,7.6,7.25,9.2,8.016666666666666,8.016666666666666
50002556,7.6,7.5,9.2,8.1,8.1
50002557,5.6,6.5,3.0,5.033333333333333,5.033333333333333
50002558,6.0,5.5,4.2,5.233333333333333,5.233333333333333
50002559,9.2,6.5,4.6,6.766666666666666,6.766666666666666
50002560,4.4,7.25,3.8,5.15,5.1499999999999995
50002561,8.2,5.5,4.6,6.099999999999999,6.099999999999999
50002562,6.6,6.75,5.0,6.116666666666667,6.116666666666667
50002564,8.6,6.25,4.2,6.3500000000000005,6.3500000000000005
50002565,6.6,7.5,7.6,7.233333333333333,7.233333333333333
50002566,7.2,7.0,7.6,7.266666666666666,7.266666666666666
50002567,6.2,6.25,8.0,6.816666666666666,6.816666666666666
50002568,7.2,6.5,7.8,7.166666666666667,7.166666666666667
50002569,7.8,7.0,5.6,6.8,6.8
50002570,3.4,5.0,3.4,3.9333333333333336,3.9333333333333336
50002571,9.0,6.5,8.8,8.1,8.1
50002572,7.4,8.5,8.2,8.033333333333333,8.033333333333333
50002573,2.6,6.75,5.0,4.783333333333333,4.783333333333333
50002574,7.8,8.0,8.8,8.200000000000001,8.200000000000001
50002575,5.2,6.25,6.4,5.95,5.95
50002576,6.6,6.5,5.6,6.233333333333333,6.233333333333333
50002577,4.8,6.0,4.0,4.933333333333334,4.933333333333334
50002578,8.8,6.5,9.6,8.299999999999999,8.299999999999999
50002579,9.0,5.75,7.6,7.45,7.45
50002580,7.6,5.0,3.8,5.466666666666666,5.466666666666666
50002581,8.2,5.75,5.0,6.316666666666666,6.316666666666666
50002582,9.6,5.25,8.8,7.883333333333333,7.883333333333333
50002583,5.8,5.0,4.2,5.0,5.0
50002587,7.6,6.25,4.4,6.083333333333333,6.083333333333333
50002588,7.6,7.25,6.0,6.95,6.95
50002589,5.4,7.25,3.8,5.483333333333333,5.483333333333333
50002590,3.8,6.5,4.4,4.9,4.9
50002591,8.8,4.25,5.4,6.150000000000001,6.150000000000001
50002592,8.0,6.5,5.8,6.766666666666667,6.766666666666667
50002593,7.4,6.75,7.6,7.25,7.25
50002594,7.4,7.25,6.8,7.15,7.1499999999999995
50002595,6.0,6.25,6.8,6.3500000000000005,6.3500000000000005
50002596,5.2,7.25,6.2,6.216666666666666,6.216666666666666
50002597,4.0,5.5,2.4,3.966666666666667,3.966666666666667
50002598,6.4,8.0,3.6,6.0,6.0
50002599,8.4,6.0,8.8,7.733333333333334,7.733333333333334
50002600,4.6,6.0,3.4,4.666666666666667,4.666666666666667
50002601,7.8,7.5,9.0,8.1,8.1
50002602,6.0,5.25,2.6,4.616666666666666,4.616666666666666
50002603,6.0,7.0,4.6,5.866666666666667,5.866666666666667
50002605,4.6,7.75,3.0,5.116666666666666,5.116666666666666
50002606,8.4,6.5,5.2,6.7,6.7
50002607,7.4,7.5,6.8,7.233333333333333,7.233333333333333
50002608,8.0,7.5,5.6,7.033333333333334,7.033333333333334
50002609,7.0,6.0,4.4,5.8,5.8
50002610,6.4,6.0,6.2,6.2,6.2
50002611,6.8,5.75,4.2,5.583333333333333,5.583333333333333
50002612,7.8,7.25,6.8,7.283333333333334,7.283333333333334
50002613,8.6,7.75,8.4,8.25,8.25
50002614,6.8,3.75,3.4,4.65,4.65
50002615,7.8,7.5,8.8,8.033333333333333,8.033333333333333
50002618,7.6,6.0,6.4,6.666666666666667,6.666666666666667
50002619,5.4,6.5,3.2,5.033333333333334,5.033333333333334
50002620,5.6,6.75,4.6,5.65,5.6499999999999995
50002621,7.4,7.0,7.4,7.266666666666667,7.266666666666667
50002622,7.0,6.5,4.6,6.033333333333334,6.033333333333334
50002623,9.0,7.0,7.6,7.866666666666667,7.866666666666667
50002624,5.4,5.75,4.4,5.183333333333334,5.183333333333334
50002625,7.8,6.75,4.6,6.383333333333333,6.383333333333333
50002626,7.0,7.75,5.2,6.65,6.6499999999999995
50002627,7.4,7.75,8.2,7.783333333333334,7.783333333333334
50002628,6.8,7.5,4.6,6.3,6.3
50002629,5.2,6.5,2.8,4.833333333333333,4.833333333333333
50002630,8.8,7.0,7.8,7.866666666666667,7.866666666666667
50002631,5.4,7.0,5.6,6.0,6.0
50002632,8.0,7.25,8.0,7.75,7.75
50002633,7.6,6.5,6.6,6.9,6.8999999999999995
50002634,6.2,6.5,7.0,6.566666666666666,6.566666666666666
50002635,5.6,7.5,2.6,5.233333333333333,5.233333333333333
50002636,5.2,7.0,3.6,5.266666666666667,5.266666666666667
50002637,6.2,7.25,3.4,5.616666666666666,5.616666666666666
50002638,8.0,6.5,4.4,6.3,6.3
50002639,6.8,6.75,2.8,5.45,5.45
50002640,6.0,6.5,3.2,5.233333333333333,5.233333333333333
50002641,8.0,8.5,7.2,7.899999999999999,7.8999999999999995
50002642,8.4,7.25,7.4,7.683333333333334,7.683333333333334
50002643,4.2,7.25,3.6,5.016666666666667,5.016666666666667
50002644,7.6,7.0,8.4,7.666666666666667,7.666666666666667
50002645,6.8,7.25,8.4,7.483333333333334,7.483333333333334
50002647,9.0,6.5,7.6,7.7,7.7
50002648,6.0,6.5,6.6,6.366666666666667,6.366666666666667
50002649,7.4,7.0,9.4,7.933333333333334,7.933333333333334
50002650,7.0,7.0,7.8,7.266666666666667,7.266666666666667
50002651,7.6,7.0,3.4,6.0,6.0
50002652,7.2,7.5,4.2,6.3,6.3
50002653,7.6,7.5,7.2,7.433333333333334,7.433333333333334
50002654,8.6,8.0,8.4,8.333333333333334,8.333333333333334
50002656,3.8,6.0,4.6,4.8,4.8
50002657,4.6,6.75,2.2,4.516666666666667,4.516666666666667
50002658,3.8,5.17,2.4,3.79,3.7899999999999996
50002659,7.6,6.5,7.4,7.166666666666667,7.166666666666667
50002660,7.8,6.0,5.0,6.266666666666667,6.266666666666667
50002661,6.6,7.75,3.6,5.983333333333333,5.983333333333333
50002662,8.0,8.0,4.2,6.733333333333333,6.733333333333333
50002663,6.8,7.25,3.4,5.816666666666666,5.816666666666666
50002666,5.6,6.5,4.4,5.5,5.5
50002667,7.4,5.75,3.8,5.65,5.6499999999999995
50002669,6.6,7.0,4.0,5.866666666666667,5.866666666666667
50002670,7.2,8.5,6.6,7.433333333333333,7.433333333333333
50002671,4.6,6.25,4.6,5.15,5.1499999999999995
50002672,6.0,6.83,2.8,5.21,5.21
50002673,6.0,7.0,7.8,6.933333333333334,6.933333333333334
50002674,7.8,6.75,2.6,5.716666666666668,5.716666666666668
50002675,8.4,6.25,8.8,7.816666666666667,7.816666666666667
50002676,7.6,6.5,6.6,6.9,6.8999999999999995
50002677,5.4,8.0,6.0,6.466666666666666,6.466666666666666
50002678,8.6,7.75,6.4,7.583333333333333,7.583333333333333
50002679,3.8,7.5,1.6,4.3,4.3
50002680,6.4,8.0,7.8,7.399999999999999,7.3999999999999995
50002681,7.6,8.0,4.6,6.733333333333333,6.733333333333333
50002682,4.8,5.83,5.2,5.276666666666666,5.276666666666666
50002683,6.6,8.5,4.6,6.566666666666666,6.566666666666666
50002684,6.4,7.0,4.8,6.066666666666666,6.066666666666666
50002685,3.8,5.75,4.4,4.65,4.65
50002687,8.4,5.5,6.4,6.766666666666667,6.766666666666667
50002689,4.2,5.0,4.2,4.466666666666666,4.466666666666666
50002690,4.8,6.75,4.2,5.25,5.25
50002691,6.6,6.0,4.0,5.533333333333334,5.533333333333334
50002692,4.0,5.5,4.6,4.7,4.7
50002693,6.4,5.0,4.2,5.2,5.2
50002694,7.6,6.5,5.4,6.5,6.5
50002696,6.8,7.0,3.2,5.666666666666667,5.666666666666667
50002697,7.4,8.0,7.4,7.6,7.6000000000000005
50002698,5.6,6.75,6.4,6.25,6.25
50002699,5.8,6.0,4.0,5.266666666666667,5.266666666666667
50002700,6.4,6.25,3.2,5.283333333333334,5.283333333333334
50002701,3.6,6.0,5.4,5.0,5.0
50002702,3.8,5.5,3.4,4.233333333333333,4.233333333333333
50002703,6.2,5.75,3.8,5.25,5.25
50002704,7.4,8.25,9.6,8.416666666666666,8.416666666666666
50002705,7.6,7.25,6.2,7.016666666666667,7.016666666666667
50002706,3.4,5.5,3.6,4.166666666666667,4.166666666666667
50002707,8.8,7.25,9.8,8.616666666666667,8.616666666666667
50002708,8.2,7.75,9.6,8.516666666666666,8.516666666666666
50002709,8.6,5.75,7.0,7.116666666666667,7.116666666666667
50002710,3.8,5.75,3.4,4.316666666666667,4.316666666666667
50002711,6.6,8.0,7.0,7.2,7.2
50002712,8.2,6.0,6.0,6.733333333333333,6.733333333333333
50002713,6.2,7.5,6.6,6.766666666666666,6.766666666666666
50002714,9.0,8.0,9.4,8.799999999999999,8.799999999999999
50002715,6.6,7.0,2.8,5.466666666666666,5.466666666666666
50002716,6.2,7.25,5.6,6.349999999999999,6.349999999999999
50002717,8.6,6.25,6.4,7.083333333333333,7.083333333333333
50002718,5.8,6.75,2.4,4.983333333333333,4.983333333333333
50002719,3.4,5.25,5.0,4.55,4.55
50002720,9.0,6.0,5.8,6.933333333333334,6.933333333333334
50002722,7.6,5.0,4.4,5.666666666666667,5.666666666666667
50002724,5.4,6.0,3.4,4.933333333333334,4.933333333333334
50002725,5.0,6.0,3.2,4.733333333333333,4.733333333333333
50002726,4.8,6.25,3.4,4.816666666666667,4.816666666666667
50002727,7.8,7.0,5.8,6.866666666666667,6.866666666666667
50002728,7.4,7.25,7.4,7.35,7.3500000000000005
50002729,5.2,6.0,3.6,4.933333333333333,4.933333333333333
50002730,5.0,5.5,2.4,4.3,4.3
50002731,7.6,7.25,6.4,7.083333333333333,7.083333333333333
50002732,8.2,5.75,8.8,7.583333333333333,7.583333333333333
50002733,8.0,5.25,5.6,6.283333333333334,6.283333333333334
50002734,9.0,7.0,9.4,8.466666666666667,8.466666666666667
50002735,5.6,6.75,6.2,6.183333333333334,6.183333333333334
50002736,5.0,5.0,3.4,4.466666666666667,4.466666666666667
50002737,9.8,7.25,9.6,8.883333333333333,8.883333333333333
50002738,5.8,6.25,6.8,6.283333333333334,6.283333333333334
50002739,7.4,7.25,8.0,7.55,7.55
50002740,6.2,6.0,3.8,5.333333333333333,5.333333333333333
50002741,5.0,8.5,5.6,6.366666666666667,6.366666666666667
50002742,5.8,6.0,3.2,5.0,5.0
50002743,7.6,6.25,4.8,6.216666666666666,6.216666666666666
50002744,6.6,5.5,4.8,5.633333333333333,5.633333333333333
50002745,6.6,6.5,5.8,6.3,6.3
50002746,5.2,6.75,3.6,5.183333333333333,5.183333333333333
50002747,8.4,7.25,4.8,6.816666666666666,6.816666666666666
50002748,8.4,8.25,9.4,8.683333333333332,8.683333333333332
50002749,6.6,7.0,2.8,5.466666666666666,5.466666666666666
50002750,7.2,7.0,3.8,6.0,6.0
50002751,4.4,7.5,4.0,5.3,5.3
50002752,7.2,7.0,4.8,6.333333333333333,6.333333333333333
50002753,7.2,5.0,4.0,5.4,5.3999999999999995
50002754,7.2,5.25,6.8,6.416666666666667,6.416666666666667
50002755,7.2,7.25,9.0,7.816666666666666,7.816666666666666
50002756,5.6,7.0,6.8,6.466666666666666,6.466666666666666
50002757,5.2,8.25,3.2,5.55,5.55
50002758,7.0,5.75,4.8,5.8500000000000005,5.8500000000000005
50002760,7.8,7.5,8.0,7.766666666666667,7.766666666666667
50002761,7.6,6.0,4.6,6.066666666666666,6.066666666666666
50002762,8.2,8.0,7.8,8.0,8.0
50002763,7.8,7.5,8.4,7.900000000000001,7.900000000000001
50002765,6.8,7.0,2.6,5.466666666666668,5.466666666666668
50002766,8.8,7.0,9.0,8.266666666666667,8.266666666666667
50002767,8.2,6.75,5.0,6.65,6.6499999999999995
50002768,7.8,4.75,7.8,6.783333333333334,6.783333333333334
50002769,6.2,6.0,3.2,5.133333333333333,5.133333333333333
50002770,8.0,5.75,5.2,6.316666666666666,6.316666666666666
50002771,6.4,6.0,4.0,5.466666666666666,5.466666666666666
50002772,8.2,6.25,9.4,7.95,7.95
