SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
55000001,4.0,5.5,3.0,4.166666666666667,4.166666666666667
55000002,5.2,5.0,4.4,4.866666666666666,4.866666666666666
55000003,5.0,7.5,3.0,5.166666666666667,5.166666666666667
55000004,4.6,5.5,3.6,4.566666666666666,4.566666666666666
55000005,9.0,6.5,8.2,7.899999999999999,7.8999999999999995
55000006,5.2,5.75,2.8,4.583333333333333,4.583333333333333
55000007,7.4,7.0,7.4,7.266666666666667,7.266666666666667
55000008,7.2,8.0,3.6,6.266666666666667,6.266666666666667
55000009,7.4,6.0,7.8,7.066666666666666,7.066666666666666
55000010,5.2,6.0,2.6,4.6,4.6
55000011,6.4,6.5,6.2,6.366666666666667,6.366666666666667
55000012,5.0,5.5,2.6,4.366666666666666,4.366666666666666
55000013,4.8,7.25,2.8,4.95,4.95
55000014,7.6,6.75,7.8,7.383333333333333,7.383333333333333
55000015,7.6,8.75,6.2,7.516666666666667,7.516666666666667
55000016,7.4,6.25,5.2,6.283333333333334,6.283333333333334
55000017,5.6,7.0,5.2,5.933333333333334,5.933333333333334
55000018,6.4,6.75,3.6,5.583333333333333,5.583333333333333
55000019,4.6,5.75,3.4,4.583333333333333,4.583333333333333
55000020,6.4,6.75,3.4,5.516666666666667,5.516666666666667
55000021,6.6,7.75,5.6,6.65,6.6499999999999995
55000022,8.0,7.0,5.6,6.866666666666667,6.866666666666667
55000023,9.0,7.75,7.2,7.983333333333333,7.983333333333333
55000024,8.2,6.5,5.8,6.833333333333333,6.833333333333333
55000025,7.6,8.5,5.8,7.300000000000001,7.300000000000001
55000026,7.0,6.75,3.4,5.716666666666666,5.716666666666666
55000027,6.6,6.0,4.4,5.666666666666667,5.666666666666667
55000028,5.8,7.5,4.4,5.900000000000001,5.900000000000001
55000029,8.2,6.75,8.8,7.916666666666667,7.916666666666667
55000030,5.4,6.25,4.8,5.483333333333333,5.483333333333333
55000031,6.2,6.75,3.4,5.449999999999999,5.449999999999999
55000032,8.2,6.5,5.2,6.633333333333333,6.633333333333333
55000033,5.2,6.0,3.8,5.0,5.0
55000034,7.6,7.0,7.0,7.2,7.2
55000035,3.6,5.25,1.0,3.283333333333333,3.283333333333333
55000036,6.0,5.0,2.8,4.6000000000000005,4.6000000000000005
55000037,4.8,6.75,3.4,4.983333333333333,4.983333333333333
55000038,6.8,5.5,5.8,6.033333333333334,6.033333333333334
55000039,7.0,5.75,3.8,5.516666666666667,5.516666666666667
55000040,5.8,5.5,3.2,4.833333333333333,4.833333333333333
55000041,4.6,7.0,3.4,5.0,5.0
55000042,5.8,5.0,3.4,4.733333333333333,4.733333333333333
55000043,4.0,3.25,2.4,3.216666666666667,3.216666666666667
55000044,7.0,5.5,3.4,5.3,5.3
55000045,4.6,5.5,3.4,4.5,4.5
55000046,8.4,5.75,5.0,6.383333333333333,6.383333333333333
55000047,2.0,6.0,2.4,3.466666666666667,3.466666666666667
55000048,8.2,8.0,5.0,7.066666666666666,7.066666666666666
55000049,7.8,7.5,6.6,7.3,7.3
55000050,7.2,7.5,5.8,6.833333333333333,6.833333333333333
55000051,8.6,8.25,6.8,7.883333333333334,7.883333333333334
55000052,7.2,6.25,7.0,6.816666666666666,6.816666666666666
55000053,8.0,8.75,7.6,8.116666666666667,8.116666666666667
55000054,8.6,6.25,8.0,7.616666666666667,7.616666666666667
55000055,5.0,6.25,4.4,5.216666666666667,5.216666666666667
55000056,2.4,4.25,2.8,3.15,3.15
55000057,7.2,7.33,5.0,6.510000000000001,6.510000000000001
55000058,6.2,6.25,1.8,4.75,4.75
55000059,6.8,6.75,4.4,5.983333333333334,5.983333333333334
55000060,6.8,7.25,5.6,6.55,6.55
55000061,7.2,7.0,5.2,6.466666666666666,6.466666666666666
55000062,5.4,6.75,3.2,5.116666666666667,5.116666666666667
55000063,5.4,6.75,3.2,5.116666666666667,5.116666666666667
55000064,5.6,6.75,5.8,6.05,6.05
55000065,4.6,8.0,9.0,7.2,7.2
55000066,4.8,4.5,3.8,4.366666666666667,4.366666666666667
55000067,5.2,5.25,3.0,4.483333333333333,4.483333333333333
55000068,6.0,6.5,3.8,5.433333333333334,5.433333333333334
55000069,7.4,6.0,3.8,5.733333333333333,5.733333333333333
55000070,7.0,7.0,5.0,6.333333333333333,6.333333333333333
55000071,8.6,5.0,4.4,6.0,6.0
55000072,8.2,7.25,5.2,6.883333333333333,6.883333333333333
55000073,6.8,5.5,3.2,5.166666666666667,5.166666666666667
55000074,5.8,6.5,4.6,5.633333333333333,5.633333333333333
55000075,4.6,6.75,4.8,5.383333333333333,5.383333333333333
55000076,5.2,6.5,5.0,5.566666666666666,5.566666666666666
55000077,5.4,6.0,4.4,5.266666666666667,5.266666666666667
55000078,2.8,4.0,2.6,3.1333333333333333,3.1333333333333333
55000079,7.6,5.0,5.2,5.933333333333334,5.933333333333334
55000080,5.0,5.0,1.6,3.8666666666666663,3.8666666666666667
55000081,5.4,5.0,5.0,5.133333333333334,5.133333333333334
55000082,6.4,6.42,3.8,5.54,5.54
55000083,4.2,3.0,2.8,3.333333333333333,3.3333333333333335
55000084,6.6,7.75,5.0,6.45,6.45
55000085,5.6,7.25,2.4,5.083333333333333,5.083333333333333
55000086,7.0,6.25,4.2,5.816666666666666,5.816666666666666
55000087,7.0,6.75,5.2,6.316666666666666,6.316666666666666
55000088,6.0,6.5,5.2,5.9,5.8999999999999995
55000089,7.6,5.0,7.4,6.666666666666667,6.666666666666667
55000090,5.6,5.5,5.4,5.5,5.5
55000091,5.0,6.0,4.0,5.0,5.0
55000092,3.8,6.5,3.8,4.7,4.7
55000093,3.8,5.25,2.8,3.9500000000000006,3.9500000000000006
55000094,8.0,6.75,3.8,6.183333333333334,6.183333333333334
55000095,6.2,5.25,3.4,4.95,4.95
55000096,7.2,6.5,3.8,5.833333333333333,5.833333333333333
55000097,6.0,5.0,3.6,4.866666666666666,4.866666666666666
55000098,8.2,5.25,7.6,7.016666666666666,7.016666666666666
55000099,5.8,5.5,4.8,5.366666666666667,5.366666666666667
55000100,3.8,5.0,2.6,3.8,3.8000000000000003
55000101,8.0,5.75,8.2,7.316666666666666,7.316666666666666
55000102,8.2,6.5,4.0,6.233333333333333,6.233333333333333
55000103,6.6,6.25,5.0,5.95,5.95
55000104,2.0,5.0,4.6,3.8666666666666663,3.8666666666666667
55000105,7.4,7.5,7.6,7.5,7.5
55000106,6.2,6.75,8.8,7.25,7.25
55000107,8.8,7.0,9.2,8.333333333333334,8.333333333333334
55000108,7.2,6.25,3.4,5.616666666666666,5.616666666666666
55000109,5.2,5.0,3.4,4.533333333333333,4.533333333333333
55000110,3.6,6.75,3.4,4.583333333333333,4.583333333333333
55000111,6.2,7.5,3.8,5.833333333333333,5.833333333333333
55000112,6.8,7.0,8.4,7.400000000000001,7.400000000000001
55000113,5.2,7.5,3.2,5.3,5.3
55000114,8.8,7.5,9.0,8.433333333333334,8.433333333333334
55000115,5.6,7.75,4.4,5.916666666666667,5.916666666666667
55000116,7.6,6.75,4.2,6.183333333333334,6.183333333333334
55000117,5.6,7.25,4.2,5.683333333333334,5.683333333333334
55000118,4.4,7.75,4.8,5.65,5.6499999999999995
55000119,9.0,7.25,8.2,8.15,8.15
55000120,8.0,7.0,5.8,6.933333333333334,6.933333333333334
55000121,7.6,7.25,6.8,7.216666666666666,7.216666666666666
55000122,4.2,6.5,4.0,4.9,4.8999999999999995
55000123,7.2,6.25,5.0,6.15,6.1499999999999995
55000124,7.2,7.25,2.6,5.683333333333334,5.683333333333334
55000125,6.6,8.0,3.2,5.933333333333334,5.933333333333334
55000126,2.8,5.0,2.8,3.533333333333333,3.533333333333333
55000127,5.0,7.0,4.6,5.533333333333334,5.533333333333334
55000128,8.0,6.75,5.6,6.783333333333334,6.783333333333334
55000129,8.0,8.5,6.2,7.566666666666666,7.566666666666666
55000130,7.8,6.5,6.6,6.966666666666666,6.966666666666666
55000131,4.8,5.5,3.6,4.633333333333334,4.633333333333334
55000132,6.8,5.25,5.6,5.883333333333333,5.883333333333333
55000133,4.0,5.25,2.8,4.016666666666667,4.016666666666667
55000134,7.4,5.25,3.2,5.283333333333334,5.283333333333334
55000135,6.6,6.5,3.6,5.566666666666666,5.566666666666666
55000136,7.8,7.75,7.4,7.650000000000001,7.650000000000001
55000137,4.4,5.0,2.6,4.0,4.0
55000138,6.6,5.75,3.6,5.316666666666666,5.316666666666666
55000139,5.8,6.25,3.8,5.283333333333334,5.283333333333334
55000140,7.4,7.25,4.4,6.3500000000000005,6.3500000000000005
55000141,7.0,5.75,6.2,6.316666666666666,6.316666666666666
55000142,3.0,4.0,3.0,3.333333333333333,3.3333333333333335
55000143,6.2,5.5,4.0,5.233333333333333,5.233333333333333
55000144,7.0,7.5,8.2,7.566666666666666,7.566666666666666
55000145,7.6,6.75,5.6,6.65,6.6499999999999995
55000146,9.0,6.25,5.8,7.016666666666667,7.016666666666667
55000147,5.2,6.5,3.6,5.1,5.1
55000148,2.0,4.5,3.2,3.233333333333333,3.233333333333333
55000149,8.0,7.0,8.6,7.866666666666667,7.866666666666667
55000150,7.4,7.0,4.2,6.2,6.2
55000151,8.0,6.5,4.6,6.366666666666667,6.366666666666667
55000152,6.0,6.25,3.6,5.283333333333333,5.283333333333333
55000153,4.8,6.25,3.4,4.816666666666667,4.816666666666667
55000154,4.8,7.5,4.2,5.5,5.5
55000155,3.2,5.5,3.0,3.9,3.9
55000156,7.2,6.25,4.8,6.083333333333333,6.083333333333333
55000157,3.2,8.0,4.0,5.066666666666666,5.066666666666666
55000158,8.8,6.0,5.2,6.666666666666667,6.666666666666667
55000159,7.0,7.0,5.6,6.533333333333334,6.533333333333334
55000160,8.6,7.0,7.0,7.533333333333334,7.533333333333334
