SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
18000003,6.6,6.0,3.6,5.4,5.3999999999999995
18000004,6.2,5.25,3.8,5.083333333333333,5.083333333333333
18000005,9.4,7.25,5.8,7.483333333333333,7.483333333333333
18000006,8.4,9.25,8.8,8.816666666666666,8.816666666666666
18000007,6.4,5.25,5.4,5.683333333333334,5.683333333333334
18000009,7.8,6.5,6.0,6.766666666666667,6.766666666666667
18000011,2.8,8.0,3.8,4.866666666666667,4.866666666666667
18000012,6.6,6.25,4.6,5.816666666666666,5.816666666666666
18000014,5.2,5.75,3.0,4.65,4.6499999999999995
18000015,7.6,6.0,7.2,6.933333333333334,6.933333333333334
18000016,8.8,6.25,5.0,6.683333333333334,6.683333333333334
18000017,8.0,7.25,3.4,6.216666666666666,6.216666666666666
18000018,8.0,5.5,7.8,7.1000000000000005,7.1000000000000005
18000020,8.4,7.5,4.8,6.9,6.8999999999999995
18000021,6.8,5.25,4.2,5.416666666666667,5.416666666666667
18000022,6.8,5.75,4.6,5.716666666666666,5.716666666666666
18000023,7.2,6.25,4.4,5.95,5.95
18000024,4.8,5.75,4.0,4.8500000000000005,4.8500000000000005
18000025,8.8,6.5,7.2,7.5,7.5
18000026,7.0,6.25,5.0,6.083333333333333,6.083333333333333
18000028,6.2,8.0,4.4,6.2,6.2
18000029,7.4,8.0,5.2,6.866666666666667,6.866666666666667
18000030,8.2,6.75,3.8,6.25,6.25
18000031,7.4,6.0,2.4,5.266666666666667,5.266666666666667
18000032,6.6,5.75,4.0,5.45,5.45
18000033,7.8,6.5,4.4,6.233333333333334,6.233333333333334
18000034,8.2,8.0,5.4,7.2,7.2
18000035,7.4,7.75,4.0,6.383333333333333,6.383333333333333
18000036,3.4,6.75,2.4,4.183333333333334,4.183333333333334
18000039,5.8,4.0,2.4,4.066666666666667,4.066666666666667
18000040,5.0,7.0,3.8,5.266666666666667,5.266666666666667
18000041,7.8,6.5,4.4,6.233333333333334,6.233333333333334
18000042,6.4,5.25,6.8,6.15,6.1499999999999995
18000043,8.2,5.5,9.0,7.566666666666666,7.566666666666666
18000044,7.4,5.5,5.0,5.966666666666666,5.966666666666666
18000045,6.4,5.0,6.8,6.066666666666666,6.066666666666666
18000049,3.4,4.5,2.4,3.4333333333333336,3.4333333333333336
18000051,8.2,6.5,3.8,6.166666666666667,6.166666666666667
18000052,8.6,4.75,2.6,5.316666666666666,5.316666666666666
18000053,5.4,5.5,3.8,4.9,4.8999999999999995
18000055,6.2,5.0,3.4,4.866666666666666,4.866666666666666
18000056,7.0,7.0,3.4,5.8,5.8
18000057,7.4,7.5,5.0,6.633333333333333,6.633333333333333
18000058,5.8,6.5,3.2,5.166666666666667,5.166666666666667
18000059,8.0,6.75,3.6,6.116666666666667,6.116666666666667
18000061,7.8,5.25,3.2,5.416666666666667,5.416666666666667
18000062,8.6,4.75,3.2,5.516666666666667,5.516666666666667
18000063,6.8,5.25,3.2,5.083333333333333,5.083333333333333
18000064,6.2,4.0,9.8,6.666666666666667,6.666666666666667
18000065,5.2,4.25,4.2,4.55,4.55
18000067,7.8,4.75,4.8,5.783333333333334,5.783333333333334
18000068,5.8,6.0,2.2,4.666666666666667,4.666666666666667
18000070,2.8,4.75,4.2,3.9166666666666665,3.9166666666666665
18000071,8.2,6.0,5.8,6.666666666666667,6.666666666666667
18000072,7.6,6.25,5.2,6.3500000000000005,6.3500000000000005
18000075,4.4,7.0,4.2,5.2,5.2
18000078,5.2,6.0,5.6,5.599999999999999,5.599999999999999
18000079,7.6,5.5,6.6,6.566666666666666,6.566666666666666
18000080,7.6,4.25,4.2,5.3500000000000005,5.3500000000000005
18000085,5.0,6.0,4.8,5.266666666666667,5.266666666666667
18000086,5.2,3.75,1.6,3.516666666666666,3.516666666666666
18000091,6.2,6.25,3.2,5.216666666666666,5.216666666666666
18000093,4.6,6.0,3.2,4.6000000000000005,4.6000000000000005
18000094,4.2,4.25,2.6,3.683333333333333,3.683333333333333
18000095,5.2,5.25,5.6,5.349999999999999,5.349999999999999
18000097,7.4,8.0,6.0,7.133333333333333,7.133333333333333
18000099,3.6,4.25,3.6,3.8166666666666655,3.8166666666666664
18000100,5.8,7.25,2.2,5.083333333333333,5.083333333333333
18000101,4.0,6.0,3.4,4.466666666666667,4.466666666666667
18000104,7.0,8.0,4.0,6.333333333333333,6.333333333333333
18000105,6.4,7.25,3.2,5.616666666666667,5.616666666666667
18000106,5.2,6.5,2.8,4.833333333333333,4.833333333333333
18000107,8.4,8.0,4.4,6.933333333333333,6.933333333333333
18000108,8.0,7.5,3.6,6.366666666666667,6.366666666666667
18000109,7.2,8.0,7.2,7.466666666666666,7.466666666666666
18000110,6.2,8.25,5.8,6.75,6.75
18000111,7.4,7.5,5.2,6.7,6.7
18000113,7.0,6.75,4.6,6.116666666666667,6.116666666666667
18000114,7.0,6.75,4.2,5.983333333333333,5.983333333333333
18000115,7.8,4.75,2.8,5.116666666666667,5.116666666666667
18000116,8.2,6.75,8.0,7.649999999999999,7.6499999999999995
18000117,8.2,8.0,8.2,8.133333333333333,8.133333333333333
18000118,8.6,7.5,5.2,7.1000000000000005,7.1000000000000005
18000119,6.2,5.0,5.2,5.466666666666666,5.466666666666666
18000121,6.8,8.0,3.4,6.066666666666666,6.066666666666666
18000122,6.6,6.5,5.0,6.033333333333334,6.033333333333334
18000123,7.6,8.25,8.0,7.95,7.95
18000124,6.4,6.25,4.2,5.616666666666667,5.616666666666667
18000125,7.6,6.75,4.2,6.183333333333334,6.183333333333334
18000126,8.4,6.0,7.4,7.266666666666667,7.266666666666667
18000128,8.2,5.5,5.6,6.433333333333333,6.433333333333333
18000129,6.8,5.75,3.0,5.183333333333334,5.183333333333334
18000131,5.8,4.25,2.2,4.083333333333333,4.083333333333333
18000132,8.0,6.75,4.2,6.316666666666666,6.316666666666666
18000133,5.8,5.75,3.2,4.916666666666667,4.916666666666667
18000135,7.8,8.0,6.2,7.333333333333333,7.333333333333333
18000140,7.4,7.25,3.6,6.083333333333333,6.083333333333333
18000142,9.6,5.5,6.2,7.1000000000000005,7.1000000000000005
18000144,7.4,6.25,4.0,5.883333333333333,5.883333333333333
18000146,8.0,5.75,4.0,5.916666666666667,5.916666666666667
18000147,8.6,6.0,8.4,7.666666666666667,7.666666666666667
18000149,7.0,8.75,3.6,6.45,6.45
18000150,6.4,6.0,4.4,5.6000000000000005,5.6000000000000005
18000152,7.6,7.5,5.4,6.833333333333333,6.833333333333333
18000154,4.8,6.0,4.0,4.933333333333334,4.933333333333334
18000155,7.8,8.25,5.6,7.216666666666666,7.216666666666666
18000159,7.8,6.0,4.6,6.133333333333333,6.133333333333333
18000161,5.4,5.25,4.2,4.95,4.95
18000162,9.0,5.75,6.2,6.983333333333333,6.983333333333333
18000163,5.6,8.25,2.8,5.55,5.55
18000165,7.6,7.25,6.8,7.216666666666666,7.216666666666666
18000166,8.4,7.0,5.8,7.066666666666666,7.066666666666666
18000169,5.4,7.75,5.2,6.116666666666667,6.116666666666667
18000170,8.4,6.25,4.6,6.416666666666667,6.416666666666667
