SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
64000001,7.2,7.0,4.8,6.333333333333333,6.333333333333333
64000002,5.0,7.0,3.0,5.0,5.0
64000003,7.2,6.75,5.4,6.45,6.45
64000004,8.2,7.25,3.0,6.15,6.1499999999999995
64000005,8.0,6.5,5.0,6.5,6.5
64000006,7.2,6.5,3.2,5.633333333333333,5.633333333333333
64000007,7.0,6.75,3.8,5.8500000000000005,5.8500000000000005
64000008,4.6,7.0,3.8,5.133333333333333,5.133333333333333
64000009,6.4,6.0,3.6,5.333333333333333,5.333333333333333
64000010,5.0,6.25,2.4,4.55,4.55
64000011,6.0,6.75,4.6,5.783333333333334,5.783333333333334
64000012,5.2,5.5,2.8,4.5,4.5
64000013,7.0,7.75,4.4,6.383333333333333,6.383333333333333
64000014,5.0,6.0,2.6,4.533333333333333,4.533333333333333
64000015,7.2,6.0,2.0,5.066666666666666,5.066666666666666
64000016,6.2,8.5,4.4,6.366666666666667,6.366666666666667
64000017,5.6,7.25,4.0,5.616666666666667,5.616666666666667
64000018,7.4,8.5,5.8,7.233333333333333,7.233333333333333
64000019,7.2,5.25,2.6,5.016666666666667,5.016666666666667
64000020,5.8,5.75,4.2,5.25,5.25
64000021,8.0,6.75,5.0,6.583333333333333,6.583333333333333
64000022,5.6,7.0,2.8,5.133333333333333,5.133333333333333
64000023,5.2,7.0,2.8,5.0,5.0
64000024,4.8,4.0,4.0,4.266666666666667,4.266666666666667
64000025,8.0,6.25,8.2,7.483333333333333,7.483333333333333
64000026,8.2,6.5,4.8,6.5,6.5
64000027,7.4,6.25,6.0,6.55,6.55
64000028,6.4,5.0,3.2,4.866666666666667,4.866666666666667
64000029,6.6,6.0,5.0,5.866666666666667,5.866666666666667
64000030,7.6,5.25,4.8,5.883333333333333,5.883333333333333
64000031,6.2,6.0,2.8,5.0,5.0
64000032,5.2,5.25,3.6,4.683333333333333,4.683333333333333
64000033,5.0,7.5,4.2,5.566666666666666,5.566666666666666
64000034,3.0,7.25,3.0,4.416666666666667,4.416666666666667
64000035,8.2,8.25,8.8,8.416666666666666,8.416666666666666
64000036,3.2,3.75,2.8,3.25,3.25
64000037,7.4,8.0,4.4,6.6000000000000005,6.6000000000000005
64000038,3.0,4.0,3.6,3.533333333333333,3.533333333333333
64000039,6.2,5.5,3.0,4.9,4.8999999999999995
64000040,6.6,6.0,3.6,5.4,5.3999999999999995
64000041,7.4,6.25,3.6,5.75,5.75
64000042,7.0,6.0,4.2,5.733333333333333,5.733333333333333
