SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
41000001,4.6,6.5,4.8,5.3,5.3
41000002,6.4,3.5,4.4,4.766666666666667,4.766666666666667
41000003,3.0,5.75,2.4,3.716666666666667,3.716666666666667
41000004,4.4,5.75,3.2,4.45,4.45
41000005,3.6,7.25,3.6,4.816666666666666,4.816666666666666
41000006,6.2,6.5,3.6,5.433333333333334,5.433333333333334
41000007,3.0,5.75,2.6,3.783333333333333,3.783333333333333
41000010,2.0,5.5,2.0,3.1666666666666665,3.1666666666666665
41000011,5.6,5.75,2.2,4.516666666666667,4.516666666666667
41000012,7.8,4.5,5.8,6.033333333333334,6.033333333333334
41000013,2.4,3.25,2.0,2.5500000000000003,2.5500000000000003
41000014,2.4,4.75,3.8,3.65,3.65
41000015,2.8,6.25,2.2,3.75,3.75
41000016,2.0,2.75,2.8,2.5166666666666666,2.5166666666666666
41000017,7.2,7.5,5.0,6.566666666666666,6.566666666666666
41000018,4.8,5.0,2.4,4.066666666666667,4.066666666666667
41000021,2.4,5.5,2.6,3.5,3.5
41000022,5.2,6.5,2.0,4.566666666666666,4.566666666666666
41000023,4.0,6.25,3.0,4.416666666666667,4.416666666666667
41000024,3.8,6.75,3.6,4.716666666666667,4.716666666666667
41000026,6.2,7.0,3.4,5.533333333333332,5.533333333333332
41000028,4.0,5.25,2.8,4.016666666666667,4.016666666666667
41000030,6.8,6.25,4.4,5.816666666666667,5.816666666666667
41000031,2.0,5.75,2.6,3.45,3.4499999999999997
41000032,3.2,7.5,2.6,4.433333333333333,4.433333333333333
41000033,2.4,4.5,1.8,2.9000000000000004,2.9000000000000004
41000034,2.8,3.0,3.4,3.0666666666666664,3.0666666666666664
41000035,5.2,5.5,2.0,4.233333333333333,4.233333333333333
41000038,2.4,4.75,2.8,3.3166666666666664,3.3166666666666664
41000039,8.8,8.0,5.8,7.533333333333334,7.533333333333334
41000040,2.4,2.5,2.0,2.3000000000000003,2.3000000000000003
41000043,3.2,6.0,2.0,3.733333333333333,3.733333333333333
41000044,7.6,8.5,3.0,6.366666666666667,6.366666666666667
41000045,5.6,6.5,2.4,4.833333333333333,4.833333333333333
41000046,2.8,5.75,2.0,3.516666666666667,3.516666666666667
41000047,2.4,4.0,3.2,3.2000000000000006,3.2000000000000006
41000048,1.2,4.0,1.4,2.2,2.1999999999999997
41000049,8.0,5.75,6.4,6.716666666666666,6.716666666666666
41000050,3.8,4.25,2.2,3.4166666666666665,3.4166666666666665
41000052,3.6,6.25,4.2,4.683333333333334,4.683333333333334
41000053,6.4,7.0,2.4,5.266666666666667,5.266666666666667
41000054,3.2,4.75,2.4,3.45,3.4499999999999997
41000055,2.8,2.75,1.8,2.45,2.4499999999999997
41000057,4.4,5.25,2.4,4.016666666666667,4.016666666666667
