SBD,Điểm Toán,Điểm Văn,Điểm Anh,Điểm Trung bình,TBC
8000001,8.2,8.0,6.6,7.599999999999999,7.599999999999999
8000002,8.8,7.75,5.0,7.183333333333334,7.183333333333334
8000003,8.4,7.25,4.8,6.816666666666666,6.816666666666666
8000004,7.4,6.5,3.8,5.9,5.8999999999999995
8000005,9.2,7.0,5.0,7.066666666666666,7.066666666666666
8000006,8.6,9.0,4.6,7.400000000000001,7.400000000000001
8000007,9.0,6.75,4.2,6.65,6.6499999999999995
8000008,7.2,8.5,6.0,7.233333333333333,7.233333333333333
8000009,6.2,5.75,3.6,5.183333333333333,5.183333333333333
8000010,7.6,8.25,6.0,7.283333333333334,7.283333333333334
8000011,8.4,7.25,5.0,6.883333333333333,6.883333333333333
8000012,9.0,8.25,6.0,7.75,7.75
8000013,6.0,8.75,5.2,6.65,6.6499999999999995
8000014,6.6,8.25,3.6,6.15,6.1499999999999995
8000015,7.4,8.0,4.8,6.733333333333333,6.733333333333333
8000016,7.2,7.0,5.6,6.599999999999999,6.599999999999999
8000017,7.2,6.0,3.6,5.6000000000000005,5.6000000000000005
8000018,7.2,7.75,4.2,6.383333333333333,6.383333333333333
8000019,7.4,8.0,3.6,6.333333333333333,6.333333333333333
8000020,7.6,7.25,6.6,7.15,7.1499999999999995
8000021,6.8,8.0,3.8,6.2,6.2
8000022,8.0,8.0,5.4,7.133333333333333,7.133333333333333
8000023,5.2,7.5,3.0,5.233333333333333,5.233333333333333
8000024,5.2,5.5,4.4,5.033333333333333,5.033333333333333
8000025,7.2,7.25,4.0,6.15,6.1499999999999995
8000026,7.6,6.5,7.2,7.1000000000000005,7.1000000000000005
8000028,7.8,8.0,5.4,7.066666666666667,7.066666666666667
8000030,7.2,7.5,5.4,6.7,6.7
8000033,7.6,7.25,4.4,6.416666666666667,6.416666666666667
8000034,8.6,7.5,7.6,7.900000000000001,7.900000000000001
8000035,7.8,9.0,8.2,8.333333333333334,8.333333333333334
8000036,4.8,7.25,2.8,4.95,4.95
8000037,4.2,5.5,2.6,4.1,4.1
8000038,4.0,5.25,3.8,4.3500000000000005,4.3500000000000005
8000039,6.6,9.0,6.2,7.266666666666667,7.266666666666667
8000041,6.8,8.75,5.4,6.983333333333334,6.983333333333334
8000043,5.0,7.25,2.8,5.016666666666667,5.016666666666667
8000045,6.4,6.25,3.8,5.483333333333333,5.483333333333333
